odp_id,parent_id,parent_type,odp_text,source_document
AC-3(14)-ODP1,AC-3(14),ControlEnhancement,[Assignment: organization-defined mechanisms],NIST SP 800-53r5
AC-3(14)-ODP2,AC-3(14),ControlEnhancement,[Assignment: organization-defined elements],NIST SP 800-53r5
AC-3(15)-a-ODP1,AC-3(15)-a,ControlItem,[Assignment: organization-defined mandatory access control policy],NIST SP 800-53r5
AC-3(15)-b-ODP1,AC-3(15)-b,ControlItem,[Assignment: organization-defined discretionary access control policy],NIST SP 800-53r5
AC-4-ODP1,AC-4,Control,[Assignment: organization-defined information flow control policies],NIST SP 800-53r5
AC-4(1)-ODP1,AC-4(1),ControlEnhancement,[Assignment: organization-defined security and privacy attributes],NIST SP 800-53r5
AC-4(1)-ODP2,AC-4(1),ControlEnhancement,"[Assignment: organization-defined information, source, and destination objects]",NIST SP 800-53r5
AC-4(1)-ODP3,AC-4(1),ControlEnhancement,[Assignment: organization-defined information flow control policies],NIST SP 800-53r5
AC-4(2)-ODP1,AC-4(2),ControlEnhancement,[Assignment: organization-defined information flow control policies],NIST SP 800-53r5
AC-4(3)-ODP1,AC-4(3),ControlEnhancement,[Assignment: organization-defined information flow control policies],NIST SP 800-53r5
AC-4(4)-ODP1,AC-4(4),ControlEnhancement,[Assignment: organization-defined information flow control mechanisms],NIST SP 800-53r5
AC-4(4)-ODP2,AC-4(4),ControlEnhancement,[Assignment: organization-defined procedure or method],NIST SP 800-53r5
AC-4(5)-ODP1,AC-4(5),ControlEnhancement,[Assignment: organization-defined limitations],NIST SP 800-53r5
AC-4(6)-ODP1,AC-4(6),ControlEnhancement,[Assignment: organization-defined metadata],NIST SP 800-53r5
AC-4(8)-a-ODP1,AC-4(8)-a,ControlItem,[Assignment: organization-defined security or privacy policy filters],NIST SP 800-53r5
AC-4(8)-a-ODP2,AC-4(8)-a,ControlItem,[Assignment: organization-defined information flows],NIST SP 800-53r5
AC-4(8)-b-ODP1,AC-4(8)-b,ControlItem,[Selection (one or more): Block; Strip; Modify; Quarantine],NIST SP 800-53r5
AC-4(8)-b-ODP2,AC-4(8)-b,ControlItem,[Assignment: organization-defined security or privacy policy],NIST SP 800-53r5
AC-4(9)-ODP1,AC-4(9),ControlEnhancement,[Assignment: organization-defined information flows],NIST SP 800-53r5
AC-4(9)-ODP2,AC-4(9),ControlEnhancement,[Assignment: organization-defined conditions],NIST SP 800-53r5
AC-4(10)-ODP1,AC-4(10),ControlEnhancement,[Assignment: organization-defined security or privacy policy filters],NIST SP 800-53r5
AC-4(10)-ODP2,AC-4(10),ControlEnhancement,[Assignment: organization-defined conditions],NIST SP 800-53r5
AC-4(11)-ODP1,AC-4(11),ControlEnhancement,[Assignment: organization-defined security or privacy policy filters],NIST SP 800-53r5
AC-4(12)-ODP1,AC-4(12),ControlEnhancement,[Assignment: organization-defined data type identifiers],NIST SP 800-53r5
AC-4(13)-ODP1,AC-4(13),ControlEnhancement,[Assignment: organization-defined policy-relevant subcomponents],NIST SP 800-53r5
AC-4(14)-ODP1,AC-4(14),ControlEnhancement,[Assignment: organization-defined security or privacy policy filters],NIST SP 800-53r5
AC-4(15)-ODP1,AC-4(15),ControlEnhancement,[Assignment: organization-defined unsanctioned information],NIST SP 800-53r5
AC-4(15)-ODP2,AC-4(15),ControlEnhancement,[Assignment: organization-defined security or privacy policy],NIST SP 800-53r5
AC-4(17)-ODP1,AC-4(17),ControlEnhancement,[Selection (one or more): organization; system; application; service; individual],NIST SP 800-53r5
AC-4(19)-ODP1,AC-4(19),ControlEnhancement,[Assignment: organization-defined security or privacy policy filters],NIST SP 800-53r5
AC-4(20)-ODP1,AC-4(20),ControlEnhancement,[Assignment: organization-defined solutions in approved configurations],NIST SP 800-53r5
AC-4(20)-ODP2,AC-4(20),ControlEnhancement,[Assignment: organization-defined information],NIST SP 800-53r5
AC-4(21)-ODP1,AC-4(21),ControlEnhancement,[Assignment: organization-defined mechanisms and/or techniques],NIST SP 800-53r5
AC-4(21)-ODP2,AC-4(21),ControlEnhancement,[Assignment: organization-defined required separations by types of information],NIST SP 800-53r5
AC-4(23)-ODP1,AC-4(23),ControlEnhancement,[Assignment: organization-defined modification action],NIST SP 800-53r5
AC-4(25)-ODP1,AC-4(25),ControlEnhancement,"[Selection (one or more): delivery of malicious content, command and control of malicious code, malicious code augmentation, and steganography encoded data; spillage of sensitive information]",NIST SP 800-53r5
AC-4(25)-ODP2,AC-4(25),ControlEnhancement,[Assignment: organization-defined policy],NIST SP 800-53r5
AC-4(29)-b-ODP1,AC-4(29)-b,ControlItem,[Assignment: organization-defined policy],NIST SP 800-53r5
AC-5-a-ODP1,AC-5-a,ControlItem,[Assignment: organization-defined duties of individuals requiring separation],NIST SP 800-53r5
AC-6(1)-ODP1,AC-6(1),ControlEnhancement,[Assignment: organization-defined individuals or roles],NIST SP 800-53r5
AC-6(1)-a-ODP1,AC-6(1)-a,ControlItem,"[Assignment: organization-defined security functions (deployed in hardware, software, and firmware)]",NIST SP 800-53r5
AC-6(1)-b-ODP1,AC-6(1)-b,ControlItem,[Assignment: organization-defined security-relevant information],NIST SP 800-53r5
AC-6(2)-ODP1,AC-6(2),ControlEnhancement,[Assignment: organization-defined security functions or security-relevant information],NIST SP 800-53r5
AC-6(3)-ODP1,AC-6(3),ControlEnhancement,[Assignment: organization-defined privileged commands],NIST SP 800-53r5
AC-6(3)-ODP2,AC-6(3),ControlEnhancement,[Assignment: organization-defined compelling operational needs],NIST SP 800-53r5
AC-6(5)-ODP1,AC-6(5),ControlEnhancement,[Assignment: organization-defined personnel or roles],NIST SP 800-53r5
AC-6(7)-a-ODP1,AC-6(7)-a,ControlItem,[Assignment: organization-defined frequency],NIST SP 800-53r5
AC-6(7)-a-ODP2,AC-6(7)-a,ControlItem,[Assignment: organization-defined roles or classes of users],NIST SP 800-53r5
AC-6(8)-ODP1,AC-6(8),ControlEnhancement,[Assignment: organization-defined software],NIST SP 800-53r5
AC-7-a-ODP1,AC-7-a,ControlItem,[Assignment: organization-defined number],NIST SP 800-53r5
AC-7-a-ODP2,AC-7-a,ControlItem,[Assignment: organization-defined time period],NIST SP 800-53r5
AC-7-b-ODP1,AC-7-b,ControlItem,[Assignment: organization-defined time period],NIST SP 800-53r5
AC-7-b-ODP2,AC-7-b,ControlItem,[Assignment: organization-defined delay algorithm],NIST SP 800-53r5
AC-7-b-ODP3,AC-7-b,ControlItem,[Assignment: organization-defined action],NIST SP 800-53r5
AC-7(2)-ODP1,AC-7(2),ControlEnhancement,[Assignment: organization-defined mobile devices],NIST SP 800-53r5
AC-7(2)-ODP2,AC-7(2),ControlEnhancement,[Assignment: organization-defined purging or wiping requirements and techniques],NIST SP 800-53r5
AC-7(2)-ODP3,AC-7(2),ControlEnhancement,[Assignment: organization-defined number],NIST SP 800-53r5
AC-7(3)-ODP1,AC-7(3),ControlEnhancement,[Assignment: organization-defined number],NIST SP 800-53r5
AC-7(4)-a-ODP1,AC-7(4)-a,ControlItem,[Assignment: organization-defined authentication factors],NIST SP 800-53r5
AC-7(4)-b-ODP1,AC-7(4)-b,ControlItem,[Assignment: organization-defined number],NIST SP 800-53r5
AC-7(4)-b-ODP2,AC-7(4)-b,ControlItem,[Assignment: organization-defined time period],NIST SP 800-53r5
AC-8-a-ODP1,AC-8-a,ControlItem,[Assignment: organization-defined system use notification message or banner],NIST SP 800-53r5
AC-8-c-1-ODP1,AC-8-c-1,ControlItem,[Assignment: organization-defined conditions],NIST SP 800-53r5
AC-9(2)-ODP1,AC-9(2),ControlEnhancement,[Selection: successful logons; unsuccessful logon attempts; both],NIST SP 800-53r5
AC-9(2)-ODP2,AC-9(2),ControlEnhancement,[Assignment: organization-defined time period],NIST SP 800-53r5
AC-9(3)-ODP1,AC-9(3),ControlEnhancement,[Assignment: organization-defined security-related characteristics or parameters of the user’s account],NIST SP 800-53r5
AC-9(3)-ODP2,AC-9(3),ControlEnhancement,[Assignment: organization-defined time period],NIST SP 800-53r5
AC-9(4)-ODP1,AC-9(4),ControlEnhancement,[Assignment: organization-defined additional information],NIST SP 800-53r5
AC-10-ODP1,AC-10,Control,[Assignment: organization-defined account and/or account type],NIST SP 800-53r5
AC-10-ODP2,AC-10,Control,[Assignment: organization-defined number],NIST SP 800-53r5
AC-11-a-ODP1,AC-11-a,ControlItem,[Assignment: organization-defined time period],NIST SP 800-53r5
AC-12-ODP1,AC-12,Control,[Assignment: organization-defined conditions or trigger events requiring session disconnect],NIST SP 800-53r5
AC-12(1)-ODP1,AC-12(1),ControlEnhancement,[Assignment: organization-defined information resources],NIST SP 800-53r5
AC-12(3)-ODP1,AC-12(3),ControlEnhancement,[Assignment: organization-defined time until end of session],NIST SP 800-53r5
AC-14-a-ODP1,AC-14-a,ControlItem,[Assignment: organization-defined user actions],NIST SP 800-53r5
AC-16-a-ODP1,AC-16-a,ControlItem,[Assignment: organization-defined types of security and privacy attributes],NIST SP 800-53r5
AC-16-a-ODP2,AC-16-a,ControlItem,[Assignment: organization-defined security and privacy attribute values],NIST SP 800-53r5
AC-16-c-ODP1,AC-16-c,ControlItem,[Assignment: organization-defined systems],NIST SP 800-53r5
AC-16-c-ODP2,AC-16-c,ControlItem,[Assignment: organization-defined security and privacy attributes],NIST SP 800-53r5
AC-16-d-ODP1,AC-16-d,ControlItem,[Assignment: organization-defined attribute values or ranges for established attributes],NIST SP 800-53r5
AC-16-f-ODP1,AC-16-f,ControlItem,[Assignment: organization-defined security and privacy attributes],NIST SP 800-53r5
AC-16-f-ODP2,AC-16-f,ControlItem,[Assignment: organization-defined frequency],NIST SP 800-53r5
AC-16(1)-ODP1,AC-16(1),ControlEnhancement,[Assignment: organization-defined subjects and objects],NIST SP 800-53r5
AC-16(1)-ODP2,AC-16(1),ControlEnhancement,[Assignment: organization-defined security and privacy policies],NIST SP 800-53r5
AC-16(3)-ODP1,AC-16(3),ControlEnhancement,[Assignment: organization-defined security and privacy attributes],NIST SP 800-53r5
AC-16(3)-ODP2,AC-16(3),ControlEnhancement,[Assignment: organization-defined subjects and objects],NIST SP 800-53r5
AC-16(4)-ODP1,AC-16(4),ControlEnhancement,[Assignment: organization-defined security and privacy attributes],NIST SP 800-53r5
AC-16(4)-ODP2,AC-16(4),ControlEnhancement,[Assignment: organization-defined subjects and objects],NIST SP 800-53r5
AC-16(5)-ODP1,AC-16(5),ControlEnhancement,"[Assignment: organization-defined special dissemination, handling, or distribution instructions]",NIST SP 800-53r5
AC-16(5)-ODP2,AC-16(5),ControlEnhancement,"[Assignment: organization-defined human-readable, standard naming conventions]",NIST SP 800-53r5
AC-16(6)-ODP1,AC-16(6),ControlEnhancement,[Assignment: organization-defined security and privacy attributes],NIST SP 800-53r5
AC-16(6)-ODP2,AC-16(6),ControlEnhancement,[Assignment: organization-defined subjects and objects],NIST SP 800-53r5
AC-16(6)-ODP3,AC-16(6),ControlEnhancement,[Assignment: organization-defined security and privacy policies],NIST SP 800-53r5
AC-16(8)-ODP1,AC-16(8),ControlEnhancement,[Assignment: organization-defined techniques and technologies],NIST SP 800-53r5
AC-16(9)-ODP1,AC-16(9),ControlEnhancement,[Assignment: organization-defined techniques or procedures],NIST SP 800-53r5
AC-17(4)-a-ODP1,AC-17(4)-a,ControlItem,[Assignment: organization-defined needs],NIST SP 800-53r5
AC-17(9)-ODP1,AC-17(9),ControlEnhancement,[Assignment: organization-defined time period],NIST SP 800-53r5
AC-17(10)-ODP1,AC-17(10),ControlEnhancement,[Assignment: organization-defined mechanisms],NIST SP 800-53r5
AC-17(10)-ODP2,AC-17(10),ControlEnhancement,[Assignment: organization-defined remote commands],NIST SP 800-53r5
AC-18(1)-ODP1,AC-18(1),ControlEnhancement,[Selection (one or more): users; devices],NIST SP 800-53r5
AC-19(4)-b-4-ODP1,AC-19(4)-b-4,ControlItem,[Assignment: organization-defined security officials],NIST SP 800-53r5
AC-19(4)-c-ODP1,AC-19(4)-c,ControlItem,[Assignment: organization-defined security policies],NIST SP 800-53r5
AC-19(5)-ODP1,AC-19(5),ControlEnhancement,[Selection: full-device encryption; container-based encryption],NIST SP 800-53r5
AC-19(5)-ODP2,AC-19(5),ControlEnhancement,[Assignment: organization-defined mobile devices],NIST SP 800-53r5
AC-20-a-ODP1,AC-20-a,ControlItem,[Assignment: organization-defined terms and conditions],NIST SP 800-53r5
AC-20-a-ODP2,AC-20-a,ControlItem,[Assignment: organization-defined controls asserted to be implemented on external systems],NIST SP 800-53r5
AC-20-b-ODP1,AC-20-b,ControlItem,[Assignment: organizationally-defined types of external systems],NIST SP 800-53r5
AC-20(2)-ODP1,AC-20(2),ControlEnhancement,[Assignment: organization-defined restrictions],NIST SP 800-53r5
AC-20(3)-ODP1,AC-20(3),ControlEnhancement,[Assignment: organization-defined restrictions],NIST SP 800-53r5
AC-20(4)-ODP1,AC-20(4),ControlEnhancement,[Assignment: organization-defined network accessible storage devices],NIST SP 800-53r5
AC-21-a-ODP1,AC-21-a,ControlItem,[Assignment: organization-defined information sharing circumstances where user discretion is required],NIST SP 800-53r5
AC-21-b-ODP1,AC-21-b,ControlItem,[Assignment: organization-defined automated mechanisms or manual processes],NIST SP 800-53r5
AC-21(1)-ODP1,AC-21(1),ControlEnhancement,[Assignment: organization-defined automated mechanisms],NIST SP 800-53r5
AC-21(2)-ODP1,AC-21(2),ControlEnhancement,[Assignment: organization-defined information sharing restrictions],NIST SP 800-53r5
AC-22-d-ODP1,AC-22-d,ControlItem,[Assignment: organization-defined frequency],NIST SP 800-53r5
AC-23-ODP1,AC-23,Control,[Assignment: organization-defined data mining prevention and detection techniques],NIST SP 800-53r5
AC-23-ODP2,AC-23,Control,[Assignment: organization-defined data storage objects],NIST SP 800-53r5
AC-24-ODP1,AC-24,Control,[Selection: Establish procedures; Implement mechanisms],NIST SP 800-53r5
AC-24-ODP2,AC-24,Control,[Assignment: organization-defined access control decisions],NIST SP 800-53r5
AC-24(1)-ODP1,AC-24(1),ControlEnhancement,[Assignment: organization-defined access authorization information],NIST SP 800-53r5
AC-24(1)-ODP2,AC-24(1),ControlEnhancement,[Assignment: organization-defined controls],NIST SP 800-53r5
AC-24(1)-ODP3,AC-24(1),ControlEnhancement,[Assignment: organization-defined systems],NIST SP 800-53r5
AC-24(2)-ODP1,AC-24(2),ControlEnhancement,[Assignment: organization-defined security or privacy attributes],NIST SP 800-53r5
AC-25-ODP1,AC-25,Control,[Assignment: organization-defined access control policies],NIST SP 800-53r5
AT-1-a-ODP1,AT-1-a,ControlItem,[Assignment: organization-defined personnel or roles],NIST SP 800-53r5
AT-1-a-1-ODP1,AT-1-a-1,ControlItem,[Selection (one or more): Organization-level; Mission/business process-level; System-level],NIST SP 800-53r5
AT-1-b-ODP1,AT-1-b,ControlItem,[Assignment: organization-defined official],NIST SP 800-53r5
AT-1-c-1-ODP1,AT-1-c-1,ControlItem,[Assignment: organization-defined frequency],NIST SP 800-53r5
AT-1-c-1-ODP2,AT-1-c-1,ControlItem,[Assignment: organization-defined events],NIST SP 800-53r5
AT-1-c-2-ODP1,AT-1-c-2,ControlItem,[Assignment: organization-defined frequency],NIST SP 800-53r5
AT-1-c-2-ODP2,AT-1-c-2,ControlItem,[Assignment: organization-defined events],NIST SP 800-53r5
AT-2-a-1-ODP1,AT-2-a-1,ControlItem,[Assignment: organization-defined frequency],NIST SP 800-53r5
AT-2-a-2-ODP1,AT-2-a-2,ControlItem,[Assignment: organization-defined events],NIST SP 800-53r5
AT-2-b-ODP1,AT-2-b,ControlItem,[Assignment: organization-defined awareness techniques],NIST SP 800-53r5
AT-2-c-ODP1,AT-2-c,ControlItem,[Assignment: organization-defined frequency],NIST SP 800-53r5
AT-2-c-ODP2,AT-2-c,ControlItem,[Assignment: organization-defined events],NIST SP 800-53r5
AT-2(4)-ODP1,AT-2(4),ControlEnhancement,[Assignment: organization-defined indicators of malicious code],NIST SP 800-53r5
AT-3-a-ODP1,AT-3-a,ControlItem,[Assignment: organization-defined roles and responsibilities],NIST SP 800-53r5
AT-3-a-1-ODP1,AT-3-a-1,ControlItem,[Assignment: organization-defined frequency],NIST SP 800-53r5
AT-3-b-ODP1,AT-3-b,ControlItem,[Assignment: organization-defined frequency],NIST SP 800-53r5
AT-3-b-ODP2,AT-3-b,ControlItem,[Assignment: organization-defined events],NIST SP 800-53r5
AT-3(1)-ODP1,AT-3(1),ControlEnhancement,[Assignment: organization-defined personnel or roles],NIST SP 800-53r5
AT-3(1)-ODP2,AT-3(1),ControlEnhancement,[Assignment: organization-defined frequency],NIST SP 800-53r5
AT-3(2)-ODP1,AT-3(2),ControlEnhancement,[Assignment: organization-defined personnel or roles],NIST SP 800-53r5
AT-3(2)-ODP2,AT-3(2),ControlEnhancement,[Assignment: organization-defined frequency],NIST SP 800-53r5
AT-3(5)-ODP1,AT-3(5),ControlEnhancement,[Assignment: organization-defined personnel or roles],NIST SP 800-53r5
AT-3(5)-ODP2,AT-3(5),ControlEnhancement,[Assignment: organization-defined frequency],NIST SP 800-53r5
AT-4-b-ODP1,AT-4-b,ControlItem,[Assignment: organization-defined time period],NIST SP 800-53r5
AT-6-ODP1,AT-6,Control,[Assignment: organization-defined frequency],NIST SP 800-53r5
AT-6-ODP2,AT-6,Control,[Assignment: organization-defined personnel],NIST SP 800-53r5
AU-1-a-ODP1,AU-1-a,ControlItem,[Assignment: organization-defined personnel or roles],NIST SP 800-53r5
AU-1-a-1-ODP1,AU-1-a-1,ControlItem,[Selection (one or more): Organization-level; Mission/business process-level; System-level],NIST SP 800-53r5
AU-1-b-ODP1,AU-1-b,ControlItem,[Assignment: organization-defined official],NIST SP 800-53r5
AU-1-c-1-ODP1,AU-1-c-1,ControlItem,[Assignment: organization-defined frequency],NIST SP 800-53r5
AU-1-c-1-ODP2,AU-1-c-1,ControlItem,[Assignment: organization-defined events],NIST SP 800-53r5
AU-1-c-2-ODP1,AU-1-c-2,ControlItem,[Assignment: organization-defined frequency],NIST SP 800-53r5
AU-1-c-2-ODP2,AU-1-c-2,ControlItem,[Assignment: organization-defined events],NIST SP 800-53r5
AU-2-a-ODP1,AU-2-a,ControlItem,[Assignment: organization-defined event types that the system is capable of logging],NIST SP 800-53r5
AU-2-c-ODP1,AU-2-c,ControlItem,[Assignment: organization-defined event types (subset of the event types defined in AU-2a.) along with the frequency of (or situation requiring) logging for each identified event type],NIST SP 800-53r5
AU-2-e-ODP1,AU-2-e,ControlItem,[Assignment: organization-defined frequency],NIST SP 800-53r5
AU-3(1)-ODP1,AU-3(1),ControlEnhancement,[Assignment: organization-defined additional information],NIST SP 800-53r5
AU-3(3)-ODP1,AU-3(3),ControlEnhancement,[Assignment: organization-defined elements],NIST SP 800-53r5
AU-4-ODP1,AU-4,Control,[Assignment: organization-defined audit log retention requirements],NIST SP 800-53r5
AU-4(1)-ODP1,AU-4(1),ControlEnhancement,[Assignment: organization-defined frequency],NIST SP 800-53r5
AU-5-a-ODP1,AU-5-a,ControlItem,[Assignment: organization-defined personnel or roles],NIST SP 800-53r5
AU-5-a-ODP2,AU-5-a,ControlItem,[Assignment: organization-defined time period],NIST SP 800-53r5
AU-5-b-ODP1,AU-5-b,ControlItem,[Assignment: organization-defined additional actions],NIST SP 800-53r5
AU-5(1)-ODP1,AU-5(1),ControlEnhancement,"[Assignment: organization-defined personnel, roles, and/or locations]",NIST SP 800-53r5
AU-5(1)-ODP2,AU-5(1),ControlEnhancement,[Assignment: organization-defined time period],NIST SP 800-53r5
AU-5(1)-ODP3,AU-5(1),ControlEnhancement,[Assignment: organization-defined percentage],NIST SP 800-53r5
AU-5(2)-ODP1,AU-5(2),ControlEnhancement,[Assignment: organization-defined real-time period],NIST SP 800-53r5
AU-5(2)-ODP2,AU-5(2),ControlEnhancement,"[Assignment: organization-defined personnel, roles, and/or locations]",NIST SP 800-53r5
AU-5(2)-ODP3,AU-5(2),ControlEnhancement,[Assignment: organization-defined audit logging failure events requiring real-time alerts],NIST SP 800-53r5
AU-5(3)-ODP1,AU-5(3),ControlEnhancement,[Selection: reject; delay],NIST SP 800-53r5
AU-5(4)-ODP1,AU-5(4),ControlEnhancement,[Selection: full system shutdown; partial system shutdown; degraded operational mode with limited mission or business functionality available],NIST SP 800-53r5
AU-5(4)-ODP2,AU-5(4),ControlEnhancement,[Assignment: organization-defined audit logging failures],NIST SP 800-53r5
AU-5(5)-ODP1,AU-5(5),ControlEnhancement,[Assignment: organization-defined alternate audit logging functionality],NIST SP 800-53r5
AU-6-a-ODP1,AU-6-a,ControlItem,[Assignment: organization-defined frequency],NIST SP 800-53r5
AU-6-a-ODP2,AU-6-a,ControlItem,[Assignment: organization-defined inappropriate or unusual activity],NIST SP 800-53r5
AU-6-b-ODP1,AU-6-b,ControlItem,[Assignment: organization-defined personnel or roles],NIST SP 800-53r5
AU-6(1)-ODP1,AU-6(1),ControlEnhancement,[Assignment: organization-defined automated mechanisms],NIST SP 800-53r5
AU-6(5)-ODP1,AU-6(5),ControlEnhancement,[Assignment: organization-defined data/information collected from other sources],NIST SP 800-53r5
AU-6(7)-ODP1,AU-6(7),ControlEnhancement,[Selection (one or more): system process; role; user],NIST SP 800-53r5
AU-7(1)-ODP1,AU-7(1),ControlEnhancement,[Assignment: organization-defined fields within audit records],NIST SP 800-53r5
AU-8-b-ODP1,AU-8-b,ControlItem,[Assignment: organization-defined granularity of time measurement],NIST SP 800-53r5
AU-9-b-ODP1,AU-9-b,ControlItem,[Assignment: organization-defined personnel or roles],NIST SP 800-53r5
AU-9(2)-ODP1,AU-9(2),ControlEnhancement,[Assignment: organization-defined frequency],NIST SP 800-53r5
AU-9(4)-ODP1,AU-9(4),ControlEnhancement,[Assignment: organization-defined subset of privileged users or roles],NIST SP 800-53r5
AU-9(5)-ODP1,AU-9(5),ControlEnhancement,[Selection (one or more): movement; deletion],NIST SP 800-53r5
AU-9(5)-ODP2,AU-9(5),ControlEnhancement,[Assignment: organization-defined audit information],NIST SP 800-53r5
