item_id,parent_id,parent_type,item_label,item_text,source_document
SA-4(6)::a,SA-4(6),ControlEnhancement,(a),Employ only government off-the-shelf or commercial off-the-shelf information assurance and information assurance-enabled information technology products that compose an NSA-approved solution to protect classified information when the networks used to transmit the information are at a lower classification level than the information being transmitted; and,NIST SP 800-53r5
SA-4(6)::b,SA-4(6),ControlEnhancement,(b),Ensure that these products have been evaluated and/or validated by NSA or in accordance with NSA-approved procedures.,NIST SP 800-53r5
SA-4(7)::a,SA-4(7),ControlEnhancement,(a),"Limit the use of commercially provided information assurance and information assurance-enabled information technology products to those products that have been successfully evaluated against a National Information Assurance partnership (NIAP)-approved Protection Profile for a specific technology type, if such a profile exists; and",NIST SP 800-53r5
SA-4(7)::b,SA-4(7),ControlEnhancement,(b),"Require, if no NIAP-approved Protection Profile exists for a specific technology type but a commercially provided information technology product relies on cryptographic functionality to enforce its security policy, that the cryptographic module is FIPS-validated or NSA-approved.",NIST SP 800-53r5
SA-4(12)::a,SA-4(12),ControlEnhancement,(a),Include organizational data ownership requirements in the acquisition contract; and,NIST SP 800-53r5
SA-4(12)::b,SA-4(12),ControlEnhancement,(b),Require all data to be removed from the contractor’s system and returned to the organization within [Assignment: organization-defined time frame].,NIST SP 800-53r5
SA-5::a,SA-5,Control,a.,"Obtain or develop administrator documentation for the system, system component, or system service that describes:",NIST SP 800-53r5
SA-5::a.1,SA-5::a,ControlItem,1.,"Secure configuration, installation, and operation of the system, component, or service;",NIST SP 800-53r5
SA-5::a.2,SA-5::a,ControlItem,2.,Effective use and maintenance of security and privacy functions and mechanisms; and,NIST SP 800-53r5
SA-5::a.3,SA-5::a,ControlItem,3.,Known vulnerabilities regarding configuration and use of administrative or privileged functions;,NIST SP 800-53r5
SA-5::b,SA-5,Control,b.,"Obtain or develop user documentation for the system, system component, or system service that describes:",NIST SP 800-53r5
SA-5::b.1,SA-5::b,ControlItem,1.,User-accessible security and privacy functions and mechanisms and how to effectively use those functions and mechanisms;,NIST SP 800-53r5
SA-5::b.2,SA-5::b,ControlItem,2.,"Methods for user interaction, which enables individuals to use the system, component, or service in a more secure manner and protect individual privacy; and",NIST SP 800-53r5
SA-5::b.3,SA-5::b,ControlItem,3.,"User responsibilities in maintaining the security of the system, component, or service and privacy of individuals;",NIST SP 800-53r5
SA-5::c,SA-5,Control,c.,"Document attempts to obtain system, system component, or system service documentation when such documentation is either unavailable or nonexistent and take [Assignment: organization-defined actions] in response; and",NIST SP 800-53r5
SA-5::d,SA-5,Control,d.,Distribute documentation to [Assignment: organization-defined personnel or roles].,NIST SP 800-53r5
SA-9::a,SA-9,Control,a.,Require that providers of external system services comply with organizational security and privacy requirements and employ the following controls: [Assignment: organization-defined controls];,NIST SP 800-53r5
SA-9::b,SA-9,Control,b.,Define and document organizational oversight and user roles and responsibilities with regard to external system services; and,NIST SP 800-53r5
SA-9::c,SA-9,Control,c.,"Employ the following processes, methods, and techniques to monitor control compliance by external service providers on an ongoing basis: [Assignment: organization-defined processes, methods, and techniques].",NIST SP 800-53r5
SA-9(1)::a,SA-9(1),ControlEnhancement,(a),Conduct an organizational assessment of risk prior to the acquisition or outsourcing of information security services; and,NIST SP 800-53r5
SA-9(1)::b,SA-9(1),ControlEnhancement,(b),Verify that the acquisition or outsourcing of dedicated information security services is approved by [Assignment: organization-defined personnel or roles].,NIST SP 800-53r5
SA-10::a,SA-10,Control,a.,"Perform configuration management during system, component, or service [Selection (one or more): design; development; implementation; operation; disposal];",NIST SP 800-53r5
SA-10::b,SA-10,Control,b.,"Document, manage, and control the integrity of changes to [Assignment: organization-defined configuration items under configuration management];",NIST SP 800-53r5
SA-10::c,SA-10,Control,c.,"Implement only organization-approved changes to the system, component, or service;",NIST SP 800-53r5
SA-10::d,SA-10,Control,d.,"Document approved changes to the system, component, or service and the potential security and privacy impacts of such changes; and",NIST SP 800-53r5
SA-10::e,SA-10,Control,e.,"Track security flaws and flaw resolution within the system, component, or service and report findings to [Assignment: organization-defined personnel].",NIST SP 800-53r5
SA-11::a,SA-11,Control,a.,Develop and implement a plan for ongoing security and privacy control assessments;,NIST SP 800-53r5
SA-11::b,SA-11,Control,b.,Perform [Selection (one or more): unit; integration; system; regression] testing/evaluation [Assignment: organization-defined frequency] at [Assignment: organization-defined depth and coverage];,NIST SP 800-53r5
SA-11::c,SA-11,Control,c.,Produce evidence of the execution of the assessment plan and the results of the testing and evaluation;,NIST SP 800-53r5
SA-11::d,SA-11,Control,d.,Implement a verifiable flaw remediation process; and,NIST SP 800-53r5
