annexrequirement_id,annex_id,requirement_kind,label,parent_requirement_id,text,source_document
ANNEX-I.chapeau.h,ANNEX-I,point,h,ANNEX-I.chapeau,the location where the certificate supporting the advanced electronic signature or advanced electronic seal referred to in point (g) is available free of charge;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-I.chapeau.i,ANNEX-I,point,i,ANNEX-I.chapeau,the location of the services that can be used to enquire about the validity status of the qualified certificate;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-I.chapeau.j,ANNEX-I,point,j,ANNEX-I.chapeau,"where the electronic signature creation data related to the electronic signature validation data is located in a qualified electronic signature creation device, an appropriate indication of this, at least in a form suitable for automated processing.",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-II.1,ANNEX-II,paragraph,1,,"Qualified electronic signature creation devices shall ensure, by appropriate technical and procedural means, that at least:",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-II.1.a,ANNEX-II,point,a,ANNEX-II.1,the confidentiality of the electronic signature creation data used for electronic signature creation is reasonably assured;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-II.1.b,ANNEX-II,point,b,ANNEX-II.1,the electronic signature creation data used for electronic signature creation can practically occur only once;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-II.1.c,ANNEX-II,point,c,ANNEX-II.1,"the electronic signature creation data used for electronic signature creation cannot, with reasonable assurance, be derived and the electronic signature is reliably protected against forgery using currently available technology;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-II.1.d,ANNEX-II,point,d,ANNEX-II.1,the electronic signature creation data used for electronic signature creation can be reliably protected by the legitimate signatory against use by others.,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-II.2,ANNEX-II,paragraph,2,,Qualified electronic signature creation devices shall not alter the data to be signed or prevent such data from being presented to the signatory prior to signing.,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-II.3,ANNEX-II,paragraph,3,,Generating or managing electronic signature creation data on behalf of the signatory may only be done by a qualified trust service provider.,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-II.4,ANNEX-II,paragraph,4,,"Without prejudice to point (d) of point 1, qualified trust service providers managing electronic signature creation data on behalf of the signatory may duplicate the electronic signature creation data only for back-up purposes provided the following requirements are met:",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-II.4.a,ANNEX-II,point,a,ANNEX-II.4,the security of the duplicated datasets must be at the same level as for the original datasets;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-II.4.b,ANNEX-II,point,b,ANNEX-II.4,the number of duplicated datasets shall not exceed the minimum needed to ensure continuity of the service.,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-III.chapeau,ANNEX-III,chapeau,,,Qualified certificates for electronic seals shall contain:,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-III.chapeau.a,ANNEX-III,point,a,ANNEX-III.chapeau,"an indication, at least in a form suitable for automated processing, that the certificate has been issued as a qualified certificate for electronic seal;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-III.chapeau.b,ANNEX-III,point,b,ANNEX-III.chapeau,a set of data unambiguously representing the qualified trust service provider issuing the qualified certificates including at least the Member State in which that provider is established and:,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-III.chapeau.b.—,ANNEX-III,indent,—,ANNEX-III.chapeau.b,"for a legal person: the name and, where applicable, registration number as stated in the official records,",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-III.chapeau.b.—#2,ANNEX-III,indent,—,ANNEX-III.chapeau.b,for a natural person: the person’s name;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-III.chapeau.c,ANNEX-III,point,c,ANNEX-III.chapeau,"at least the name of the creator of the seal and, where applicable, registration number as stated in the official records;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-III.chapeau.d,ANNEX-III,point,d,ANNEX-III.chapeau,"electronic seal validation data, which corresponds to the electronic seal creation data;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-III.chapeau.e,ANNEX-III,point,e,ANNEX-III.chapeau,details of the beginning and end of the certificate’s period of validity;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-III.chapeau.f,ANNEX-III,point,f,ANNEX-III.chapeau,"the certificate identity code, which must be unique for the qualified trust service provider;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-III.chapeau.g,ANNEX-III,point,g,ANNEX-III.chapeau,the advanced electronic signature or advanced electronic seal of the issuing qualified trust service provider;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-III.chapeau.h,ANNEX-III,point,h,ANNEX-III.chapeau,the location where the certificate supporting the advanced electronic signature or advanced electronic seal referred to in point (g) is available free of charge;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-III.chapeau.i,ANNEX-III,point,i,ANNEX-III.chapeau,the location of the services that can be used to enquire as to the validity status of the qualified certificate;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-III.chapeau.j,ANNEX-III,point,j,ANNEX-III.chapeau,"where the electronic seal creation data related to the electronic seal validation data is located in a qualified electronic seal creation device, an appropriate indication of this, at least in a form suitable for automated processing.",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-IV.chapeau,ANNEX-IV,chapeau,,,Qualified certificates for website authentication shall contain:,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-IV.chapeau.a,ANNEX-IV,point,a,ANNEX-IV.chapeau,"an indication, at least in a form suitable for automated processing, that the certificate has been issued as a qualified certificate for website authentication;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-IV.chapeau.b,ANNEX-IV,point,b,ANNEX-IV.chapeau,a set of data unambiguously representing the qualified trust service provider issuing the qualified certificates including at least the Member State in which that provider is established and:,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-IV.chapeau.b.—,ANNEX-IV,indent,—,ANNEX-IV.chapeau.b,"for a legal person: the name and, where applicable, registration number as stated in the official records,",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-IV.chapeau.b.—#2,ANNEX-IV,indent,—,ANNEX-IV.chapeau.b,for a natural person: the person’s name;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-IV.chapeau.c,ANNEX-IV,point,c,ANNEX-IV.chapeau,"for natural persons: at least the name of the person to whom the certificate has been issued, or a pseudonym. If a pseudonym is used, it shall be clearly indicated;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-IV.chapeau.sp1,ANNEX-IV,subparagraph,,ANNEX-IV.chapeau,"for legal persons: at least the name of the legal person to whom the certificate is issued and, where applicable, registration number as stated in the official records;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-IV.chapeau.sp1.d,ANNEX-IV,point,d,ANNEX-IV.chapeau.sp1,"elements of the address, including at least city and State, of the natural or legal person to whom the certificate is issued and, where applicable, as stated in the official records;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-IV.chapeau.sp1.e,ANNEX-IV,point,e,ANNEX-IV.chapeau.sp1,the domain name(s) operated by the natural or legal person to whom the certificate is issued;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-IV.chapeau.sp1.f,ANNEX-IV,point,f,ANNEX-IV.chapeau.sp1,details of the beginning and end of the certificate’s period of validity;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-IV.chapeau.sp1.g,ANNEX-IV,point,g,ANNEX-IV.chapeau.sp1,"the certificate identity code, which must be unique for the qualified trust service provider;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-IV.chapeau.sp1.h,ANNEX-IV,point,h,ANNEX-IV.chapeau.sp1,the advanced electronic signature or advanced electronic seal of the issuing qualified trust service provider;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-IV.chapeau.sp1.i,ANNEX-IV,point,i,ANNEX-IV.chapeau.sp1,the location where the certificate supporting the advanced electronic signature or advanced electronic seal referred to in point (h) is available free of charge;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ANNEX-IV.chapeau.sp1.j,ANNEX-IV,point,j,ANNEX-IV.chapeau.sp1,the location of the certificate validity status services that can be used to enquire as to the validity status of the qualified certificate.,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
