provision_id,article_id,article_number,provision_kind,label,parent_provision_id,text,source_document
ART-3.chapeau.16,ART-3,3,point,16,ART-3.chapeau,‘trust service’ means an electronic service normally provided for remuneration which consists of:,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.16.a,ART-3,3,point,a,ART-3.chapeau.16,"the creation, verification, and validation of electronic signatures, electronic seals or electronic time stamps, electronic registered delivery services and certificates related to those services, or",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.16.b,ART-3,3,point,b,ART-3.chapeau.16,"the creation, verification and validation of certificates for website authentication; or",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.16.c,ART-3,3,point,c,ART-3.chapeau.16,"the preservation of electronic signatures, seals or certificates related to those services;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.17,ART-3,3,point,17,ART-3.chapeau,‘qualified trust service’ means a trust service that meets the applicable requirements laid down in this Regulation;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.18,ART-3,3,point,18,ART-3.chapeau,"‘conformity assessment body’ means a body defined in point 13 of Article 2 of Regulation (EC) No 765/2008, which is accredited in accordance with that Regulation as competent to carry out conformity assessment of a qualified trust service provider and the qualified trust services it provides;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.19,ART-3,3,point,19,ART-3.chapeau,‘trust service provider’ means a natural or a legal person who provides one or more trust services either as a qualified or as a non-qualified trust service provider;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.20,ART-3,3,point,20,ART-3.chapeau,‘qualified trust service provider’ means a trust service provider who provides one or more qualified trust services and is granted the qualified status by the supervisory body;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.21,ART-3,3,point,21,ART-3.chapeau,"‘product’ means hardware or software, or relevant components of hardware or software, which are intended to be used for the provision of trust services;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.22,ART-3,3,point,22,ART-3.chapeau,‘electronic signature creation device’ means configured software or hardware used to create an electronic signature;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.23,ART-3,3,point,23,ART-3.chapeau,‘qualified electronic signature creation device’ means an electronic signature creation device that meets the requirements laid down in Annex II;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.24,ART-3,3,point,24,ART-3.chapeau,‘creator of a seal’ means a legal person who creates an electronic seal;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.25,ART-3,3,point,25,ART-3.chapeau,"‘electronic seal’ means data in electronic form, which is attached to or logically associated with other data in electronic form to ensure the latter’s origin and integrity;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.26,ART-3,3,point,26,ART-3.chapeau,"‘advanced electronic seal’ means an electronic seal, which meets the requirements set out in Article 36;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.27,ART-3,3,point,27,ART-3.chapeau,"‘qualified electronic seal’ means an advanced electronic seal, which is created by a qualified electronic seal creation device, and that is based on a qualified certificate for electronic seal;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.28,ART-3,3,point,28,ART-3.chapeau,"‘electronic seal creation data’ means unique data, which is used by the creator of the electronic seal to create an electronic seal;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.29,ART-3,3,point,29,ART-3.chapeau,‘certificate for electronic seal’ means an electronic attestation that links electronic seal validation data to a legal person and confirms the name of that person;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.30,ART-3,3,point,30,ART-3.chapeau,"‘qualified certificate for electronic seal’ means a certificate for an electronic seal, that is issued by a qualified trust service provider and meets the requirements laid down in Annex III;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.31,ART-3,3,point,31,ART-3.chapeau,‘electronic seal creation device’ means configured software or hardware used to create an electronic seal;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.32,ART-3,3,point,32,ART-3.chapeau,‘qualified electronic seal creation device’ means an electronic seal creation device that meets mutatis mutandis the requirements laid down in Annex II;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.33,ART-3,3,point,33,ART-3.chapeau,‘electronic time stamp’ means data in electronic form which binds other data in electronic form to a particular time establishing evidence that the latter data existed at that time;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.34,ART-3,3,point,34,ART-3.chapeau,‘qualified electronic time stamp’ means an electronic time stamp which meets the requirements laid down in Article 42;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.35,ART-3,3,point,35,ART-3.chapeau,"‘electronic document’ means any content stored in electronic form, in particular text or sound, visual or audiovisual recording;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.36,ART-3,3,point,36,ART-3.chapeau,"‘electronic registered delivery service’ means a service that makes it possible to transmit data between third parties by electronic means and provides evidence relating to the handling of the transmitted data, including proof of sending and receiving the data, and that protects transmitted data against the risk of loss, theft, damage or any unauthorised alterations;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.37,ART-3,3,point,37,ART-3.chapeau,‘qualified electronic registered delivery service’ means an electronic registered delivery service which meets the requirements laid down in Article 44;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.38,ART-3,3,point,38,ART-3.chapeau,‘certificate for website authentication’ means an attestation that makes it possible to authenticate a website and links the website to the natural or legal person to whom the certificate is issued;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.39,ART-3,3,point,39,ART-3.chapeau,"‘qualified certificate for website authentication’ means a certificate for website authentication, which is issued by a qualified trust service provider and meets the requirements laid down in Annex IV;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.40,ART-3,3,point,40,ART-3.chapeau,‘validation data’ means data that is used to validate an electronic signature or an electronic seal;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-3.chapeau.41,ART-3,3,point,41,ART-3.chapeau,‘validation’ means the process of verifying and confirming that an electronic signature or a seal is valid.,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-4.1,ART-4,4,paragraph,1,,There shall be no restriction on the provision of trust services in the territory of a Member State by a trust service provider established in another Member State for reasons that fall within the fields covered by this Regulation.,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-4.2,ART-4,4,paragraph,2,,Products and trust services that comply with this Regulation shall be permitted to circulate freely in the internal market.,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-5.1,ART-5,5,paragraph,1,,Processing of personal data shall be carried out in accordance with Directive 95/46/EC.,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-5.2,ART-5,5,paragraph,2,,"Without prejudice to the legal effect given to pseudonyms under national law, the use of pseudonyms in electronic transactions shall not be prohibited.",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-6.1,ART-6,6,paragraph,1,,"When an electronic identification using an electronic identification means and authentication is required under national law or by administrative practice to access a service provided by a public sector body online in one Member State, the electronic identification means issued in another Member State shall be recognised in the first Member State for the purposes of cross-border authentication for that service online, provided that the following conditions are met:",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-6.1.a,ART-6,6,point,a,ART-6.1,the electronic identification means is issued under an electronic identification scheme that is included in the list published by the Commission pursuant to Article 9;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-6.1.b,ART-6,6,point,b,ART-6.1,"the assurance level of the electronic identification means corresponds to an assurance level equal to or higher than the assurance level required by the relevant public sector body to access that service online in the first Member State, provided that the assurance level of that electronic identification means corresponds to the assurance level substantial or high;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-6.1.c,ART-6,6,point,c,ART-6.1,the relevant public sector body uses the assurance level substantial or high in relation to accessing that service online.,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-6.1.sp1,ART-6,6,subparagraph,,ART-6.1,Such recognition shall take place no later than 12 months after the Commission publishes the list referred to in point (a) of the first subparagraph.,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-6.2,ART-6,6,paragraph,2,,An electronic identification means which is issued under an electronic identification scheme included in the list published by the Commission pursuant to Article 9 and which corresponds to the assurance level low may be recognised by public sector bodies for the purposes of cross-border authentication for the service provided online by those bodies.,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-7.chapeau,ART-7,7,chapeau,,,An electronic identification scheme shall be eligible for notification pursuant to Article 9(1) provided that all of the following conditions are met:,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-7.chapeau.a,ART-7,7,point,a,ART-7.chapeau,the electronic identification means under the electronic identification scheme are issued:,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-7.chapeau.a.i,ART-7,7,point,i,ART-7.chapeau.a,by the notifying Member State;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-7.chapeau.a.ii,ART-7,7,point,ii,ART-7.chapeau.a,under a mandate from the notifying Member State; or,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-7.chapeau.a.iii,ART-7,7,point,iii,ART-7.chapeau.a,independently of the notifying Member State and are recognised by that Member State;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-7.chapeau.b,ART-7,7,point,b,ART-7.chapeau,the electronic identification means under the electronic identification scheme can be used to access at least one service which is provided by a public sector body and which requires electronic identification in the notifying Member State;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-7.chapeau.c,ART-7,7,point,c,ART-7.chapeau,the electronic identification scheme and the electronic identification means issued thereunder meet the requirements of at least one of the assurance levels set out in the implementing act referred to in Article 8(3);,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-7.chapeau.d,ART-7,7,point,d,ART-7.chapeau,"the notifying Member State ensures that the person identification data uniquely representing the person in question is attributed, in accordance with the technical specifications, standards and procedures for the relevant assurance level set out in the implementing act referred to in Article 8(3), to the natural or legal person referred to in point 1 of Article 3 at the time the electronic identification means under that scheme is issued;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-7.chapeau.e,ART-7,7,point,e,ART-7.chapeau,"the party issuing the electronic identification means under that scheme ensures that the electronic identification means is attributed to the person referred to in point (d) of this Article in accordance with the technical specifications, standards and procedures for the relevant assurance level set out in the implementing act referred to in Article 8(3);",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-7.chapeau.f,ART-7,7,point,f,ART-7.chapeau,"the notifying Member State ensures the availability of authentication online, so that any relying party established in the territory of another Member State is able to confirm the person identification data received in electronic form.",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-7.chapeau.sp1,ART-7,7,subparagraph,,ART-7.chapeau,For relying parties other than public sector bodies the notifying Member State may define terms of access to that authentication. The cross-border authentication shall be provided free of charge when it is carried out in relation to a service online provided by a public sector body.,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-7.chapeau.sp2,ART-7,7,subparagraph,,ART-7.chapeau,"Member States shall not impose any specific disproportionate technical requirements on relying parties intending to carry out such authentication, where such requirements prevent or significantly impede the interoperability of the notified electronic identification schemes;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-7.chapeau.sp2.g,ART-7,7,point,g,ART-7.chapeau.sp2,"at least six months prior to the notification pursuant to Article 9(1), the notifying Member State provides the other Member States for the purposes of the obligation under Article 12(5) a description of that scheme in accordance with the procedural arrangements established by the implementing acts referred to in Article 12(7);",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-7.chapeau.sp2.h,ART-7,7,point,h,ART-7.chapeau.sp2,the electronic identification scheme meets the requirements set out in the implementing act referred to in Article 12(8).,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-8.1,ART-8,8,paragraph,1,,"An electronic identification scheme notified pursuant to Article 9(1) shall specify assurance levels low, substantial and/or high for electronic identification means issued under that scheme.",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-8.2,ART-8,8,paragraph,2,,"The assurance levels low, substantial and high shall meet respectively the following criteria:",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-8.2.a,ART-8,8,point,a,ART-8.2,"assurance level low shall refer to an electronic identification means in the context of an electronic identification scheme, which provides a limited degree of confidence in the claimed or asserted identity of a person, and is characterised with reference to technical specifications, standards and procedures related thereto, including technical controls, the purpose of which is to decrease the risk of misuse or alteration of the identity;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-8.2.b,ART-8,8,point,b,ART-8.2,"assurance level substantial shall refer to an electronic identification means in the context of an electronic identification scheme, which provides a substantial degree of confidence in the claimed or asserted identity of a person, and is characterised with reference to technical specifications, standards and procedures related thereto, including technical controls, the purpose of which is to decrease substantially the risk of misuse or alteration of the identity;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-8.2.c,ART-8,8,point,c,ART-8.2,"assurance level high shall refer to an electronic identification means in the context of an electronic identification scheme, which provides a higher degree of confidence in the claimed or asserted identity of a person than electronic identification means with the assurance level substantial, and is characterised with reference to technical specifications, standards and procedures related thereto, including technical controls, the purpose of which is to prevent misuse or alteration of the identity.",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-8.3,ART-8,8,paragraph,3,,"By 18 September 2015, taking into account relevant international standards and subject to paragraph 2, the Commission shall, by means of implementing acts, set out minimum technical specifications, standards and procedures with reference to which assurance levels low, substantial and high are specified for electronic identification means for the purposes of paragraph 1.",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-8.3.sp1,ART-8,8,subparagraph,,ART-8.3,"Those minimum technical specifications, standards and procedures shall be set out by reference to the reliability and quality of the following elements:",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-8.3.sp1.a,ART-8,8,point,a,ART-8.3.sp1,the procedure to prove and verify the identity of natural or legal persons applying for the issuance of electronic identification means;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-8.3.sp1.b,ART-8,8,point,b,ART-8.3.sp1,the procedure for the issuance of the requested electronic identification means;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-8.3.sp1.c,ART-8,8,point,c,ART-8.3.sp1,"the authentication mechanism, through which the natural or legal person uses the electronic identification means to confirm its identity to a relying party;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-8.3.sp1.d,ART-8,8,point,d,ART-8.3.sp1,the entity issuing the electronic identification means;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-8.3.sp1.e,ART-8,8,point,e,ART-8.3.sp1,any other body involved in the application for the issuance of the electronic identification means; and,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-8.3.sp1.f,ART-8,8,point,f,ART-8.3.sp1,the technical and security specifications of the issued electronic identification means.,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-8.3.sp2,ART-8,8,subparagraph,,ART-8.3,Those implementing acts shall be adopted in accordance with the examination procedure referred to in Article 48(2).,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-9.1,ART-9,9,paragraph,1,,"The notifying Member State shall notify to the Commission the following information and, without undue delay, any subsequent changes thereto:",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-9.1.a,ART-9,9,point,a,ART-9.1,"a description of the electronic identification scheme, including its assurance levels and the issuer or issuers of electronic identification means under the scheme;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-9.1.b,ART-9,9,point,b,ART-9.1,the applicable supervisory regime and information on the liability regime with respect to the following:,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-9.1.b.i,ART-9,9,point,i,ART-9.1.b,the party issuing the electronic identification means; and,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-9.1.b.ii,ART-9,9,point,ii,ART-9.1.b,the party operating the authentication procedure;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-9.1.c,ART-9,9,point,c,ART-9.1,the authority or authorities responsible for the electronic identification scheme;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-9.1.d,ART-9,9,point,d,ART-9.1,information on the entity or entities which manage the registration of the unique person identification data;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-9.1.e,ART-9,9,point,e,ART-9.1,a description of how the requirements set out in the implementing acts referred to in Article 12(8) are met;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-9.1.f,ART-9,9,point,f,ART-9.1,a description of the authentication referred to in point (f) of Article 7;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-9.1.g,ART-9,9,point,g,ART-9.1,arrangements for suspension or revocation of either the notified electronic identification scheme or authentication or the compromised parts concerned.,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-9.2,ART-9,9,paragraph,2,,"One year from the date of application of the implementing acts referred to in Articles 8(3) and 12(8), the which were notified pursuant to paragraph 1 of this Article and the basic information thereon.",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-9.3,ART-9,9,paragraph,3,,"If the Commission receives a notification after the expiry of the period referred to in paragraph 2, it shall publish in the date of receipt of that notification.",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-9.4,ART-9,9,paragraph,4,,A Member State may submit to the Commission a request to remove an electronic identification scheme notified by that Member State from the list referred to in paragraph 2. The Commission shall publish in the Official Journal of the European Union the corresponding amendments to the list within one month from the date of receipt of the Member State’s request.,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-9.5,ART-9,9,paragraph,5,,"The Commission may, by means of implementing acts, define the circumstances, formats and procedures of notifications under paragraph 1. Those implementing acts shall be adopted in accordance with the examination procedure referred to in Article 48(2).",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-10.1,ART-10,10,paragraph,1,,"Where either the electronic identification scheme notified pursuant to Article 9(1) or the authentication referred to in point (f) of Article 7 is breached or partly compromised in a manner that affects the reliability of the cross-border authentication of that scheme, the notifying Member State shall, without delay, suspend or revoke that cross-border authentication or the compromised parts concerned, and shall inform other Member States and the Commission.",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-10.2,ART-10,10,paragraph,2,,"When the breach or compromise referred to in paragraph 1 is remedied, the notifying Member State shall re- establish the cross-border authentication and shall inform other Member States and the Commission without undue delay.",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-10.3,ART-10,10,paragraph,3,,"If the breach or compromise referred to in paragraph 1 is not remedied within three months of the suspension or revocation, the notifying Member State shall notify other Member States and the Commission of the withdrawal of the electronic identification scheme.",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-10.3.sp1,ART-10,10,subparagraph,,ART-10.3,referred to in Article 9(2) without undue delay.,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-11.1,ART-11,11,paragraph,1,,The notifying Member State shall be liable for damage caused intentionally or negligently to any natural or legal person due to a failure to comply with its obligations under points (d) and (f) of Article 7 in a cross-border transaction.,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-11.2,ART-11,11,paragraph,2,,The party issuing the electronic identification means shall be liable for damage caused intentionally or negligently to any natural or legal person due to a failure to comply with the obligation referred to in point (e) of Article 7 in a cross- border transaction.,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-11.3,ART-11,11,paragraph,3,,The party operating the authentication procedure shall be liable for damage caused intentionally or negligently to any natural or legal person due to a failure to ensure the correct operation of the authentication referred to in point (f) of Article 7 in a cross-border transaction.,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-11.4,ART-11,11,paragraph,4,,"Paragraphs 1, 2 and 3 shall be applied in accordance with national rules on liability.",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-11.5,ART-11,11,paragraph,5,,"Paragraphs 1, 2 and 3 are without prejudice to the liability under national law of parties to a transaction in which electronic identification means falling under the electronic identification scheme notified pursuant to Article 9(1) are used.",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-12.1,ART-12,12,paragraph,1,,The national electronic identification schemes notified pursuant to Article 9(1) shall be interoperable.,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-12.2,ART-12,12,paragraph,2,,"For the purposes of paragraph 1, an interoperability framework shall be established.",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-12.3,ART-12,12,paragraph,3,,The interoperability framework shall meet the following criteria:,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-12.3.a,ART-12,12,point,a,ART-12.3,it aims to be technology neutral and does not discriminate between any specific national technical solutions for electronic identification within a Member State;,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-12.3.b,ART-12,12,point,b,ART-12.3,"it follows European and international standards, where possible;",KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
ART-12.3.c,ART-12,12,point,c,ART-12.3,it facilitates the implementation of the principle of privacy by design; and,KB 2/Europe/eIDAS Regulation (Electronic Identification and Trust Services).pdf
