guide_metric_id,number,domain,question,ig_metric_id,source_document
GUIDE-23,23,Data Protection and Privacy,"Provide any additional information (positive or negative) of the organization’s data protection and privacy program that was not noted in the questions above. Taking into consideration the overall maturity level generated from the questions above and based on all testing performed, is the data protection and privacy program effective? Review",IG-23,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
GUIDE-24,24,Security Training,"To what extent does the organization use an assessment of the skills, knowledge, and abilities of its workforce to provide specialized security training within the functional areas of: govern, identify, protect, detect, respond, and recover? Review",IG-24,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
GUIDE-25,25,Security Training,"Provide any additional information (positive or negative) of the organization’s security training program that was not noted in the questions above. Taking into consideration the overall maturity level generated from the questions above and based on all testing performed, is the security training program effective Review",IG-25,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
GUIDE-26,26,Information Security Continuous Monitoring (ISCM),To what extent does the organization use information security continuous monitoring (ISCM) policies and an ISCM strategy that addresses ISCM requirements and activities at each organizational tier? Review,IG-26,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
GUIDE-27,27,Information Security Continuous Monitoring (ISCM),To what extent does the organization monitor and measure the integrity and security posture of all owned and associated assets? Review,IG-27,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
GUIDE-28,28,Information Security Continuous Monitoring (ISCM),"To what extent does the organization performing ongoing (continuous monitoring) information system assessments to grant system authorizations, including developing and maintaining system security plans, and monitoring system security controls? Review",IG-28,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
GUIDE-29,29,Information Security Continuous Monitoring (ISCM),"Provide any additional information on the effectiveness (positive or negative) of the organization’s ISCM program that was not noted in the questions above. Taking into consideration the overall maturity level generated from the questions above and based on all testing performed, is the ISCM program effective? Review",IG-29,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
GUIDE-30,30,Incident Response (IR),To what extent has the organization implemented processes related to incident detection and analysis? Review,IG-30,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
GUIDE-31,31,Incident Response (IR),To what extent has the organization implemented processes related to incident handling? Review,IG-31,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
GUIDE-32,32,Incident Response (IR),"Provide any additional information (positive or negative) of the organization’s incident response program that was not noted in the questions above. Taking into consideration the overall maturity level generated from the questions above and based on all testing performed, is the incident response program effective? Review",IG-32,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
GUIDE-33,33,Contingency Planning (CP),To what extent does the organization ensure that the results of business impact analyses (BIA) are used to guide contingency planning efforts? Review,IG-33,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
GUIDE-34,34,Contingency Planning (CP),To what extent does the organization perform tests/exercises of its information system contingency planning processes? Review,IG-34,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
GUIDE-35,35,Contingency Planning (CP),"Provide any additional information on the effectiveness (positive or negative) of the organization’s contingency planning program that was not noted in the questions above. Taking into consideration the overall maturity level generated from the questions above and based on all testing performed, is the contingency planning program effective? Review",IG-35,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
