source_id,target_id,rel_type,maturity_level
IG-11,IGCRIT-11-2,HAS_MATURITY_CRITERION,Defined
IGCRIT-11-2,ML-2,AT_MATURITY_LEVEL,Defined
IG-11,IGCRIT-11-3,HAS_MATURITY_CRITERION,Consistently Implemented
IGCRIT-11-3,ML-3,AT_MATURITY_LEVEL,Consistently Implemented
IG-11,IGCRIT-11-4,HAS_MATURITY_CRITERION,Managed and Measurable
IGCRIT-11-4,ML-4,AT_MATURITY_LEVEL,Managed and Measurable
IG-11,IGCRIT-11-5,HAS_MATURITY_CRITERION,Optimized
IGCRIT-11-5,ML-5,AT_MATURITY_LEVEL,Optimized
IG-12,IGCRIT-12-1,HAS_MATURITY_CRITERION,Ad Hoc
IGCRIT-12-1,ML-1,AT_MATURITY_LEVEL,Ad Hoc
IG-12,IGCRIT-12-2,HAS_MATURITY_CRITERION,Defined
IGCRIT-12-2,ML-2,AT_MATURITY_LEVEL,Defined
IG-12,IGCRIT-12-3,HAS_MATURITY_CRITERION,Consistently Implemented
IGCRIT-12-3,ML-3,AT_MATURITY_LEVEL,Consistently Implemented
IG-12,IGCRIT-12-4,HAS_MATURITY_CRITERION,Managed and Measurable
IGCRIT-12-4,ML-4,AT_MATURITY_LEVEL,Managed and Measurable
IG-12,IGCRIT-12-5,HAS_MATURITY_CRITERION,Optimized
IGCRIT-12-5,ML-5,AT_MATURITY_LEVEL,Optimized
IG-14,IGCRIT-14-1,HAS_MATURITY_CRITERION,Ad Hoc
IGCRIT-14-1,ML-1,AT_MATURITY_LEVEL,Ad Hoc
IG-14,IGCRIT-14-2,HAS_MATURITY_CRITERION,Defined
IGCRIT-14-2,ML-2,AT_MATURITY_LEVEL,Defined
IG-14,IGCRIT-14-3,HAS_MATURITY_CRITERION,Consistently Implemented
IGCRIT-14-3,ML-3,AT_MATURITY_LEVEL,Consistently Implemented
IG-14,IGCRIT-14-4,HAS_MATURITY_CRITERION,Managed and Measurable
IGCRIT-14-4,ML-4,AT_MATURITY_LEVEL,Managed and Measurable
IG-14,IGCRIT-14-5,HAS_MATURITY_CRITERION,Optimized
IGCRIT-14-5,ML-5,AT_MATURITY_LEVEL,Optimized
IG-15,IGCRIT-15-1,HAS_MATURITY_CRITERION,Ad Hoc
IGCRIT-15-1,ML-1,AT_MATURITY_LEVEL,Ad Hoc
IG-15,IGCRIT-15-2,HAS_MATURITY_CRITERION,Defined
IGCRIT-15-2,ML-2,AT_MATURITY_LEVEL,Defined
IG-15,IGCRIT-15-3,HAS_MATURITY_CRITERION,Consistently Implemented
IGCRIT-15-3,ML-3,AT_MATURITY_LEVEL,Consistently Implemented
IG-15,IGCRIT-15-4,HAS_MATURITY_CRITERION,Managed and Measurable
IGCRIT-15-4,ML-4,AT_MATURITY_LEVEL,Managed and Measurable
IG-15,IGCRIT-15-5,HAS_MATURITY_CRITERION,Optimized
IGCRIT-15-5,ML-5,AT_MATURITY_LEVEL,Optimized
IG-17,IGCRIT-17-1,HAS_MATURITY_CRITERION,Ad Hoc
IGCRIT-17-1,ML-1,AT_MATURITY_LEVEL,Ad Hoc
IG-17,IGCRIT-17-2,HAS_MATURITY_CRITERION,Defined
IGCRIT-17-2,ML-2,AT_MATURITY_LEVEL,Defined
IG-17,IGCRIT-17-3,HAS_MATURITY_CRITERION,Consistently Implemented
IGCRIT-17-3,ML-3,AT_MATURITY_LEVEL,Consistently Implemented
IG-17,IGCRIT-17-4,HAS_MATURITY_CRITERION,Managed and Measurable
IGCRIT-17-4,ML-4,AT_MATURITY_LEVEL,Managed and Measurable
IG-17,IGCRIT-17-5,HAS_MATURITY_CRITERION,Optimized
IGCRIT-17-5,ML-5,AT_MATURITY_LEVEL,Optimized
IG-18,IGCRIT-18-1,HAS_MATURITY_CRITERION,Ad Hoc
IGCRIT-18-1,ML-1,AT_MATURITY_LEVEL,Ad Hoc
IG-18,IGCRIT-18-2,HAS_MATURITY_CRITERION,Defined
IGCRIT-18-2,ML-2,AT_MATURITY_LEVEL,Defined
IG-18,IGCRIT-18-3,HAS_MATURITY_CRITERION,Consistently Implemented
IGCRIT-18-3,ML-3,AT_MATURITY_LEVEL,Consistently Implemented
IG-18,IGCRIT-18-4,HAS_MATURITY_CRITERION,Managed and Measurable
IGCRIT-18-4,ML-4,AT_MATURITY_LEVEL,Managed and Measurable
IG-18,IGCRIT-18-5,HAS_MATURITY_CRITERION,Optimized
IGCRIT-18-5,ML-5,AT_MATURITY_LEVEL,Optimized
IG-19,IGCRIT-19-1,HAS_MATURITY_CRITERION,Ad Hoc
IGCRIT-19-1,ML-1,AT_MATURITY_LEVEL,Ad Hoc
IG-19,IGCRIT-19-2,HAS_MATURITY_CRITERION,Defined
IGCRIT-19-2,ML-2,AT_MATURITY_LEVEL,Defined
IG-19,IGCRIT-19-3,HAS_MATURITY_CRITERION,Consistently Implemented
IGCRIT-19-3,ML-3,AT_MATURITY_LEVEL,Consistently Implemented
IG-19,IGCRIT-19-4,HAS_MATURITY_CRITERION,Managed and Measurable
IGCRIT-19-4,ML-4,AT_MATURITY_LEVEL,Managed and Measurable
IG-19,IGCRIT-19-5,HAS_MATURITY_CRITERION,Optimized
IGCRIT-19-5,ML-5,AT_MATURITY_LEVEL,Optimized
IG-21,IGCRIT-21-1,HAS_MATURITY_CRITERION,Ad Hoc
IGCRIT-21-1,ML-1,AT_MATURITY_LEVEL,Ad Hoc
IG-21,IGCRIT-21-2,HAS_MATURITY_CRITERION,Defined
IGCRIT-21-2,ML-2,AT_MATURITY_LEVEL,Defined
IG-21,IGCRIT-21-3,HAS_MATURITY_CRITERION,Consistently Implemented
IGCRIT-21-3,ML-3,AT_MATURITY_LEVEL,Consistently Implemented
IG-21,IGCRIT-21-4,HAS_MATURITY_CRITERION,Managed and Measurable
IGCRIT-21-4,ML-4,AT_MATURITY_LEVEL,Managed and Measurable
IG-21,IGCRIT-21-5,HAS_MATURITY_CRITERION,Optimized
IGCRIT-21-5,ML-5,AT_MATURITY_LEVEL,Optimized
IG-22,IGCRIT-22-1,HAS_MATURITY_CRITERION,Ad Hoc
IGCRIT-22-1,ML-1,AT_MATURITY_LEVEL,Ad Hoc
IG-22,IGCRIT-22-2,HAS_MATURITY_CRITERION,Defined
IGCRIT-22-2,ML-2,AT_MATURITY_LEVEL,Defined
IG-22,IGCRIT-22-3,HAS_MATURITY_CRITERION,Consistently Implemented
IGCRIT-22-3,ML-3,AT_MATURITY_LEVEL,Consistently Implemented
IG-22,IGCRIT-22-4,HAS_MATURITY_CRITERION,Managed and Measurable
IGCRIT-22-4,ML-4,AT_MATURITY_LEVEL,Managed and Measurable
IG-22,IGCRIT-22-5,HAS_MATURITY_CRITERION,Optimized
IGCRIT-22-5,ML-5,AT_MATURITY_LEVEL,Optimized
IG-24,IGCRIT-24-1,HAS_MATURITY_CRITERION,Ad Hoc
IGCRIT-24-1,ML-1,AT_MATURITY_LEVEL,Ad Hoc
IG-24,IGCRIT-24-2,HAS_MATURITY_CRITERION,Defined
IGCRIT-24-2,ML-2,AT_MATURITY_LEVEL,Defined
IG-24,IGCRIT-24-3,HAS_MATURITY_CRITERION,Consistently Implemented
IGCRIT-24-3,ML-3,AT_MATURITY_LEVEL,Consistently Implemented
IG-24,IGCRIT-24-4,HAS_MATURITY_CRITERION,Managed and Measurable
IGCRIT-24-4,ML-4,AT_MATURITY_LEVEL,Managed and Measurable
IG-24,IGCRIT-24-5,HAS_MATURITY_CRITERION,Optimized
IGCRIT-24-5,ML-5,AT_MATURITY_LEVEL,Optimized
IG-26,IGCRIT-26-1,HAS_MATURITY_CRITERION,Ad Hoc
IGCRIT-26-1,ML-1,AT_MATURITY_LEVEL,Ad Hoc
IG-26,IGCRIT-26-2,HAS_MATURITY_CRITERION,Defined
IGCRIT-26-2,ML-2,AT_MATURITY_LEVEL,Defined
IG-26,IGCRIT-26-3,HAS_MATURITY_CRITERION,Consistently Implemented
IGCRIT-26-3,ML-3,AT_MATURITY_LEVEL,Consistently Implemented
IG-26,IGCRIT-26-4,HAS_MATURITY_CRITERION,Managed and Measurable
IGCRIT-26-4,ML-4,AT_MATURITY_LEVEL,Managed and Measurable
IG-26,IGCRIT-26-5,HAS_MATURITY_CRITERION,Optimized
IGCRIT-26-5,ML-5,AT_MATURITY_LEVEL,Optimized
IG-27,IGCRIT-27-1,HAS_MATURITY_CRITERION,Ad Hoc
IGCRIT-27-1,ML-1,AT_MATURITY_LEVEL,Ad Hoc
IG-27,IGCRIT-27-2,HAS_MATURITY_CRITERION,Defined
IGCRIT-27-2,ML-2,AT_MATURITY_LEVEL,Defined
IG-27,IGCRIT-27-3,HAS_MATURITY_CRITERION,Consistently Implemented
IGCRIT-27-3,ML-3,AT_MATURITY_LEVEL,Consistently Implemented
IG-27,IGCRIT-27-4,HAS_MATURITY_CRITERION,Managed and Measurable
IGCRIT-27-4,ML-4,AT_MATURITY_LEVEL,Managed and Measurable
IG-27,IGCRIT-27-5,HAS_MATURITY_CRITERION,Optimized
IGCRIT-27-5,ML-5,AT_MATURITY_LEVEL,Optimized
IG-28,IGCRIT-28-1,HAS_MATURITY_CRITERION,Ad Hoc
IGCRIT-28-1,ML-1,AT_MATURITY_LEVEL,Ad Hoc
IG-28,IGCRIT-28-2,HAS_MATURITY_CRITERION,Defined
IGCRIT-28-2,ML-2,AT_MATURITY_LEVEL,Defined
IG-28,IGCRIT-28-3,HAS_MATURITY_CRITERION,Consistently Implemented
IGCRIT-28-3,ML-3,AT_MATURITY_LEVEL,Consistently Implemented
IG-28,IGCRIT-28-4,HAS_MATURITY_CRITERION,Managed and Measurable
IGCRIT-28-4,ML-4,AT_MATURITY_LEVEL,Managed and Measurable
IG-28,IGCRIT-28-5,HAS_MATURITY_CRITERION,Optimized
IGCRIT-28-5,ML-5,AT_MATURITY_LEVEL,Optimized
IG-30,IGCRIT-30-1,HAS_MATURITY_CRITERION,Ad Hoc
IGCRIT-30-1,ML-1,AT_MATURITY_LEVEL,Ad Hoc
IG-30,IGCRIT-30-2,HAS_MATURITY_CRITERION,Defined
IGCRIT-30-2,ML-2,AT_MATURITY_LEVEL,Defined
IG-30,IGCRIT-30-3,HAS_MATURITY_CRITERION,Consistently Implemented
IGCRIT-30-3,ML-3,AT_MATURITY_LEVEL,Consistently Implemented
IG-30,IGCRIT-30-4,HAS_MATURITY_CRITERION,Managed and Measurable
IGCRIT-30-4,ML-4,AT_MATURITY_LEVEL,Managed and Measurable
IG-30,IGCRIT-30-5,HAS_MATURITY_CRITERION,Optimized
IGCRIT-30-5,ML-5,AT_MATURITY_LEVEL,Optimized
IG-31,IGCRIT-31-1,HAS_MATURITY_CRITERION,Ad Hoc
IGCRIT-31-1,ML-1,AT_MATURITY_LEVEL,Ad Hoc
IG-31,IGCRIT-31-2,HAS_MATURITY_CRITERION,Defined
IGCRIT-31-2,ML-2,AT_MATURITY_LEVEL,Defined
IG-31,IGCRIT-31-3,HAS_MATURITY_CRITERION,Consistently Implemented
IGCRIT-31-3,ML-3,AT_MATURITY_LEVEL,Consistently Implemented
IG-31,IGCRIT-31-4,HAS_MATURITY_CRITERION,Managed and Measurable
IGCRIT-31-4,ML-4,AT_MATURITY_LEVEL,Managed and Measurable
IG-31,IGCRIT-31-5,HAS_MATURITY_CRITERION,Optimized
IGCRIT-31-5,ML-5,AT_MATURITY_LEVEL,Optimized
IG-33,IGCRIT-33-1,HAS_MATURITY_CRITERION,Ad Hoc
IGCRIT-33-1,ML-1,AT_MATURITY_LEVEL,Ad Hoc
IG-33,IGCRIT-33-2,HAS_MATURITY_CRITERION,Defined
IGCRIT-33-2,ML-2,AT_MATURITY_LEVEL,Defined
IG-33,IGCRIT-33-3,HAS_MATURITY_CRITERION,Consistently Implemented
IGCRIT-33-3,ML-3,AT_MATURITY_LEVEL,Consistently Implemented
IG-33,IGCRIT-33-4,HAS_MATURITY_CRITERION,Managed and Measurable
IGCRIT-33-4,ML-4,AT_MATURITY_LEVEL,Managed and Measurable
IG-33,IGCRIT-33-5,HAS_MATURITY_CRITERION,Optimized
IGCRIT-33-5,ML-5,AT_MATURITY_LEVEL,Optimized
IG-34,IGCRIT-34-1,HAS_MATURITY_CRITERION,Ad Hoc
IGCRIT-34-1,ML-1,AT_MATURITY_LEVEL,Ad Hoc
IG-34,IGCRIT-34-2,HAS_MATURITY_CRITERION,Defined
IGCRIT-34-2,ML-2,AT_MATURITY_LEVEL,Defined
IG-34,IGCRIT-34-3,HAS_MATURITY_CRITERION,Consistently Implemented
IGCRIT-34-3,ML-3,AT_MATURITY_LEVEL,Consistently Implemented
IG-34,IGCRIT-34-4,HAS_MATURITY_CRITERION,Managed and Measurable
IGCRIT-34-4,ML-4,AT_MATURITY_LEVEL,Managed and Measurable
IG-34,IGCRIT-34-5,HAS_MATURITY_CRITERION,Optimized
IGCRIT-34-5,ML-5,AT_MATURITY_LEVEL,Optimized
