act_clause_id,act_section_id,path,kind,label,citation,text,source_document
ACT-2(d)(1)(A)(ii)(I),ACT-SEC-2,(d)(1)(A)(ii)(I),subclause,I,section 2(d)(1)(A)(ii)(I) of Public Law 113-283,"(I) information about the breach, including a summary of any information that the agency knows on the date on which notification is provided about how the breach occurred;","USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(d)(1)(A)(ii)(II),ACT-SEC-2,(d)(1)(A)(ii)(II),subclause,II,section 2(d)(1)(A)(ii)(II) of Public Law 113-283,"(II) an estimate of the number of individuals affected by the breach, based on information that the agency knows on the date on which notification is provided, including an assessment of the risk of harm to affected individuals;","USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(d)(1)(A)(ii)(III),ACT-SEC-2,(d)(1)(A)(ii)(III),subclause,III,section 2(d)(1)(A)(ii)(III) of Public Law 113-283,(III) a description of any circumstances necessitating a delay in providing notice to affected individuals; and,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(d)(1)(A)(ii)(IV),ACT-SEC-2,(d)(1)(A)(ii)(IV),subclause,IV,section 2(d)(1)(A)(ii)(IV) of Public Law 113-283,(IV) an estimate of whether and when the agency will provide notice to affected individuals; and,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(d)(1)(B),ACT-SEC-2,(d)(1)(B),subparagraph,B,section 2(d)(1)(B) of Public Law 113-283,"(B) notice by the affected agency to affected individuals, pursuant to data breach notification policies and guidelines, which shall be provided as expeditiously as practicable and without unreasonable delay after the agency discovers the unauthorized acquisition or access.","USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(d)(2),ACT-SEC-2,(d)(2),paragraph,2,section 2(d)(2) of Public Law 113-283,"(2) NATIONAL SECURITY; LAW ENFORCEMENT; REMEDIATION.—The Attorney General, the head of an element of the intelligence community (as such term is defined under section 3(4) of the National Security Act of 1947 (50 U.S.C. 3003(4)), or the Secretary of Homeland Security may delay the notice to affected individuals under paragraph (1)(B) if the notice would disrupt a law enforcement investigation, endanger national security, or hamper security remediation actions.","USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(d)(3),ACT-SEC-2,(d)(3),paragraph,3,section 2(d)(3) of Public Law 113-283,(3) REPORTS.—,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(d)(3)(A),ACT-SEC-2,(d)(3)(A),subparagraph,A,section 2(d)(3)(A) of Public Law 113-283,"(A) DIRECTOR OF OMB.—During the first 2 years beginning after the date of enactment of this Act, the Director of the Office of Management and Budget shall, on an annual basis—","USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(d)(3)(A)(i),ACT-SEC-2,(d)(3)(A)(i),clause,i,section 2(d)(3)(A)(i) of Public Law 113-283,(i) assess agency implementation of data breach notification policies and guidelines in aggregate; and,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(d)(3)(A)(ii),ACT-SEC-2,(d)(3)(A)(ii),clause,ii,section 2(d)(3)(A)(ii) of Public Law 113-283,"(ii) include the assessment described in clause (i) in the report required under section 3553(c) of title 44, United States Code.","USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(d)(3)(B),ACT-SEC-2,(d)(3)(B),subparagraph,B,section 2(d)(3)(B) of Public Law 113-283,"(B) SECRETARY OF HOMELAND SECURITY.—During the first 2 years beginning after the date of enactment of this Act, the Secretary of Homeland Security shall include an assessment of the status of agency implementation of data breach notification policies and guidelines in the requirements under section 3553(b)(2)(B) of title 44, United States Code.","USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(d)(4),ACT-SEC-2,(d)(4),paragraph,4,section 2(d)(4) of Public Law 113-283,(4) EXCEPTION.—Any element of the intelligence community (as such term is defined under section 3(4) of the National Security Act of 1947 (50 U.S.C. 3003(4)) that is required to provide notice under paragraph (1)(A) shall only provide such notice to appropriate committees of Congress.,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(d)(5),ACT-SEC-2,(d)(5),paragraph,5,section 2(d)(5) of Public Law 113-283,(5) RULE OF CONSTRUCTION.—Nothing in paragraph (1) shall be construed to alter any authority of a Federal agency or department.,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(e),ACT-SEC-2,(e),subsection,e,section 2(e) of Public Law 113-283,(e) TECHNICAL AND CONFORMING AMENDMENTS.—,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(e)(1),ACT-SEC-2,(e)(1),paragraph,1,section 2(e)(1) of Public Law 113-283,"(1) TABLE OF SECTIONS.—The table of sections for chapter 35 of title 44, United States Code is amended by striking the matter relating to subchapters II and III and inserting the following: ‘‘SUBCHAPTER II—INFORMATION SECURITY ‘‘3551. Purposes. ‘‘3552. Definitions. ‘‘3553. Authority and functions of the Director and the Secretary. ‘‘3554. Federal agency responsibilities. ‘‘3555. Annual independent evaluation. ‘‘3556. Federal information security incident center. ‘‘3557. National security systems. ‘‘3558. Effect on existing law.’’.","USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(e)(2),ACT-SEC-2,(e)(2),paragraph,2,section 2(e)(2) of Public Law 113-283,(2) CYBERSECURITY RESEARCH AND DEVELOPMENT ACT.— Section 8(d)(1) of the Cybersecurity Research and Development Act (15 U.S.C. 7406) is amended by striking ‘‘section 3534’’ and inserting ‘‘section 3554’’.,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(e)(3),ACT-SEC-2,(e)(3),paragraph,3,section 2(e)(3) of Public Law 113-283,(3) HOMELAND SECURITY ACT OF 2002.—The Homeland Security Act of 2002 (6 U.S.C. 101 et seq.) is amended—,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(e)(3)(A),ACT-SEC-2,(e)(3)(A),subparagraph,A,section 2(e)(3)(A) of Public Law 113-283,(A) in section 223 (6 U.S.C. 143),"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(e)(3)(A)(i),ACT-SEC-2,(e)(3)(A)(i),clause,i,section 2(e)(3)(A)(i) of Public Law 113-283,"(i) in the section heading, by inserting ‘‘FEDERAL AND’’ before ‘‘NON-FEDERAL’’;","USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(e)(3)(A)(ii),ACT-SEC-2,(e)(3)(A)(ii),clause,ii,section 2(e)(3)(A)(ii) of Public Law 113-283,"(ii) in the matter preceding paragraph (1), by striking ‘‘the Under Secretary for Intelligence and Analysis, in cooperation with the Assistant Secretary for Infrastructure Protection’’ and inserting ‘‘the Under Secretary appointed under section 103(a)(1)(H)’’;","USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(e)(3)(A)(iii),ACT-SEC-2,(e)(3)(A)(iii),clause,iii,section 2(e)(3)(A)(iii) of Public Law 113-283,"(iii) in paragraph (2), by striking the period at the end and inserting ‘‘; and’’; and","USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(e)(3)(A)(iv),ACT-SEC-2,(e)(3)(A)(iv),clause,iv,section 2(e)(3)(A)(iv) of Public Law 113-283,(iv) by adding at the end the following:,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(e)(3)#2,ACT-SEC-2,(e)(3),paragraph,3,section 2(e)(3) of Public Law 113-283,"(3) fulfill the responsibilities of the Secretary to protect Federal information systems under subchapter II of chapter 35 of title 44, United States Code.’’;","USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(e)(3)(B),ACT-SEC-2,(e)(3)(B),subparagraph,B,section 2(e)(3)(B) of Public Law 113-283,"(B) in section 1001(c)(1)(A) (6 U.S.C. 511(c)(1)(A)), by striking ‘‘section 3532(3)’’ and inserting ‘‘section 3552(b)(5)’’; and","USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(e)(3)(C),ACT-SEC-2,(e)(3)(C),subparagraph,C,section 2(e)(3)(C) of Public Law 113-283,"(C) in the table of contents in section 1(b), by striking the item relating to section 223 and inserting the following: ‘‘Sec. 223. Enhancement of Federal and non-Federal cybersecurity.’’.","USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(e)(4),ACT-SEC-2,(e)(4),paragraph,4,section 2(e)(4) of Public Law 113-283,(4) NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY ACT.—Section 20 of the National Institute of Standards and Technology Act (15 U.S.C. 278g–3) is amended—,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(e)(4)(A),ACT-SEC-2,(e)(4)(A),subparagraph,A,section 2(e)(4)(A) of Public Law 113-283,"(A) in subsection (a)(2), by striking ‘‘section 3532(b)(2)’’ and inserting ‘‘section 3552(b)(5)’’; and","USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(e)(4)(B),ACT-SEC-2,(e)(4)(B),subparagraph,B,section 2(e)(4)(B) of Public Law 113-283,(B) in subsection (e)—,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(e)(4)(B)(i),ACT-SEC-2,(e)(4)(B)(i),clause,i,section 2(e)(4)(B)(i) of Public Law 113-283,"(i) in paragraph (2), by striking ‘‘section 3532(1)’’ and inserting ‘‘section 3552(b)(2)’’; and","USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(e)(4)(B)(ii),ACT-SEC-2,(e)(4)(B)(ii),clause,ii,section 2(e)(4)(B)(ii) of Public Law 113-283,"(ii) in paragraph (5), by striking ‘‘section 3532(b)(2)’’ and inserting ‘‘section 3552(b)(5)’’.","USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(e)(5),ACT-SEC-2,(e)(5),paragraph,5,section 2(e)(5) of Public Law 113-283,"(5) TITLE 10.—Title 10, United States Code, is amended—","USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(e)(5)(A),ACT-SEC-2,(e)(5)(A),subparagraph,A,section 2(e)(5)(A) of Public Law 113-283,"(A) in section 2222(j)(5), by striking ‘‘section 3542(b)(2)’’ and inserting ‘‘section 3552(b)(5)’’;","USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(e)(5)(B),ACT-SEC-2,(e)(5)(B),subparagraph,B,section 2(e)(5)(B) of Public Law 113-283,"(B) in section 2223(c)(3), by striking ‘‘section 3542(b)(2)’’ and inserting ‘‘section 3552(b)(5)’’; and","USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(e)(5)(C),ACT-SEC-2,(e)(5)(C),subparagraph,C,section 2(e)(5)(C) of Public Law 113-283,"(C) in section 2315, by striking ‘‘section 3542(b)(2)’’ and inserting ‘‘section 3552(b)(5)’’.","USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(f),ACT-SEC-2,(f),subsection,f,section 2(f) of Public Law 113-283,(f) OTHER PROVISIONS.—,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(f)(1),ACT-SEC-2,(f)(1),paragraph,1,section 2(f)(1) of Public Law 113-283,"(1) CIRCULAR A–130.—Not later than 1 year after the date of enactment of this Act, the Director of the Office of Management and Budget shall amend or revise Office of Management and Budget Circular A–130 to eliminate inefficient or wasteful reporting. The Director of the Office of Management and Budget shall provide quarterly briefings to Congress on the status of the amendment or revision required under this paragraph.","USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(f)(2),ACT-SEC-2,(f)(2),paragraph,2,section 2(f)(2) of Public Law 113-283,(2) ISPAB.—Section 21(b) of the National Institute of Standards and Technology Act (15 U.S.C. 278g–4(b)) is amended—,"USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(f)(2)(A),ACT-SEC-2,(f)(2)(A),subparagraph,A,section 2(f)(2)(A) of Public Law 113-283,"(A) in paragraph (2), by inserting ‘‘, the Secretary of Homeland Security,’’ after ‘‘the Institute’’; and","USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
ACT-2(f)(2)(B),ACT-SEC-2,(f)(2)(B),subparagraph,B,section 2(f)(2)(B) of Public Law 113-283,"(B) in paragraph (3), by inserting ‘‘the Secretary of Homeland Security,’’ after ‘‘the Secretary of Commerce,’’. Approved December 18, 2014. LEGISLATIVE HISTORY—S. 2521: SENATE REPORTS: No. 113–256 (Comm. on Homeland Security and Governmental Affairs). CONGRESSIONAL RECORD, Vol. 160 (2014): Dec. 8, considered and passed Senate. Dec. 10, considered and passed House.","USA_FISMA_Federal_Information_Security_Modernization_Act2.txt (Public Law 113-283, 128 STAT. 3073)"
