saop_question_id,number,saop_section_id,text,source_document
SAOP-4e,4e,SAOP-SEC-4,"For which of the following requirements did the agency select, implement, assess, and monitor privacy controls for information systems that contain information maintained in a system of records? (Select all that apply.)",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-5a,5a,SAOP-SEC-5,"To what extent did the agency ensure that PII created, collected, used, processed, stored, maintained, disseminated, disclosed, or disposed of was accurate, relevant, timely, and complete? (Select one of the following.)",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-5b,5b,SAOP-SEC-5,"To what extent did the agency limit the creation, collection, use, processing, storage, maintenance, dissemination, and disclosure of PII to that which is legally authorized, relevant, and reasonably deemed necessary for the proper performance of agency functions? (Select one of the following.)",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-6a,6a,SAOP-SEC-6,"Did the agency have an inventory of the agency’s collection, maintenance, and use of Social Security numbers (SSNs)?",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-6b,6b,SAOP-SEC-6,Did the agency maintain the inventory of SSNs referenced in question 6a as part of the agency’s inventory of information systems referenced in question 2a?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-6c,6c,SAOP-SEC-6,Did the agency have a written policy that it developed and implemented to help ensure that any new collection or use of SSNs is necessary?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-6d,6d,SAOP-SEC-6,Did the written policy referenced in question 6c provide specific criteria to use when determining whether the collection or use of SSNs is necessary?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-6e,6e,SAOP-SEC-6,Did the written policy referenced in question 6c establish a process to ensure that any collection or use of SSNs determined to be necessary remains necessary over time?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-6f,6f,SAOP-SEC-6,"Did the agency take steps to eliminate the unnecessary collection, maintenance, and use of SSNs?",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-7a,7a,SAOP-SEC-7,For which of the following digital services did the agency maintain an inventory? (Select all that apply.),USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-7b,7b,SAOP-SEC-7,"In accordance with the E-Government Act of 2002 and OMB guidance, for which of the following digital services did the agency maintain and post privacy policies? (Select all that apply.)",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-7c,7c,SAOP-SEC-7,For which of the following digital services did the agency have a process to regularly review and update the privacy policies? (Select all that apply.),USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-7d,7d,SAOP-SEC-7,Did the agency have a written policy it developed and implemented for the agency’s use of social media?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-7e,7e,SAOP-SEC-7,Did the agency use web measurement and customization technologies on any website or mobile application?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-7f,7f,SAOP-SEC-7,"Did the agency review the use of web measurement and customization technologies to ensure compliance with all laws, regulations, and OMB guidance?",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-8a,8a,SAOP-SEC-8,Did the agency identify and plan for the resources needed to implement the agency’s privacy program?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-8b,8b,SAOP-SEC-8,Did the agency have a policy that includes explicit criteria for analyzing privacy risks when considering IT investments?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-8c,8c,SAOP-SEC-8,"Did the agency review IT capital investment plans and budgetary requests to ensure that privacy requirements (and associated privacy controls), as well as any associated costs, were explicitly identified and included, with respect to any IT resources that will be used to create, collect, use, process, store, maintain, disseminate, disclose, or dispose of PII?",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-8d,8d,SAOP-SEC-8,"To what extent did the agency plan and budget to upgrade, replace, or retire any information systems that maintain PII for which protections commensurate with risk could not be effectively implemented? (Select one of the following.)",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-8e,8e,SAOP-SEC-8,"Did the agency ensure that, in a timely manner, the SAOP was made aware when information systems and components that create, collect, use, process, store, maintain, disseminate, disclose, or dispose of PII could not be appropriately protected or secured?",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-8f,8f,SAOP-SEC-8,What is the number of information systems and components used during the reporting period,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-9a,9a,SAOP-SEC-9,To what extent did the agency ensure that terms and conditions in contracts and other,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-9b,9b,SAOP-SEC-9,"To what extent did the agency, consistent with the agency’s authority, ensure that the",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-9c,9c,SAOP-SEC-9,To what extent did the agency ensure appropriate vetting and access control processes for,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-9d,9d,SAOP-SEC-9,Did the agency maintain a mandatory agency-wide privacy awareness and training program,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-9e,9e,SAOP-SEC-9,"Did the agency have established rules of behavior, including consequences for violating rules",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-9f,9f,SAOP-SEC-9,Did the agency ensure that contractors have read and agreed to abide by the rules of behavior,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-10a,10a,SAOP-SEC-10,Did the agency ensure that the agency’s privacy workforce has the appropriate knowledge and skill?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-10b,10b,SAOP-SEC-10,"Did the agency assess its hiring, training, and professional development needs with respect to privacy?",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-10c,10c,SAOP-SEC-10,Did the agency have a workforce planning process to ensure that it accounts for privacy workforce needs?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-10d,10d,SAOP-SEC-10,"Did the agency have a set of competency requirements for privacy staff, including program managers and privacy leadership positions?",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-11a,11a,SAOP-SEC-11,Did the agency maintain a mandatory agency-wide privacy awareness and training program for all Federal employees?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-11b,11b,SAOP-SEC-11,What percentage of Federal employees participated in a mandatory agency-wide privacy awareness and training program during the reporting period?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-11c,11c,SAOP-SEC-11,"Did the agency provide role-based privacy training to Federal employees with assigned privacy roles and responsibilities, including managers, before authorizing access to Federal information or information systems or performing assigned duties?",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-11d,11d,SAOP-SEC-11,What percentage of Federal employees with assigned privacy roles and responsibilities received role-based training before being authorized to access Federal information or information systems or performing assigned duties during the reporting period?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-11e,11e,SAOP-SEC-11,Did the agency ensure that measures were in place to test the knowledge level of information system users in conjunction with privacy training?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-11f,11f,SAOP-SEC-11,To what extent did the agency ensure that all personnel were held accountable for complying,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-11g,11g,SAOP-SEC-11,"Did the agency have established rules of behavior, including consequences for violating rules of behavior, for Federal employees that have access to Federal information or information systems, including those that create, collect, use, process, store, maintain, disseminate, disclose, or dispose of PII?",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-11h,11h,SAOP-SEC-11,Did the agency ensure that Federal employees had read and agreed to abide by the rules of behavior referenced in question 11g prior to being granted access?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-12a,12a,SAOP-SEC-12,"For which of the following actions did the agency include policies and procedures in the agency’s breach response plan? (Select all that apply.)  Reporting a breach  Investigating a breach  Managing a breach  None of the above (if selected, please explain in the text box)  Not applicable – the agency did not have a breach response plan (if selected, please",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-12b,12b,SAOP-SEC-12,"Did the SAOP review the agency’s breach response plan during the reporting period to ensure that the plan is current, accurate, and reflects any changes in law, guidance, standards, agency policy, procedures, staffing, and/or technology?",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-12c,12c,SAOP-SEC-12,Did the agency have a breach response team composed of agency officials designated by the head of the agency that could be convened to lead the agency’s response to a breach?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-12d,12d,SAOP-SEC-12,Did the agency’s breach response team referenced in question 12c participate in at least one tabletop exercise during the reporting period?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-12e,12e,SAOP-SEC-12,"How many breaches, as OMB M-17-12 defines the term “breach,” were reported within the",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-12f,12f,SAOP-SEC-12,"How many breaches, as OMB M-17-12 defines the term “breach,” did the agency report to the DHS Cybersecurity and Infrastructure Security Agency (CISA) during the reporting period?",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-13a,13a,SAOP-SEC-13,"Which of the following activities were guided and informed by the agency’s implementation of a risk management framework? (Select all that apply.)  Categorization of Federal information and information systems that process PII  Selection, implementation, and assessment of privacy controls  Authorization of information systems and common controls  Continuous monitoring of information systems that process PII  None of the above (if selected, please explain in the text box)  Not applicable – the agency did not implement a risk management framework (if",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-13b,13b,SAOP-SEC-13,"Did the agency designate which privacy controls will be treated as program management, common, information system-specific, and hybrid privacy controls?",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-13c,13c,SAOP-SEC-13,Did the agency maintain a written privacy continuous monitoring strategy?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-13d,13d,SAOP-SEC-13,Did the agency maintain an agency-wide privacy continuous monitoring program?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-14a,14a,SAOP-SEC-14,Did the agency have a Privacy Program Page located at (or redirected from) www.[agency].gov/privacy?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-14b,14b,SAOP-SEC-14,"Did the agency’s Privacy Program Page include a list and provide links to complete, up-to- date versions of all agency SORNs?",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-14c,14c,SAOP-SEC-14,Did the agency’s Privacy Program Page include a list and provide links to all PIAs?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-14d,14d,SAOP-SEC-14,Did the agency’s Privacy Program Page include a list and provide links to up-to-date matching notices and agreements for all active matching programs in which the agency participates?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-14e,14e,SAOP-SEC-14,Did the agency’s Privacy Program Page include citations and provide links to the final rules published in the Federal Register that promulgate each Privacy Act exemption claimed for their systems of records?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-14f,14f,SAOP-SEC-14,Did the agency’s Privacy Program Page include a list and provide links to all Privacy Act implementation rules promulgated pursuant to U.S.C. § 552a(f)?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-14g,14g,SAOP-SEC-14,"Did the agency’s Privacy Program Page include a list and provide links to all publicly available agency policies on privacy, including any directives, instructions, handbooks, manuals, or other guidance?",USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-14h,14h,SAOP-SEC-14,Did the agency’s Privacy Program Page include a list and provide links to all publicly available agency reports on privacy?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-14i,14i,SAOP-SEC-14,Did the agency’s Privacy Program Page include instructions in clear and plain language for individuals who wish to request access to or amendment of their records pursuant to U.S.C. § 552a(d)?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-14j,14j,SAOP-SEC-14,Did the agency’s Privacy Program Page include appropriate agency contact information for individuals who wish to submit a privacy-related question or complaint?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
SAOP-14k,14k,SAOP-SEC-14,Did the agency’s Privacy Program Page identify the agency’s SAOP and include appropriate contact information for the SAOP’s office?,USA_FISMA_FY25_SAOP_FISMA_Metrics_508.txt
