ig_maturity_criterion_id,ig_metric_id,maturity_level_id,maturity_level,text,source_document
IGCRIT-3-3,IG-3,ML-3,Consistently Implemented,"Roles, responsibilities, and authorities related to cybersecurity risk management are established, communicated, understood. Significant cybersecurity duties are included in individuals’ position descriptions and performance plans.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-3-4,IG-3,ML-4,Managed and Measurable,"The organization has adequate resources that are allocated commensurate with the cybersecurity risk strategy, roles, responsibilities, policies, and profiles. The organization monitors and analyzes qualitative and quantitative performance measures on the effectiveness of its cybersecurity risk management roles, policies, and practices and makes updates, as appropriate. Cybersecurity objectives are included in the performance assessment process of those with significant cybersecurity responsibilities.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-3-5,IG-3,ML-5,Optimized,"Organizational leadership fosters a culture that is riskaware, ethical, and continually improving. Leadership holds personnel accountable and enforces organizational cybersecurity requirements.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-5-1,IG-5,ML-1,Ad Hoc,"The organization has not defined and communicated policies, procedures, and processes to ensure that [organizationally defined products, system components, systems, and services] adhere to its cybersecurity and supply chain risk management requirements.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-5-2,IG-5,ML-2,Defined,"The organization has defined and communicated policies and procedures to ensure that [organizationally defined products, system components, systems, and services] adhere to chain-related risks associated its cybersecurity and supply chain risk management requirements. The following components, at a minimum, are defined • The identification and prioritization of externally provided systems, system components, and services as well how the organization maintains awareness of its upstream suppliers. • Integration of acquisition processes, including the use of contractual agreements that stipulate appropriate C-SCRM measures for external providers. meet FISMA requirements, • Tools and techniques to use the acquisition process to protect the supply chain, including, risk-based processes for evaluating cyber supply chain risks associated with third visibility into its upstream party providers, as appropriate. suppliers and can Contract tools or procurement methods to confirm contractors are meeting their contractual C-SCRM obligations.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-5-3,IG-5,ML-3,Consistently Implemented,"The organization ensures that The organization uses its policies, procedures, and processes are consistently implemented for assessing and reviewing the supply with suppliers or contractors and the system, system component. In addition, the organization obtains sufficient assurance, through audits, test results, software producer selfattestation (in accordance with M-22-18), or other forms of evaluation, that the security and supply chain controls of systems or services provided by contractors or other entities on behalf of the organization OMB policy, and applicable NIST guidance. Furthermore, the organization maintains consistently track changes in suppliers.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-5-4,IG-5,ML-4,Managed and Measurable,"qualitative and quantitative performance metrics (e.g., those defined within SLAs) to measure, report on, and monitor the C-SCRM performance of organizationally defined products, systems, and services provided by external providers. In addition, the organization has incorporated supplier risk evaluations, based on criticality, into its continuous monitoring practices to maintain situational awareness into the cyber-related supply chain risks.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-5-5,IG-5,ML-5,Optimized,"The organization analyzes, in a near-real time basis, the impact of material changes to C-SCRM assurance requirements on its relationships with external providers and ensures that acquisition tools, methods, and processes are updated as soon as possible.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-7-1,IG-7,ML-1,Ad Hoc,"The organization has not defined its policies, procedures, and processes for developing and maintaining a comprehensive and accurate inventory of its information systems and system interconnections.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-7-2,IG-7,ML-2,Defined,"The organization has defined its policies, procedures, and processes for developing and maintaining a comprehensive and accurate inventory of its information systems and system interconnections.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-7-3,IG-7,ML-3,Consistently Implemented,"The organization consistently implements its policies, procedures, and processes to maintain a comprehensive and accurate inventory of its information systems (including cloud systems, public-facing websites, and third-party systems), and system interconnections.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-7-4,IG-7,ML-4,Managed and Measurable,The organization ensures that the information systems included in its inventory are subject to the monitoring processes defined within the organization's Information Security Continuous Monitoring (ISCM) strategy.,USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-7-5,IG-7,ML-5,Optimized,The organization uses automation to develop and maintain a centralized information system inventory that includes hardware and software components from all organizational information systems. The centralized inventory is updated in a near-real time basis.,USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-8-1,IG-8,ML-1,Ad Hoc,"The organization has not defined policies, procedures, and processes for using standard data elements/taxonomy to develop and maintain an up-to-date inventory of hardware assets connected to the organization’s network automated asset discovery) with the detailed information necessary for tracking and reporting.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-8-2,IG-8,ML-2,Defined,"The organization has defined policies, procedures, and processes for using standard data elements/taxonomy to develop and maintain an up-todate inventory of hardware assets connected to the organization’s network (including through automated asset discovery) with the detailed information necessary for tracking and reporting.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-8-3,IG-8,ML-3,Consistently Implemented,The organization consistently uses its standard data elements/taxonomy to develop and maintain an up-to-date inventory of hardware assets connected to the organization’s network (including through automated asset discovery) and uses this taxonomy to inform which assets can/cannot be introduced into the network. The organization is making sufficient progress towards reporting at least 80% of its GFEs through DHS’ Continuous Diagnostics and Mitigation (CDM) program.,USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-8-4,IG-8,ML-4,Managed and Measurable,"The organization ensures that the hardware assets connected to the network are covered by an organization-wide hardware asset management capability and are subject to the monitoring processes defined within the organization's ISCM strategy. For mobile devices, the agency enforces the capability to deny access to agency enterprise services when security and operating system updates have not been applied within a given period based on agency policy or guidance.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-8-5,IG-8,ML-5,Optimized,"The organization employs automation to track the life cycle of the organization's hardware assets with processes that limit the manual/ procedural methods for asset management. Further, hardware inventories are regularly updated as part of the organization’s enterprise architecture current and future states.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-9-1,IG-9,ML-1,Ad Hoc,"The organization has not defined policies, procedures, and processes for using standard data elements/taxonomy to develop and maintain an up-to-date inventory of software assets and licenses, including for EO-critical software and mobile applications, used in the organization's environment with the detailed information necessary for tracking and reporting.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-9-2,IG-9,ML-2,Defined,"The organization has defined policies, procedures, and processes for using standard data elements/taxonomy to develop and maintain an up-todate inventory of software assets and licenses, including for EO-critical, cloud, and mobile software and applications used in the organization's environment with the detailed information necessary for tracking and reporting.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-9-3,IG-9,ML-3,Consistently Implemented,"The organization consistently uses its standard data elements/taxonomy to develop and maintain an up-to-date inventory of software assets and licenses, including for EO- critical, cloud, and mobile software and applications used in the organization's environment and uses this taxonomy to inform which assets can/cannot be introduced into the network. The organization establishes and maintains a software inventory for all platforms running EO- critical software and all software (both EO-critical and non-EO-critical) deployed to each platform.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-9-4,IG-9,ML-4,Managed and Measurable,"The organization ensures that the software assets, including EO-critical critical, cloud, and mobile software and applications as appropriate, on the network (and their associated licenses), are covered by an organization-wide software asset management (or mobile device management) capability and are subject to the monitoring processes defined within the organization's ISCM strategy. For mobile devices, the agency enforces the capability to prevent the execution of unauthorized software (e.g., blacklist, whitelist, or cryptographic containerization).",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-9-5,IG-9,ML-5,Optimized,"The organization employs automation to track the life cycle of the organization's software assets (and their associated licenses), including for EO-critical critical, cloud, and mobile software and applications, with processes that limit the manual/procedural methods for asset management. Further, software inventories are regularly updated as part of the organization’s enterprise architecture current and future states.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-10-1,IG-10,ML-1,Ad Hoc,"The organization has not defined its policies, procedures, processes, and roles and responsibilities for developing and maintaining a comprehensive and accurate inventory of data and corresponding metadata for its data types, as appropriate. This includes data obtained from third party providers.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-10-2,IG-10,ML-2,Defined,"The organization has defined its policies, procedures, processes, and roles and responsibilities for developing and maintaining a comprehensive and accurate inventory data and corresponding metadata for its data types, to include data obtained from third party providers, as appropriate.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-10-3,IG-10,ML-3,Consistently Implemented,"The organization consistently implements its policies, procedures, processes, and roles and responsibilities to maintain a comprehensive and accurate inventory of its data and corresponding metadata for its data types, as appropriate. In addition, the organization assigns data classifications to designated data types through tags or labels and appropriate metadata, such as provenance, data owner, geolocation, information location, etc., are tracked and maintained.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-10-4,IG-10,ML-4,Managed and Measurable,"The organization ensures that the data and corresponding metadata in its inventories are subject to the monitoring processes defined within the organization's ISCM strategy. The organization uses data-centric security controls (e.g. DLP, encryption, rights management) in conjunction with data access controls (e.g., RBAC, CBAC, and ABAC) to secure data at every level and in every location.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-10-5,IG-10,ML-5,Optimized,"The organization uses automation to develop and maintain a centralized data inventory that includes a mapping to the hardware and software components using or storing the data from all organizational information systems. The centralized inventory is updated in a near-real time basis. In addition, the organization continuously discovers and analyzes ad hoc data to identify new instances of designated data types and updates its inventories accordingly.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-11-1,IG-11,ML-1,Ad Hoc,"The organization has not defined and communicated the policies, procedures and processes it uses to manage the cybersecurity risks associated with operating and maintaining its information systems. At a minimum, the policies, procedures, and processes do not cover the following areas from a cybersecurity perspective: • Prepare • Categorize • Select • Implement • Assess • Authorize • Monitor",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-11-2,IG-11,ML-2,Defined,"The organization has defined and communicated the policies, procedures and processes it uses to manage the cybersecurity risks associated with operating and maintaining its information systems. The policies, procedures, and processes cover cybersecurity risk management at the organizational, mission/business process, and information system levels and address the following components • Prepare • Categorize • Select • Implement • Assess • Authorize • Monitor",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-11-3,IG-11,ML-3,Consistently Implemented,"The organization consistently implements its policies, procedures, and processes to manage the cybersecurity risks associated with operating and maintaining its information systems. The organization ensures that decisions to manage cybersecurity risk at the information system level are informed and guided by risk decisions made at the organizational and mission/business levels. System risk assessments are performed [according to organizational defined time frames] and appropriate security controls to mitigate risks identified are implemented on a consistent basis. The organization uses the common vulnerability scoring system, or similar approach, to communicate the characteristics and severity of software vulnerabilities. Further, the organization uses a cybersecurity risk register to manage risks, as appropriate, and is consistently capturing and sharing lessons learned on the effectiveness of cybersecurity risk management processes and updating the program accordingly.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-11-4,IG-11,ML-4,Managed and Measurable,"The organization consistently monitors the effectiveness of risk responses to ensure that risk tolerances are maintained at an appropriate level. The organization ensures that information in cybersecurity risk registers is obtained accurately, consistently, and in a reproducible format and is used to (i) quantify and aggregate security risks, (ii) normalize cybersecurity risk information across organizational units, and (iii) prioritize operational risk response.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-11-5,IG-11,ML-5,Optimized,"The organization has maximized the use of automation, wherever possible, to increase the speed, effectiveness, and efficiency of steps associated with the risk management framework (e.g., prepare, categorize) The organization has achieved a real-time or near real-time riskbased decision-making process for managing cybersecurity risks.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-12-1,IG-12,ML-1,Ad Hoc,"The organization has not identified and defined its requirements for an automated solution to provide a centralized, enterprise wide (portfolio) view of cybersecurity risks across the organization, including risk control and remediation activities, dependences, risk scores/levels, and management dashboards.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-12-2,IG-12,ML-2,Defined,"The organization has identified and defined its requirements for an automated solution that provides a centralized, enterprise-wide view of cybersecurity risks across the organization, including risk control and remediation activities, dependencies, risk scores/levels, and management dashboards.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-12-3,IG-12,ML-3,Consistently Implemented,"The organization consistently implements an automated solution across the enterprise that provides a centralized, enterprise-wide view of cybersecurity risks, including risk control and remediation activities, dependencies, risk scores/levels, and management dashboards. All necessary sources of cybersecurity risk information are integrated into the solution.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-12-4,IG-12,ML-4,Managed and Measurable,"In addition, the organization ensures that cybersecurity risk management information is integrated into ERM reporting tools (such as a governance, risk management, and compliance tool), as appropriate.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-12-5,IG-12,ML-5,Optimized,"The organization has institutionalized the use of advanced technologies for analysis of trends and performance against benchmarks to continuously improve its cybersecurity risk management program. Examples include scenario analysis and modeling, the incorporation of technical indicators from threat intelligence, and the ability to consume open security control assessments language (OSCAL) into its GRC processes.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-14-1,IG-14,ML-1,Ad Hoc,"The organization has not established policies and procedures for ensuring that configuration settings/common secure configurations are defined, implemented, and monitored.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-14-2,IG-14,ML-2,Defined,"The organization has developed, documented, and disseminated its policies and procedures for configuration settings/common secure configurations. In addition, the organization has developed, documented, and disseminated common secure configurations (hardening guides) that are tailored to its environment. Further, the organization has established a deviation process.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-14-3,IG-14,ML-3,Consistently Implemented,"The organization consistently implements, assesses, and maintains secure configuration settings for its information systems based on the principle of least functionality. Further, the organization consistently uses SCAP- validated software assessing (scanning) capabilities against all systems on the network (in accordance with DHS BOD 23-01) to assess and manage both code-based and configuration-based vulnerabilities. The organization uses lessons learned in implementation to make improvements to its secure configuration policies and procedures.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-14-4,IG-14,ML-4,Managed and Measurable,"The organization employs automation to help maintain an up-to-date, complete, accurate, and readily available view of the security configurations for all information system components connected to the organization’s network and makes appropriate modifications in accordance with organization-defined timelines.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-14-5,IG-14,ML-5,Optimized,"The organization deploys system configuration management tools that automatically enforce and redeploy configuration settings to systems at frequent intervals as defined by the organization, or on an event driven basis.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-15-1,IG-15,ML-1,Ad Hoc,"The organization has not developed, documented, and disseminated its policies disseminated its and procedures for flaw remediation, including for mobile devices (GFE and non-GFE).",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-15-2,IG-15,ML-2,Defined,"The organization has developed, documented, and policies and procedures for flaw remediation, including for mobile devices. Policies and procedures include processes for: identifying, validating, reporting, and correcting information system flaws, testing software and firmware updates prior to implementation, relevant updates and software deployed to those patches within organizationaldefined timeframes, and incorporating flaw remediation into the organization's configuration management processes.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-15-3,IG-15,ML-3,Consistently Implemented,"The organization consistently implements its flaw remediation policies, procedures, and processes and ensures that patches, hotfixes, service packs, and anti-virus/malware software updates are identified, prioritized, tested, and installed in a timely manner. In addition, the organization patches critical vulnerabilities within reports qualitative and 30 days and uses lessons learned in implementation to make improvements to its flaw remediation policies remediation processes and procedures. Further, for EO-critical software platforms and all platforms, the organization uses supported software versions.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-15-4,IG-15,ML-4,Managed and Measurable,"The organization centrally manages its flaw remediation process and uses automated patch management and software update tools for operating systems, where such tools are available and safe. The organization monitors, analyzes, and quantitative performance measures on the effectiveness of flaw and ensures that data supporting the metrics is obtained accurately, consistently, and in a reproducible format.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-15-5,IG-15,ML-5,Optimized,"The organization uses automated patch management and software update tools for all applications and network devices (including mobile devices), as appropriate, where such tools are available and safe. As part its flaw remediation processes, the organization performs deeper analysis of software code, such as through patch sourcing and testing.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-17-1,IG-17,ML-1,Ad Hoc,"The organization has not planned for the use of strong authentication mechanisms for nonprivileged users of the organization’s physical and logical assets [organization-defined entry/exit points], systems, and networks, including for remote access. In addition, the organization has not performed digital identity risk assessments to determine which systems require strong authentication.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-17-2,IG-17,ML-2,Defined,"The organization has planned for the use of strong authentication mechanisms for nonprivileged users of the organization’s physical and logical assets [organizationdefined entry/exit points], systems, and networks, including the completion of digital identity risk assessments.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-17-3,IG-17,ML-3,Consistently Implemented,"The organization has consistently implemented strong authentication mechanisms for nonprivileged users of the organization’s physical and logical assets [organizationdefined entry/exit points] and networks, including for remote access, in accordance with Federal targets. For instances where it would be impracticable to use the PIV card, the organization uses an alternative token (derived PIV credential) which can be implemented and deployed with mobile devices. Further, for public-facing systems that support multifactor authentication, users are provided the option of using phishingresistant multifactor authentication.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-17-4,IG-17,ML-4,Managed and Measurable,"All non-privileged users use strong authentication mechanisms to authenticate to applicable organizational systems and physical and logical assets [organizationdefined entry/exit points]. To the extent possible, the organization centrally implements support for non-PIV authentication mechanisms in their enterprise identity management system.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-17-5,IG-17,ML-5,Optimized,"The organization has implemented an enterprise-wide single sign on solution and all the organization's systems interface with the solution, resulting in an ability to manage user (non-privileged) accounts and privileges centrally and report on effectiveness on a near real-time basis.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-18-1,IG-18,ML-1,Ad Hoc,"The organization has not planned for the use of strong authentication mechanisms for privileged users of the organization’s physical and logical assets [organization-defined entry/exit points], systems, and networks, including for remote access. In addition, the organization has not performed digital identity risk assessments to determine which systems require strong authentication.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-18-2,IG-18,ML-2,Defined,"The organization has planned for the use of strong authentication mechanisms for privileged users of the organization’s physical and logical assets [organizationdefined entry/exit points], systems, and networks, including the completion of digital identity risk assessments.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-18-3,IG-18,ML-3,Consistently Implemented,"The organization has consistently implemented strong authentication mechanisms for privileged users of the organization’s physical and logical assets [organization-defined entry/exit points], and networks, including for remote access, in accordance with Federal targets. For instances where it would be impracticable to use the PIV card, the organization uses an alternative token (derived PIV credential) which can be implemented and deployed with mobile devices.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-18-4,IG-18,ML-4,Managed and Measurable,"All privileged users, including those who can make changes to DNS records, use strong authentication mechanisms to authenticate to applicable organizational systems. To the extent possible, the organization centrally implements support for non-PIV authentication mechanisms in their enterprise identity management system.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-18-5,IG-18,ML-5,Optimized,"The organization has implemented an enterprise-wide single sign on solution and all the organization's systems interface with the solution, resulting in an ability to manage user (privileged) accounts and privileges centrally and report on effectiveness on a near real-time basis.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-19-1,IG-19,ML-1,Ad Hoc,"The organization has not defined its processes for provisioning, managing, and reviewing privileged accounts.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-19-2,IG-19,ML-2,Defined,"The organization has defined its processes for provisioning, managing, and reviewing privileged accounts. Defined processes cover approval and tracking; inventorying and validating; and logging and reviewing privileged users' accounts.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-19-3,IG-19,ML-3,Consistently Implemented,"The organization ensures that its processes for provisioning, managing, and reviewing privileged accounts are consistently implemented across the organization. The organization limits the functions that can be performed when using privileged accounts; limits the duration that privileged accounts can be logged in; and ensures that privileged user activities are logged and periodically reviewed.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
IGCRIT-19-4,IG-19,ML-4,Managed and Measurable,"The organization employs automated mechanisms (e.g., machine-based, or user-based enforcement) to support the management of privileged accounts, including for the automatic removal/disabling of temporary, emergency, and inactive accounts, as appropriate. Further, the organization is meeting privileged identity and credential management logging requirements at maturity EL2, in accordance with OMB M-21-31.",USA_FISMA_Final_FY_2025_IG_FISMA_Reporting_Metrics_Ver_2_0_April_2025_508_0.txt
