assessor_best_practice_id,guide_metric_id,maturity_level,maturity_level_id,text,source_document
PRAC-011,GUIDE-8,Managed and measurable,ML-4,"Sample select systems and verify that hardware assets are subject to the organization's continuous monitoring processes through an organization-wide hardware asset management capability. Verify that quantifiable metrics are used to manage and measure the implementation of the organization's ISCM processes for the hardware assets sampled. The organization should also ensure that unauthorized assets are removed from the network, quarantined, and the inventory is updated in a timely manner. The organization uses port level access controls to control which hardware devices can authenticate to the network.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-012,GUIDE-8,Optimized,ML-5,"Determine whether the organization uses automated tools for ITAM/hardware asset management and dashboarding (such as ServiceNow, CSAM, Forescout, CounterACT, BigFix, MaaS360, CDM, PowerBI, Splunk, etc.) For sampled systems, determine whether the hardware asset information in the automated tools is accurate, complete, reporting in real time, and integrated (either procedurally or automatically) into the organization’s process to update its enterprise architecture.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-013,GUIDE-9,Defined,ML-2,"Assessors should determine whether the organization's policies and procedures define the requirements and processes for software asset management, including the standard data elements/taxonomy required to be recorded, reported, and maintained. In addition, Assessors should verify that the agency has defined its processes for software license management (including for mobile applications), and ensure these processes include roles and responsibilities. Assessors should also verify that processes are documented which outline how the organization ensures the completeness of the software inventory, including how the organization validates all EO-critical software and mobile applications are included in the software inventory.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-014,GUIDE-9,Consistently Implemented,ML-3,"The agency can reconcile its software asset inventory to the assets live on its network (including EO- critical software and mobile applications). Assessors should verify that unauthorized software is removed and the inventory is updated in a timely manner (CIS Controls V. 8, #2.3). In addition, at level 3, the agency should be able to identify unlicensed software from running on the network and restrict licensed software to authorized users/systems. Also, assessors should review the types of EO-critical software defined by NIST and validate that this software types listed are captured in the approved software inventory and that the organization is following its defined processes to validate the completeness of the software inventory. The software inventory should also include all platforms running EO-critical software. Assessors also may also reconcile the Information System Component Inventories to the software inventory to validate the completeness of the software inventory.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-015,GUIDE-9,Managed and measurable,ML-4,"The agency has deployed application blacklist, whitelist, or cryptographic containerization technology on mobile devices, as appropriate, to ensure that only authorized software executes, and all unauthorized software is blocked from executing. The scope of the organization’s ISCM program include EO-critical software. The organization's allow listing technology ensures that only authorized software libraries may load into a system process.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-016,GUIDE-9,Optimized,ML-5,"Assessors should obtain evidence [ex. network scanning reports designed to identify all instances of software, including EO-critical software and mobile applications, (and their associated licenses) executing on the organization's network(s), and software installation request/project request authorizations] to ensure that the software executing in the organization's network(s) is identified and authorized.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-017,GUIDE-10,Defined,ML-2,"Determine if the organization has established clear, documented procedures for data inventory management. This includes clearly defining data types and metadata requirements, and the data lifecycle stages.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-018,GUIDE-10,Consistently Implemented,ML-3,Assessors should ensure that standardized templates and processes are implemented across the organization to confirm consistency in data inventory practices.,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-019,GUIDE-10,Managed and measurable,ML-4,"Assessors review data inventory to ensure effective monitoring and oversight is implemented. Verify that the organization has mechanisms in place to track changes to data inventories, including additions, modifications, and deletions. Ensure effective management of these inventories requires regular updates and reviews to reflect changes in data assets and associated metadata.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-020,GUIDE-10,Optimized,ML-5,Determine whether the organization uses automated tools to develop and maintain a centralized data inventory that includes a mapping to the hardware and software components using or storing the data from all organizational information systems.,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-021,GUIDE-11,Defined,ML-2,"The organization should demonstrate that it has established the overall context within which the organization functions and includes consideration of cybersecurity factors that affect the ability of an agency to meet its stated mission and objectives and this context should be formally documented in policies, procedures, strategy documents, or similar. These documents should also provide guidance on the form of the risk assessments conducted (including the scope, rigor, and formality of such assessments) and the method of reporting results. Assessors should obtain the organization's risk management policies, procedures, and strategy and ensure that the organization's risk appetite/tolerances are clearly defined and measurable.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-022,GUIDE-11,Consistently Implemented,ML-3,"Assessors should ensure that processes implemented, and results of risk assessments align with the defined organizational risk appetite/tolerances. Assessors should also ensure the organization’s CSRRs clearly summarizes the organizations cyber risks and provide adequate support (e.g., CVSS scores, CSF/CIS Top 18, compensating control evidence, etc.) for risk prioritization and proposed risk mitigation approaches.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-023,GUIDE-11,Managed and measurable,ML-4,"Assessors collect and review the organization-wide risk assessment(s) and ensure that the results of the cyber risk registers and system level risk assessments are represented, and that the defined risk appetites/tolerances are regularly monitored/updated and maintained, and the effectiveness of risk responses are assessed. Assessors should also reconcile the information listed in the organization’s CSRRs to the organization’s RDRs and/or to other sources of risk information, such as incident response documentation, registry of system assets, security assessment reports, penetration test results, Business Impact Assessments (e.g., to identify the organization’s mission essential functions/mission-critical systems), etc. to ensure that the information included in the CSRRs was aggregated, consistent across the documents, and normalized.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-024,GUIDE-11,Optimized,ML-5,"Assessors should obtain artifacts evidencing that the organization utilizes Cybersecurity Framework profiles and enterprise risk profiles to align cybersecurity outcomes with mission or business requirements, and the risk appetite and tolerances of the organization. This includes confirming that the organization is maintaining a current financial valuation of its assets that require protection and/or the mission value of those assets (e.g., impact on mission capability/organizational reputation) and considers those valuations when planning remedial activities. Organizations may maintain this information in a business impact assessment along with risk/loss scenario modeling results which should act as inputs to the CSRR",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-025,GUIDE-12,Defined,ML-2,"Assessors should obtain organizational risk management policies, procedures, and strategies and ensure they define the requirements of an automated solution to provide a centralized, enterprise wide (portfolio) view of cybersecurity risks across the organization, including risk control and remediation activities, dependences, risk scores/levels, and management dashboards.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-026,GUIDE-12,Consistently Implemented,ML-3,Assessors should observe and collect artifacts from the organization’s automated risk management solution(s) to confirm that the organization has implemented the process outlined in its policies and procedures for centrally managing its risk management process.,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-027,GUIDE-12,Managed and measurable,ML-4,"Assessors should collect evidence that demonstrates the organization’s use of automation to perform scenario analysis and model potential responses, including modeling the potential impact of a threat exploiting a vulnerability and the resulting impact to organizational systems and data integrated with the organization’s ERM process.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-028,GUIDE-12,Optimized,ML-5,"Assessors should collect evidence demonstrating that the organization has institutionalized the use of advanced technologies for analysis of trends and performance against benchmarks to continuously improve its cybersecurity risk management program. Organizations may maintain threat risk/loss scenario modeling information in a business impact assessment and the results of this modeling should act as an input to the CSRR. Moreover, organizational automate controls where practicable, and organizational GRC solution(s) leverage OSCAL to facilitate/automate the security control assessments and to document its SSPs and POAMs, where possible.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-029,GUIDE-14,Defined,ML-2,"Assessors should verify that the organization maintains security configuration standards for all asset types, including: - End user devices (workstations, laptops, etc.) - Input and output devices (multifunction devices, printers, scanners, copiers, etc.) - Operating systems and software (CIS Control 5.1) - Network devices (CIS Control 11.1) - Servers and applications, including web applications Assessors should verify that the organization has developed secure images or templates for all systems in the enterprise based on the organization's approved configuration standards (CIS Control 5.1 and 5.2). Assessors should verify that the organization has documented standards for defining (and justifying) acceptable deviations from externally established hardening guides (e.g., STIGs) as well as deviations from internally developed (customized) hardening guides.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-030,GUIDE-14,Consistently Implemented,ML-3,"For a sample of systems, assessors should conduct vulnerability scanning (including at the operating system, network, database, and application levels) to assess the implementation of the agency's configuration settings/baselines. Assessors may observe the tools used by the organization to conduct vulnerability scanning and verify the use of credentialed scans and coverage of devices/applications. Assessors should also analyze tool settings to verify coverage of scanning, rulesets, and schedules. Assessors should validate that application-level scanning is conducted for all public facing websites. Further, the organization should demonstrate that it proactively scans all systems on its network (at an organization defined frequency; preferably weekly) for vulnerabilities and addresses discovered weaknesses (CIS Control 3). The scanning should cover public-facing web applications (see CIGIE Web Application report for additional details). The organization should be using a dedicated account for authenticated scans which should not be used for other administrative activities and should be tied to specific machines at specific IPs (CIS Control 3.3). Furthermore, assessors should verify that the organization is using up-to-date SCAP compliant scanning tools [e.g., Nessus, BigFix, SCAP Compliance Checker, etc.]. In addition, at Consistently Implemented, assessors should verify that vulnerabilities identified through scanning activities, including for public facing web applications, are consistently remediated for sampled systems. Finally, the assessor should ensure that all assets discovered during the BOD 23-01 scans are configured IAW organizational policy and best practices and the organization scans for known code-based and configuration-based vulnerabilities. Managed and Measurable: The organization should use automation, such as system configuration management tools to monitor security configuration compliance for the devices connected to its network and measure/report on the effectiveness of its configuration management processes accordingly. The difference between level 4 and level 5 is that at level 5, the organization is using automation, in near real-time, to redeploy configuration settings as deviations are identified. The intent at level 4 is to verify that the agency has readily available visibility into the security configurations for the devices connected to its network. At level 4, the organization should demonstrate that it utilizes system configuration management tools to measure the settings of operating systems and applications to look for deviations from standard image configurations.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-031,GUIDE-14,Optimized,ML-5,"The organization should deploy automation to verify all security configuration elements, catalog approved exceptions, and alert when unauthorized changes occur (CIS Control 5.5). At level 5, the organization should demonstrate that it uses system configuration management tools to automatically redeploy settings.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-032,GUIDE-15,Defined,ML-2,"Assessors should evaluate the organization’s defined policies and procedures for flaw scanning, analysis, and remediation to ensure they address all network addressable IP-assets (which should match inventories assessed in the risk management domain metrics 1-3). The policies and procedures should also define how the network addressable IP assets are documented (e.g., spreadsheet, form, database, etc.), grouped (e.g., function, location, etc.), prioritized (e.g., high, moderate, low risk assets), and updated (e.g., scanning frequency). The scope of these policies and procedures should include, but not be limited to, applications (COTS and GOTS), servers, workstations, input and output devices, network devices, and mobile devices (GFE and non-GFE in an approved BYOD environment). The policies and procedures should, at minimum define the following processes: asset discovery, vulnerability scanning, results analysis, patch testing, and patch management. Consistently implemented: Assessors should determine if the organization implements its defined flaw scanning, analysis, and remediation policies, procedures, and processes for all network addressable IP-assets. BOD 23-01 focuses on scanning, which is the basis for flaw remediation. An organization cannot effectively remediate flaws if it is not properly analyzing the scans and prioritizing the results. Assessors assess if agencies are reviewing scans to identify patch lag, false positives, associate with high value assets, etc. Areas to assess to ensure consistency with BOD’s 22-01 and 23-01, include validating organizations: - perform asset discovery every 7 days (BOD 23-01) - conduct credentialed vulnerability scanning every 14 days (BOD 23-01) - ensure vulnerability detection signatures are updated at an interval no greater than 24 hours - prioritize known exploited vulnerabilities (KEV), according to the CISA-managed catalog, and remediates 2021 and older KEVs within 6 months (BOD 22-01) and all others within two weeks - ensure that patches, hotfixes, service packs rated as critical vulnerabilities are installed within 15 days (BOD 19-02) or have senior agency approved remediation plans for open findings - ensure that patches, hotfixes, and service packs rated as a high vulnerabilities are installed within 30 days (BOD 19-02), or have senior agency approved remediation plans for open findings - implement malicious code protection (e.g. Anti-virus) mechanisms on all computing assets (to the greatest extent possible) to detect and eradicate malicious code, automatically update malicious code protection mechanisms as new releases are available, perform periodic scans of the system, perform real-time scans of files from external sources, and block malicious code execution (NIST SP 800-53 Rev. 5, SI-3) Assessors, throughout this process, should also confirm that the versions of the EO-critical software leveraged by the organization are currently supported. Managed and Measurable: One of the major advancements in Managed and Measurable is the focus on automation for operating systems patching (automation for all other assets is at the Optimized level). The organization compares the results of multiple vulnerability scans to detect and correct trends of failing to patch in accordance with required timelines. For Managed and Measurable assessors should be ensuring that the organization are detecting problems with its scan and patch processes (800-53r5 control RA-5(6)). Assessors should validate the accuracy, completeness (e.g., all network addressable IP-assets are considered in the organizational analyses), and reproducibility of the patch reporting and trend analysis performed by the organization.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-033,GUIDE-15,Optimized,ML-5,The organization centrally manages its implemented flaw remediation processes and uses automated patch management and software update tools for all network addressable IP-assets. Ensures interoperability among tools used for vulnerability management and configuration management tasks.,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-034,GUIDE-17,Consistently Implemented,ML-3,Test (with a non-privileged user) login without PIV or LOA4 credential and see if access will still be authenticated. Analyze OS- and domain-level configuration settings to determine whether strong authentication is enabled and enforced.,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-035,GUIDE-17,Optimized,ML-5,Select sample systems and test whether AD/PIV-based single sign on is enabled and enforced.,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-036,GUIDE-18,Consistently Implemented,ML-3,Test (with a privileged user) login without PIV or LOA4 credential and see if access will still be authenticated. Analyze OS- and domain-level configuration settings to determine whether strong authentication is enabled and enforced.,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-037,GUIDE-18,Optimized,ML-5,Sample select systems and test whether AD/PIV-based login is enabled and enforced as well as physical access controls.,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-038,GUIDE-19,Consistently Implemented,ML-3,"Review the roles and responsibilities of stakeholders involved in the agency's ICAM activities and identify those that require separation of duties to be enforced (e.g., information system developers and those responsible for configuration management process). Ensure that the principle of separation of duties is enforced for these roles.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-039,GUIDE-21,Consistently Implemented,ML-3,Encryption algorithms used to encrypt data at rest and in transit must be FIPS-validated.,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-040,GUIDE-24,Defined,ML-2,Assessors reviews policies and procedures related to workforce assessments and staffing plans to ensure that the agency has established methods to assess its own security capabilities and needs. Agency models policies and procedures based on NICE Framework.,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-041,GUIDE-24,Consistently Implemented,ML-3,"Assessors reviews evidence showing the Agency has assessed the KSAs of their cybersecurity workforce and the assessment utilizes the NICE Framework. Additionally, Agency integrates newly emerging security threats into security training by assessing effectiveness of NIST 800-53r5 security control AT-2(c) and AT-2(d) “Literacy Training and Awareness.”",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-042,GUIDE-24,Managed and measurable,ML-4,Assessors review evidence showing that workforce assessments have been collected and has been used to inform future strategies. Assessors also examine whether training and talent acquisition utilize workforce assessments to fill gaps.,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-043,GUIDE-24,Optimized,ML-5,"Assessors review evidence to determine whether the Agency can attribute positive security trends to prior workforce training. Examples: tracking the success of phishing exercises and number of user-submitted phishing notifications against phishing and security awareness training, or a positive trend in SOC metrics due to workforce KSA improvement.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-044,GUIDE-26,Defined,ML-2,"Review the organization-wide ISCM strategy and confirm the strategy has defined (1) the frequency at which organizational systems will be assessed, (2) how ongoing assessments will be carried out and at what frequency, and (3) a risk-based approach supporting security control assessment frequency selection.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-045,GUIDE-26,Consistently Implemented,ML-3,"Review evidence (e.g., reports or analysis output from an agency dashboard) that support control assessments occur on an ongoing basis and continuous monitoring (e.g., known vulnerabilities, patches, etc.) at all three levels: organization, business process, and information system. Additionally, obtain and review agency dashboard screenshots (e.g., CDM or agency dashboard and/or SIEM etc.) that support the organization’s visibility over the asset and vulnerabilities. Lastly, review reports or other analysis, including shareholders feedback that is utilized to create lessons learned.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-046,GUIDE-26,Managed and measurable,ML-4,"Ensure the organization has (1) defined qualitative and quantitative performance metrics within its ISCM plan and that they have used them to produce reports and other output for review, (2) evidence (e.g., assessment results) that support control assessments occur on the ongoing basis defined in the systems ISCM strategy, and (3) evidence that authorization decisions are based on the results of ongoing assessments.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-047,GUIDE-26,Optimized,ML-5,"Ensure the outputs of the ISCM process serve as inputs to the agency's risk management, incident response, business continuity, configuration management, and other related programs on a near-real time basis.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-048,GUIDE-27,Defined,ML-2,Review the ISCM plan and ensure the organization has defined roles and responsibilities related to ISCM.,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-049,GUIDE-27,Consistently Implemented,ML-3,"Assessor should review (1) organizational charts and ensure defined roles are filled, and (2) organizations IT security budget to ensure it assesses gaps and vacancies and perform interviews with staff to determine if ISCM is adequately resourced.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-050,GUIDE-27,Managed and measurable,ML-4,Assessor should evaluate whether the organization has defined metrics to assess ISCM performance roles and ensure individuals with roles have been assessed.,USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-051,GUIDE-27,Optimized,ML-5,"Assessor should ensure evidence shows that strategies, policies, procedures, and input from oversight agencies are being implemented and incorporated into ISCM decision making.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-052,GUIDE-28,Defined,ML-2,"Evaluate the agency's ISCM procedures to see whether they include risk determinations and risk acceptance decisions taken at agreed-upon and documented frequencies in accordance with the organization's mission/business requirements and risk tolerance. For moderate and high impact systems, evaluate whether the security-related information provided to the Authorizing Official to support ongoing authorization is produced/analyzed by an independent entity.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-053,GUIDE-28,Optimized,ML-5,"Ensure automated tools are used to the extent practicable to support authorizing officials in making ongoing authorization decisions. In cases where automation is not feasible, manual or procedural security assessments are conducted to cover the gaps.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-054,GUIDE-30,Defined,ML-2,"Assessors should ensure the agency’s logging policies, procedures, and processes prioritizes high value asset (HVA) systems, high impact systems, and the enterprise IT network (including cloud service providers) to meet the requirements of M-21-31. Assessors should evaluate how the agency has made risk-informed decisions about where log collection is most beneficial for improving cybersecurity incident detection and investigation and that this is captured in the organization’s policies, procedures, and processes.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-055,GUIDE-30,Consistently Implemented,ML-3,"Observe technologies and tools supporting incident detection and analysis to verify whether the defined indicators and precursors are being captured and reviewed. As of August 2022, agencies are required to meet the EL1 logging level as directed by M-21-31. Assessors evaluate the implemented logging processes and procedures against the EL1 logging requirements of M-21-31 and CISA implementation guidance. Agencies must collect all Criticality 0 log types to be EL1 compliant. IGs can assess agency actions to implement integrity measures limiting access to and allowing cryptographic verification of logs, as well as logging DNS requests made throughout their environment.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-056,GUIDE-30,Managed and measurable,ML-4,"As of February 2023, agencies are required to meet the EL2 logging level as directed by M-21-31. Evaluate the implemented logging processes and procedures against the EL2 logging requirements of M-21-31 and CISA implementation guidance.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
PRAC-057,GUIDE-30,Optimized,ML-5,"As of August 2023, agencies are required to meet the EL3 logging level as directed by M-21-31. Evaluate the implemented logging processes and procedures against the EL3 logging requirements of M-21-31 and CISA implementation guidance.",USA_FISMA_Final_FY_2025_IG_FISMA_Metrics_Evaluation_Guide_05_May_2025_508.txt
