guidelineprovision_id,guideline_id,schedule_id,label,level,text,act_section_refs,schedule_refs,para_refs,source_document
S2-P4.1-c1,S2-P4.1,SCH-II,(1),num,"The site shall not be in locations that are prone to natural or man- made disasters, like flood, fire, chemical contamination and explosions.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P4.1-c2,S2-P4.1,SCH-II,(2),num,"As per nature of the operations, suitable floor structuring, lighting, power and water damage protection requirements shall be provided.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P4.1-c3,S2-P4.1,SCH-II,(3),num,"Construction shall comply with all applicable building and safety regulations as laid down by the relevant Government agencies. Further, the construction must be tamper-evident.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P4.1-c4,S2-P4.1,SCH-II,(4),num,Materials used for the construction of the operational site shall be fire-resistant and free of toxic chemicals.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P4.1-c5,S2-P4.1,SCH-II,(5),num,External walls shall be constructed of brick or reinforced concrete of sufficient thickness to resist forcible attack. Ground level windows shall be fortified with sturdy mild steel grills or impact-resistant laminated security glass. All internal walls must be from the floor to the ceiling and must be tamper-evident.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P4.1-c6,S2-P4.1,SCH-II,(6),num,"Air-conditioning system, power supply system and uninterrupted power supply unit with proper backup shall be installed depending upon the nature of operation. All ducting holes of the air-conditioning system must be designed so as to prevent intrusion of any kind.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P4.1-c7,S2-P4.1,SCH-II,(7),num,"Automatic fire detection, fire suppression systems and equipment in compliance with requirement specified by the Fire Brigade or any other agencies of the Central or State Government shall be installed at the operational site.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P4.1-c8,S2-P4.1,SCH-II,(8),num,"Media library, electrical and mechanical control rooms shall be housed in separate isolated areas, with access granted only to specific, named individuals on a need basis.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P4.1-c9,S2-P4.1,SCH-II,(9),num,"Any facility that supports mission-critical and sensitive applications must be located and designed for repairability, relocation and reconfiguration. The ability to relocate, reconstitute and reconfigure these applications must be tested as part of the business continuity/ disaster recovery plan.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P4.2-c1,S2-P4.2,SCH-II,(1),num,Combustible materials shall not be stored within hundred meters of the operational site.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P4.2-c2,S2-P4.2,SCH-II,(2),num,"Automatic fire detection, fire suppression systems and audible alarms as prescribed by the Fire Brigade or any other agency of the Central or State Government shall be installed at the operational site.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P4.2-c3,S2-P4.2,SCH-II,(3),num,Fire extinguishers shall be installed at the operational site and their locations clearly marked with appropriate signs.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P4.2-c4,S2-P4.2,SCH-II,(4),num,"Periodic testing, inspection and maintenance of the fire equipment and fire suppression systems shall be carried out.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P4.2-c5,S2-P4.2,SCH-II,(5),num,Procedures for the safe evacuation of personnel in an emergency shall be visibly pasted/displayed at prominent places at the operational site. Periodic training and fire drills shall be conducted.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P4.2-c6,S2-P4.2,SCH-II,(6),num,"There shall be no eating, drinking or smoking in the operational site. The work areas shall be kept clean at all times.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P4.3-c1,S2-P4.3,SCH-II,(1),num,Water detectors shall be installed under the raised floors throughout the operational site and shall be connected to audible alarms.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P4.3-c2,S2-P4.3,SCH-II,(2),num,The temperature and humidity condition in the operational site shall be monitored and controlled periodically.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P4.3-c3,S2-P4.3,SCH-II,(3),num,Personnel at the operational site shall be trained to monitor and control the various equipment and devices installed at the operational site for the purpose of fire and environment protection.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P4.3-c4,S2-P4.3,SCH-II,(4),num,"Periodic inspection, testing and maintenance of the equipment and systems shall be scheduled.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P4.4-c1,S2-P4.4,SCH-II,(1),num,"Responsibilities round the clock, seven days a week, three hundred sixty five days a year for physical security of the systems used for operation and also actual physical layout at the site of operation shall be defined and assigned to named individuals.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P4.4-c2,S2-P4.4,SCH-II,(2),num,Biometric physical access security systems shall be installed to control and audit access to the operational site.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P4.4-c3,S2-P4.4,SCH-II,(3),num,Physical access to the operational site at all times shall be controlled and restricted to authorised personnel only. Personnel authorized for limited physical access shall not be allowed to gain unauthorized access to restricted area within operational site.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P4.4-c4,S2-P4.4,SCH-II,(4),num,Dual control over the inventory and issue of access cards/keys during normal business hours to the Data Centre shall be in place. An up- to-date list of personnel who possess the cards/keys shall be regularly maintained and archived for a period of three years.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P4.4-c5,S2-P4.4,SCH-II,(5),num,Loss of access cards/keys must be immediately reported to the security supervisor of the operational site who shall take appropriate action to prevent unauthorised access.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P4.4-c6,S2-P4.4,SCH-II,(6),num,"All individuals, other than operations staff, shall sign in and sign out of the operational site and shall be accompanied by operations staff.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P4.4-c7,S2-P4.4,SCH-II,(7),num,Emergency exits shall be tested periodically to ensure that the access security systems are operational.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P4.4-c8,S2-P4.4,SCH-II,(8),num,All opening of the Data Centre should be monitored round the clock by surveillance video cameras.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.1-c1,S2-P5.1,SCH-II,(1),num,"Each organization shall designate a properly trained “System Administrator” who will ensure that the protective security measures of the system are functional and who will maintain its security posture. Depending upon the complexity and security needs of a system or application, the System Administrator may have a designated System Security Administrator who will assume security responsibilities and provide physical, logical and procedural safeguards for information.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.1-c2,S2-P5.1,SCH-II,(2),num,Organisations shall ensure that only a properly trained System Security Administrator is assigned the system security responsibilities.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.1-c3,S2-P5.1,SCH-II,(3),num,"The responsibility to create, classify, retrieve, modify, delete or archive information must rest only with the System Administrator.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.1-c4,S2-P5.1,SCH-II,(4),num,Any password used for the system administration and operation of trusted services must not be written down (in paper or electronic form) or shared with any one. A system for password management should be put in place to cover the eventualities such as forgotten password or changeover to another person in case of System Administrator (or System Security Administrator) leaving the organization. Every instance of usage of administrator’s passwords must be documented.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.1-c5,S2-P5.1,SCH-II,(5),num,Periodic review of the access rights of all users must be performed.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.1-c6,S2-P5.1,SCH-II,(6),num,"The System Administrator must promptly disable access to a user’s account if the user is identified as having left the Data Centre, changed assignments, or is no longer requiring system access. Reactivation of the user’s account must be authorized in writing by the System Administrator (Digitally signed e-mail may be acceptable).",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.1-c7,S2-P5.1,SCH-II,(7),num,The System Administrator must take steps to safeguards classified information as prescribed by its owner.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.1-c8,S2-P5.1,SCH-II,(8),num,The System Administrator must authorize privileged access to users only on a need-to-know and need-to-do basis and also only after the authorization is documented.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.1-c9,S2-P5.1,SCH-II,(9),num,"Criteria for the review of audit trails/access logs, reporting of access violations and procedures to ensure timely management action/response shall be established and documented.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.1-c10,S2-P5.1,SCH-II,(10),num,"All security violations must be recorded, investigated, and periodic status reports compiled for review by the management.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.1-c11,S2-P5.1,SCH-II,(11),num,"The System Administrator together with the system support staff, shall conduct a regular analysis of problems reported to and identify any weaknesses in protection of the information.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.1-c12,S2-P5.1,SCH-II,(12),num,"The System Administrator shall ensure that the data, file and Public Key Infrastructure (PKI) servers are not left unmonitored while these systems are powered on.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.1-c13,S2-P5.1,SCH-II,(13),num,The System Administrator should ensure that no generic user is enabled or active on the system.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.2-c1,S2-P5.2,SCH-II,(1),num,Information assets shall be classified and protected according to their sensitivity and criticality to the organization.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.2-c2,S2-P5.2,SCH-II,(2),num,"Procedures in accordance with para 8.3 of these Guidelines must be in place to handle the storage media, which has sensitive and classified information.",,,8.3,KB 2/India/Information Technology Act 2000.pdf
S2-P5.2-c3,S2-P5.2,SCH-II,(3),num,All sensitive information stored in any media shall bear or be assigned an appropriate security classification.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.2-c4,S2-P5.2,SCH-II,(4),num,All sensitive material shall be stamped or labeled accordingly.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.2-c5,S2-P5.2,SCH-II,(5),num,"Storage media (i.e. floppy diskettes, magnetic tapes, portable hard disks, optical disks, etc.) containing sensitive information shall be secured according to their classification.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.2-c6,S2-P5.2,SCH-II,(6),num,"Electronic communication systems, such as router, switches, network device and computers, used for transmission of sensitive information should be equipped or installed with suitable security software and if necessary with an encryptor or encryption software. The appropriate procedure in this regard should be documented.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.2-c7,S2-P5.2,SCH-II,(7),num,"Procedures shall be in place to ensure the secure disposal of sensitive information assets on all corrupted/damaged or affected media both internal (e.g. hard disk/optical disk) and external (e.g. diskette, disk drive, tapes etc.) to the system. Preferably such affected/corrupted/damaged media both internal and external to the system shall be destroyed.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.3-c1,S2-P5.3,SCH-II,(1),num,Highly sensitive information assets shall be stored on secure removable media and should be in an encrypted format to avoid compromise by unauthorized persons.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.3-c2,S2-P5.3,SCH-II,(2),num,Highly sensitive information shall be classified in accordance with para 3.,,,3,KB 2/India/Information Technology Act 2000.pdf
S2-P5.3-c3,S2-P5.3,SCH-II,(3),num,"Sensitive information and data, which are stored on the fixed disk of a computer shared by more than one person, must be protected by access control software (e.g., password). Security packages must be installed which partition or provide authorization to segregated directories/files.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.3-c4,S2-P5.3,SCH-II,(4),num,Removable electronic storage media must be removed from the computer and properly secured at the end of the work session or workday.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.3-c5,S2-P5.3,SCH-II,(5),num,Removable electronic storage media containing sensitive information and data must be clearly labeled and secured.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.3-c6,S2-P5.3,SCH-II,(6),num,Hard disks containing sensitive information and data must be securely erased prior to giving the computer system to another internal or external department or for maintenance.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.4-c1,S2-P5.4,SCH-II,(1),num,Access to the computer systems by other organisations shall be subjected to a similar level of security protection and controls as in these Information Technology security guidelines.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.4-c2,S2-P5.4,SCH-II,(2),num,"In case the Data Centre uses the facilities of external service/facility provider (outsourcer) for any of their operations, the use of external service/facility providers (e.g. outsourcer) shall be evaluated in light of the possible security exposures and risks involved and all such agreements shall be approved by the information asset owner. The external service or facility provider shall also sign non-disclosure agreements with the management of the Data Centre/operational site.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.4-c3,S2-P5.4,SCH-II,(3),num,The external service/facility provider (e.g. outsourcer) shall provide an equivalent level of security controls as required by these Information Technology Security Guidelines.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.5-c1,S2-P5.5,SCH-II,(1),num,"Prevention, detection, and deterrence measures shall be implemented to safeguard the security of computers and computer information from misuse. The measures taken shall be properly documented and reviewed regularly.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.5-c2,S2-P5.5,SCH-II,(2),num,"Each organization shall provide adequate information to all persons, including management, systems developers and programmers, end- users, and third party users warning them against misuse of computers.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.5-c3,S2-P5.5,SCH-II,(3),num,Effective measures to deal expeditiously with breaches of security shall be established within each organisation. Such measures shall include :,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.5-c3-i,S2-P5.5,SCH-II,(3)(i),roman,Prompt reporting of suspected breach;,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.5-c3-ii,S2-P5.5,SCH-II,(3)(ii),roman,Proper investigation and assessment of the nature of suspected breach;,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.5-c3-iii,S2-P5.5,SCH-II,(3)(iii),roman,Secure evidence and preserve integrity of such material as relates to the discovery of any breach;,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.5-c3-iv,S2-P5.5,SCH-II,(3)(iv),roman,Remedial measures.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.5-c4,S2-P5.5,SCH-II,(4),num,All incidents related to breaches shall be reported to the System Administrator or System Security Administrator for appropriate action to prevent future occurrence.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.5-c5,S2-P5.5,SCH-II,(5),num,Procedure shall be set-up to establish the nature of any alleged abuse and determine the subsequent action required to be taken to prevent its future occurrence. Such procedures shall include:,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.5-c5-i,S2-P5.5,SCH-II,(5)(i),roman,"The role of the System Administrator, System Security Administrator and management;",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.5-c5-ii,S2-P5.5,SCH-II,(5)(ii),roman,Procedure for investigation;,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.5-c5-iii,S2-P5.5,SCH-II,(5)(iii),roman,Areas for security review; and,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P5.5-c5-iv,S2-P5.5,SCH-II,(5)(iv),roman,Subsequent follow-up action.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.1-c1,S2-P6.1,SCH-II,(1),num,Security controls shall be installed and maintained on each computer system or computer node to prevent unauthorised users from gaining entry to the information system and to prevent unauthorised access to data.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.1-c2,S2-P6.1,SCH-II,(2),num,Any system software or resource of the computer system should only be accessible after being authenticated by access control system.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.2-c1,S2-P6.2,SCH-II,(1),num,Access control software and system software security features shall be implemented to protect resources. Management approval is required to authorise issuance of user identification (ID) and resource privileges.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.2-c2,S2-P6.2,SCH-II,(2),num,"Access to information system resources like memory, storage devices etc., sensitive utilities and data resources and programme files shall be controlled and restricted based on a ""need-to-use"" basis with proper segregation of duties.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.2-c3,S2-P6.2,SCH-II,(3),num,The access control software or operating system of the computer system shall provide features to restrict access to the system and data resources. The use of common passwords such as “administrator” or “president” or “game” etc. to protect access to the system and data resources represent a security exposure and shall be avoided. All passwords used must be resistant to dictionary attacks.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.2-c4,S2-P6.2,SCH-II,(4),num,"Appropriate approval for the request to access system resources shall be obtained from the System Administrator. Guidelines and procedures governing access authorisations shall be developed, documented and implemented.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.2-c5,S2-P6.2,SCH-II,(5),num,An Access Control System manual documenting the access granted to different level of users shall be prepared to provide guidance to the System Administrator for grant of access.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.2-c6,S2-P6.2,SCH-II,(6),num,Each user shall be assigned a unique user ID. Adequate user education shall be provided to help users in password choice and password protection. Sharing of user IDs shall not be allowed.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.2-c7,S2-P6.2,SCH-II,(7),num,Stored passwords shall be encrypted using internationally proven encryption techniques to prevent unauthorised disclosure and modification.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.2-c8,S2-P6.2,SCH-II,(8),num,Stored passwords shall be protected by access controls from unauthorised disclosure and modification.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.2-c9,S2-P6.2,SCH-II,(9),num,Automatic time-out for terminal inactivity should be implemented.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.2-c10,S2-P6.2,SCH-II,(10),num,Audit trail of security-sensitive access and actions taken shall be logged.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.2-c11,S2-P6.2,SCH-II,(11),num,All forms of audit trail shall be appropriately protected against unauthorised modification or deletion.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.2-c12,S2-P6.2,SCH-II,(12),num,"Where a second level access control is implemented through the application system, password controls similar to those implemented for the computer system shall be in place.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.2-c13,S2-P6.2,SCH-II,(13),num,Activities of all remote users shall be logged and monitored closely.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.2-c14,S2-P6.2,SCH-II,(14),num,"The facility to login as another user from one user’s login shall be denied. However, the system should prohibit direct login as a trusted user (e.g. root in Unix, administrator in Windows NT or Windows 2000). This means that there must be a user account configured for the trusted administrator. The system requires trusted users to change their effective username to gain access to root and to re-authenticate themselves before requesting access to privileged functions.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.2-c15,S2-P6.2,SCH-II,(15),num,The startup and shutdown procedure of the security software must be automated.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.2-c16,S2-P6.2,SCH-II,(16),num,"Sensitive Operating System files, which are more prone to hackers must be protected against all known attacks using proven tools and techniques. That is to say no user will be able to modify them except with the permission of System Administrator.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.3-c1,S2-P6.3,SCH-II,(1),num,Certain minimum quality standards for password shall be enforced. The quality level shall be increased progressively. The following control features shall be implemented for passwords:,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.3-c1-i,S2-P6.3,SCH-II,(1)(i),roman,Minimum of eight characters without leading or trailing blanks;,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.3-c1-ii,S2-P6.3,SCH-II,(1)(ii),roman,Shall be different from the existing password and the two previous ones;,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.3-c1-iii,S2-P6.3,SCH-II,(1)(iii),roman,"Shall be changed at least once every ninety days; for sensitive system, password shall be changed at least once every thirty days; and",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.3-c1-iv,S2-P6.3,SCH-II,(1)(iv),roman,"Shall not be shared, displayed or printed.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.3-c2,S2-P6.3,SCH-II,(2),num,"Password retries shall be limited to a maximum of three attempted logons after which the user ID shall then be revoked; for sensitive systems, the number of password retries should be limited to a maximum of two.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.3-c3,S2-P6.3,SCH-II,(3),num,"Passwords which are easy-to-guess (e.g. user name, birth date, month, standard words etc.) should be avoided.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.3-c4,S2-P6.3,SCH-II,(4),num,Initial or reset passwords must be changed by the user upon first use.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.3-c5,S2-P6.3,SCH-II,(5),num,Passwords shall always be encrypted in storage to prevent unauthorized disclosure.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.3-c6,S2-P6.3,SCH-II,(6),num,All passwords used must be resistant to dictionary attacks and all known password cracking algorithms.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.4-c1,S2-P6.4,SCH-II,(1),num,System privileges shall be granted to users only on a need-to-use basis.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.4-c2,S2-P6.4,SCH-II,(2),num,Login privileges for highly privileged accounts should be available only from Console and terminals situated within Console room.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.4-c3,S2-P6.4,SCH-II,(3),num,An audit trail of activities conducted by highly privileged users shall be maintained for two years and reviewed periodically at least every week by operator who is independent of System Administrator.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.4-c4,S2-P6.4,SCH-II,(4),num,Privileged user shall not be allowed to log in to the computer system from remote terminal. The usage of the computer system by the privilege user shall be allowed during a certain time period.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.4-c5,S2-P6.4,SCH-II,(5),num,Separate user IDs shall be allowed to the user for performing privileged and normal (non-privileged) activities.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.4-c6,S2-P6.4,SCH-II,(6),num,The use of user IDs for emergency use shall be recorded and approved. The passwords shall be reset after use.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.5-c1,S2-P6.5,SCH-II,(1),num,Procedures for user account management shall be established to control access to application systems and data. The procedures shall include the following:,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.5-c1-i,S2-P6.5,SCH-II,(1)(i),roman,Users shall be authorised by the computer system owner to access the computer services.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.5-c1-ii,S2-P6.5,SCH-II,(1)(ii),roman,A written statement of access rights shall be given to all users.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.5-c1-iii,S2-P6.5,SCH-II,(1)(iii),roman,All users shall be required to sign an undertaking to acknowledge that they understand the conditions of access.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.5-c1-iv,S2-P6.5,SCH-II,(1)(iv),roman,"Where access to computer services is administered by service providers, ensure that the service providers do not provide access until the authorization procedures have been completed. This includes the acknowledgement of receipt of the accounts by the users.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.5-c1-v,S2-P6.5,SCH-II,(1)(v),roman,A formal record of all registered users of the computer services shall be maintained.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.5-c1-vi,S2-P6.5,SCH-II,(1)(vi),roman,"Access rights of users who have been transferred, or left the organisation shall be removed immediately.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.5-c1-vii,S2-P6.5,SCH-II,(1)(vii),roman,A periodic check shall be carried out for redundant user accounts and access rights that are no longer required.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.5-c1-viii,S2-P6.5,SCH-II,(1)(viii),roman,Ensure that redundant user accounts are not re-issued to another user.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.5-c2,S2-P6.5,SCH-II,(2),num,User accounts shall be suspended under the following conditions:,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.5-c2-i,S2-P6.5,SCH-II,(2)(i),roman,"when an individual is on extended leave or inactive use of over thirty days. In case of protected computer system, the limit of thirty days may be reduced to fifteen days by the System Administrator.",,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.5-c2-ii,S2-P6.5,SCH-II,(2)(ii),roman,immediately upon the termination of the services of an individual.,,,,KB 2/India/Information Technology Act 2000.pdf
S2-P6.5-c2-iii,S2-P6.5,SCH-II,(2)(iii),roman,"suspended or inactive accounts shall be deleted after a two months period. In case of protected computer systems, the limit of two months may be reduced to one month.",,,,KB 2/India/Information Technology Act 2000.pdf
