glossaryterm_id,schedule_id,term,definition,act_section_refs,source_document
GLOSS-AUDIT,SCH-V,AUDIT,A procedure used to validate that controls are in place and adequate for their purposes. Includes recording and analyzing activities to detect intrusions or abuses into an information system. Inadequacies found by an audit are reported to appropriate management personnel.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-AUDIT-TRAIL,SCH-V,AUDIT TRAIL,"A chronological record of system activities providing documentary evidence of processing that enables management staff to reconstruct, review, and examine the sequence of states and activities surrounding or leading to each event in the path of a transaction from its inception to output of fi9nal results.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-AUTHENTICATED-RECORD,SCH-V,AUTHENTICATED RECORD,"A signed document with appropriate assurances of authentication or a message with a digital signature verified by a relying party. However, for suspension and revocation notification purposes, the digital signature contained in such notification message must have been created by the private key corresponding to the public key contained in the Digital Signature Certificate.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-AUTHENTICATION,SCH-V,AUTHENTICATION,A process used to confirm the identity of a person or to prove the integrity of specific information. Message authentication involves determining its source and verifying that it has not been modified or replaced in transit. (See also VERIFY (a DIGITAL SIGNATURE)),,KB 2/India/Information Technology Act 2000.pdf
GLOSS-AUTHORIZATION,SCH-V,AUTHORIZATION,"The granting of rights, including the ability to access specific information or resources.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-AVAILABILITY,SCH-V,AVAILABILITY,"The extent to which information or processes are reasonably accessible and usable, upon demand, by an authorized entity, allowing authorized access to resources and timely performance of time-critical operations.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-BACKUP,SCH-V,BACKUP,"The process of copying critical information, data and software for the purpose of recovering essential processing back to the time the backup was taken.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-BINDING,SCH-V,BINDING,An affirmation by a Certifying Authority of the relationship between a named entity and its public key.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CERTIFICATE,SCH-V,CERTIFICATE,A Digital Signature Certificate issued by Certifying Authority.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CERTIFICATE-CHAIN,SCH-V,CERTIFICATE CHAIN,An ordered list of certificates containing an end-user subscriber certificate and Certifying Authority certificates (See VALID CERTIFICATE).,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CERTIFICATE-EXPIRATION,SCH-V,CERTIFICATE EXPIRATION,"The time and date specified in the Digital Signature Certificate when the operational period ends, without regard to any earlier suspension or revocation.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CERTIFICATE-EXTENSION,SCH-V,CERTIFICATE EXTENSION,"An extension field to a Digital Signature Certificate which may convey additional information about the public key being certified, the certified subscriber, the Digital Signature Certificate issuer, and/or the certification process. Standard extensions are defined in Amendment 1 to ISO/IEC 9594- 8:1995 (X.509). Custom extensions can also be defined by communities of interest.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CERTIFICATE-ISSUANCE,SCH-V,CERTIFICATE ISSUANCE,The actions performed by a Certifying Authority in creating a Digital Signature Certificate and notifying the Digital Signature Certificate applicant (anticipated to become a subscriber) listed in the Digital Signature Certificate of its contents.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CERTIFICATE-MANAGEMENT-MANAGEMENT-OF-DIGITAL-SIGNATURE-CERTI,SCH-V,CERTIFICATE MANAGEMENT [MANAGEMENT OF DIGITAL SIGNATURE CERTIFICATE],"Certificate management includes, but is not limited to, storage, distribution, dissemination, accounting, publication, compromise, recovery, revocation, suspension and administration of Digital Signature Certificates. A Certifying Authority undertakes Digital Signature Certificate management functions by serving as a registration authority for subscriber Digital Signature Certificates. A Certifying Authority designates issued and accepted Digital Signature Certificates as valid by publication.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CERTIFICATE-POLICY,SCH-V,CERTIFICATE POLICY,"A specialized form of administrative policy tuned to electronic transactions performed during Digital Signature Certificate management. A Certificate Policy addresses all aspects associated with the generation, production, distribution, accounting, compromise recovery and administration of digital certificates. Indirectly, a certificate policy can also govern the transactions conducted using a communications system protected by a certificate-based security system. By controlling critical certificate extensions, such policies and associated enforcement technology can support provision of the security services required by particular applications.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CERTIFICATE-REVOCATION-SEE-REVOKE-A-CERTIFICATE,SCH-V,CERTIFICATE REVOCATION (SEE REVOKE A CERTIFICATE),,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CERTIFICATE-REVOCATION-LIST-CRL,SCH-V,CERTIFICATE REVOCATION LIST (CRL),"A periodically (or exigently) issued list, digitally signed by a Certifying Authority, of identified Digital Signature Certificates that have been suspended or revoked prior to their expiration dates. The list generally indicates the CRL issuer's name, the date of issue, the date of the next scheduled CRL issue, the suspended or revoked Digital Signature Certificates' serial numbers, and the specific times and reasons for suspension and revocation.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CERTIFICATE-SERIAL-NUMBER,SCH-V,CERTIFICATE SERIAL NUMBER,A value that unambiguously identifies a Digital Signature Certificate generated by a Certifying Authority.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CERTIFICATE-SIGNING-REQUEST-CSR,SCH-V,CERTIFICATE SIGNING REQUEST (CSR),A machine-readable form of a Digital Signature Certificate application.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CERTIFICATE-SUSPENSION-SEE-SUSPEND-A-CERTIFICATE,SCH-V,CERTIFICATE SUSPENSION (SEE SUSPEND A CERTIFICATE),,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CERTIFICATION-CERTIFY,SCH-V,CERTIFICATION / CERTIFY,The process of issuing a Digital Signature Certificate by a Certifying Authority.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CERTIFYING-AUTHORITY-CA,SCH-V,CERTIFYING AUTHORITY (CA),"A person who has been granted a licence to issue a Digital Signature Certificate under section 24 of Information Technology Act, 2000.",24,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CERTIFYING-AUTHORITY-SOFTWARE,SCH-V,CERTIFYING AUTHORITY SOFTWARE,The cryptographic software required to manage the keys of end entities.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CERTIFYING-AUTHORITY-SYSTEM,SCH-V,CERTIFYING AUTHORITY SYSTEM,"All the hardware and software system (e.g. Computer, PKI servers, network devices etc.) used by the Certifying Authority for generation, production, issue and management of Digital Signature Certificate.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CERTIFICATION-PRACTICE-STATEMENT-CPS,SCH-V,CERTIFICATION PRACTICE STATEMENT (CPS),A statement issued by a Certifying Authority to specify the practices that the Certifying Authority employs in issuing Digital Signature Certificates.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CERTIFIER-SEE-ISSUING-AUTHORITY,SCH-V,CERTIFIER (See ISSUING AUTHORITY),,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CHALLENGE-PHRASE,SCH-V,CHALLENGE PHRASE,"A set of numbers and/or letters that are chosen by a Digital Signature Certificate applicant, communicated to the Certifying Authority with a Digital Signature Certificate application, and used by the Certifying Authority to authenticate the subscriber for various purposes as required by the Certification Practice Statement. A challenge phrase is also used by a secret share holder to authenticate himself, herself, or itself to a secret share issuer.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CERTIFICATE-CLASS,SCH-V,CERTIFICATE CLASS,A Digital Signature Certificate of a specified level of trust.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CLIENT-APPLICATION,SCH-V,CLIENT APPLICATION,An application that runs on a personal computer or workstation and relies on a server to perform some operation.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-COMMON-KEY,SCH-V,COMMON KEY,"Some systems of cryptographic hardware require arming through a secret-sharing process and require that the last of these shares remain physically attached to the hardware in order for it to stay armed. In this case, “common key” refers to this last share. It is not assumed to be secret as it is not continually in an individual’s possession.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-COMMUNICATION-NETWORK-SYSTEM,SCH-V,COMMUNICATION/NETWORK SYSTEM,"A set of related, remotely connected devices and communications facilities including more than one computer system with the capability to transmit data among them through the communications facilities (covering ISDN, lease lines, dial-up, LAN, WAN, etc.).",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-COMPROMISE,SCH-V,COMPROMISE,"A violation (or suspected violation) of a security policy, in which an unauthorized disclosure of, or loss of control over, sensitive information may have occurred. (Cf., DATA INTEGRITY)",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-COMPUTER,SCH-V,COMPUTER,"Any electronic, magnetic, optical or other high-speed data processing device or system which performs logical, arithmetic, and memory functions by manipulations of electronic, magnetic or optical impulses, and includes all input, output, processing, storage, computer software, or communication facilities which are connected or related to the computer in a computer system or computer network.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-COMPUTER-CENTRE-SEE-DATA-CENTRE,SCH-V,COMPUTER CENTRE (See DATA CENTRE),,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-COMPUTER-DATA-BASE,SCH-V,COMPUTER DATA BASE,"Means a representation of information, knowledge, facts, concepts or instructions in text, image, audio, video that are being prepared or have been prepared in a formalised manner or have been produced by a computer, computer system or computer network and are intended for use in a computer, computer system or computer network.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-COMPUTER-NETWORK,SCH-V,COMPUTER NETWORK,"Interconnection of one or more computers through— (i) the use of satellite, microwave, terrestrial line or other communication media; and (ii) terminals or a complex consisting of two or more interconnected computers whether or not the interconnection is continuously maintained.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-COMPUTER-PERIPHERAL,SCH-V,COMPUTER PERIPHERAL,"Means equipment that works in conjunction with a computer but is not a part of the main computer itself, such as printer, magnetic tape reader, etc.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-COMPUTER-RESOURCE,SCH-V,COMPUTER RESOURCE,"Means computer, computer system, computer network, data, computer database or software.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-COMPUTER-SYSTEM,SCH-V,COMPUTER SYSTEM,"A device or collection of devices, including input and output support devices and excluding calculators which are not programmable and capable of being used in conjunction with external files, which contain computer programmes, electronic instructions, input data and output data, that performs logic, arithmetic, data storage and retrieval, communication control and other functions.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-COMPUTER-VIRUS-SEE-VIRUS,SCH-V,COMPUTER VIRUS (See VIRUS),,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CONFIDENTIALITY,SCH-V,CONFIDENTIALITY,The condition in which sensitive data is kept secret and disclosed only to authorized parties.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CONFIRM,SCH-V,CONFIRM,To ascertain through appropriate inquiry and investigation. (See also AUTHENTICATION; VERIFY,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-A-DIGITAL-SIGNATURE,SCH-V,A DIGITAL SIGNATURE),,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CONFIRMATION-OF-DIGITAL-SIGNATURE-CERTIFICATE-CHAIN,SCH-V,CONFIRMATION OF DIGITAL SIGNATURE CERTIFICATE CHAIN,The process of validating a Digital Signature Certificate chain and subsequently validating an end-user subscriber Digital Signature Certificate.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CONTINGENCY-PLANS,SCH-V,CONTINGENCY PLANS,"The establishment of emergency response, back up operation, and post-disaster recovery processes maintained by an information processing facility or for an information system. Establish the strategy for recovering from unplanned disruption of information processing operations. The strategy includes the identification and priority of what must be done, who performs the required action, and what tools must be used. A document, developed in conjunction with application owners and maintained at the primary and backup computer installation, which describes procedures and identifies the personnel necessary to respond to abnormal situations such as disasters. Contingency plans help managers ensure that computer application owners continue to process (with or without computers) mission-critical applications in the event that computer support is interrupted.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CONTROLS,SCH-V,CONTROLS,Measures taken to ensure the integrity and quality of a process.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CORRESPOND,SCH-V,CORRESPOND,To belong to the same key pair. (See also PUBLIC KEY; PRIVATE KEY),,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CRITICAL-INFORMATION,SCH-V,CRITICAL INFORMATION,Data determined by the data owner as mission critical or essential to business purposes.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CROSS-CERTIFICATE,SCH-V,CROSS-CERTIFICATE,A Certificate used to establish a trust relationship between two Certifying Authorities.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CRYPTOGRAPHIC-ALGORITHM,SCH-V,CRYPTOGRAPHIC ALGORITHM,A clearly specified mathematical process for computation; a set of rules that produce a prescribed result.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CRYPTOGRAPHY-SEE-ALSO-PUBLIC-KEY-CRYPTOGRAPHY,SCH-V,CRYPTOGRAPHY       (See also PUBLIC KEY CRYPTOGRAPHY),"(i) The mathematical science used to secure the confidentiality and authentication of data by replacing it with a transformed version that can be reconverted to reveal the original data only by someone holding the proper cryptographic algorithm and key. (ii) A discipline that embodies the principles, means, and methods for transforming data in order to hide its information content, prevent its undetected modification, and/or prevent its unauthorized uses.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-DAMAGE,SCH-V,DAMAGE,"Means to destroy, alter, delete, add, modify or rearrange any computer resource by any means.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-DATA,SCH-V,DATA,"Means a representation of information, knowledge, facts, concepts or instructions which are being prepared or have been prepared in a formalised manner, and is intended to be processed, is being processed or has been processed in a computer system or computer network, and may be in any form (including computer printouts magnetic or optical storage media, punched cards, punched tapes) or stored internally in the memory of the computer.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-DATA-BASE-SEE-COMPUTER-DATABASE,SCH-V,DATA BASE (See COMPUTER DATABASE),,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-DATA-CENTRE-AS-ALSO-COMPUTER-CENTRE,SCH-V,DATA CENTRE (as also COMPUTER CENTRE),"The facility covering the computer room, media library, network area, server area, programming and administration areas, other storage and support areas used to carry out the computer processing functions. Usually refers to the computer room and media library.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-DATA-CONFIDENTIALITY-SEE-CONFIDENTIALITY,SCH-V,DATA CONFIDENTIALITY (See CONFIDENTIALITY),,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-DATA-INTEGRITY,SCH-V,DATA INTEGRITY,A condition in which data has not been altered or destroyed in an unauthorized manner. (See also THREAT; COMPROMISE),,KB 2/India/Information Technology Act 2000.pdf
GLOSS-DATA-SECURITY,SCH-V,DATA SECURITY,"The practice of protecting data from accidental or malicious modification, destruction, or disclosure.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-DEMO-CERTIFICATE,SCH-V,DEMO CERTIFICATE,A Digital Signature Certificate issued by a Certifying Authority to be used exclusively for demonstration and presentation purposes and not for any secure or confidential communications. Demo Digital Signature Certificates may be used by authorized persons only.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-DIGITAL-CERTIFICATE-APPLICANT,SCH-V,DIGITAL CERTIFICATE APPLICANT,A person that requests the issuance of a public key Digital Signature Certificate by a Certifying Authority. (See also CA APPLICANT; SUBSCRIBER),,KB 2/India/Information Technology Act 2000.pdf
GLOSS-DIGITAL-CERTIFICATE-APPLICATION,SCH-V,DIGITAL CERTIFICATE APPLICATION,A request from a Digital Signature Certificate applicant (or authorized agent) to a Certifying Authority for the issuance of a Digital Signature Certificate. (See also CERTIFICATE APPLICANT;,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-CERTIFICATE-SIGNING-REQUEST,SCH-V,CERTIFICATE SIGNING REQUEST),,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-DIGITAL-SIGNATURE,SCH-V,DIGITAL SIGNATURE,"Means authentication of any electronic record by a subscriber by means of an electronic method or procedure in accordance with the provisions of section 3 of the Information Technology Act, 2000.",3,KB 2/India/Information Technology Act 2000.pdf
GLOSS-DIGITAL-SIGNATURE-CERTIFICATE,SCH-V,DIGITAL SIGNATURE CERTIFICATE,"Means a Digital Signature Certificate issued under sub-section (4) of section 35 of the Information Technology Act, 2000.",35,KB 2/India/Information Technology Act 2000.pdf
GLOSS-DISTINGUISHED-NAME,SCH-V,DISTINGUISHED NAME,"A set of data that identifies a real-world entity, such as a person in a computer-based context.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-DOCUMENT,SCH-V,DOCUMENT,A record consisting of information inscribed on a tangible medium such as paper rather than computer-based information. (See also MESSAGE; RECORD),,KB 2/India/Information Technology Act 2000.pdf
GLOSS-ELECTRONIC-FORM,SCH-V,ELECTRONIC FORM,"With reference to information means any information generated, sent, received or stored in media, magnetic, optical, computer memory, micro-film, computer generated micro fiche or similar device.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-ELECTRONIC-MAIL-E-MAIL,SCH-V,ELECTRONIC MAIL (“E-MAIL”),"Messages sent, received or forwarded in digital form via a computer-based communication mechanism.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-ELECTRONIC-RECORD,SCH-V,ELECTRONIC RECORD,"Means data, record or data generated, image or sound stored, received or sent in an electronic form or microfilm or computer generated micro-fiche.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-ENCRYPTION,SCH-V,ENCRYPTION,The process of transforming plaintext data into an unintelligible form (cipher text) such that the original data either cannot be recovered (one-way encryption) or cannot be recovered without using an inverse decryption process (two-way encryption).,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-EXTENSIONS,SCH-V,EXTENSIONS,Extension fields in X.509 v3 certificates. (See X.509),,KB 2/India/Information Technology Act 2000.pdf
GLOSS-FIREWALL-DOUBLE-FIREWALL,SCH-V,FIREWALL/DOUBLE FIREWALL,One of several types of intelligent devices (such as routers or gateways) used to isolate networks. Firewalls make it difficult for attackers to jump from network to network. A double firewall is two firewalls connected together. Double firewalls are used to minimise risk if one firewall gets compromised or provide address translation functions.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-FILE-TRANSFER-PROTOCOL-FTP,SCH-V,FILE TRANSFER PROTOCOL (FTP),The application protocol that offers file system access from the Internet suite of protocols.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-FUNCTION,SCH-V,FUNCTION,"In relation to a computer, includes logic, control, arithmetical process, deletion, storage and retrieval and communication or telecommunication from or within a computer.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-GATEWAY,SCH-V,GATEWAY,Hardware or software that is used to translate protocols between two or more systems.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-GENERATE-A-KEY-PAIR,SCH-V,GENERATE A KEY PAIR,A trustworthy process of creating private keys during Digital Signature Certificate application whose corresponding public keys are submitted to the applicable Certifying Authority during Digital Signature Certificate application in a manner that demonstrates the applicant’s capacity to use the private key.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-HARD-COPY,SCH-V,HARD COPY,"A copy of computer output that is printed on paper in a visually readable form; e.g. printed reports, listing, and documents.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-HASH-HASH-FUNCTION,SCH-V,HASH (HASH FUNCTION),An algorithm that maps or translates one set of bits into another (generally smaller) set in such a way that : i) A message yields the same result every time the algorithm is executed using the same message as input. ii) ii) It is computationally infeasible for a message to be derived or reconstituted from the result produced by the algorithm. iii) It is computationally infeasible to find two different messages that produce the same hash result using the same algorithm.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-HIGH-SECURITY-ZONE,SCH-V,HIGH-SECURITY ZONE,"An area to which access is controlled through an entry point and limited to authorized, appropriately screened personnel and properly escorted visitors. High-Security Zones should be accessible only from Security Zones, and are separated from Security Zones and Operations Zones by a perimeter. High-Security Zones are monitored 24 hours a day a week by security staff, other personnel or electronic means.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-IDENTIFICATION-IDENTIFY,SCH-V,IDENTIFICATION / IDENTIFY,The process of confirming the identity of a person. Identification is facilitated in public key cryptography by means of certificates.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-IDENTITY,SCH-V,IDENTITY,A unique piece of information that marks or signifies a particular entity within a domain. Such information is only unique within a particular domain.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-INFORMATION,SCH-V,INFORMATION,"Includes data, text, images, sound, voice, codes, computer programmes, software and databases or micro-film or computer generated micro fiche.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-INFORMATION-ASSETS,SCH-V,INFORMATION ASSETS,"Means all information resources utilized in the course of any organisation’s business and includes all information, application software (developed or purchased), and technology (hardware, system software and networks).",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-INTERMEDIARY,SCH-V,INTERMEDIARY,"With respect to any particular electronic message means any person who on behalf of another person receives, stores or transmits that message or provides any service with respect to that message.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-INFORMATION-TECHNOLOGY-SECURITY,SCH-V,INFORMATION TECHNOLOGY SECURITY,"All aspects related to defining, achieving, and maintaining confidentiality, integrity, availability, accountability, authenticity, and reliability.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-INFORMATION-TECHNOLOGY-SECURITY-POLICY,SCH-V,INFORMATION TECHNOLOGY SECURITY POLICY,"Rules, directives and practices that govern how information assets, including sensitive information, are managed, protected and distributed within an organization and its Information Technology systems.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-KEY,SCH-V,KEY,"A sequence of symbols that controls the operation of a cryptographic transformation (e.g. encipherment, decipherment, cryptographic check function computation, signature generation, or signature verification).",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-KEY-GENERATION,SCH-V,KEY GENERATION,The trustworthy process of creating a private key/public key pair.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-KEY-MANAGEMENT,SCH-V,KEY MANAGEMENT,"The administration and use of the generation, registration, certification, deregistration, distribution, installation, storage, archiving, revocation, derivation and destruction of keying material in accordance with a security policy.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-KEY-PAIR,SCH-V,KEY PAIR,"In an asymmetric crypto system, means a private key and its mathematically related public key, which are so related that the public key can verify a digital signature created by the private key.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-LICENCE,SCH-V,LICENCE,Means a licence granted to a Certifying Authority.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-LOCAL-AREA-NETWORK-LAN,SCH-V,LOCAL AREA NETWORK (LAN),A geographically small network of computers and supporting components used by a group or department to share related software and hardware resources.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-LOW-SENSITIVE,SCH-V,LOW-SENSITIVE,"Applies to information that, if compromised, could reasonably be expected to cause injury outside the national interest, for example, disclosure of an exact salary figure.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-MANAGEMENT-OF-DIGITAL-SIGNATURE-CERTIFICATE-SEE-CERTIFICATE-,SCH-V,MANAGEMENT OF DIGITAL SIGNATURE CERTIFICATE [SEE CERTIFICATE MANAGEMENT],,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-MEDIA,SCH-V,MEDIA,The material or configuration on which data is recorded. Examples include magnetic taps and disks.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-MESSAGE,SCH-V,MESSAGE,A digital representation of information; a computer-based record. A subset of RECORD. (See also RECORD),,KB 2/India/Information Technology Act 2000.pdf
GLOSS-NAME,SCH-V,NAME,A set of identifying attributes purported to describe an entity of a certain type.,,KB 2/India/Information Technology Act 2000.pdf
GLOSS-NETWORK,SCH-V,NETWORK,"A set of related, remotely connected devices and communications facilities including more than one computer system with the capability to transmit data among them through the communications facilities.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-NETWORK-ADMINISTRATOR,SCH-V,NETWORK ADMINISTRATOR,"The person at a computer network installation who designs, controls, and manages the use of the computer network.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-NODE,SCH-V,NODE,"In a network, a point at which one or more functional units connect channels or data circuits.",,KB 2/India/Information Technology Act 2000.pdf
GLOSS-NOMINATED-WEBSITE,SCH-V,NOMINATED WEBSITE,"A website designated by the Certifying Authority for display of information such as fee schedule, Certification Practice Statement, Certificate Policy etc.",,KB 2/India/Information Technology Act 2000.pdf
