rule_id,ruleset_id,rule_number,title,chapeau,act_section_refs,rule_refs,schedule_refs,source_document
CRAT-R1,RS-CRAT,1,Short title and commencement,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R2,RS-CRAT,2,Definitions,"In these rules, unless the context otherwise requires.—",29;48;57,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R3,RS-CRAT,3,Procedure for filing applications,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R4,RS-CRAT,4,Presentation and scrutiny of applications,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R5,RS-CRAT,5,Place of filing application,The applicant shall file application with the,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R6,RS-CRAT,6,Application fee,Every application filed with the Registrar shall be,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R7,RS-CRAT,7,Contents of application,,57,3,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R8,RS-CRAT,8,"Paper book, etc. to accompany the application",,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R9,RS-CRAT,9,Plural remedies,An application shall be based upon a single cause of,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R10,RS-CRAT,10,Service of notice of application on the respondents,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R11,RS-CRAT,11,Filing of reply and other documents by the respondent,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R12,RS-CRAT,12,Date and place of hearing to be notified,The Tribunal shall notify to,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R13,RS-CRAT,13,Sittings of the Tribunal,The Tribunal shall ordinarily hold its sittings at,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R14,RS-CRAT,14,Decision on applications,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R15,RS-CRAT,15,Action on application for applicant's default,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R16,RS-CRAT,16,Hearing on application ex-parte,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R17,RS-CRAT,17,Adjournment of application,The Tribunal may on such terms as it,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R18,RS-CRAT,18,Order to be signed and dated,Every order of the Tribunal shall be in,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R19,RS-CRAT,19,Publication of orders,Such of the orders of the Tribunal as are deemed,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R20,RS-CRAT,20,Communication of orders to parties,Every order passed on an,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R21,RS-CRAT,21,No fee for inspection of records,No fee shall be charged for,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R22,RS-CRAT,22,Orders and directions in certain cases,The Tribunal may make such,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R23,RS-CRAT,23,Registration of legal practitioners clerks,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R24,RS-CRAT,24,Working hoursof the Tribunal,"Except on Saturday, Sundays and other",,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R25,RS-CRAT,25,Sitting hours of the Tribunal,The sitting hours of the Tribunal shall,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R26,RS-CRAT,26,Powers and functions of the Registrar,,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R27,RS-CRAT,27,Additional powers and duties of Regstrar,In addition to the powers,,,,KB 2/India/Information Technology Act 2000.pdf
CRAT-R28,RS-CRAT,28,Seal and emblem,The official seal and emblem of the Tribunal shall be such,,,,KB 2/India/Information Technology Act 2000.pdf
