provision_id,rule_id,ruleset_id,label,level,text,act_section_refs,rule_refs,schedule_refs,para_refs,source_document
CA-R17-iii,CA-R17,RS-CA,(iii),roman,"a receiver has, or a receiver and manager have, been appointed by the court in respect of the applicant; or",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R17-iv,CA-R17,RS-CA,(iv),roman,"the applicant or any trusted person has been convicted, whether in India or out of India, of an offence the conviction for which involved a finding that it or such trusted person acted fraudulently or dishonestly, or has been convicted of an offence under the Act or these rules; or",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R17-v,CA-R17,RS-CA,(v),roman,the Controller has invoked performance bond or banker’s guarantee; or,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R17-vi,CA-R17,RS-CA,(vi),roman,"a Certifying Authority commits breach of, or fails to observe and comply with, the procedures and practices as per the Certification Practice Statement; or",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R17-vii,CA-R17,RS-CA,(vii),roman,"a Certifying Authority fails to conduct, or does not submit, the returns of the audit in accordance with rule 31; or",,31,,,KB 2/India/Information Technology Act 2000.pdf
CA-R17-viii,CA-R17,RS-CA,(viii),roman,the audit report recommends that the Certifying Authority is not worthy of continuing Certifying Authority’s operation; or,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R17-ix,CA-R17,RS-CA,(ix),roman,a Certifying Authority fails to comply with the directions of the Controller.,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R19-1,CA-R19,RS-CA,(1),num,"The Certifying Authorities shall have the sole responsibility of integrity, confidentiality and protection of information and information assets employed in its operation, considering classification, declassification, labeling, storage, access and destruction of information assets according to their value, sensitivity and importance of operation.",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R19-2,CA-R19,RS-CA,(2),num,"Information Technology Security Guidelines and Security Guidelines for Certifying Authorities aimed at protecting the integrity, confidentiality and availability of service of Certifying Authority are given in Schedule-II and Schedule-III respectively.",,,II;III,,KB 2/India/Information Technology Act 2000.pdf
CA-R19-3,CA-R19,RS-CA,(3),num,The Certifying Authority shall formulate its Information Technology and Security Policy for operation complying with these guidelines and submit it to the Controller before commencement of operation: Provided that any change made by the Certifying Authority in the Information Technology and Security Policy shall be submitted by it within two weeks to the Controller.,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R20-a,CA-R20,RS-CA,(a),alpha,it has confirmed to the Controller the adoption of Certification Practice Statement;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R20-b,CA-R20,RS-CA,(b),alpha,"it has generated its key pair, namely, private and corresponding public key, and submitted the public key to the Controller;",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R20-c,CA-R20,RS-CA,(c),alpha,"the installed facilities and infrastructure associated with all functions of generation, issue and management of Digital Signature Certificate have been audited by the accredited auditor in accordance with the provisions of rule 31; and",,31,,,KB 2/India/Information Technology Act 2000.pdf
CA-R20-d,CA-R20,RS-CA,(d),alpha,it has submitted the arrangement for cross certification with other licensed Certifying Authorities within India to the Controller.,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R21-a,CA-R21,RS-CA,(a),alpha,give notice to the Controller of its intention to cease acting as a Certifying Authority: Provided that the notice shall be made ninety days before ceasing to act as a Certifying Authority or ninety days before the date of expiry of licence;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R21-b,CA-R21,RS-CA,(b),alpha,"advertise sixty days before the expiry of licence or ceasing to act as Certifying Authority, as the case may be, the intention in such daily newspaper or newspapers and in such manner as the Controller may determine;",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R21-c,CA-R21,RS-CA,(c),alpha,"notify its intention to cease acting as a Certifying Authority to the subscriber and Cross Certifying Authority of each unrevoked or unexpired Digital Signature Certificate issued by it : Provided that the notice shall be given sixty days before ceasing to act as a Certifying Authority or sixty days before the date of expiry of unrevoked or unexpired Digital Signature Certificate, as the case may be;",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R21-d,CA-R21,RS-CA,(d),alpha,"the notice shall be sent to the Controller, affected subscribers and Cross Certifying Authorities by digitally signed e-mail and registered post;",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R21-e,CA-R21,RS-CA,(e),alpha,"revoke all Digital Signature Certificates that remain unrevoked or unexpired at the end of the ninety days notice period, whether or not the subscribers have requested revocation;",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R21-f,CA-R21,RS-CA,(f),alpha,make a reasonable effort to ensure that discontinuing its certification services causes minimal disruption to its subscribers and to persons duly needing to verify digital signatures by reference to the public keys contained in outstanding Digital Signature Certificates;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R21-g,CA-R21,RS-CA,(g),alpha,make reasonable arrangements for preserving the records for a period of seven years;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R21-h,CA-R21,RS-CA,(h),alpha,pay reasonable restitution (not exceeding the cost involved in obtaining the new Digital Signature Certificate) to subscribers for revoking the Digital Signature Certificates before the date of expiry;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R21-i,CA-R21,RS-CA,(i),alpha,"after the date of expiry mentioned in the licence, the Certifying Authority shall destroy the certificate–signing private key and confirm the date and time of destruction of the private key to the Controller.",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R22-a,CA-R22,RS-CA,(a),alpha,"the name of the person/names of the Directors, nature of business, Income-tax Permanent Account Number, web address, if any, office and residential address, location of facilities associated with functions of generation of Digital Signature Certificate, voice and facsimile telephone numbers, electronic mail address(es), administrative contacts and authorized representatives;",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R22-b,CA-R22,RS-CA,(b),alpha,"the public key(s), corresponding to the private key(s) used by the Certifying Authority and recognized foreign Certifying Authority to digitally sign Digital Signature Certificate;",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R22-c,CA-R22,RS-CA,(c),alpha,current and past versions of Certification Practice Statement of Certifying Authority;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R22-d,CA-R22,RS-CA,(d),alpha,time stamps indicating the date and time of -,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R22-d-i,CA-R22,RS-CA,(d)(i),roman,grant of licence;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R22-d-ii,CA-R22,RS-CA,(d)(ii),roman,confirmation of adoption of Certification Practice Statement and its earlier versions by Certifying Authority;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R22-d-iii,CA-R22,RS-CA,(d)(iii),roman,commencement of commercial operations of generation and issue of Digital Signature Certificate by the Certifying Authority;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R22-d-iv,CA-R22,RS-CA,(d)(iv),roman,revocation or suspension of licence of Certifying Authority;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R22-d-v,CA-R22,RS-CA,(d)(v),roman,commencement of operation of Cross Certifying Authority;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R22-d-vi,CA-R22,RS-CA,(d)(vi),roman,issue of recognition of foreign Certifying Authority;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R22-d-vii,CA-R22,RS-CA,(d)(vii),roman,revocation or suspension of recognition of foreign Certifying Authority.,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R23-a,CA-R23,RS-CA,(a),alpha,"the Digital Signature Certificate shall be issued only after a Digital Signature Certificate application in the form provided by the Certifying Authority has been submitted by the subscriber to the Certifying Authority and the same has been approved by it: Provided that the application Form contains, inter alia, the particulars given in the modal Form given in Schedule-IV;",,,IV,,KB 2/India/Information Technology Act 2000.pdf
CA-R23-b,CA-R23,RS-CA,(b),alpha,no interim Digital Signature Certificate shall be issued;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R23-c,CA-R23,RS-CA,(c),alpha,the Digital Signature Certificate shall be generated by the Certifying Authority upon receipt of an authorised and validated request for:-,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R23-c-i,CA-R23,RS-CA,(c)(i),roman,new Digital Signature Certificates;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R23-c-ii,CA-R23,RS-CA,(c)(ii),roman,Digital Signature Certificates renewal;,,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R23-d,CA-R23,RS-CA,(d),alpha,"the Digital Signature Certificate must contain or incorporate, by reference such information, as is sufficient to locate or identify one or more repositories in which revocation or suspension of the Digital Signature Certificate will be listed, if the Digital Signature Certificate is suspended or revoked;",,,,,KB 2/India/Information Technology Act 2000.pdf
CA-R23-e,CA-R23,RS-CA,(e),alpha,the subscriber identity verification method employed for issuance of Digital Signature Certificate shall be specified in the Certification Practice Statement and shall be subject to the approval of the Controller during the application for a licence;,,,,,KB 2/India/Information Technology Act 2000.pdf
