point_of_focus_id,criterion_ref,sequence,name,text,applicability,subgrouping,source_document
POF-CC1.4-POF02,CC1.4,2,Evaluates Competence and Addresses Shortcomings,Evaluates Competence and Addresses Shortcomings — The board of directors and management evaluate competence across the entity and in outsourced service providers in relation to established policies and practices and act as necessary to address shortcomings.,Points of focus specified in the COSO framework:,,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC1.4-POF03,CC1.4,3,"Attracts, Develops, and Retains Individuals","Attracts, Develops, and Retains Individuals — The entity provides the mentoring and training needed to attract, develop, and retain sufficient and competent personnel and outsourced service providers to support the achievement of objectives.",Points of focus specified in the COSO framework:,,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC1.4-POF04,CC1.4,4,Plans and Prepares for Succession,Plans and Prepares for Succession — Senior management and the board of directors develop contingency plans for assignments of responsibility important for internal control.,Points of focus specified in the COSO framework:,,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC1.4-POF05,CC1.4,5,Considers the Background of Individuals,"Considers the Background of Individuals — The entity considers the background of potential and existing personnel, contractors, and vendor employees when determining whether to employ and retain the individuals.",Additional point of focus specifically related to all engagements using the trust services criteria:,,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC1.4-POF06,CC1.4,6,Considers the Technical Competency of Individuals,"Considers the Technical Competency of Individuals — The entity considers the technical competency of potential and existing personnel, contractors, and vendor employees when determining whether to employ and retain the individuals.",Additional point of focus specifically related to all engagements using the trust services criteria:,,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC1.4-POF07,CC1.4,7,Provides Training to Maintain Technical Competencies,"Provides Training to Maintain Technical Competencies — The entity provides training programs, including continuing education and training, to ensure skill sets and technical competency of existing personnel, contractors, and vendor employees are developed and maintained.",Additional point of focus specifically related to all engagements using the trust services criteria:,,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC1.5-POF01,CC1.5,1,"Enforces Accountability Through Structures, Authorities, and Responsibilities","Enforces Accountability Through Structures, Authorities, and Responsibilities — Management and the board of directors establish the mechanisms to communicate and hold individuals accountable for performance of internal control responsibilities across the entity and implement corrective action as necessary.","The following points of focus, specified in the COSO framework, highlight important characteristics relating to this criterion:",,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC1.5-POF02,CC1.5,2,"Establishes Performance Measures, Incentives, and Rewards","Establishes Performance Measures, Incentives, and Rewards — Management and the board of directors establish performance measures, incentives, and other rewards appropriate for responsibilities at all levels of the entity, reflecting appropriate dimensions of performance and expected standards of conduct, and considering the achievement of both short-term and longer-term objectives.","The following points of focus, specified in the COSO framework, highlight important characteristics relating to this criterion:",,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC1.5-POF03,CC1.5,3,"Evaluates Performance Measures, Incentives, and Rewards for Ongoing Relevance","Evaluates Performance Measures, Incentives, and Rewards for Ongoing Relevance — Management and the board of directors align incentives and rewards with the fulfillment of internal control responsibilities in the achievement of objectives.","The following points of focus, specified in the COSO framework, highlight important characteristics relating to this criterion:",,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC1.5-POF04,CC1.5,4,Considers Excessive Pressures,"Considers Excessive Pressures — Management and the board of directors evaluate and adjust pressures associated with the achievement of objectives as they assign responsibilities, develop performance measures, and evaluate performance.","The following points of focus, specified in the COSO framework, highlight important characteristics relating to this criterion:",,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC1.5-POF05,CC1.5,5,Evaluates Performance and Rewards or Disciplines Individuals,"Evaluates Performance and Rewards or Disciplines Individuals — Management and the board of directors evaluate performance of internal control responsibilities, including adherence to standards of conduct and expected levels of competence, and provide rewards or exercise disciplinary action, as appropriate.","The following points of focus, specified in the COSO framework, highlight important characteristics relating to this criterion:",,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC2.1-POF01,CC2.1,1,Identifies Information Requirements,Identifies Information Requirements — A process is in place to identify the information required and expected to support the functioning of the other components of internal control and the achievement of the entity’s objectives.,"The following points of focus, specified in the COSO framework, highlight important characteristics relating to this criterion:",,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC2.1-POF02,CC2.1,2,Captures Internal and External Sources of Data,Captures Internal and External Sources of Data — Information systems capture internal and external sources of data.,"The following points of focus, specified in the COSO framework, highlight important characteristics relating to this criterion:",,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC2.1-POF03,CC2.1,3,Processes Relevant Data Into Information,Processes Relevant Data Into Information — Information systems process and transform relevant data into information.,"The following points of focus, specified in the COSO framework, highlight important characteristics relating to this criterion:",,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC2.1-POF04,CC2.1,4,Maintains Quality Throughout Processing,"Maintains Quality Throughout Processing — Information systems produce information that is timely, current, accurate, complete, accessible, protected, verifiable, and retained. Information is reviewed to assess its relevance in supporting the internal control components.","The following points of focus, specified in the COSO framework, highlight important characteristics relating to this criterion:",,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC2.2-POF01,CC2.2,1,Communicates Internal Control Information,Communicates Internal Control Information — A process is in place to communicate required information to enable all personnel to understand and carry out their internal control responsibilities.,Points of focus specified in the COSO framework:,,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC2.2-POF02,CC2.2,2,Communicates With the Board of Directors,Communicates With the Board of Directors — Communication exists between management and the board of directors so that both have information needed to fulfill their roles with respect to the entity’s objectives.,Points of focus specified in the COSO framework:,,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC2.2-POF03,CC2.2,3,Provides Separate Communication Lines,"Provides Separate Communication Lines — Separate communication channels, such as whistle-blower hotlines, are in place and serve as fail-safe mechanisms to enable anonymous or confidential communication when normal channels are inoperative or ineffective.",Points of focus specified in the COSO framework:,,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC2.2-POF04,CC2.2,4,Selects Relevant Method of Communication,"Selects Relevant Method of Communication — The method of communication considers the timing, audience, and nature of the information.",Points of focus specified in the COSO framework:,,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC2.2-POF05,CC2.2,5,Communicates Responsibilities,"Communicates Responsibilities — Entity personnel with responsibility for designing, developing, implementing, operating, maintaining, or monitoring system controls receive communications about their responsibilities, including changes in their responsibilities, and have the information necessary to carry out those responsibilities.",Additional points of focus specifically related to all engagements using the trust services criteria:,,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC2.2-POF06,CC2.2,6,"Communicates Information on Reporting Failures, Incidents, Concerns, and Other Matters","Communicates Information on Reporting Failures, Incidents, Concerns, and Other Matters — Entity personnel are provided with information on how to report systems failures, incidents, concerns, and other complaints to personnel.",Additional points of focus specifically related to all engagements using the trust services criteria:,,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC2.2-POF07,CC2.2,7,Communicates Objectives and Changes to Objectives,Communicates Objectives and Changes to Objectives — The entity communicates its objectives and changes to those objectives to personnel in a timely manner.,Additional points of focus specifically related to all engagements using the trust services criteria:,,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC2.2-POF08,CC2.2,8,Communicates Information to Improve Security Knowledge and Awareness,Communicates Information to Improve Security Knowledge and Awareness — The entity communicates information to improve security knowledge and awareness and to model appropriate security behaviors to personnel through a security awareness training program.,Additional points of focus specifically related to all engagements using the trust services criteria:,,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC2.2-POF09,CC2.2,9,Communicates Information About System Operation and Boundaries,Communicates Information About System Operation and Boundaries — The entity prepares and communicates information about the design and operation of the system and its boundaries to authorized personnel to enable them to understand their role in the system and the results of system operation.,Additional points of focus that apply only when an engagement using the trust services criteria is performed at the system level:,,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC2.2-POF10,CC2.2,10,Communicates System Objectives,Communicates System Objectives — The entity communicates its objectives to personnel to enable them to carry out their responsibilities.,Additional points of focus that apply only when an engagement using the trust services criteria is performed at the system level:,,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC2.2-POF11,CC2.2,11,Communicates System Changes,Communicates System Changes — System changes that affect responsibilities or the achievement of the entity's objectives are communicated in a timely manner.,Additional points of focus that apply only when an engagement using the trust services criteria is performed at the system level:,,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC2.3-POF01,CC2.3,1,Communicates to External Parties,"Communicates to External Parties — Processes are in place to communicate relevant and timely information to external parties, including shareholders, partners, owners, regulators, customers, financial analysts, and other external parties.",Points of focus specified in the COSO framework:,,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC2.3-POF02,CC2.3,2,Enables Inbound Communications,"Enables Inbound Communications — Open communication channels allow input from customers, consumers, suppliers, external auditors, regulators, financial analysts, and others, providing management and the board of directors with relevant information.",Points of focus specified in the COSO framework:,,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC2.3-POF03,CC2.3,3,Communicates With the Board of Directors,Communicates With the Board of Directors — Relevant information resulting from assessments conducted by external parties is communicated to the board of directors.,Points of focus specified in the COSO framework:,,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC2.3-POF04,CC2.3,4,Provides Separate Communication Lines,"Provides Separate Communication Lines — Separate communication channels, such as whistle-blower hotlines, are in place and serve as fail-safe mechanisms to enable anonymous or confidential communication when normal channels are inoperative or ineffective.",Points of focus specified in the COSO framework:,,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC2.3-POF05,CC2.3,5,Selects Relevant Method of Communication,"Selects Relevant Method of Communication — The method of communication considers the timing, audience, and nature of the communication and legal, regulatory, and fiduciary requirements and expectations.",Points of focus specified in the COSO framework:,,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC2.3-POF06,CC2.3,6,Communicates Objectives Related to Confidentiality and Changes to Objectives,"Communicates Objectives Related to Confidentiality and Changes to Objectives — The entity communicates, to external users, vendors, business partners, and others whose products and services are part of the system, objectives and changes to objectives related to confidentiality.",Additional point of focus that applies only to an engagement using the trust services criteria for confidentiality:,,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC2.3-POF07,CC2.3,7,Communicates Objectives Related to Privacy and Changes to Objectives,"Communicates Objectives Related to Privacy and Changes to Objectives — The entity communicates, to external users, vendors, business partners, and others whose products and services are part of the system, objectives related to privacy and changes to those objectives.",Additional point of focus that applies only to an engagement using the trust services criteria for privacy:,,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC2.3-POF08,CC2.3,8,Communicates Information About System Operation and Boundaries,Communicates Information About System Operation and Boundaries — The entity prepares and communicates information about the design and operation of the system and its boundaries to authorized external users to permit users to understand their role in the system and the results of system operation.,Additional points of focus that apply only when an engagement using the trust services criteria is performed at the system level:,,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC2.3-POF09,CC2.3,9,Communicates System Objectives,Communicates System Objectives — The entity communicates its system objectives to appropriate external users.,Additional points of focus that apply only when an engagement using the trust services criteria is performed at the system level:,,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC2.3-POF10,CC2.3,10,Communicates System Responsibilities,"Communicates System Responsibilities — External users with responsibility for designing, developing, implementing, operating, maintaining, and monitoring system controls receive communications about their responsibilities and have the information necessary to carry out those responsibilities.",Additional points of focus that apply only when an engagement using the trust services criteria is performed at the system level:,,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC2.3-POF11,CC2.3,11,"Communicates Information on Reporting System Failures, Incidents, Concerns, and Other Matters","Communicates Information on Reporting System Failures, Incidents, Concerns, and Other Matters — External users are provided with information on how to report systems failures, incidents, concerns, and other complaints to appropriate personnel.",Additional points of focus that apply only when an engagement using the trust services criteria is performed at the system level:,,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC3.1-POF01,CC3.1,1,Reflects Management's Choices,"Reflects Management's Choices — Operations objectives reflect management's choices about structure, industry considerations, and performance of the entity.",Points of focus specified in the COSO framework:,Operations Objectives,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC3.1-POF02,CC3.1,2,Considers Tolerances for Risk,Considers Tolerances for Risk — Management considers the acceptable levels of variation relative to the achievement of operations objectives.,Points of focus specified in the COSO framework:,Operations Objectives,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC3.1-POF03,CC3.1,3,Includes Operations and Financial Performance Goals,Includes Operations and Financial Performance Goals — The organization reflects the desired level of operations and financial performance for the entity within operations objectives.,Points of focus specified in the COSO framework:,Operations Objectives,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC3.1-POF04,CC3.1,4,Forms a Basis for Committing of Resources,Forms a Basis for Committing of Resources — Management uses operations objectives as a basis for allocating resources needed to attain desired operations and financial performance.,Points of focus specified in the COSO framework:,Operations Objectives,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC3.1-POF05,CC3.1,5,Complies With Applicable Accounting Standards,Complies With Applicable Accounting Standards — Financial reporting objectives are consistent with accounting principles suitable and available for that entity. The accounting principles selected are appropriate in the circumstances.,Points of focus specified in the COSO framework:,External Financial Reporting Objectives,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC3.1-POF06,CC3.1,6,Considers Materiality,Considers Materiality — Management considers materiality in financial statement presentation.,Points of focus specified in the COSO framework:,External Financial Reporting Objectives,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC3.1-POF07,CC3.1,7,Reflects Entity Activities,Reflects Entity Activities — External reporting reflects the underlying transactions and events to show qualitative characteristics and assertions.,Points of focus specified in the COSO framework:,External Financial Reporting Objectives,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC3.1-POF08,CC3.1,8,Complies With Externally Established Frameworks,Complies With Externally Established Frameworks — Management establishes objectives consistent with laws and regulations or standards and frameworks of recognized external organizations.,Points of focus specified in the COSO framework:,External Nonfinancial Reporting Objectives,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC3.1-POF09,CC3.1,9,Considers the Required Level of Precision,Considers the Required Level of Precision — Management reflects the required level of precision and accuracy suitable for user needs and based on criteria established by third parties in nonfinancial reporting.,Points of focus specified in the COSO framework:,External Nonfinancial Reporting Objectives,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC3.1-POF10,CC3.1,10,Reflects Entity Activities,Reflects Entity Activities — External reporting reflects the underlying transactions and events within a range of acceptable limits.,Points of focus specified in the COSO framework:,External Nonfinancial Reporting Objectives,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC3.1-POF11,CC3.1,11,Reflects Management's Choices,Reflects Management's Choices — Internal reporting provides management with accurate and complete information regarding management's choices and information needed in managing the entity.,Points of focus specified in the COSO framework:,Internal Reporting Objectives,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC3.1-POF12,CC3.1,12,Considers the Required Level of Precision,Considers the Required Level of Precision — Management reflects the required level of precision and accuracy suitable for user needs in nonfinancial reporting objectives and materiality within financial reporting objectives.,Points of focus specified in the COSO framework:,Internal Reporting Objectives,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
POF-CC3.1-POF13,CC3.1,13,Reflects Entity Activities,Reflects Entity Activities — Internal reporting reflects the underlying transactions and events within a range of acceptable limits.,Points of focus specified in the COSO framework:,Internal Reporting Objectives,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
