paragraph_id,number,heading,text,source_document
PARA-11,.11,Application and Use of the Trust Services Criteria,"The trust services criteria were designed to provide flexibility in application and use for a variety of different subject matters. The following are the types of subject matters a practitioner may be engaged to report on using the trust services criteria: • The effectiveness of controls within an entity’s cybersecurity risk management program to achieve the entity’s cybersecurity objectives using the trust services criteria relevant to security, availability, and confidentiality as control criteria in a SOC for Cybersecurity examination. fn 4 • The suitability of design and operating effectiveness of controls included in management’s description of a service organization's system relevant to one or more of the trust services criteria over security, availability, processing integrity, confidentiality, or privacy throughout a specified period to achieve the entity’s objectives based on those criteria in a type 2 SOC 2 engagement. A type 2 SOC 2 engagement, which includes an opinion on the operating effectiveness of controls, also includes a detailed description of tests of controls performed by the service auditor and the results of those tests. A type 1 SOC 2 engagement addresses the same subject matter as a type 2 SOC 2 engagement; however, a type 1 SOC 2 report does not contain an opinion on the operating effectiveness of controls nor a detailed description of tests of controls performed by the service auditor and the results of those tests. fn 5 • The design and operating effectiveness of a service organization’s controls over a system relevant to one or more of the trust services criteria over security, availability, processing integrity, confidentiality, and privacy in a SOC 3 engagement. A SOC 3 report contains an opinion on the operating effectiveness of controls but does not include a detailed description of tests of controls performed by the service auditor and the results of those tests. AICPA Guide Reporting on an Entity’s Cybersecurity Risk Management Program and Controls (the cybersecurity guide) provides practitioners with performance and reporting guidance for a SOC for Cybersecurity examination. AICPA Guide SOC 2® Reporting on Controls at a Service Organization: Relevant to Security, Availability, Processing Integrity, Confidentiality, or Privacy, issued in 2018, contains performance and reporting guidance for SOC 2 examinations. • The suitability of design and operating effectiveness of controls of an entity, other than a service organization, over one or more systems relevant to one or more of the trust services categories of security, availability, processing integrity, confidentiality, or privacy (for example, a SOC for Supply Chain examination). • The suitability of the design of an entity’s controls over security, availability, processing integrity, confidentiality, or privacy to achieve the entity’s objectives based on the related trust services criteria. fn 6","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
PARA-12,.12,Application and Use of the Trust Services Criteria,"Practitioners generally do not use the trust services criteria when engaged to report on an entity’s compliance, or on an entity’s internal control over compliance with laws, regulations, rules, contracts, or grant agreements. If the practitioner is engaged to report on compliance with laws, regulations, rules, contracts, or grant agreements in connection with an examination of the design and operating effectiveness of an entity’s controls (for example, in a privacy engagement performed in accordance with AT-C section 105 and AT- Csection 205, Examination Engagements), the compliance portion of the engagement would be performed in accordance with AT-C section 105 and AT-C section 315, Compliance Attestation.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
PARA-13,.13,Application and Use of the Trust Services Criteria,"Many of the trust services criteria include the phrase to meet the entity’s objectives. Because the trust services criteria may be used to evaluate controls relevant to a variety of different subject matters (see paragraph .11) in a variety of different types of engagements (see paragraphs .20–.23), interpretation of that phrase depends upon the specific circumstances of the engagement. Therefore, when using the trust services criteria, consideration is given to how the entity’s objectives referred to in the criteria are affected by the subject matter and scope of the particular engagement.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
PARA-14,.14,Application and Use of the Trust Services Criteria,"For example, consider the following engagements: • In a SOC 2 engagement to examine and report on a service organization’s controls over the security, availability, processing integrity, confidentiality, or privacy of a system, management is responsible for meeting its commitments to customers. Therefore, the objectives in a SOC 2 engagement relate to meeting its commitments to customers and system requirements. Commitments are the declarations made by management to customers regarding the performance of one or more of the entity’s systems. Such commitments generally are included in written contracts, service level agreements, or public statements (for example, a privacy notice). Some commitments are applicable to all customers (baseline commitments), whereas others are designed to meet individual customer needs and result in the implementation of processes or controls, in addition to those required to meet the baseline commitments. System requirements refer to how the system should function to achieve the entity’s commitments to customers, relevant laws and regulations, or guidelines of industry groups, such as trade or business associations. AT-C section 9205, Examination Engagements: Attestation Interpretations of Section 205, addresses an engagement such as this in Interpretation No. 2, “Reporting on the Design of Internal Control” (AT-C sec. 9205 par. .04–.14). That document states that a practitioner may examine the suitability of the design of controls under AT-C section 205, Examination Engagements. Paragraph .10 of AT-C section 205 provides guidance on how a practitioner should report when the engagement is over controls that have not yet been implemented. • In a SOC for Supply Chain engagement to examine and report on an entity’s controls over the security, availability, processing integrity, confidentiality, or privacy of a system used to produce, manufacture, or distribute products, management is responsible for establishing principal system objectives. Such objectives are embodied in the product commitments the entity makes to customers, including producing or manufacturing a product that meets product performance specifications and other production, manufacturing, or distribution specifications. Commitments may also relate to other matters (for example, conforming with a variety of other standards and criteria such as the risk entity management framework issued by the National Institute of Standards and Technology, the cybersecurity standards issued by the International Organization for Standardization [ISO], or the Food and Drug Administration regulations on electronic records and electronic signatures included in Code of Federal Regulations, Electronic Records; Electronic Signatures, Title 21, Part 11). • In an entity-wide SOC for Cybersecurity examination, the entity establishes cybersecurity objectives. Cybersecurity objectives are those that could be affected by cybersecurity risk and, therefore, affect the achievement of the entity’s compliance, reporting, and operational objectives. The nature of an entity’s cybersecurity objectives will vary depending on the environment in which the entity operates, the entity’s mission and vision, the overall business objectives established by management, and other factors. For example, a telecommunication entity may have a cybersecurity objective related to the reliable functioning of those aspects of its operations that are deemed to be critical infrastructure, whereas an online dating entity is likely to regard the privacy of the personal information collected from customers to be a critical factor in achieving its operating objectives. fn 7","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
PARA-15,.15,Application and Use of the Trust Services Criteria,"As an example of how the different subject matters and engagement scopes affect the use of the trust services criteria, consider trust services criterion CC6.4: The entity restricts physical access to facilities and protected information assets (for example, data center facilities, backup media storage, and other sensitive locations) to authorized personnel to meet the entity’s objectives.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
PARA-16,.16,Application and Use of the Trust Services Criteria,"In the SOC 2 engagement example discussed in paragraph .14, the phrase to meet the entity’s objectives in CC6.4 usually would be interpreted as follows: The entity restricts physical access to facilities and protected information assets (for example, data center facilities, backup media storage, and other sensitive locations) to authorized personnel to meet the service organization’s commitments and system requirements.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
PARA-17,.17,Application and Use of the Trust Services Criteria,"In addition, criterion CC6.4 would only be applied as it relates to controls over the trust services category(ies) relevant to the system(s) included within the scope of the SOC 2 engagement. The practitioner’s responsibility is similar to that in AT-C section 320, Reporting on an Examination of Controls at a Service Organization Relevant to User Entities’ Internal Control Over Financial Reporting, which requires the service auditor in a SOC 1® engagement to determine whether the control objectives stated in management’s description of the service organization’s system are reasonable in the circumstances.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
PARA-18,.18,Application and Use of the Trust Services Criteria,"In the SOC for Cybersecurity examination example in paragraph .14, the phrase to meet the entity’s objectives in CC6.4 usually would be interpreted as follows: The entity restricts physical access to facilities and protected information assets (for example, data center facilities, backup media storage, and other sensitive locations) to authorized personnel to meet the entity’s cybersecurity objectives.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
PARA-19,.19,Application and Use of the Trust Services Criteria,"In addition, criterion CC6.4 would be applied as it relates to controls within the cybersecurity risk management program (a) across an entire entity; (b) at a subsidiary, division, or operating unit level; (c) within a function relevant to the entity’s operations, reporting, or compliance objectives; or (d) for a particular type of information used by the entity, depending on the scope of the SOC for Cybersecurity examination.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
PARA-20,.20,Attestation Engagements,"Examination engagements and engagements to apply agreed-upon procedures performed in accordance with the AICPA Statements on Standards for Attestation Engagements fn 8 (SSAEs or attestation standards) may use the trust services criteria as the evaluation criteria. The attestation standards provide guidance on performing and reporting in connection with an examination, review, fn 9 and agreed-upon procedures engagements. Under the attestation standards, the CPA performing an attestation engagement is known as a practitioner. In an examination engagement, the practitioner provides a report in which he or she expresses an opinion on subject matter or an assertion about the subject matter in relation to an identified set of criteria. In an agreed-upon procedures engagement, the practitioner does not express an opinion but, rather, performs procedures agreed upon by the specified parties and reports the results of those procedures. Examination engagements are performed in accordance with AT-C sections 105 and 205; agreed-upon procedures engagements are performed in accordance with AT-C section 105 and AT-C section 215, Agreed-Upon Procedures Engagements.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
PARA-21,.21,Attestation Engagements,"According to the attestation standards, the criteria used in an attestation engagement should be suitable and available to report users. Attributes of suitable criteria are as follows: fn 10 Statement on Standards for Attestation Engagements No. 18, Attestation Standards: Clarification and Recodification, is effective for practitioners’ reports dated on or after May 1, 2017. Paragraph .07 of AT-C section 305, Prospective Financial Information, prohibits a practitioner from performing a review of internal control; therefore, practitioners may not perform a review engagement in accordance with the attestation standards using the trust services criteria. Paragraph .25b of AT-C section 105, Concepts Common to All Attestation Engagements. • Relevance. Criteria are relevant to the subject matter. • Objectivity. Criteria are free from bias. • Measurability. Criteria permit reasonably consistent measurements, qualitative or quantitative, of subject matter. • Completeness. Criteria are complete when subject matter prepared in accordance with them does not omit relevant factors that could reasonably be expected to affect decisions of the intended users made on the basis of that subject matter.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
PARA-22,.22,Attestation Engagements,"In addition to being suitable, AT-C section 105 indicates that the criteria used in an attestation engagement must be available to users. The publication of the trust services criteria makes the criteria available to report users. Accordingly, ASEC has concluded that the trust services criteria are suitable criteria in accordance with the attestation standards.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
PARA-23,.23,Consulting Engagements,"Sometimes, the trust services criteria may be used in engagements that involve the performance of readiness services, in which a practitioner may assist management with the implementation of one or more new information systems within an organization. fn 11 Such engagements typically are performed under the consulting standards. In a consulting engagement, the practitioner develops findings and makes recommendations for the consideration and use of management; the practitioner does not form a conclusion about or express an opinion on the subject matter of the engagement. Generally, consulting services are performed only for the use and benefit of the client. Practitioners providing such services follow CS section 100, Consulting Services: Definitions and Standards. fn 12","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
PARA-24,.24,Trust Services Criteria,"The following table presents the trust services criteria and the related points of focus. In the table, criteria and related points of focus that come directly from the COSO framework are presented using a normal font. In contrast, supplemental criteria and points of focus that apply to engagements using the trust services criteria are presented in italics. Finally, criteria and points of focus that apply only when engagements using the trust services criteria are performed at a system level are presented in bold italics. When a practitioner provides information systems design, implementation, or integration services to an attest client, threats to the practitioner’s independence may exist. The ""Information Systems Design, Implementation, or Integration"" interpretation (ET sec. 1.295.145) of the AICPA Code of Professional Conduct, provides guidance to practitioners on evaluating the effect of such threats to their independence. All ET sections can be found in AICPA Professional Standards. All CS sections can be found in AICPA Professional Standards.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
