criterion_id,ref,series,coso_principle,text,source_document
CRIT-CC4.2,CC4.2,CC4,COSO Principle 17,"The entity evaluates and communicates internal control deficiencies in a timely manner to those parties responsible for taking corrective action, including senior management and the board of directors, as appropriate.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-CC5.1,CC5.1,CC5,COSO Principle 10,The entity selects and develops control activities that contribute to the mitigation of risks to the achievement of objectives to acceptable levels.,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-CC5.2,CC5.2,CC5,COSO Principle 11,The entity also selects and develops general control activities over technology to support the achievement of objectives.,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-CC5.3,CC5.3,CC5,COSO Principle 12,The entity deploys control activities through policies that establish what is expected and in procedures that put policies into action.,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-CC6.1,CC6.1,CC6,,"The entity implements logical access security software, infrastructure, and architectures over protected information assets to protect them from security events to meet the entity's objectives.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-CC6.2,CC6.2,CC6,,"Prior to issuing system credentials and granting system access, the entity registers and authorizes","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-CC6.3,CC6.3,CC6,,"The entity authorizes, modifies, or removes access to data, software, functions, and other protected information assets based on roles, responsibilities, or the system design and changes, giving consideration to the concepts of least privilege and segregation of duties, to meet the entity’s objectives.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-CC6.4,CC6.4,CC6,,"The entity restricts physical access to facilities and protected information assets (for example, data center facilities, backup media storage, and other sensitive locations) to authorized personnel to meet the entity’s objectives.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-CC6.5,CC6.5,CC6,,The entity discontinues logical and physical protections over physical assets only after the ability to read or recover data and software from those assets has been diminished and is no longer required to meet the entity’s objectives.,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-CC6.6,CC6.6,CC6,,The entity implements logical access security measures to protect against threats from sources outside its system boundaries.,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-CC6.7,CC6.7,CC6,,"The entity restricts the transmission, movement, and removal of information to authorized internal and external users and processes, and protects it during transmission, movement, or removal to meet the entity’s objectives.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-CC6.8,CC6.8,CC6,,The entity implements controls to prevent or detect and act upon the introduction of unauthorized or malicious software to meet the entity’s objectives.,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-CC7.1,CC7.1,CC7,,"To meet its objectives, the entity uses detection and monitoring procedures to identify (1) changes to configurations that result in the introduction of new vulnerabilities, and (2) susceptibilities to newly discovered vulnerabilities.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-CC7.2,CC7.2,CC7,,"The entity monitors system components and the operation of those components for anomalies that are indicative of malicious acts, natural disasters, and errors affecting the entity's ability to meet its objectives; anomalies are analyzed to determine whether they represent security events.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-CC7.3,CC7.3,CC7,,"The entity evaluates security events to determine whether they could or have resulted in a failure of the entity to meet its objectives (security incidents) and, if so, takes actions to prevent or address such failures.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-CC7.4,CC7.4,CC7,,"The entity responds to identified security incidents by executing a defined incident-response program to understand, contain, remediate, and communicate security incidents, as appropriate.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-CC7.5,CC7.5,CC7,,"The entity identifies, develops, and implements activities to recover from identified security incidents.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-CC8.1,CC8.1,CC8,,"The entity authorizes, designs, develops or acquires, configures, documents, tests, approves, and implements changes to infrastructure, data, software, and procedures to meet its objectives.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-CC9.1,CC9.1,CC9,,"The entity identifies, selects, and develops risk mitigation activities for risks arising from potential business disruptions.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-CC9.2,CC9.2,CC9,,The entity assesses and manages risks associated with vendors and business partners.,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-A1.1,A1.1,A1,,"The entity maintains, monitors, and evaluates current processing capacity and use of system components (infrastructure, data, and software) to manage capacity demand and to enable the implementation of additional capacity to help meet its objectives.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-A1.2,A1.2,A1,,"The entity authorizes, designs, develops or acquires, implements, operates, approves, maintains, and monitors environmental protections, software, data backup processes, and recovery infrastructure to meet its objectives.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-A1.3,A1.3,A1,,The entity tests recovery plan procedures supporting system recovery to meet its objectives.,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-C1.1,C1.1,C1,,The entity identifies and maintains confidential information to meet the entity’s objectives related to confidentiality.,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-C1.2,C1.2,C1,,The entity disposes of confidential information to meet the entity’s objectives related to confidentiality.,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-PI1.1,PI1.1,PI1,,"The entity obtains or generates, uses, and communicates relevant, quality information regarding the objectives related to processing, including definitions of data processed and product and service specifications, to support the use of products and services.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-PI1.2,PI1.2,PI1,,"The entity implements policies and procedures over system inputs, including controls over completeness and accuracy, to result in products, services, and reporting to meet the entity’s objectives.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-PI1.3,PI1.3,PI1,,"The entity implements policies and procedures over system processing to result in products, services, and reporting to meet the entity’s objectives.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-PI1.4,PI1.4,PI1,,"The entity implements policies and procedures to make available or deliver output completely, accurately, and timely in accordance with specifications to meet the entity’s objectives.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-PI1.5,PI1.5,PI1,,"The entity implements policies and procedures to store inputs, items in processing, and outputs completely, accurately, and timely in accordance with system specifications to meet the entity’s objectives.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-P1.1,P1.1,P1,,"The entity provides notice to data subjects about its privacy practices to meet the entity’s objectives related to privacy. The notice is updated and communicated to data subjects in a timely manner for changes to the entity’s privacy practices, including changes in the use of personal information, to meet the entity’s objectives related to privacy.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-P2.1,P2.1,P2,,"The entity communicates choices available regarding the collection, use, retention, disclosure, and disposal of personal information to the data subjects and the consequences, if any, of each choice. Explicit consent for the collection, use, retention, disclosure, and disposal of personal information is obtained from data subjects or other authorized persons, if required. Such consent is obtained only for the intended purpose of the information to meet the entity’s objectives related to privacy. The entity’s basis for determining implicit consent for the collection, use, retention, disclosure, and disposal of personal information is documented.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-P3.1,P3.1,P3,,Personal information is collected consistent with the entity’s objectives related to privacy.,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-P3.2,P3.2,P3,,"For information requiring explicit consent, the entity communicates the need for such consent as well as the consequences of a failure to provide consent for the request for personal information and obtains the consent prior to the collection of the information to meet the entity’s objectives re-","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-P4.1,P4.1,P4,,The entity limits the use of personal information to the purposes identified in the entity’s objectives related to privacy.,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-P4.2,P4.2,P4,,The entity retains personal information consistent with the entity’s objectives related to privacy.,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-P4.3,P4.3,P4,,The entity securely disposes of personal information to meet the entity’s objectives related to privacy.,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-P5.1,P5.1,P5,,"The entity grants identified and authenticated data subjects the ability to access their stored personal information for review and, upon request, provides physical or electronic copies of that information to data subjects to meet the entity’s objectives related to privacy. If access is denied, data subjects are informed of the denial and reason for such denial, as required, to meet the entity’s objectives related to privacy.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-P5.2,P5.2,P5,,"The entity corrects, amends, or appends personal information based on information provided by data subjects and communicates such information to third parties, as committed or required, to meet the entity’s objectives related to privacy. If a request for correction is denied, data subjects are informed of the denial and reason for such denial to meet the entity’s objectives related to privacy.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-P6.1,P6.1,P6,,The entity discloses personal information to third parties with the explicit consent of data subjects and such consent is obtained prior to disclosure to meet the entity’s objectives related to privacy.,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-P6.2,P6.2,P6,,"The entity creates and retains a complete, accurate, and timely record of authorized disclosures of personal information to meet the entity’s objectives related to privacy.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-P6.3,P6.3,P6,,"The entity creates and retains a complete, accurate, and timely record of detected or reported unauthorized disclosures (including breaches) of personal information to meet the entity’s objectives related to privacy.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-P6.4,P6.4,P6,,"The entity obtains privacy commitments from vendors and other third parties who have access to personal information to meet the entity’s objectives related to privacy. The entity assesses those parties’ compliance on a periodic and as-needed basis and takes corrective action, if necessary.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-P6.5,P6.5,P6,,The entity obtains commitments from vendors and other third parties with access to personal information to notify the entity in the event of actual or suspected unauthorized disclosures of personal information. Such notifications are reported to appropriate personnel and acted on in accordance with established incident-response procedures to meet the entity’s objectives related to privacy.,"AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-P6.6,P6.6,P6,,"The entity provides notification of breaches and incidents to affected data subjects, regulators, and others to meet the entity’s objectives related to privacy.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-P6.7,P6.7,P6,,"The entity provides data subjects with an accounting of the personal information held and disclosure of the data subjects’ personal information, upon the data subjects’ request, to meet the entity’s objectives related to privacy.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-P7.1,P7.1,P7,,"The entity collects and maintains accurate, up-to-date, complete, and relevant personal information to meet the entity’s objectives related to privacy.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
CRIT-P8.1,P8.1,P8,,"The entity implements a process for receiving, addressing, resolving, and communicating the resolution of inquiries, complaints, and disputes from data subjects and others and periodically monitors compliance to meet the entity’s objectives related to privacy. Corrections and other necessary actions related to identified deficiencies are made or taken in a timely manner.","AICPA TSP Section 100 — 2017 Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy (includes March 2020 updates) [KB 2/USA/SOC 2.pdf]"
