template_id,name,level,domain_code,artifact_type,sequence,template_path,stated_source_count,cited_source_count,cited_internal_document_count,source_document
DTOM-L2A-INS-POL-002,Infrastructure and Network Security (INS) Template,L2A,INS,POL,2,server/services/policyPersonalizer/templates/DTOM-L2A-ENT-DTOM/DTOM-L2A-INS-POL-002 - Infrastructure and Network Security (INS) Template.md,32,31,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
DTOM-L2A-PPS-POL-008,Personnel & Physical Security (PPS) Template,L2A,PPS,POL,8,server/services/policyPersonalizer/templates/DTOM-L2A-ENT-DTOM/DTOM-L2A-PPS-POL-008 - Personnel & Physical Security (PPS) Template.md,39,38,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
DTOM-L2A-TPR-POL-007,Third-Party or Supply Chain Risk Management (TPR or SCR) Template,L2A,TPR,POL,7,server/services/policyPersonalizer/templates/DTOM-L2A-ENT-DTOM/DTOM-L2A-TPR-POL-007 - Third-Party or Supply Chain Risk Management (TPR or SCR) Template.md,40,39,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
DTOM-L2B-ENT-DTM-009,Digital Trust Operating System (DTOS) Metrics Template,L2B,ENT,DTM,9,server/services/policyPersonalizer/templates/DTOM-L2B-ENT-DTM/DTOM-L2B-ENT-DTM-009 - Digital Trust Operating System (DTOS) Metrics Template.md,31,30,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
DTOM-L2B-ENT-DTS-008,Digital Trust Governance Organization (DTGO) Charter Template,L2B,ENT,DTS,8,server/services/policyPersonalizer/templates/DTOM-L2B-ENT-DTS/DTOM-L2B-ENT-DTS-008 - Digital Trust Governance Organization (DTGO) Charter Template.md,23,22,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
DTOM-L2B-ENT-PRG-001,Enterprise Information Security Management Program (EISMP) Template,L2B,ENT,PRG,1,server/services/policyPersonalizer/templates/DTOM-L2B-ENT-PRG/DTOM-L2B-ENT-PRG-001 - Enterprise Information Security Management Program (EISMP) Template.md,29,28,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
DTOM-L2B-ENT-PRG-002,Enterprise Risk Management (ERM) Program Template,L2B,ENT,PRG,2,server/services/policyPersonalizer/templates/DTOM-L2B-ENT-PRG/DTOM-L2B-ENT-PRG-002 - Enterprise Risk Management (ERM) Program Template.md,30,29,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
DTOM-L2B-ENT-PRG-003,Incident Management Program Template,L2B,ENT,PRG,3,server/services/policyPersonalizer/templates/DTOM-L2B-ENT-PRG/DTOM-L2B-ENT-PRG-003 - Incident Management Program Template.md,31,30,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
DTOM-L2B-ENT-PRG-004,Vulnerability Management Program Template,L2B,ENT,PRG,4,server/services/policyPersonalizer/templates/DTOM-L2B-ENT-PRG/DTOM-L2B-ENT-PRG-004 - Vulnerability Management Program Template.md,32,31,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
DTOM-L2B-ENT-PRG-005,Third-Party Risk Management Program Template,L2B,ENT,PRG,5,server/services/policyPersonalizer/templates/DTOM-L2B-ENT-PRG/DTOM-L2B-ENT-PRG-005 - Third-Party Risk Management Program Template.md,42,40,2,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
DTOM-L2B-ENT-PRG-006,Data Protection & Privacy Program Template,L2B,ENT,PRG,6,server/services/policyPersonalizer/templates/DTOM-L2B-ENT-PRG/DTOM-L2B-ENT-PRG-006 - Data Protection & Privacy Program Template.md,34,33,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
DTOM-L2B-ENT-PRG-007,Enterprise AI Risk Management Program Template,L2B,ENT,PRG,7,server/services/policyPersonalizer/templates/DTOM-L2B-ENT-PRG/DTOM-L2B-ENT-PRG-007 - Enterprise AI Risk Management Program Template.md,22,21,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
DTOM-L2C-ENT-PLB-001,Material Incident Executive Playbook Template,L2C,ENT,PLB,1,server/services/policyPersonalizer/templates/DTOM-L2C-ENT-PLB/DTOM-L2C-ENT-PLB-001 - Material Incident Executive Playbook Template.md,36,35,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
DTOM-L2C-ENT-PLB-002,Regulatory Engagement Playbook Template,L2C,ENT,PLB,2,server/services/policyPersonalizer/templates/DTOM-L2C-ENT-PLB/DTOM-L2C-ENT-PLB-002 - Regulatory Engagement Playbook Template.md,13,12,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
DTOM-L2C-ENT-PLB-003,Tabletop Exercise Playbook Template,L2C,ENT,PLB,3,server/services/policyPersonalizer/templates/DTOM-L2C-ENT-PLB/DTOM-L2C-ENT-PLB-003 - Tabletop Exercise Playbook Template.md,38,37,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
DTOM-L2C-ENT-PLB-004,Third-Party Incident Coordination Playbook Template,L2C,ENT,PLB,4,server/services/policyPersonalizer/templates/DTOM-L2C-ENT-PLB/DTOM-L2C-ENT-PLB-004 - Third-Party Incident Coordination Playbook Template.md,39,38,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
DTOM-L2C-ENT-PRC-001,Incident Management Procedure Template,L2C,ENT,PRC,1,server/services/policyPersonalizer/templates/DTOM-L2C-ENT-PRC/DTOM-L2C-ENT-PRC-001 - Incident Management Procedure Template.md,28,27,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
DTOM-L2C-ENT-PRC-002,Breach Notification & Regulatory Disclosure Procedure Template,L2C,ENT,PRC,2,server/services/policyPersonalizer/templates/DTOM-L2C-ENT-PRC/DTOM-L2C-ENT-PRC-002 - Breach Notification & Regulatory Disclosure Procedure Template.md,29,28,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
DTOM-L2C-ENT-PRC-003,Crisis Management & Executive Escalation Procedure Template,L2C,ENT,PRC,3,server/services/policyPersonalizer/templates/DTOM-L2C-ENT-PRC/DTOM-L2C-ENT-PRC-003 - Crisis Management & Executive Escalation Procedure Template.md,43,41,2,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
DTOM-L2C-ENT-PRC-004,Risk Acceptance & Exception Handling Procedure Template,L2C,ENT,PRC,4,server/services/policyPersonalizer/templates/DTOM-L2C-ENT-PRC/DTOM-L2C-ENT-PRC-004 - Risk Acceptance & Exception Handling Procedure Template.md,31,30,1,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
DTOM-L2C-ENT-PRC-005,Evidence Preservation & Forensics Procedure Template,L2C,ENT,PRC,5,server/services/policyPersonalizer/templates/DTOM-L2C-ENT-PRC/DTOM-L2C-ENT-PRC-005 - Evidence Preservation & Forensics Procedure Template.md,29,27,2,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
