source_id,title,url,host,verbatim,template_count,first_accessed,last_accessed,source_document
src_045b09238228,Incident Response Plan: Frameworks and Steps - CrowdStrike,https://www.crowdstrike.com/en-us/cybersecurity-101/incident-response/incident-response-steps/,www.crowdstrike.com,"Incident Response Plan: Frameworks and Steps - CrowdStrike, accessed December 28, 2025, <https://www.crowdstrike.com/en-us/cybersecurity-101/incident-response/incident-response-steps/>",1,2025-12-28,2025-12-28,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_0667dd267401,Compliance with ISO 27701 vs. ISO 27001 - myOneTrust,https://my.onetrust.com/s/article/UUID-cbfb7cc0-48c6-7e08-85b3-1122460ba17b?topicId=0TO3q000000g8PbGAI,my.onetrust.com,"Compliance with ISO 27701 vs. ISO 27001 - myOneTrust, accessed December 14, 2025, <https://my.onetrust.com/s/article/UUID-cbfb7cc0-48c6-7e08-85b3-1122460ba17b?topicId=0TO3q000000g8PbGAI>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_073ae3f713ca,Understanding CNAPP: The Only Guide You Need for Cloud-Native Security,https://www.secpod.com/blog/understanding-cnapp-cloud-native-security-guide/,www.secpod.com,"Understanding CNAPP: The Only Guide You Need for Cloud-Native Security, accessed on December 14, 2025, <https://www.secpod.com/blog/understanding-cnapp-cloud-native-security-guide/>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_07e2bf885c07,SEC cybersecurity disclosure rules - KPMG International,https://kpmg.com/kpmg-us/content/dam/kpmg/corporate-communications/pdf/2024/audit-insight-cyber-materiality.pdf,kpmg.com,"SEC cybersecurity disclosure rules - KPMG International, accessed December 28, 2025, <https://kpmg.com/kpmg-us/content/dam/kpmg/corporate-communications/pdf/2024/audit-insight-cyber-materiality.pdf>",1,2025-12-28,2025-12-28,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_0886249cd2de,How To Design a Cloud Security Policy | CrowdStrike,https://www.crowdstrike.com/en-us/cybersecurity-101/cloud-security/cloud-security-policy/,www.crowdstrike.com,"How To Design a Cloud Security Policy | CrowdStrike, accessed on December 14, 2025, <https://www.crowdstrike.com/en-us/cybersecurity-101/cloud-security/cloud-security-policy/>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_08d339de080e,Third-Party Risk Management: How to Identify Vendor Risks - Cytrusst,https://www.cytrusst.com/third-party-risk-management-vendor-security,www.cytrusst.com,"Third-Party Risk Management: How to Identify Vendor Risks - Cytrusst, accessed December 14, 2025, <https://www.cytrusst.com/third-party-risk-management-vendor-security>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_093c8d2d8e48,The FAIR Materiality Assessment Model TM (FAIR-MAM TM ) - The FAIR Institute,https://www.fairinstitute.org/fair-materiality-assessment-model,www.fairinstitute.org,"The FAIR Materiality Assessment Model TM (FAIR-MAM TM ) - The FAIR Institute, accessed December 28, 2025, <https://www.fairinstitute.org/fair-materiality-assessment-model>",1,2025-12-28,2025-12-28,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_0bbc253f3bba,Artificial Intelligence Risk Management Framework (AI RMF 1.0) - NIST Technical Series Publications,https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf,nvlpubs.nist.gov,"Artificial Intelligence Risk Management Framework (AI RMF 1.0) - NIST Technical Series Publications, accessed on December 14, 2025, <https://nvlpubs.nist.gov/nistpubs/ai/nist.ai.100-1.pdf>",2,2025-12-13,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_0c67c9461f08,Post-quantum cryptography - Wikipedia,https://en.wikipedia.org/wiki/Post-quantum_cryptography,en.wikipedia.org,"Post-quantum cryptography - Wikipedia, accessed on December 14, 2025, <https://en.wikipedia.org/wiki/Post-quantum_cryptography>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_0c80b518b90f,OWASP SAMM,https://owasp.org/www-project-samm/,owasp.org,"OWASP SAMM, accessed on December 14, 2025, <https://owasp.org/www-project-samm/>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_0ea5b5bc90ad,Third-Party AI Risk: The Five Clauses Your Contracts Can't Skip in 2025 - CCSD Council,https://www.ccsdcouncil.org/third-party-ai-risk-the-five-clauses-your-contracts-cant-skip-in-2025/,www.ccsdcouncil.org,"Third-Party AI Risk: The Five Clauses Your Contracts Can't Skip in 2025 - CCSD Council, accessed December 28, 2025, <https://www.ccsdcouncil.org/third-party-ai-risk-the-five-clauses-your-contracts-cant-skip-in-2025/>",1,2025-12-28,2025-12-28,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_0f63b3ce6c28,What Is AI Governance? - Palo Alto Networks,https://www.paloaltonetworks.com/cyberpedia/ai-governance,www.paloaltonetworks.com,"What Is AI Governance? - Palo Alto Networks, accessed on December 14, 2025, <https://www.paloaltonetworks.com/cyberpedia/ai-governance>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_0fccac45c0af,Data Strategy Breakdown Series - Defender XDR and Intune (4) - Welka's World,https://www.welkasworld.com/post/data-strategy-breakdown-series-defender-xdr-and-intune-4,www.welkasworld.com,"Data Strategy Breakdown Series - Defender XDR and Intune (4) - Welka's World, accessed on December 14, 2025, <https://www.welkasworld.com/post/data-strategy-breakdown-series-defender-xdr-and-intune-4>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_10d12fba517a,What Is CNAPP? - Palo Alto Networks,https://www.paloaltonetworks.com/cyberpedia/what-is-a-cloud-native-application-protection-platform,www.paloaltonetworks.com,"What Is CNAPP? - Palo Alto Networks, accessed on December 14, 2025, <https://www.paloaltonetworks.com/cyberpedia/what-is-a-cloud-native-application-protection-platform>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_10f04cf2bae4,Privacy by Design Documentation for Software Engineers Version 1.0 - Index of /,https://docs.oasis-open.org/pbd-se/pbd-se/v1.0/pbd-se-v1.0.html,docs.oasis-open.org,"Privacy by Design Documentation for Software Engineers Version 1.0 - Index of /, accessed December 14, 2025, <https://docs.oasis-open.org/pbd-se/pbd-se/v1.0/pbd-se-v1.0.html>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_11a1cbff8f19,Guide to EU Cyber Resilience Act Compliance - Thales CPL,https://cpl.thalesgroup.com/software-monetization/eu-cyber-resilience-act-compliance-guide,cpl.thalesgroup.com,"Guide to EU Cyber Resilience Act Compliance - Thales CPL, accessed on December 14, 2025, <https://cpl.thalesgroup.com/software-monetization/eu-cyber-resilience-act-compliance-guide>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_11cabb4e6994,Digital Operational Resilience Act (DORA) - | European Securities and Markets Authority,https://www.esma.europa.eu/esmas-activities/digital-finance-and-innovation/digital-operational-resilience-act-dora,www.esma.europa.eu,"Digital Operational Resilience Act (DORA) - | European Securities and Markets Authority, accessed December 28, 2025, <https://www.esma.europa.eu/esmas-activities/digital-finance-and-innovation/digital-operational-resilience-act-dora>",1,2025-12-28,2025-12-28,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_11f47d277c0f,Data Loss Prevention (DLP) Best Practices - CrowdStrike,https://www.crowdstrike.com/en-us/cybersecurity-101/data-protection/dlp-best-practices/,www.crowdstrike.com,"Data Loss Prevention (DLP) Best Practices - CrowdStrike, accessed December 14, 2025, <https://www.crowdstrike.com/en-us/cybersecurity-101/data-protection/dlp-best-practices/>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_127d934807b7,What Is Post-Quantum Cryptography (PQC)? A Complete Guide - Palo Alto Networks,https://www.paloaltonetworks.com/cyberpedia/what-is-post-quantum-cryptography-pqc,www.paloaltonetworks.com,"What Is Post-Quantum Cryptography (PQC)? A Complete Guide - Palo Alto Networks, accessed on December 14, 2025, <https://www.paloaltonetworks.com/cyberpedia/what-is-post-quantum-cryptography-pqc>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_133d05ce43db,War Room Strategies for COVID: How to Respond Effectively - Coohom,https://www.coohom.com/article/war-room-strategies-for-covid-how-to-respond-effectively,www.coohom.com,"War Room Strategies for COVID: How to Respond Effectively - Coohom, accessed December 28, 2025, <https://www.coohom.com/article/war-room-strategies-for-covid-how-to-respond-effectively>",1,2025-12-28,2025-12-28,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_13433788ae1d,What are Key Risk Indicators (KRIs) in Enterprise Risk Management (ERM)? - Metricstream,https://www.metricstream.com/insights/Key-Risk-indicators-ERM.htm,www.metricstream.com,"What are Key Risk Indicators (KRIs) in Enterprise Risk Management (ERM)? - Metricstream, accessed December 28, 2025, <https://www.metricstream.com/insights/Key-Risk-indicators-ERM.htm>",1,2025-12-28,2025-12-28,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_1407fc276700,CNAPP 101: An Intro to Cloud Native Application Protection Platforms - Wiz,https://www.wiz.io/academy/cloud-security/what-is-a-cloud-native-application-protection-platform-cnapp,www.wiz.io,"CNAPP 101: An Intro to Cloud Native Application Protection Platforms - Wiz, accessed on December 14, 2025, <https://www.wiz.io/academy/cloud-security/what-is-a-cloud-native-application-protection-platform-cnapp>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_14efcd85b329,Top 10 Tools for Continuous Vendor Risk Scoring in 2025 - Cyber Sierra,https://cybersierra.co/blog/best-vendor-risk-scoring-tools-2025/,cybersierra.co,"Top 10 Tools for Continuous Vendor Risk Scoring in 2025 - Cyber Sierra, accessed December 28, 2025, <https://cybersierra.co/blog/best-vendor-risk-scoring-tools-2025/>",1,2025-12-28,2025-12-28,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_1548f522d80c,Secure Software Development Framework (SSDF) Version 1.1 - NIST Technical Series Publications,https://nvlpubs.nist.gov/nistpubs/specialpublications/nist.sp.800-218.pdf,nvlpubs.nist.gov,"Secure Software Development Framework (SSDF) Version 1.1 - NIST Technical Series Publications, accessed on December 14, 2025, <https://nvlpubs.nist.gov/nistpubs/specialpublications/nist.sp.800-218.pdf>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_157a4f1c77c5,Federal Sentencing Guidelines Manual (Compliance and Ethics),https://www.ussc.gov/guidelines/2024-guidelines-manual-annotated,www.ussc.gov,"Federal Sentencing Guidelines Manual (Compliance and Ethics), accessed March 9, 2026, <https://www.ussc.gov/guidelines/2024-guidelines-manual-annotated>",3,2026-03-09,2026-03-09,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_15e6c3821ac8,Securing the Software Supply Chain: Recommended Practices Guide for Developers - CISA,https://www.cisa.gov/sites/default/files/publications/ESF_SECURING_THE_SOFTWARE_SUPPLY_CHAIN_DEVELOPERS.PDF,www.cisa.gov,"Securing the Software Supply Chain: Recommended Practices Guide for Developers - CISA, accessed on December 14, 2025, <https://www.cisa.gov/sites/default/files/publications/ESF_SECURING_THE_SOFTWARE_SUPPLY_CHAIN_DEVELOPERS.PDF>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_16babe1fcc65,DORA Third-Party Risk Management Compliance | Prevalent - Mitratech,https://mitratech.com/resource-hub/rc-use-case/eu-digital-operational-resilience-act-compliance/,mitratech.com,"DORA Third-Party Risk Management Compliance | Prevalent - Mitratech, accessed December 14, 2025, <https://mitratech.com/resource-hub/rc-use-case/eu-digital-operational-resilience-act-compliance/>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_16d452769bd9,RACI Template & Ultimate 2026 Guide to the RACI Matrix [+Free Download] - AIHR,https://www.aihr.com/blog/raci-template/,www.aihr.com,"RACI Template & Ultimate 2026 Guide to the RACI Matrix [+Free Download] - AIHR, accessed on December 14, 2025, <https://www.aihr.com/blog/raci-template/>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_1763e5054158,What Is a War Room Meeting? | Davinci Meeting Rooms,https://www.davincimeetingrooms.com/blog/what-is-a-war-room-meeting,www.davincimeetingrooms.com,"What Is a War Room Meeting? | Davinci Meeting Rooms, accessed December 28, 2025, <https://www.davincimeetingrooms.com/blog/what-is-a-war-room-meeting>",1,2025-12-28,2025-12-28,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_1794d138e832,PQC Migration Roadmap - Post-Quantum Cryptography Coalition |,https://pqcc.org/post-quantum-cryptography-migration-roadmap/,pqcc.org,"PQC Migration Roadmap - Post-Quantum Cryptography Coalition |, accessed December 13, 2025, <https://pqcc.org/post-quantum-cryptography-migration-roadmap/>",1,2025-12-13,2025-12-13,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_17d5520f09e7,ISO 27001 Clear Desk and Clear Screen Policy for Business - SecureSlate - Medium,https://secureslate.medium.com/iso-27001-clear-desk-and-clear-screen-policy-for-business-8aabe1db77ef,secureslate.medium.com,"ISO 27001 Clear Desk and Clear Screen Policy for Business - SecureSlate - Medium, accessed on December 14, 2025, <https://secureslate.medium.com/iso-27001-clear-desk-and-clear-screen-policy-for-business-8aabe1db77ef>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_181e3c1e55e2,How ISO 27001 Supports DORA Compliance - MetaCompliance,https://www.metacompliance.com/wp-content/uploads/2025/09/MC_Whitepaper_DORA_2024_Final.pdf,www.metacompliance.com,"How ISO 27001 Supports DORA Compliance - MetaCompliance, accessed December 14, 2025, <https://www.metacompliance.com/wp-content/uploads/2025/09/MC_Whitepaper_DORA_2024_Final.pdf>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_18adc5ffc126,8 Essential Crisis Communication Strategies for 2025 - Resgrid Blog,https://blog.resgrid.com/crisis-communication-strategies/,blog.resgrid.com,"8 Essential Crisis Communication Strategies for 2025 - Resgrid Blog, accessed December 28, 2025, <https://blog.resgrid.com/crisis-communication-strategies/>",1,2025-12-28,2025-12-28,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_194bf97b6cb5,What Is a Phishing Simulation? Tests Explained | Proofpoint US,https://www.proofpoint.com/us/threat-reference/phishing-simulation,www.proofpoint.com,"What Is a Phishing Simulation? Tests Explained | Proofpoint US, accessed on December 14, 2025, <https://www.proofpoint.com/us/threat-reference/phishing-simulation>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_19da4cc4781d,EDPB Guidelines 9/2022 on Personal Data Breach Notification,https://www.edpb.europa.eu/our-work-tools/our-documents/guidelines/guidelines-092022-personal-data-breach-notification_en,www.edpb.europa.eu,"EDPB Guidelines 9/2022 on Personal Data Breach Notification, accessed March 9, 2026, <https://www.edpb.europa.eu/our-work-tools/our-documents/guidelines/guidelines-092022-personal-data-breach-notification_en>",10,2026-03-09,2026-03-09,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_1a10a47762ab,Assessing the Impact of Algorithmic Systems - Holistic AI,https://www.holisticai.com/blog/assessing-the-impact-of-algorithmic-systems,www.holisticai.com,"Assessing the Impact of Algorithmic Systems - Holistic AI, accessed on December 14, 2025, <https://www.holisticai.com/blog/assessing-the-impact-of-algorithmic-systems>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_1a1bf80f8e45,OWASP Top 10 for LLM Applications 2025,https://owasp.org/www-project-top-10-for-large-language-model-applications/assets/PDF/OWASP-Top-10-for-LLMs-v2025.pdf,owasp.org,"OWASP Top 10 for LLM Applications 2025, accessed on December 14, 2025, <https://owasp.org/www-project-top-10-for-large-language-model-applications/assets/PDF/OWASP-Top-10-for-LLMs-v2025.pdf>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_1a39bce8f7c9,Key Points of Biden's Executive Order 14028 - Exiger,https://www.exiger.com/perspectives/executive-order-14028/,www.exiger.com,"Key Points of Biden's Executive Order 14028 - Exiger, accessed on December 14, 2025, <https://www.exiger.com/perspectives/executive-order-14028/>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_1baed8483b46,What Is Zero Trust Architecture (ZTA) ? NIST 800–207 Zero Trust Architecture | by Tahir | Medium,https://medium.com/@tahirbalarabe2/what-is-zero-trust-architecture-zta-nist-800-207-zero-trust-architecture-2816a9430ea6,medium.com,"What Is Zero Trust Architecture (ZTA) ? NIST 800–207 Zero Trust Architecture | by Tahir | Medium, accessed on December 14, 2025, <https://medium.com/@tahirbalarabe2/what-is-zero-trust-architecture-zta-nist-800-207-zero-trust-architecture-2816a9430ea6>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_1bf5e083d709,What is Fourth-Party Risk? - UpGuard,https://www.upguard.com/blog/what-is-fourth-party-risk,www.upguard.com,"What is Fourth-Party Risk? - UpGuard, accessed December 28, 2025, <https://www.upguard.com/blog/what-is-fourth-party-risk>",1,2025-12-28,2025-12-28,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_1c3175f15bc7,international standard iso/iec 27037,https://amnafzar.net/files/1/ISO%2027000/ISO%20IEC%2027037-2012.pdf,amnafzar.net,"international standard iso/iec 27037, accessed December 28, 2025, <https://amnafzar.net/files/1/ISO%2027000/ISO%20IEC%2027037-2012.pdf>",1,2025-12-28,2025-12-28,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_1cb57af846cd,FIPS 204: Module-Lattice-Based Digital Signature Standard - Encryption Consulting,https://www.encryptionconsulting.com/understanding-fips-204/,www.encryptionconsulting.com,"FIPS 204: Module-Lattice-Based Digital Signature Standard - Encryption Consulting, accessed on December 14, 2025, <https://www.encryptionconsulting.com/understanding-fips-204/>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_1cf4ee5a1b4d,AI Red Teaming Agent - Microsoft Foundry,https://learn.microsoft.com/en-us/azure/ai-foundry/concepts/ai-red-teaming-agent?view=foundry-classic,learn.microsoft.com,"AI Red Teaming Agent - Microsoft Foundry, accessed on December 14, 2025, <https://learn.microsoft.com/en-us/azure/ai-foundry/concepts/ai-red-teaming-agent?view=foundry-classic>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_1d88414c445e,Data Classification Guide and The NIST Classification Levels - Ignyte Assurance Platform,https://www.ignyteplatform.com/blog/nist/data-classification-nist-levels/,www.ignyteplatform.com,"Data Classification Guide and The NIST Classification Levels - Ignyte Assurance Platform, accessed December 14, 2025, <https://www.ignyteplatform.com/blog/nist/data-classification-nist-levels/>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_1e133accf45e,Zero Trust Architecture - NIST Technical Series Publications,https://nvlpubs.nist.gov/nistpubs/specialpublications/NIST.SP.800-207.pdf,nvlpubs.nist.gov,"Zero Trust Architecture - NIST Technical Series Publications, accessed on December 14, 2025, <https://nvlpubs.nist.gov/nistpubs/specialpublications/NIST.SP.800-207.pdf>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_1e166eaf31f3,[Blog] Securing AI: FPGAs and Data Provenance - Lattice Semiconductor,https://www.latticesemi.com/en/Blog/2025/01/21/15/55/Securing-AI-FPGAs-and-Data-Provenance,www.latticesemi.com,"[Blog] Securing AI: FPGAs and Data Provenance - Lattice Semiconductor, accessed on December 14, 2025, <https://www.latticesemi.com/en/Blog/2025/01/21/15/55/Securing-AI-FPGAs-and-Data-Provenance>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_1e2ad9c150e2,5 Free Creative Brief Templates to Improve Agency Projects [2025] - ManyRequests,https://www.manyrequests.com/blog/creative-brief-templates,www.manyrequests.com,"5 Free Creative Brief Templates to Improve Agency Projects [2025] - ManyRequests, accessed December 28, 2025, <https://www.manyrequests.com/blog/creative-brief-templates>",1,2025-12-28,2025-12-28,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_1ed8e24b72c0,15 CNAPP Best Practices to Implement Today - Checkmarx,https://checkmarx.com/learn/code-to-cloud-security/cnapp-best-practices/,checkmarx.com,"15 CNAPP Best Practices to Implement Today - Checkmarx, accessed on December 14, 2025, <https://checkmarx.com/learn/code-to-cloud-security/cnapp-best-practices/>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_20df952896c6,dora-regulation-rts--2024-1531\_en.pdf - European Commission,https://ec.europa.eu/finance/docs/level-2-measures/dora-regulation-rts--2024-1531_en.pdf,ec.europa.eu,"dora-regulation-rts--2024-1531\_en.pdf - European Commission, accessed December 14, 2025, <https://ec.europa.eu/finance/docs/level-2-measures/dora-regulation-rts--2024-1531_en.pdf>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_20dfeda64bad,Your vendor's AI is your risk: 4 clauses that could save you from hidden liability - CIO,https://www.cio.com/article/4081326/your-vendors-ai-is-your-risk-4-clauses-that-could-save-you-from-hidden-liability.html,www.cio.com,"Your vendor's AI is your risk: 4 clauses that could save you from hidden liability - CIO, accessed December 28, 2025, <https://www.cio.com/article/4081326/your-vendors-ai-is-your-risk-4-clauses-that-could-save-you-from-hidden-liability.html>",1,2025-12-28,2025-12-28,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_213d10264040,Third-Party Risk Management Policy - BitSight Technologies,https://www.bitsight.com/learn/tprm/third-party-risk-management-policy,www.bitsight.com,"Third-Party Risk Management Policy - BitSight Technologies, accessed December 28, 2025, <https://www.bitsight.com/learn/tprm/third-party-risk-management-policy>",1,2025-12-28,2025-12-28,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
src_2170d02cc117,OT Security Best Practices You Need to Know,https://www.ssh.com/academy/operational-technology/ot-security-best-practices-you-need-to-know,www.ssh.com,"OT Security Best Practices You Need to Know, accessed on December 14, 2025, <https://www.ssh.com/academy/operational-technology/ot-security-best-practices-you-need-to-know>",1,2025-12-14,2025-12-14,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/templateSources.json
