definition_id,term,definition_text,scope,defined_in,source_document
def_s_36__time_share_contract,time share contract,“time share contract” means a contract which confers or purports to confer on an individual time share rights that are exercisable during a period of not less than 3 years;,section 36,s_36(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_36__voice_call,voice call,"“voice call” includes — (a) a call that involves a recorded or synthetic voice; or (b) in the case of a recipient with a disability (for example, a hearing impairment), a call that is equivalent to a voice call.",section 36,s_36(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_48__corporation,corporation,“corporation” has the meaning given by section 52(7);,section 48,s_48(5),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_48__officer,officer,"“officer” — (a) in relation to a corporation, has the meaning given by section 52(7); or (b) in relation to an unincorporated association (other than a partnership), has the meaning given by section 52A(7);",section 48,s_48(5),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_48__partner,partner,"“partner”, in relation to a partnership, has the meaning given by section 52A(7).",section 48,s_48(5),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_48A__address_harvesting_software,address‑harvesting software,"“address‑harvesting software” means software that is specifically designed or marketed for use for — (a) searching the Internet for telephone numbers; and (b) collecting, compiling, capturing or otherwise harvesting those telephone numbers;",section 48A,s_48A(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_48A__applicable_message,applicable message,“applicable message” means a message with a Singapore link that is sent to any applicable telephone number;,section 48A,s_48A(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_48A__applicable_telephone_number,applicable telephone number,“applicable telephone number” means a telephone number that is generated or obtained through the use of — (a) a dictionary attack; or (b) address‑harvesting software;,section 48A,s_48A(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_48A__dictionary_attack,dictionary attack,“dictionary attack” means the method by which the telephone number of a recipient is obtained using an automated means that generates possible telephone numbers by combining numbers into numerous permutations;,section 48A,s_48A(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_48A__message,message,"“message”, “send”, “sender” and “Singapore telephone number” have the meanings given by section 36(1).",section 48A,s_48A(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
