source_id,target_id,rel_type,term
s_36(1),def_s_36__register,DEFINES,register
s_36(1),def_s_36__send,DEFINES,send
s_36(1),def_s_36__sender,DEFINES,sender
s_36(1),def_s_36__services,DEFINES,services
s_36(1),def_s_36__singapore_telephone_number,DEFINES,Singapore telephone number
s_36(1),def_s_36__subscriber,DEFINES,subscriber
s_36(1),def_s_36__time_share_accommodation,DEFINES,time share accommodation
s_36(1),def_s_36__time_share_contract,DEFINES,time share contract
s_36(1),def_s_36__voice_call,DEFINES,voice call
s_48(5),def_s_48__corporation,DEFINES,corporation
s_48(5),def_s_48__officer,DEFINES,officer
s_48(5),def_s_48__partner,DEFINES,partner
s_48A(1),def_s_48A__address_harvesting_software,DEFINES,address‑harvesting software
s_48A(1),def_s_48A__applicable_message,DEFINES,applicable message
s_48A(1),def_s_48A__applicable_telephone_number,DEFINES,applicable telephone number
s_48A(1),def_s_48A__dictionary_attack,DEFINES,dictionary attack
s_48A(1),def_s_48A__message,DEFINES,message
s_48B(4),def_s_48B__corporation,DEFINES,corporation
s_48B(4),def_s_48B__officer,DEFINES,officer
s_48B(4),def_s_48B__partner,DEFINES,partner
s_48C(1),def_s_48C__disclose,DEFINES,disclose
s_48C(1),def_s_48C__gain,DEFINES,gain
s_48C(1),def_s_48C__harm,DEFINES,harm
s_48C(1),def_s_48C__loss,DEFINES,loss
s_48C(1),def_s_48C__monetary_authority_of_singapore,DEFINES,Monetary Authority of Singapore
s_48C(1),def_s_48C__relevant_public_official,DEFINES,relevant public official
s_48C(1),def_s_48C__singapore_public_sector_agency,DEFINES,Singapore public sector agency
s_48F(4),def_s_48F__applicable_contravention,DEFINES,applicable contravention
s_48F(4),def_s_48F__specified_purpose,DEFINES,specified purpose
s_52(7),def_s_52__corporation,DEFINES,corporation
s_52(7),def_s_52__officer,DEFINES,officer
s_52(7),def_s_52__state_of_mind,DEFINES,state of mind
s_52A(7),def_s_52A__officer,DEFINES,officer
s_52A(7),def_s_52A__partner,DEFINES,partner
s_52A(7),def_s_52A__state_of_mind,DEFINES,state of mind
sch_1_p2_para6,def_sch_1_p2_para6__broadcasting_service,DEFINES,broadcasting service
sch_1_p2_para6,def_sch_1_p2_para6__news_activity,DEFINES,news activity
sch_1_p2_para6,def_sch_1_p2_para6__news_organisation,DEFINES,news organisation
sch_1_p2_para6,def_sch_1_p2_para6__newspaper,DEFINES,newspaper
sch_1_p2_para6,def_sch_1_p2_para6__relevant_broadcasting_service,DEFINES,relevant broadcasting service
sch_1_p4_para3,def_sch_1_p4_para3__applicable_individual,DEFINES,applicable individual
sch_1_p4_para3,def_sch_1_p4_para3__business_asset_transaction,DEFINES,business asset transaction
sch_1_p4_para3,def_sch_1_p4_para3__business_trust,DEFINES,business trust
sch_1_p4_para3,def_sch_1_p4_para3__corporation,DEFINES,corporation
sch_1_p4_para3,def_sch_1_p4_para3__interest,DEFINES,interest
sch_1_p5_para2,def_sch_1_p5_para2__corporation,DEFINES,corporation
sch_1_p5_para2,def_sch_1_p5_para2__existing_customer,DEFINES,existing customer
sch_1_p5_para2,def_sch_1_p5_para2__prospective_customer_of_x,DEFINES,prospective customer of X
sch_9_para3(13),def_sch_9_para3__named_officer,DEFINES,named officer
sch_9_para3(13),def_sch_9_para3__occupier,DEFINES,occupier
s_36(4),def_s_36_4__control,DEFINES,control
s_37(6),def_s_37_6__applicable_purpose,DEFINES,applicable purpose
s_42(3),def_s_42_3__terminated_singapore_telephone_number,DEFINES,terminated Singapore telephone number
s_48A(6),def_s_48A_6__control,DEFINES,control
s_48D(4),def_s_48D_4__applicable_contravention,DEFINES,applicable contravention
s_48E(4),def_s_48E_4__applicable_contravention,DEFINES,applicable contravention
s_59(7),def_s_59_7__specified_person,DEFINES,specified person
s_67(9),def_s_67_9__former_commission,DEFINES,Former Commission
s_68(2),def_s_68_2__former_commission,DEFINES,Former Commission
sch_8_para1(2),def_sch_8_para1_2__ongoing_relationship,DEFINES,ongoing relationship
sch_9_para1(5),def_sch_9_para1_5__specified,DEFINES,specified
