section_id,part_id,division_id,number,heading,lead_text,status,repealed_by,source_document
s_6,part_2,,6,Functions of Commission,The functions of the Commission are —,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_7,part_2,,7,Advisory committees,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_8,part_2,,8,Delegation,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_9,part_2,,9,Conduct of proceedings,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_10,part_2,,10,Cooperation agreements,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_11,part_3,,11,Compliance with Act,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_12,part_3,,12,Policies and practices,An organisation must —,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_13,part_4,div_4_1,13,Consent required,"An organisation must not, on or after 2 July 2014, collect, use or disclose personal data about an individual unless —",in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_14,part_4,div_4_1,14,Provision of consent,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15,part_4,div_4_1,15,Deemed consent,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15A,part_4,div_4_1,15A,Deemed consent by notification,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_16,part_4,div_4_1,16,Withdrawal of consent,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_17,part_4,div_4_1,17,"Collection, use and disclosure without consent",,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_18,part_4,div_4_2,18,Limitation of purpose and extent,"An organisation may collect, use or disclose personal data about an individual only for purposes —",in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_19,part_4,div_4_2,19,Personal data collected before 2 July 2014,"Despite the other provisions in this Part, an organisation may use personal data about an individual collected before 2 July 2014 for the purposes for which the personal data was collected unless —",in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_20,part_4,div_4_2,20,Notification of purpose,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_21,part_5,,21,Access to personal data,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_22,part_5,,22,Correction of personal data,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_22A,part_5,,22A,Preservation of copies of personal data,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_23,part_6,,23,Accuracy of personal data,"An organisation must make a reasonable effort to ensure that personal data collected by or on behalf of the organisation is accurate and complete, if the personal data —",in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_24,part_6,,24,Protection of personal data,An organisation must protect personal data in its possession or under its control by making reasonable security arrangements to prevent —,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_25,part_6,,25,Retention of personal data,"An organisation must cease to retain its documents containing personal data, or remove the means by which the personal data can be associated with particular individuals, as soon as it is reasonable to assume that —",in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_26,part_6,,26,Transfer of personal data outside Singapore,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_26A,part_6A,,26A,Interpretation of this Part,"In this Part, unless the context otherwise requires —",in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_26B,part_6A,,26B,Notifiable data breaches,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_26C,part_6A,,26C,Duty to conduct assessment of data breach,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_26D,part_6A,,26D,Duty to notify occurrence of notifiable data breach,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_26E,part_6A,,26E,Obligations of data intermediary of public agency,"Where an organisation — the organisation must, without undue delay, notify the public agency of the occurrence of the data breach.",in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_36,part_9,div_9_1,36,Interpretation of this Part,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_37,part_9,div_9_1,37,Meaning of “specified message”,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_38,part_9,div_9_1,38,Application of this Part,This Part applies to a specified message addressed to a Singapore telephone number where —,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_39,part_9,div_9_2,39,Register,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_40,part_9,div_9_2,40,Applications,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_41,part_9,div_9_2,41,Evidence,A certificate purporting to be signed by the Chief Executive of the Authority or an authorised officer and stating that a Singapore telephone number was or was not listed in a register at a date specified in the certificate is admissible as evidence of its contents in any proceedings.,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_42,part_9,div_9_2,42,Information on terminated Singapore telephone number,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_43,part_9,div_9_3,43,telephone number Duty to check register,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_43A,part_9,div_9_3,43A,Duty of checkers,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_44,part_9,div_9_3,44,Contact information,"Subject to section 48(2), a person must not send a specified message addressed to a Singapore telephone number unless —",in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_45,part_9,div_9_3,45,Calling line identity not to be concealed,"Subject to section 48(3), a person that makes a voice call containing a specified message or causes a voice call containing a specified message to be made or authorises the making of a voice call containing a specified message, addressed to a Singapore telephone number, from a telephone number or fax number, must not do any of the following:",in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_46,part_9,div_9_3,46,Consent,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_47,part_9,div_9_3,47,Withdrawal of consent,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_48,part_9,div_9_3,48,Defence for employee,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_48A,part_9A,,48A,Interpretation of this Part,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_48B,part_9A,,48B,Prohibition on use of dictionary attacks and address‑harvesting software,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_48C,part_9B,,48C,Interpretation and application of this Part,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_48D,part_9B,,48D,Unauthorised disclosure of personal data,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_48E,part_9B,,48E,Improper use of personal data,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_48F,part_9B,,48F,Unauthorised re‑identification of anonymised information,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_48G,part_9C,,48G,Alternative dispute resolution,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_48H,part_9C,,48H,Power to review,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_48I,part_9C,,48I,Directions for non‑compliance,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_48J,part_9C,,48J,Financial penalties,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_48K,part_9C,,48K,Procedure for giving of directions and imposing of financial penalty,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_48L,part_9C,,48L,Voluntary undertakings,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_48M,part_9C,,48M,Enforcement of directions of or written notices by Commission in District Court,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_48N,part_9C,,48N,Reconsideration of directions or decisions,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_48O,part_9C,,48O,Right of private action,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_48P,part_9D,,48P,Data Protection Appeal Panel and Data Protection Appeal Committees,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_48Q,part_9D,,48Q,Appeal from direction or decision of Commission,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_48R,part_9D,,48R,"Appeals to General Division of High Court, etc.",,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_49,part_10,,49,Advisory guidelines,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_50,part_10,,50,Powers of investigation,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_51,part_10,,51,Offences and penalties,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_52,part_10,,52,Offences by corporations,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_52A,part_10,,52A,Offences by unincorporated associations or partnerships,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_53,part_10,,53,Liability of employers for acts of employees,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_54,part_10,,54,Jurisdiction of court,"Despite any provision to the contrary in the Criminal Procedure Code 2010, a District Court has jurisdiction to try any offence under this Act and has power to impose the full penalty or punishment in respect of the offence.",in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_55,part_10,,55,Composition of offences,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_56,part_10,,56,General penalties,"A person guilty of an offence under this Act for which no penalty is expressly provided shall be liable on conviction to a fine not exceeding $10,000 or to imprisonment for a term not exceeding 3 years or to both and, in the case of a continuing offence, to a further fine not exceeding $1,000 for every day or part of a day during which the offence continues after conviction.",in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_57,part_10,,57,Public servants and public officers,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_58,part_10,,58,Evidence in proceedings,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_59,part_10,,59,Preservation of secrecy,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_60,part_10,,60,Protection from personal liability,No liability shall be incurred by — as a result of anything done (including any statement made) or omitted to be done with reasonable care and in good faith in the course of or in connection with —,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_61,part_10,,61,Symbol of Commission,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_62,part_10,,62,Power to exempt,"The Commission may, with the approval of the Minister, by order in the Gazette, exempt any person or organisation or any class of persons or organisations from all or any of the provisions of this Act, subject to such terms or conditions as may be specified in the order.",in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_63,part_10,,63,Certificate as to national interest,"For the purposes of this Act, if any doubt arises as to whether anything is necessary for the purpose of, or could be contrary to, the national interest, a certificate signed by the Minister charged with responsibility for that matter is conclusive evidence of the matters stated in the certificate.",in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_64,part_10,,64,Amendment of Schedules,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_65,part_10,,65,Power to make regulations,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_66,part_10,,66,Rules of Court,"Rules of Court may be made to provide for the practice and procedure relating to actions under section 48O and appeals under section 48R, including the requirement that the claimant notify the Commission upon commencing any such action or appeal, and for matters related thereto.",in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_67,part_10,,67,Saving and transitional provisions,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_68,part_10,,68,Dissolution,,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
