scheduleparagraph_id,schedule_id,parent_id,number,heading,text,source_document
sch_9_para2,sch_9,sch_9,2,Power to enter premises without warrant,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_9_para3,sch_9,sch_9,3,Power to enter premises under warrant,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_10_para1,sch_10,sch_10,1,,Offering to supply goods or services.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_10_para2,sch_10,sch_10,2,,Advertising or promoting goods or services.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_10_para3,sch_10,sch_10,3,,"Advertising or promoting a supplier, or prospective supplier, of goods or services.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_10_para4,sch_10,sch_10,4,,Offering to supply land or an interest in land.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_10_para5,sch_10,sch_10,5,,Advertising or promoting land or an interest in land.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_10_para6,sch_10,sch_10,6,,"Advertising or promoting a supplier, or prospective supplier, of land or an interest in land.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_10_para7,sch_10,sch_10,7,,Offering to provide a business opportunity or an investment opportunity.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_10_para8,sch_10,sch_10,8,,Advertising or promoting a business opportunity or an investment opportunity.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_10_para9,sch_10,sch_10,9,,"Advertising or promoting a provider, or prospective provider, of a business opportunity or an investment opportunity.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_11_para1,sch_11,sch_11,1,,"Testing the effectiveness of the anonymisation of personal data in the possession or under the control of an organisation or a public agency, as the case may be.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_11_para2,sch_11,sch_11,2,,"Testing the integrity and confidentiality of anonymised information in the possession or under the control of an organisation or a public agency, as the case may be.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_11_para3,sch_11,sch_11,3,,"Assessing, testing or evaluating the systems and processes of an organisation or a public agency for ensuring or safeguarding the integrity and confidentiality of anonymised information —",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
