clause_id,section_id,parent_id,clause_type,label,number,text,source_document
s_4(6),s_4,s_4,subsection,6,4(6),(6) Unless otherwise expressly provided in this Act —,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_4(6)(a),s_4,s_4(6),paragraph,a,4(6)(a),"(a) nothing in Parts 3, 4, 5, 6, 6A and 6B affects any authority, right, privilege or immunity conferred, or obligation or limitation imposed, by or under the law, including legal privilege, except that the performance of a contractual obligation is not an excuse for contravening this Act; and",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_4(6)(b),s_4,s_4(6),paragraph,b,4(6)(b),"(b) the provisions of other written law prevail to the extent that any provision of Parts 3, 4, 5, 6, 6A and 6B is inconsistent with the provisions of that other written law.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_5(1),s_5,s_5,subsection,1,5(1),(1) The Info‑communications Media Development Authority is designated as the Personal Data Protection Commission.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_5(2),s_5,s_5,subsection,2,5(2),(2) The Personal Data Protection Commission is responsible for the administration of this Act.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_6(a),s_6,s_6,paragraph,a,6(a),(a) to promote awareness of data protection in Singapore;,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_6(b),s_6,s_6,paragraph,b,6(b),"(b) to provide consultancy, advisory, technical, managerial or other specialist services relating to data protection;",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_6(c),s_6,s_6,paragraph,c,6(c),(c) to advise the Government on all matters relating to data protection;,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_6(d),s_6,s_6,paragraph,d,6(d),(d) to represent the Government internationally on matters relating to data protection;,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_6(e),s_6,s_6,paragraph,e,6(e),"(e) to conduct research and studies and promote educational activities relating to data protection, including organising and conducting seminars, workshops and symposia relating thereto, and supporting other organisations conducting such activities;",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_6(f),s_6,s_6,paragraph,f,6(f),"(f) to manage technical cooperation and exchange in the area of data protection with other organisations, including foreign data protection authorities and international or inter‑governmental organisations, on its own behalf or on behalf of the Government;",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_6(g),s_6,s_6,paragraph,g,6(g),(g) to administer and enforce this Act;,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_6(h),s_6,s_6,paragraph,h,6(h),(h) to carry out functions conferred on the Commission under any other written law; and,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_6(i),s_6,s_6,paragraph,i,6(i),(i) to engage in such other activities and perform such functions as the Minister may permit or assign to the Commission by order in the Gazette.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_7(1),s_7,s_7,subsection,1,7(1),(1) The Minister may appoint one or more advisory committees to provide advice to the Commission with regard to the performance of any of its functions under this Act.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_7(2),s_7,s_7,subsection,2,7(2),(2) The Commission may consult such advisory committees in relation to the performance of its functions and duties and the exercise of its powers under this Act but is not bound by such consultation.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_8(1),s_8,s_8,subsection,1,8(1),"(1) The Commission may appoint, by name or office, from among public officers and the employees of the Authority —",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_8(1)(a),s_8,s_8(1),paragraph,a,8(1)(a),(a) the Commissioner for Personal Data Protection; and,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_8(1)(b),s_8,s_8(1),paragraph,b,8(1)(b),"(b) such number of Deputy Commissioners for Personal Data Protection, Assistant Commissioners for Personal Data Protection and inspectors, as the Commission considers necessary.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_8(2),s_8,s_8,subsection,2,8(2),"(2) Where any function, duty or power of the Commission under this Act is delegated to the Commissioner under section 38 of the Info‑communications Media Development Authority Act 2016 —",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_8(2)(a),s_8,s_8(2),paragraph,a,8(2)(a),"(a) the Commissioner must perform that function or duty, or exercise that power, in his or her name;",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_8(2)(b),s_8,s_8(2),paragraph,b,8(2)(b),"(b) the Commission must not perform that function or duty, or exercise that power, during the period when the delegation is in force; and",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_8(2)(c),s_8,s_8(2),paragraph,c,8(2)(c),"(c) the Commission must, as soon as practicable after the delegation, publish a notice of the delegation in the Gazette.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_8(3),s_8,s_8,subsection,3,8(3),"(3) In exercising any of the powers of enforcement under this Act, an authorised officer must on demand produce to the person against whom he or she is acting the authority issued to him or her by the Commission.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_9(1),s_9,s_9,subsection,1,9(1),"(1) An individual appointed under section 8(1) or an employee of the Authority, who is authorised in writing by the Chief Executive of the Authority for the purpose of this section, may conduct, with the authorisation of the Public Prosecutor, proceedings in respect of an offence under this Act.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_9(2),s_9,s_9,subsection,2,9(2),(2) A legal counsel of the Commission who is an advocate and solicitor may —,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_9(2)(a),s_9,s_9(2),paragraph,a,9(2)(a),"(a) appear in any civil proceedings involving the performance of any function or duty, or the exercise of any power, of the Commission under any written law; and",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_9(2)(b),s_9,s_9(2),paragraph,b,9(2)(b),(b) make all applications and do all acts in respect of the civil proceedings on behalf of the Commission or an authorised officer.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_10(1),s_10,s_10,subsection,1,10(1),"(1) For the purposes of section 59, a cooperation agreement is an agreement for the purposes of —",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_10(1)(a),s_10,s_10(1),paragraph,a,10(1)(a),(a) facilitating cooperation between the Commission and another regulatory authority in the performance of their respective functions in so far as those functions relate to data protection; and,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_10(1)(b),s_10,s_10(1),paragraph,b,10(1)(b),"(b) avoiding duplication of activities by the Commission and another regulatory authority, being activities involving the enforcement of data protection laws.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_10(2),s_10,s_10,subsection,2,10(2),(2) A cooperation agreement may include provisions —,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_10(2)(a),s_10,s_10(2),paragraph,a,10(2)(a),(a) to enable the Commission and the other regulatory authority to provide to each other information in their respective possession if the information is required by the other for the purpose of performance by it of any of its functions;,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_10(2)(b),s_10,s_10(2),paragraph,b,10(2)(b),(b) to provide such other assistance to each other as will facilitate the performance by the other of any of its functions; and,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_10(2)(c),s_10,s_10(2),paragraph,c,10(2)(c),(c) to enable the Commission and the other regulatory authority to forbear to perform any of their respective functions in relation to a matter in circumstances where it is satisfied that the other is performing functions in relation to that matter.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_10(3),s_10,s_10,subsection,3,10(3),"(3) The Commission must not provide any information to a foreign data protection body pursuant to a cooperation agreement unless it requires of, and obtains from, that body an undertaking in writing by it that it will comply with terms specified in that requirement, including terms that correspond to the provisions of any written law concerning the disclosure of that information by the Commission.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_10(4),s_10,s_10,subsection,4,10(4),(4) The Commission may give an undertaking to a foreign data protection body that it will comply with terms specified in a requirement made of the Commission by the foreign data protection body to give such an undertaking where —,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_10(4)(a),s_10,s_10(4),paragraph,a,10(4)(a),"(a) those terms correspond to the provisions of any law in force in the country or territory in which the foreign data protection body is established, being provisions which concern the disclosure by the foreign data protection body of the information mentioned in paragraph (b); and",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_10(4)(b),s_10,s_10(4),paragraph,b,10(4)(b),(b) compliance with the requirement is a condition imposed by the foreign data protection body for providing information in its possession to the Commission pursuant to a cooperation agreement.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_10(5),s_10,s_10,subsection,5,10(5),(5) In this section —,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_11(1),s_11,s_11,subsection,1,11(1),"(1) In meeting its responsibilities under this Act, an organisation must consider what a reasonable person would consider appropriate in the circumstances.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_11(2),s_11,s_11,subsection,2,11(2),(2) An organisation is responsible for personal data in its possession or under its control.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_11(3),s_11,s_11,subsection,3,11(3),(3) An organisation must designate one or more individuals to be responsible for ensuring that the organisation complies with this Act.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_11(4),s_11,s_11,subsection,4,11(4),(4) An individual designated under subsection (3) may delegate to another individual the responsibility conferred by that designation.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_11(5),s_11,s_11,subsection,5,11(5),(5) An organisation must make available to the public the business contact information of at least one of the individuals designated under subsection (3) or delegated under subsection (4).,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_11(5A),s_11,s_11,subsection,5A,11(5A),"(5A) Without limiting subsection (5), an organisation is deemed to have satisfied that subsection if the organisation makes available the business contact information of any individual mentioned in subsection (3) in any prescribed manner.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_11(6),s_11,s_11,subsection,6,11(6),(6) The designation of an individual by an organisation under subsection (3) does not relieve the organisation of any of its obligations under this Act.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_12(a),s_12,s_12,paragraph,a,12(a),(a) develop and implement policies and practices that are necessary for the organisation to meet the obligations of the organisation under this Act;,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_12(b),s_12,s_12,paragraph,b,12(b),(b) develop a process to receive and respond to complaints that may arise with respect to the application of this Act;,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_12(c),s_12,s_12,paragraph,c,12(c),(c) communicate to its staff information about the organisation’s policies and practices mentioned in paragraph (a); and,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_12(d),s_12,s_12,paragraph,d,12(d),(d) make information available on request about —,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_12(d)(i),s_12,s_12(d),subparagraph,i,12(d)(i),(i) the policies and practices mentioned in paragraph (a); and,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_12(d)(ii),s_12,s_12(d),subparagraph,ii,12(d)(ii),(ii) the complaint process mentioned in paragraph (b).,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_13(a),s_13,s_13,paragraph,a,13(a),"(a) the individual gives, or is deemed to have given, his or her consent under this Act to the collection, use or disclosure, as the case may be; or",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_13(b),s_13,s_13,paragraph,b,13(b),"(b) the collection, use or disclosure (as the case may be) without the individual’s consent is required or authorised under this Act or any other written law.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_14(1),s_14,s_14,subsection,1,14(1),"(1) An individual has not given consent under this Act for the collection, use or disclosure of personal data about the individual by an organisation for a purpose unless —",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_14(1)(a),s_14,s_14(1),paragraph,a,14(1)(a),(a) the individual has been provided with the information required under section 20; and,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_14(1)(b),s_14,s_14(1),paragraph,b,14(1)(b),(b) the individual provided his or her consent for that purpose in accordance with this Act.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_14(2),s_14,s_14,subsection,2,14(2),(2) An organisation must not —,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_14(2)(a),s_14,s_14(2),paragraph,a,14(2)(a),"(a) as a condition of providing a product or service, require an individual to consent to the collection, use or disclosure of personal data about the individual beyond what is reasonable to provide the product or service to that individual; or",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_14(2)(b),s_14,s_14(2),paragraph,b,14(2)(b),"(b) obtain or attempt to obtain consent for collecting, using or disclosing personal data by providing false or misleading information with respect to the collection, use or disclosure of the personal data, or using deceptive or misleading practices.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_14(3),s_14,s_14,subsection,3,14(3),(3) Any consent given in any of the circumstances in subsection (2) is not validly given for the purposes of this Act.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_14(4),s_14,s_14,subsection,4,14(4),"(4) In this Act, references to consent given, or deemed to have been given, by an individual for the collection, use or disclosure of personal data about the individual include consent given, or deemed to have been given, by any person validly acting on that individual’s behalf for the collection, use or disclosure of such personal data.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15(1),s_15,s_15,subsection,1,15(1),"(1) An individual is deemed to consent to the collection, use or disclosure of personal data about the individual by an organisation for a purpose if —",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15(1)(a),s_15,s_15(1),paragraph,a,15(1)(a),"(a) the individual, without actually giving consent mentioned in section 14, voluntarily provides the personal data to the organisation for that purpose; and",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15(1)(b),s_15,s_15(1),paragraph,b,15(1)(b),(b) it is reasonable that the individual would voluntarily provide the data.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15(2),s_15,s_15,subsection,2,15(2),"(2) If an individual gives, or is deemed to have given, consent to the disclosure of personal data about the individual by one organisation to another organisation for a particular purpose, the individual is deemed to consent to the collection, use or disclosure of the personal data for that particular purpose by that other organisation.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15(3),s_15,s_15,subsection,3,15(3),"(3) Without limiting subsection (2) and subject to subsection (9), an individual (P) who provides personal data to an organisation (A) with a view to P entering into a contract with A is deemed to consent to the following where reasonably necessary for the conclusion of the contract between P and A:",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15(3)(a),s_15,s_15(3),paragraph,a,15(3)(a),(a) the disclosure of that personal data by A to another organisation (B);,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15(3)(b),s_15,s_15(3),paragraph,b,15(3)(b),(b) the collection and use of that personal data by B;,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15(3)(c),s_15,s_15(3),paragraph,c,15(3)(c),(c) the disclosure of that personal data by B to another organisation.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15(4),s_15,s_15,subsection,4,15(4),"(4) Where an organisation collects personal data disclosed to it by B under subsection (3)(c), subsection (3)(b) and (c) applies to the organisation as if the personal data were disclosed by A to the organisation under subsection (3)(a).",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15(5),s_15,s_15,subsection,5,15(5),(5) Subsections (3) and (4) apply to personal data provided before 1 February 2021 by an individual to an organisation with a view to the individual entering into a contract with the organisation — as if subsections (3) and (4) —,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15(5)(a),s_15,s_15(5),paragraph,a,15(5)(a),(a) on or after 1 February 2021; or,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15(5)(b),s_15,s_15(5),paragraph,b,15(5)(b),"(b) which contract was entered into before 1 February 2021 and remains in force on that date,",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15(5)(c),s_15,s_15(5),paragraph,c,15(5)(c),(c) were in force when the personal data was so provided; and,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15(5)(d),s_15,s_15(5),paragraph,d,15(5)(d),(d) had continued in force until 1 February 2021.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15(6),s_15,s_15,subsection,6,15(6),"(6) Without limiting subsection (2) and subject to subsection (9), an individual (P) who enters into a contract with an organisation (A) and provides personal data to A pursuant or in relation to that contract is deemed to consent to the following:",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15(6)(a),s_15,s_15(6),paragraph,a,15(6)(a),"(a) the disclosure of that personal data by A to another organisation (B), where the disclosure is reasonably necessary —",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15(6)(a)(i),s_15,s_15(6)(a),subparagraph,i,15(6)(a)(i),(i) for the performance of the contract between P and A; or,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15(6)(a)(ii),s_15,s_15(6)(a),subparagraph,ii,15(6)(a)(ii),"(ii) for the conclusion or performance of a contract between A and B which is entered into at P’s request, or which a reasonable person would consider to be in P’s interest;",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15(6)(b),s_15,s_15(6),paragraph,b,15(6)(b),"(b) the collection and use of that personal data by B, where the collection and use are reasonably necessary for any purpose mentioned in paragraph (a);",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15(6)(c),s_15,s_15(6),paragraph,c,15(6)(c),"(c) the disclosure of that personal data by B to another organisation, where the disclosure is reasonably necessary for any purpose mentioned in paragraph (a).",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15(7),s_15,s_15,subsection,7,15(7),"(7) Where an organisation collects personal data disclosed to it by B under subsection (6)(c), subsection (6)(b) and (c) applies to the organisation as if the personal data were disclosed by A to the organisation under subsection (6)(a).",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15(8),s_15,s_15,subsection,8,15(8),"(8) Subsections (6) and (7) apply to personal data provided before 1 February 2021 by an individual to an organisation in relation to a contract that the individual entered into before that date with the organisation, and which remains in force on that date, as if subsections (6) and (7) —",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15(8)(a),s_15,s_15(8),paragraph,a,15(8)(a),(a) were in force when the personal data was so provided; and,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15(8)(b),s_15,s_15(8),paragraph,b,15(8)(b),(b) had continued in force until 1 February 2021.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15(9),s_15,s_15,subsection,9,15(9),"(9) Subsections (3), (4), (5), (6), (7) and (8) do not affect any obligation under the contract between P and A that specifies or restricts —",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15(9)(a),s_15,s_15(9),paragraph,a,15(9)(a),(a) the personal data provided by P that A may disclose to another organisation; or,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15(9)(b),s_15,s_15(9),paragraph,b,15(9)(b),(b) the purposes for which A may disclose the personal data provided by P to another organisation.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15A(1),s_15A,s_15A,subsection,1,15A(1),"(1) This section applies to the collection, use or disclosure of personal data about an individual by an organisation on or after 1 February 2021.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15A(2),s_15A,s_15A,subsection,2,15A(2),"(2) Subject to subsection (3), an individual is deemed to consent to the collection, use or disclosure of personal data about the individual by an organisation if —",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15A(2)(a),s_15A,s_15A(2),paragraph,a,15A(2)(a),(a) the organisation satisfies the requirements in subsection (4); and,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
s_15A(2)(b),s_15A,s_15A(2),paragraph,b,15A(2)(b),"(b) the individual does not notify the organisation, before the expiry of the period mentioned in subsection (4)(b)(iii), that the individual does not consent to the proposed collection, use or disclosure of the personal data by the organisation.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
