source_id,target_id,rel_type,matched_on_reference
IA.L2-3.5.6,V20:IA.L2-3.5.6,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.5.6
IA.L2-3.5.7,V20:IA.L2-3.5.7,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.5.7
IA.L2-3.5.8,V20:IA.L2-3.5.8,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.5.8
IA.L2-3.5.9,V20:IA.L2-3.5.9,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.5.9
IR.L2-3.6.1,V20:IR.L2-3.6.1,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.6.1
IR.L2-3.6.2,V20:IR.L2-3.6.2,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.6.2
IR.L2-3.6.3,V20:IR.L2-3.6.3,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.6.3
MA.L2-3.7.1,V20:MA.L2-3.7.1,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.7.1
MA.L2-3.7.2,V20:MA.L2-3.7.2,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.7.2
MA.L2-3.7.3,V20:MA.L2-3.7.3,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.7.3
MA.L2-3.7.4,V20:MA.L2-3.7.4,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.7.4
MA.L2-3.7.5,V20:MA.L2-3.7.5,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.7.5
MA.L2-3.7.6,V20:MA.L2-3.7.6,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.7.6
MP.L1-b.1.vii,V20:MP.L1-3.8.3,CORRESPONDS_TO,FAR Clause 52.204-21 b.1.vii
MP.L1-b.1.vii,V20:MP.L1-3.8.3,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.8.3
MP.L2-3.8.1,V20:MP.L2-3.8.1,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.8.1
MP.L2-3.8.2,V20:MP.L2-3.8.2,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.8.2
MP.L2-3.8.3,V20:MP.L1-3.8.3,CORRESPONDS_TO,FAR Clause 52.204-21 b.1.vii
MP.L2-3.8.3,V20:MP.L1-3.8.3,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.8.3
MP.L2-3.8.4,V20:MP.L2-3.8.4,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.8.4
MP.L2-3.8.5,V20:MP.L2-3.8.5,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.8.5
MP.L2-3.8.6,V20:MP.L2-3.8.6,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.8.6
MP.L2-3.8.7,V20:MP.L2-3.8.7,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.8.7
MP.L2-3.8.8,V20:MP.L2-3.8.8,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.8.8
MP.L2-3.8.9,V20:MP.L2-3.8.9,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.8.9
PE.L1-b.1.ix,V20:PE.L1-3.10.3,CORRESPONDS_TO,FAR Clause 52.204-21 Partial b.1.ix
PE.L1-b.1.ix,V20:PE.L1-3.10.3,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.10.3
PE.L1-b.1.ix,V20:PE.L1-3.10.4,CORRESPONDS_TO,FAR Clause 52.204-21 Partial b.1.ix
PE.L1-b.1.ix,V20:PE.L1-3.10.4,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.10.4
PE.L1-b.1.ix,V20:PE.L1-3.10.5,CORRESPONDS_TO,FAR Clause 52.204-21 Partial b.1.ix
PE.L1-b.1.ix,V20:PE.L1-3.10.5,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.10.5
PE.L1-b.1.viii,V20:PE.L1-3.10.1,CORRESPONDS_TO,FAR Clause 52.204-21 b.1.viii
PE.L1-b.1.viii,V20:PE.L1-3.10.1,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.10.1
PE.L2-3.10.1,V20:PE.L1-3.10.1,CORRESPONDS_TO,FAR Clause 52.204-21 b.1.viii
PE.L2-3.10.1,V20:PE.L1-3.10.1,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.10.1
PE.L2-3.10.2,V20:PE.L2-3.10.2,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.10.2
PE.L2-3.10.3,V20:PE.L1-3.10.3,CORRESPONDS_TO,FAR Clause 52.204-21 Partial b.1.ix
PE.L2-3.10.3,V20:PE.L1-3.10.3,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.10.3
PE.L2-3.10.3,V20:PE.L1-3.10.4,CORRESPONDS_TO,FAR Clause 52.204-21 Partial b.1.ix
PE.L2-3.10.3,V20:PE.L1-3.10.5,CORRESPONDS_TO,FAR Clause 52.204-21 Partial b.1.ix
PE.L2-3.10.4,V20:PE.L1-3.10.3,CORRESPONDS_TO,FAR Clause 52.204-21 Partial b.1.ix
PE.L2-3.10.4,V20:PE.L1-3.10.4,CORRESPONDS_TO,FAR Clause 52.204-21 Partial b.1.ix
PE.L2-3.10.4,V20:PE.L1-3.10.4,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.10.4
PE.L2-3.10.4,V20:PE.L1-3.10.5,CORRESPONDS_TO,FAR Clause 52.204-21 Partial b.1.ix
PE.L2-3.10.5,V20:PE.L1-3.10.3,CORRESPONDS_TO,FAR Clause 52.204-21 Partial b.1.ix
PE.L2-3.10.5,V20:PE.L1-3.10.4,CORRESPONDS_TO,FAR Clause 52.204-21 Partial b.1.ix
PE.L2-3.10.5,V20:PE.L1-3.10.5,CORRESPONDS_TO,FAR Clause 52.204-21 Partial b.1.ix
PE.L2-3.10.5,V20:PE.L1-3.10.5,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.10.5
PE.L2-3.10.6,V20:PE.L2-3.10.6,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.10.6
PS.L2-3.9.1,V20:PS.L2-3.9.1,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.9.1
PS.L2-3.9.2,V20:PS.L2-3.9.2,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.9.2
RA.L2-3.11.1,V20:RA.L2-3.11.1,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.11.1
RA.L2-3.11.2,V20:RA.L2-3.11.2,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.11.2
RA.L2-3.11.3,V20:RA.L2-3.11.3,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.11.3
SC.L1-b.1.x,V20:SC.L1-3.13.1,CORRESPONDS_TO,FAR Clause 52.204-21 b.1.x
SC.L1-b.1.x,V20:SC.L1-3.13.1,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.13.1
SC.L1-b.1.xi,V20:SC.L1-3.13.5,CORRESPONDS_TO,FAR Clause 52.204-21 b.1.xi
SC.L1-b.1.xi,V20:SC.L1-3.13.5,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.13.5
SC.L2-3.13.1,V20:SC.L1-3.13.1,CORRESPONDS_TO,FAR Clause 52.204-21 b.1.x
SC.L2-3.13.1,V20:SC.L1-3.13.1,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.13.1
SC.L2-3.13.10,V20:SC.L2-3.13.10,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.13.10
SC.L2-3.13.11,V20:SC.L2-3.13.11,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.13.11
SC.L2-3.13.12,V20:SC.L2-3.13.12,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.13.12
SC.L2-3.13.13,V20:SC.L2-3.13.13,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.13.13
SC.L2-3.13.14,V20:SC.L2-3.13.14,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.13.14
SC.L2-3.13.15,V20:SC.L2-3.13.15,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.13.15
SC.L2-3.13.16,V20:SC.L2-3.13.16,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.13.16
SC.L2-3.13.2,V20:SC.L2-3.13.2,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.13.2
SC.L2-3.13.3,V20:SC.L2-3.13.3,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.13.3
SC.L2-3.13.4,V20:SC.L2-3.13.4,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.13.4
SC.L2-3.13.5,V20:SC.L1-3.13.5,CORRESPONDS_TO,FAR Clause 52.204-21 b.1.xi
SC.L2-3.13.5,V20:SC.L1-3.13.5,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.13.5
SC.L2-3.13.6,V20:SC.L2-3.13.6,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.13.6
SC.L2-3.13.7,V20:SC.L2-3.13.7,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.13.7
SC.L2-3.13.8,V20:SC.L2-3.13.8,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.13.8
SC.L2-3.13.9,V20:SC.L2-3.13.9,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.13.9
SI.L1-b.1.xii,V20:SI.L1-3.14.1,CORRESPONDS_TO,FAR Clause 52.204-21 b.1.xii
SI.L1-b.1.xii,V20:SI.L1-3.14.1,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.14.1
SI.L1-b.1.xiii,V20:SI.L1-3.14.2,CORRESPONDS_TO,FAR Clause 52.204-21 b.1.xiii
SI.L1-b.1.xiii,V20:SI.L1-3.14.2,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.14.2
SI.L1-b.1.xiv,V20:SI.L1-3.14.4,CORRESPONDS_TO,FAR Clause 52.204-21 b.1.xiv
SI.L1-b.1.xiv,V20:SI.L1-3.14.4,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.14.4
SI.L1-b.1.xv,V20:SI.L1-3.14.5,CORRESPONDS_TO,FAR Clause 52.204-21 b.1.xv
SI.L1-b.1.xv,V20:SI.L1-3.14.5,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.14.5
SI.L2-3.14.1,V20:SI.L1-3.14.1,CORRESPONDS_TO,FAR Clause 52.204-21 b.1.xii
SI.L2-3.14.1,V20:SI.L1-3.14.1,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.14.1
SI.L2-3.14.2,V20:SI.L1-3.14.2,CORRESPONDS_TO,FAR Clause 52.204-21 b.1.xiii
SI.L2-3.14.2,V20:SI.L1-3.14.2,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.14.2
SI.L2-3.14.3,V20:SI.L2-3.14.3,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.14.3
SI.L2-3.14.4,V20:SI.L1-3.14.4,CORRESPONDS_TO,FAR Clause 52.204-21 b.1.xiv
SI.L2-3.14.4,V20:SI.L1-3.14.4,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.14.4
SI.L2-3.14.5,V20:SI.L1-3.14.5,CORRESPONDS_TO,FAR Clause 52.204-21 b.1.xv
SI.L2-3.14.5,V20:SI.L1-3.14.5,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.14.5
SI.L2-3.14.6,V20:SI.L2-3.14.6,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.14.6
SI.L2-3.14.7,V20:SI.L2-3.14.7,CORRESPONDS_TO,NIST SP 800-171 Rev 2 3.14.7
