practice_id,practice_number,domain,level,short_name,practice_statement,source_references,source_document
V20:CM.L2-3.4.8,CM.L2-3.4.8,CM,2,Application Execution Policy,"Apply deny-by-exception (blacklisting) policy to prevent the use of unauthorized software or deny-all, permit-by-exception (whitelisting) policy to allow the execution of authorized software.",NIST SP 800-171 Rev 2 3.4.8,CMMC-MODEL-OVERVIEW-V2.0
V20:CM.L2-3.4.9,CM.L2-3.4.9,CM,2,User-Installed Software,Control and monitor user-installed software.,NIST SP 800-171 Rev 2 3.4.9,CMMC-MODEL-OVERVIEW-V2.0
V20:IA.L1-3.5.1,IA.L1-3.5.1,IA,1,Identification,"Identify information system users, processes acting on behalf of users, or devices.",FAR Clause 52.204-21 b.1.v; NIST SP 800-171 Rev 2 3.5.1,CMMC-MODEL-OVERVIEW-V2.0
V20:IA.L1-3.5.2,IA.L1-3.5.2,IA,1,Authentication,"Authenticate (or verify) the identities of those users, processes, or devices, as a prerequisite to allowing access to organizational information systems.",FAR Clause 52.204-21 b.1.vi; NIST SP 800-171 Rev 2 3.5.2,CMMC-MODEL-OVERVIEW-V2.0
V20:IA.L2-3.5.3,IA.L2-3.5.3,IA,2,Multifactor Authentication,Use multifactor authentication for local and network access to privileged accounts and for network access to non-privileged accounts.,NIST SP 800-171 Rev 2 3.5.3,CMMC-MODEL-OVERVIEW-V2.0
V20:IA.L2-3.5.4,IA.L2-3.5.4,IA,2,Replay-Resistant Authentication,Employ replay-resistant authentication mechanisms for network access to privileged and non-privileged accounts.,NIST SP 800-171 Rev 2 3.5.4,CMMC-MODEL-OVERVIEW-V2.0
V20:IA.L2-3.5.5,IA.L2-3.5.5,IA,2,Identifier Reuse,Prevent reuse of identifiers for a defined period.,NIST SP 800-171 Rev 2 3.5.5,CMMC-MODEL-OVERVIEW-V2.0
V20:IA.L2-3.5.6,IA.L2-3.5.6,IA,2,Identifier Handling,Disable identifiers after a defined period of inactivity.,NIST SP 800-171 Rev 2 3.5.6,CMMC-MODEL-OVERVIEW-V2.0
V20:IA.L2-3.5.7,IA.L2-3.5.7,IA,2,Password Complexity,Enforce a minimum password complexity and change of characters when new passwords are created.,NIST SP 800-171 Rev 2 3.5.7,CMMC-MODEL-OVERVIEW-V2.0
V20:IA.L2-3.5.8,IA.L2-3.5.8,IA,2,Password Reuse,Prohibit password reuse for a specified number of generations.,NIST SP 800-171 Rev 2 3.5.8,CMMC-MODEL-OVERVIEW-V2.0
V20:IA.L2-3.5.9,IA.L2-3.5.9,IA,2,Temporary Passwords,Allow temporary password use for system logons with an immediate change to a permanent password.,NIST SP 800-171 Rev 2 3.5.9,CMMC-MODEL-OVERVIEW-V2.0
V20:IA.L2-3.5.10,IA.L2-3.5.10,IA,2,Cryptographically-Protected Passwords,Store and transmit only cryptographically protected passwords.,NIST SP 800-171 Rev 2 3.5.10,CMMC-MODEL-OVERVIEW-V2.0
V20:IA.L2-3.5.11,IA.L2-3.5.11,IA,2,Obscure Feedback,Obscure feedback of authentication information.,NIST SP 800-171 Rev 2 3.5.11,CMMC-MODEL-OVERVIEW-V2.0
V20:IR.L2-3.6.1,IR.L2-3.6.1,IR,2,Incident Handling,"Establish an operational incident-handling capability for organizational systems that includes preparation, detection, analysis, containment, recovery, and user response activities.",NIST SP 800-171 Rev 2 3.6.1,CMMC-MODEL-OVERVIEW-V2.0
V20:IR.L2-3.6.2,IR.L2-3.6.2,IR,2,Incident Reporting,"Track, document, and report incidents to designated officials and/or authorities both internal and external to the organization.",NIST SP 800-171 Rev 2 3.6.2,CMMC-MODEL-OVERVIEW-V2.0
V20:IR.L2-3.6.3,IR.L2-3.6.3,IR,2,Incident Response Testing,Test the organizational incident response capability.,NIST SP 800-171 Rev 2 3.6.3,CMMC-MODEL-OVERVIEW-V2.0
V20:MA.L2-3.7.1,MA.L2-3.7.1,MA,2,Perform Maintenance,Perform maintenance on organizational systems.,NIST SP 800-171 Rev 2 3.7.1,CMMC-MODEL-OVERVIEW-V2.0
V20:MA.L2-3.7.2,MA.L2-3.7.2,MA,2,System Maintenance Control,"Provide controls on the tools, techniques, mechanisms, and personnel used to conduct system maintenance.",NIST SP 800-171 Rev 2 3.7.2,CMMC-MODEL-OVERVIEW-V2.0
V20:MA.L2-3.7.3,MA.L2-3.7.3,MA,2,Equipment Sanitization,Ensure equipment removed for off-site maintenance is sanitized of any CUI.,NIST SP 800-171 Rev 2 3.7.3,CMMC-MODEL-OVERVIEW-V2.0
V20:MA.L2-3.7.4,MA.L2-3.7.4,MA,2,Media Inspection,Check media containing diagnostic and test programs for malicious code before the media are used in organizational systems.,NIST SP 800-171 Rev 2 3.7.4,CMMC-MODEL-OVERVIEW-V2.0
V20:MA.L2-3.7.5,MA.L2-3.7.5,MA,2,Nonlocal Maintenance,Require multifactor authentication to establish nonlocal maintenance sessions via external network connections and terminate such connections when nonlocal maintenance is complete.,NIST SP 800-171 Rev 2 3.7.5,CMMC-MODEL-OVERVIEW-V2.0
V20:MA.L2-3.7.6,MA.L2-3.7.6,MA,2,Maintenance Personnel,Supervise the maintenance activities of maintenance personnel without required access authorization.,NIST SP 800-171 Rev 2 3.7.6,CMMC-MODEL-OVERVIEW-V2.0
V20:MP.L1-3.8.3,MP.L1-3.8.3,MP,1,Media Disposal,Sanitize or destroy information system media containing Federal Contract Information before disposal or release for reuse.,FAR Clause 52.204-21 b.1.vii; NIST SP 800-171 Rev 2 3.8.3,CMMC-MODEL-OVERVIEW-V2.0
V20:MP.L2-3.8.1,MP.L2-3.8.1,MP,2,Media Protection,"Protect (i.e., physically control and securely store) system media containing CUI, both paper and digital.",NIST SP 800-171 Rev 2 3.8.1,CMMC-MODEL-OVERVIEW-V2.0
V20:MP.L2-3.8.2,MP.L2-3.8.2,MP,2,Media Access,Limit access to CUI on system media to authorized users.,NIST SP 800-171 Rev 2 3.8.2,CMMC-MODEL-OVERVIEW-V2.0
V20:MP.L2-3.8.4,MP.L2-3.8.4,MP,2,Media Markings,Mark media with necessary CUI markings and distribution limitations.,NIST SP 800-171 Rev 2 3.8.4,CMMC-MODEL-OVERVIEW-V2.0
V20:MP.L2-3.8.5,MP.L2-3.8.5,MP,2,Media Accountability,Control access to media containing CUI and maintain accountability for media during transport outside of controlled areas.,NIST SP 800-171 Rev 2 3.8.5,CMMC-MODEL-OVERVIEW-V2.0
V20:MP.L2-3.8.6,MP.L2-3.8.6,MP,2,Portable Storage Encryption,Implement cryptographic mechanisms to protect the confidentiality of CUI stored on digital media during transport unless otherwise protected by alternative physical safeguards.,NIST SP 800-171 Rev 2 3.8.6,CMMC-MODEL-OVERVIEW-V2.0
V20:MP.L2-3.8.7,MP.L2-3.8.7,MP,2,Removable Media,Control the use of removable media on system components.,NIST SP 800-171 Rev 2 3.8.7,CMMC-MODEL-OVERVIEW-V2.0
V20:MP.L2-3.8.8,MP.L2-3.8.8,MP,2,Shared Media,Prohibit the use of portable storage devices when such devices have no identifiable owner.,NIST SP 800-171 Rev 2 3.8.8,CMMC-MODEL-OVERVIEW-V2.0
V20:MP.L2-3.8.9,MP.L2-3.8.9,MP,2,Protect Backups,Protect the confidentiality of backup CUI at storage locations.,NIST SP 800-171 Rev 2 3.8.9,CMMC-MODEL-OVERVIEW-V2.0
V20:PS.L2-3.9.1,PS.L2-3.9.1,PS,2,Screen Individuals,Screen individuals prior to authorizing access to organizational systems containing CUI.,NIST SP 800-171 Rev 2 3.9.1,CMMC-MODEL-OVERVIEW-V2.0
V20:PS.L2-3.9.2,PS.L2-3.9.2,PS,2,Personnel Actions,Ensure that organizational systems containing CUI are protected during and after personnel actions such as terminations and transfers.,NIST SP 800-171 Rev 2 3.9.2,CMMC-MODEL-OVERVIEW-V2.0
V20:PE.L1-3.10.1,PE.L1-3.10.1,PE,1,Limit Physical Access,"Limit physical access to organizational information systems, equipment, and the respective operating environments to authorized individuals.",FAR Clause 52.204-21 b.1.viii; NIST SP 800-171 Rev 2 3.10.1,CMMC-MODEL-OVERVIEW-V2.0
V20:PE.L1-3.10.3,PE.L1-3.10.3,PE,1,Escort Visitors,Escort visitors and monitor visitor activity.,FAR Clause 52.204-21 Partial b.1.ix; NIST SP 800-171 Rev 2 3.10.3,CMMC-MODEL-OVERVIEW-V2.0
V20:PE.L1-3.10.4,PE.L1-3.10.4,PE,1,Physical Access Logs,Maintain audit logs of physical access.,FAR Clause 52.204-21 Partial b.1.ix; NIST SP 800-171 Rev 2 3.10.4,CMMC-MODEL-OVERVIEW-V2.0
V20:PE.L1-3.10.5,PE.L1-3.10.5,PE,1,Manage Physical Access,Control and manage physical access devices.,FAR Clause 52.204-21 Partial b.1.ix; NIST SP 800-171 Rev 2 3.10.5,CMMC-MODEL-OVERVIEW-V2.0
V20:PE.L2-3.10.2,PE.L2-3.10.2,PE,2,Monitor Facility,Protect and monitor the physical facility and support infrastructure for organizational systems.,NIST SP 800-171 Rev 2 3.10.2,CMMC-MODEL-OVERVIEW-V2.0
V20:PE.L2-3.10.6,PE.L2-3.10.6,PE,2,Alternative Work Sites,Enforce safeguarding measures for CUI at alternate work sites.,NIST SP 800-171 Rev 2 3.10.6,CMMC-MODEL-OVERVIEW-V2.0
V20:RA.L2-3.11.1,RA.L2-3.11.1,RA,2,Risk Assessments,"Periodically assess the risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals, resulting from the operation of organizational systems and the associated processing, storage, or transmission of CUI.",NIST SP 800-171 Rev 2 3.11.1,CMMC-MODEL-OVERVIEW-V2.0
V20:RA.L2-3.11.2,RA.L2-3.11.2,RA,2,Vulnerability Scan,Scan for vulnerabilities in organizational systems and applications periodically and when new vulnerabilities affecting those systems and applications are identified.,NIST SP 800-171 Rev 2 3.11.2,CMMC-MODEL-OVERVIEW-V2.0
V20:RA.L2-3.11.3,RA.L2-3.11.3,RA,2,Vulnerability Remediation,Remediate vulnerabilities in accordance with risk assessments.,NIST SP 800-171 Rev 2 3.11.3,CMMC-MODEL-OVERVIEW-V2.0
V20:CA.L2-3.12.1,CA.L2-3.12.1,CA,2,Security Control Assessment,Periodically assess the security controls in organizational systems to determine if the controls are effective in their application.,NIST SP 800-171 Rev 2 3.12.1,CMMC-MODEL-OVERVIEW-V2.0
V20:CA.L2-3.12.2,CA.L2-3.12.2,CA,2,Plan of Action,Develop and implement plans of action designed to correct deficiencies and reduce or eliminate vulnerabilities in organizational systems.,NIST SP 800-171 Rev 2 3.12.2,CMMC-MODEL-OVERVIEW-V2.0
V20:CA.L2-3.12.3,CA.L2-3.12.3,CA,2,Security Control Monitoring,Monitor security controls on an ongoing basis to ensure the continued effectiveness of the controls.,NIST SP 800-171 Rev 2 3.12.3,CMMC-MODEL-OVERVIEW-V2.0
V20:CA.L2-3.12.4,CA.L2-3.12.4,CA,2,System Security Plan,"Develop, document, and periodically update system security plans that describe system boundaries, system environments of operation, how security requirements are implemented, and the relationships with or connections to other systems.",NIST SP 800-171 Rev 2 3.12.4,CMMC-MODEL-OVERVIEW-V2.0
V20:SC.L1-3.13.1,SC.L1-3.13.1,SC,1,Boundary Protection,"Monitor, control, and protect organizational communications (i.e., information transmitted or received by organizational information systems) at the external boundaries and key internal boundaries of the information systems.",FAR Clause 52.204-21 b.1.x; NIST SP 800-171 Rev 2 3.13.1,CMMC-MODEL-OVERVIEW-V2.0
V20:SC.L1-3.13.5,SC.L1-3.13.5,SC,1,Public-Access System Separation,Implement subnetworks for publicly accessible system components that are physically or logically separated from internal networks.,FAR Clause 52.204-21 b.1.xi; NIST SP 800-171 Rev 2 3.13.5,CMMC-MODEL-OVERVIEW-V2.0
V20:SC.L2-3.13.2,SC.L2-3.13.2,SC,2,Security Engineering,"Employ architectural designs, software development techniques, and systems engineering principles that promote effective information security within organizational systems.",NIST SP 800-171 Rev 2 3.13.2,CMMC-MODEL-OVERVIEW-V2.0
V20:SC.L2-3.13.3,SC.L2-3.13.3,SC,2,Role Separation,Separate user functionality from system management functionality.,NIST SP 800-171 Rev 2 3.13.3,CMMC-MODEL-OVERVIEW-V2.0
V20:SC.L2-3.13.4,SC.L2-3.13.4,SC,2,Shared Resource Control,Prevent unauthorized and unintended information transfer via shared system resources.,NIST SP 800-171 Rev 2 3.13.4,CMMC-MODEL-OVERVIEW-V2.0
V20:SC.L2-3.13.6,SC.L2-3.13.6,SC,2,Network Communication by Exception,"Deny network communications traffic by default and allow network communications traffic by exception (i.e., deny all, permit by exception).",NIST SP 800-171 Rev 2 3.13.6,CMMC-MODEL-OVERVIEW-V2.0
V20:SC.L2-3.13.7,SC.L2-3.13.7,SC,2,Split Tunneling,"Prevent remote devices from simultaneously establishing non-remote connections with organizational systems and communicating via some other connection to resources in external networks (i.e., split tunneling).",NIST SP 800-171 Rev 2 3.13.7,CMMC-MODEL-OVERVIEW-V2.0
V20:SC.L2-3.13.8,SC.L2-3.13.8,SC,2,Data in Transit,Implement cryptographic mechanisms to prevent unauthorized disclosure of CUI during transmission unless otherwise protected by alternative physical safeguards.,NIST SP 800-171 Rev 2 3.13.8,CMMC-MODEL-OVERVIEW-V2.0
V20:SC.L2-3.13.9,SC.L2-3.13.9,SC,2,Connections Termination,Terminate network connections associated with communications sessions at the end of the sessions or after a defined period of inactivity.,NIST SP 800-171 Rev 2 3.13.9,CMMC-MODEL-OVERVIEW-V2.0
V20:SC.L2-3.13.10,SC.L2-3.13.10,SC,2,Key Management,Establish and manage cryptographic keys for cryptography employed in organizational systems.,NIST SP 800-171 Rev 2 3.13.10,CMMC-MODEL-OVERVIEW-V2.0
V20:SC.L2-3.13.11,SC.L2-3.13.11,SC,2,CUI Encryption,Employ FIPS-validated cryptography when used to protect the confidentiality of CUI.,NIST SP 800-171 Rev 2 3.13.11,CMMC-MODEL-OVERVIEW-V2.0
V20:SC.L2-3.13.12,SC.L2-3.13.12,SC,2,Collaborative Device Control,Prohibit remote activation of collaborative computing devices and provide indication of devices in use to users present at the device.,NIST SP 800-171 Rev 2 3.13.12,CMMC-MODEL-OVERVIEW-V2.0
V20:SC.L2-3.13.13,SC.L2-3.13.13,SC,2,Mobile Code,Control and monitor the use of mobile code.,NIST SP 800-171 Rev 2 3.13.13,CMMC-MODEL-OVERVIEW-V2.0
V20:SC.L2-3.13.14,SC.L2-3.13.14,SC,2,Voice over Internet Protocol,Control and monitor the use of Voice over Internet Protocol (VoIP) technologies.,NIST SP 800-171 Rev 2 3.13.14,CMMC-MODEL-OVERVIEW-V2.0
V20:SC.L2-3.13.15,SC.L2-3.13.15,SC,2,Communications Authenticity,Protect the authenticity of communications sessions.,NIST SP 800-171 Rev 2 3.13.15,CMMC-MODEL-OVERVIEW-V2.0
V20:SC.L2-3.13.16,SC.L2-3.13.16,SC,2,Data at Rest,Protect the confidentiality of CUI at rest.,NIST SP 800-171 Rev 2 3.13.16,CMMC-MODEL-OVERVIEW-V2.0
V20:SI.L1-3.14.1,SI.L1-3.14.1,SI,1,Flaw Remediation,"Identify, report, and correct information and information system flaws in a timely manner.",FAR Clause 52.204-21 b.1.xii; NIST SP 800-171 Rev 2 3.14.1,CMMC-MODEL-OVERVIEW-V2.0
V20:SI.L1-3.14.2,SI.L1-3.14.2,SI,1,Malicious Code Protection,Provide protection from malicious code at appropriate locations within organizational information systems.,FAR Clause 52.204-21 b.1.xiii; NIST SP 800-171 Rev 2 3.14.2,CMMC-MODEL-OVERVIEW-V2.0
V20:SI.L1-3.14.4,SI.L1-3.14.4,SI,1,Update Malicious Code Protection,Update malicious code protection mechanisms when new releases are available.,FAR Clause 52.204-21 b.1.xiv; NIST SP 800-171 Rev 2 3.14.4,CMMC-MODEL-OVERVIEW-V2.0
V20:SI.L1-3.14.5,SI.L1-3.14.5,SI,1,System & File Scanning,"Perform periodic scans of the information system and real-time scans of files from external sources as files are downloaded, opened, or executed.",FAR Clause 52.204-21 b.1.xv; NIST SP 800-171 Rev 2 3.14.5,CMMC-MODEL-OVERVIEW-V2.0
V20:SI.L2-3.14.3,SI.L2-3.14.3,SI,2,Security Alerts & Advisories,Monitor system security alerts and advisories and take action in response.,NIST SP 800-171 Rev 2 3.14.3,CMMC-MODEL-OVERVIEW-V2.0
V20:SI.L2-3.14.6,SI.L2-3.14.6,SI,2,Monitor Communications for Attacks,"Monitor organizational systems, including inbound and outbound communications traffic, to detect attacks and indicators of potential attacks.",NIST SP 800-171 Rev 2 3.14.6,CMMC-MODEL-OVERVIEW-V2.0
V20:SI.L2-3.14.7,SI.L2-3.14.7,SI,2,Identify Unauthorized Use,Identify unauthorized use of organizational systems.,NIST SP 800-171 Rev 2 3.14.7,CMMC-MODEL-OVERVIEW-V2.0
