provision_id,number,parent_provision_id,amendment_item_id,text,deadline,obligated_party,source_document
prov_6_1_5,6.1.5,prov_6_1,amd_6,automated calling machine.,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_6_2,6.2,,amd_6,"A request for a data subject’s consent to the processing of his, her, or its personal information as referred to in sub-regulation 6.1 above by telephonic means must be electronically recorded by a responsible party and such recording must, upon request, be made available to a data subject in any manner, including the transcription thereof which must be free of charge.",,responsible party,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_6_3,6.3,,amd_6,"A request for a data subject’s consent to the processing of his, her, or its personal information as referred to in sub regulation 6.1 by an automated calling machine must be electronically recorded by the responsible party and such recording must, upon request, must be made available to a data subject in any manner, including the transcription thereof which must be free of charge.",,responsible party,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_6_4,6.4,,amd_6,"For the purposes of direct marketing through unsolicited electronic communications, opt-out shall not constitute consent as referred to in section 69 (2) of the Act.",,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_1,7.1,,amd_7,The following persons may lodge a complaint-,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_1_1,7.1.1,prov_7_1,amd_7,A data subject whose personal information has been interfered with in terms of section 73 of the Act;,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_1_2,7.1.2,prov_7_1,amd_7,"Any person acting on behalf of a data subject whose personal information has been interfered with, as referred to in section 73 of the Act;",,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_1_3,7.1.3,prov_7_1,amd_7,Any person with a sufficient personal interest in the subject matter of the complaint referred to in section 73 of the Act;,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_1_4,7.1.4,prov_7_1,amd_7,A responsible party or data subject who is aggrieved by the determination of an adjudicator in terms of section 63(3) of the Act; or,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_1_5,7.1.5,prov_7_1,amd_7,Any person acting in the public interest.,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_2,7.2,,amd_7,Subject to Regulation 7.10 a complaint submitted to the Regulator must be in writing by completing-,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_2_1,7.2.1,prov_7_2,amd_7,an online complaint Form 5 available on the website of the Regulator; or,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_2_2,7.2.2,prov_7_2,amd_7,"the complaint form, Form 5 which shall be made available at the offices of the Regulator during office hours and any office designated by the Regulator.",,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_3,7.3,,amd_7,"The Regulator will assist any person who wishes to make a complaint, to reduce that complaint to writing.",,Information Regulator,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_3_1,7.3.1,prov_7_3,amd_7,"Should a complainant require assistance in a language other than English, the Regulator will strive to provide a person competent in the language of the complainant to assist to reduce the complaint to writing.",,Information Regulator,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_3_1_1,7.3.1.1,prov_7_3_1,amd_7,A complaint may be submitted at-,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_3_1_2,7.3.1.2,prov_7_3_1,amd_7,"The offices of the Regulator during office hours,",,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_3_1_3,7.3.1.3,prov_7_3_1,amd_7,any other office designated by the Regulator as a place where complaints may be lodged.,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_4,7.4,,amd_7,The office designated by the Regulator in terms of sub-regulation 7.3.1.1.3 shall transfer the complaint to the Regulator within 14 days of receipt of the complaint.,within 14 days of receipt of the complaint,office designated by the Regulator,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_5,7.5,,amd_7,A complaint may also be submitted to the Regulator in the following manner:,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_5_1,7.5.1,prov_7_5,amd_7,by fax;,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_5_2,7.5.2,prov_7_5,amd_7,by post;,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_5_3,7.5.3,prov_7_5,amd_7,"by courier, at the Regulator’s physical address; or",,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_5_4,7.5.4,prov_7_5,amd_7,by email to a designated email address.,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_6,7.6,,amd_7,The Regulator shall acknowledge receipt of the complaint and provide the complainant with the reference number within fourteen (14) days after receipt thereof.,within fourteen (14) days after receipt thereof,Information Regulator,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_7,7.7,,amd_7,A complaint form referred to in sections 74(1) and (2) of the Act shall contain the following information-,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_7_1,7.7.1,prov_7_7,amd_7,name(s) and surname/ registered name of a complainant;,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_7_2,7.7.2,prov_7_7,amd_7,"unique identifier/identity number/ company registration number of a complainant, if required;",,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_7_3,7.7.3,prov_7_7,amd_7,address of a complainant;,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_7_4,7.7.4,prov_7_7,amd_7,"the telephone and facsimile numbers of a complainant and e-mail address, if available;",,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_7_5,7.7.5,prov_7_7,amd_7,reasons for a complaint;,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_7_6,7.7.6,prov_7_7,amd_7,name(s) and surname of a responsible party / registered name of a responsible party;,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_7_7,7.7.7,prov_7_7,amd_7,address of a responsible party;,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_7_8,7.7.8,prov_7_7,amd_7,"the telephone and facsimile numbers of a responsible party and e-mail address, if available.",,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_8,7.8,,amd_7,A complaint form referred to in section 74(2) of the Act shall contain the following information:,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_8_1,7.8.1,prov_7_8,amd_7,"If a complaint is regarding the determination of an adjudicator, the name(s) and surname of the adjudicator; and",,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_8_2,7.8.2,prov_7_8,amd_7,Any other information that identifies the adjudicator.,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_9,7.9,,amd_7,"A complaint may also contain any other relevant additional information about the incident or matter concerned, which may include:-",,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_9_1,7.9.1,prov_7_9,amd_7,the place and date of the occurrence;,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_9_2,7.9.2,prov_7_9,amd_7,"particulars of the Information Officer concerned, if known;",,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_9_3,7.9.3,prov_7_9,amd_7,"the names and addresses of any person who could provide information relevant to the complaint, if known; and",,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_9_4,7.9.4,prov_7_9,amd_7,any other relevant information or documents that may be used during the investigation.,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_10,7.10,,amd_7,"If a complaint lodged with the Regulator contains any personal information which is protected in terms of the Protected Disclosures Act, 2000 (Act No. 26 of 2000) (PDA), the identity of the complainant will be protected.",,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_11,7.11,,amd_7,"In the event the complainant wishes his, her or its identity not to be disclosed, valid reasons must be submitted together with the complaint. The Regulator will consider the reasons and inform the complainant of its decision as to whether it accepts or rejects the request for non-disclosure of the complainant’s identity. The complainant will then be able to either withdraw or proceed with the complaint on this basis.",,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_7_12,7.12,,amd_7,"A staff member, duly designated by the Regulator, must render the necessary assistance, free of charge, to enable any person to comply with this Regulation.",,staff member designated by the Regulator,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_9_1,9.1,,amd_13,"The responsible party served with an infringement notice, in terms of section 109(1) of the Act, and who is unable to pay the administrative fine in a lump sum, may make arrangements with the Regulator to pay the administrative fine in instalments on a case-by-case basis.",,responsible party,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_9_2,9.2,,amd_13,"When determining an appropriate payment period, the Regulator must consider the following factors:",,Information Regulator,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_9_2_1,9.2.1,prov_9_2,amd_13,The financial circumstances of the responsible party; and,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
prov_9_2_2,9.2.2,prov_9_2,amd_13,Any other relevant compelling reasons that may directly or indirectly impact on the responsible party’s affordability.,,,"Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
