actsection_id,citation,act,source_document
actsec_69_2,section 69(2),"Protection of Personal Information Act, 2013 (Act No. 4 of 2013)","Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
actsec_73,section 73,"Protection of Personal Information Act, 2013 (Act No. 4 of 2013)","Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
actsec_74,section 74,"Protection of Personal Information Act, 2013 (Act No. 4 of 2013)","Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
actsec_74_1,section 74(1),"Protection of Personal Information Act, 2013 (Act No. 4 of 2013)","Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
actsec_74_2,section 74(2),"Protection of Personal Information Act, 2013 (Act No. 4 of 2013)","Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
actsec_76_1_e,section 76(1)(e),"Protection of Personal Information Act, 2013 (Act No. 4 of 2013)","Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
actsec_92_1,section 92(1),"Protection of Personal Information Act, 2013 (Act No. 4 of 2013)","Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
actsec_109_1,section 109(1),"Protection of Personal Information Act, 2013 (Act No. 4 of 2013)","Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
actsec_113_3,section 113(3),"Protection of Personal Information Act, 2013 (Act No. 4 of 2013)","Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
actsec_113_5,section 113(5),"Protection of Personal Information Act, 2013 (Act No. 4 of 2013)","Protection of Personal Information Act, 2013 (Act 4 of 2013): Amendment of the Regulations relating to the Protection of Personal Information, 2018 (tabled 21 January 2025) [KB 2/Africa/Protection of Personal Information Act.pdf]"
