clause_id,article_id,parent_clause_id,label,level,text,source_document
art_16_2_e,art_16,art_16_2,e.,letter,"Personal Data shall be processed by protecting the security of Personal Data against unauthorized access, unauthorized disclosure, unlawful alteration, misuse, destruction, and/or removal of the Personal Data;",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_16_2_f,art_16,art_16_2,f.,letter,"Personal Data shall be processed by notifying the purpose and activity for which the data is processed, as well as the failure to protect the Personal Data;",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_16_2_g,art_16,art_16_2,g.,letter,"Personal Data shall be destroyed and/or erased upon expiry of the retention period or at the request of the Personal Data Subject, unless otherwise stipulated by law and regulations; and",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_16_2_h,art_16,art_16_2,h.,letter,Personal Data shall be processed in a responsible and well-proven manner.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_16_3,art_16,,(3),paragraph,Ancillary provisions for the processing of Personal Data under section (1) shall be stipulated by Regulation of the Government.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_17_1,art_17,,(1),paragraph,Visual data or processing devices installed in public places and/or in public service facilities shall be subject to the following:,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_17_1_a,art_17,art_17_1,a.,letter,"for the purposes of security, prevention against disasters, and/or traffic control or collection, analysis, and organization of traffic Information;",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_17_1_b,art_17,art_17_1,b.,letter,displaying Information around the area covered by visual data or processing devices; and,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_17_1_c,art_17,art_17_1,c.,letter,not to be used to identify a person.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_17_2,art_17,,(2),paragraph,The provisions of section (1) (b) and (c) shall be exempt for the prevention of a criminal offense and law enforcement in accordance with law and regulations.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
