article_id,number,label,chapter_id,part_id,text,source_document
art_30,30,Article 30,ch_6,part_6_2,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_31,31,Article 31,ch_6,part_6_2,A Personal Data Controller must record all of the activities for the processing of Personal Data.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_32,32,Article 32,ch_6,part_6_2,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_33,33,Article 33,ch_6,part_6_2,A Personal Data Controller must decline to provide a Personal Data Subject access to the Personal Data alteration if it would:,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_34,34,Article 34,ch_6,part_6_2,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_35,35,Article 35,ch_6,part_6_2,A Personal Data Controller must protect and ensure the security of Personal Data he/she processes by:,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_36,36,Article 36,ch_6,part_6_2,"In processing Personal Data, a Personal Data Controller must maintain its confidentiality.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_37,37,Article 37,ch_6,part_6_2,A Personal Data Controller must supervise parties involved in the processing of Personal Data under their control.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_38,38,Article 38,ch_6,part_6_2,A Personal Data Controller must protect Personal Data from its unauthorized processing.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_39,39,Article 39,ch_6,part_6_2,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_40,40,Article 40,ch_6,part_6_2,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_41,41,Article 41,ch_6,part_6_2,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_42,42,Article 42,ch_6,part_6_2,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_43,43,Article 43,ch_6,part_6_2,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_44,44,Article 44,ch_6,part_6_2,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_45,45,Article 45,ch_6,part_6_2,A Personal Data Controller must notify the Personal Data Subject of the erasure and/or destruction of the Personal Data.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_46,46,Article 46,ch_6,part_6_2,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_47,47,Article 47,ch_6,part_6_2,A Personal Data Controller must be responsible for the processing of Personal Data and shall bear responsibility for fulfilling the obligation to serve the principle of Personal Data Protection.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_48,48,Article 48,ch_6,part_6_2,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_49,49,Article 49,ch_6,part_6_2,A Personal Data Controller and/or a Personal Data Processor must execute orders from the institution charged with Personal Data Protection under this Law.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_50,50,Article 50,ch_6,part_6_2,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_51,51,Article 51,ch_6,part_6_3,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_52,52,Article 52,ch_6,part_6_3,"The provisions for obligations of a Personal Data Controller under Articles 29, 31, 35, 36, 37, 38, and 39 shall also apply to a Personal Data Processor.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_53,53,Article 53,ch_6,part_6_4,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_54,54,Article 54,ch_6,part_6_4,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_55,55,Article 55,ch_7,part_7_1,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_56,56,Article 56,ch_7,part_7_2,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_57,57,Article 57,ch_8,,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_58,58,Article 58,ch_9,,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_59,59,Article 59,ch_9,,The institution in Article 58 (2) shall:,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_60,60,Article 60,ch_9,,The institution under Article 58 (2) shall have the authority to:,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_61,61,Article 61,ch_9,,Ancillary provisions for procedures for exercising the authority of the institution under Article 60 shall be stipulated by Regulation of the Government.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_62,62,Article 62,ch_10,,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_63,63,Article 63,ch_11,,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_64,64,Article 64,ch_12,,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_65,65,Article 65,ch_13,,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_66,66,Article 66,ch_13,,Any Person is prohibited from producing falsified Personal Data or falsifying Personal Data with intent to benefit themselves or other persons to cause harm to other persons.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_67,67,Article 67,ch_14,,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_68,68,Article 68,ch_14,,"Any Person who intentionally makes false Personal Data or falsifies Personal Data with intent to benefit themselves or other persons to cause harm to other persons under Article 66 shall be sentenced to imprisonment of up to 6 (six) years and/or a fine of up to Rp6,000,000,000.00 (six billion rupiah).",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_69,69,Article 69,ch_14,,"In addition to the sentence under Articles 67 and 68, an additional sentence may be imposed as seizure of profits and/or assets acquired or the proceeds from a criminal offense, and payment of compensation.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_70,70,Article 70,ch_14,,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_71,71,Article 71,ch_14,,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_72,72,Article 72,ch_14,,,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_73,73,Article 73,ch_14,,The provisions of Articles 71 and 72 shall also apply where an additional sentence imposed is payment of compensation.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_74,74,Article 74,ch_15,,"Upon this Law coming into effect, Personal Data Controllers, Personal Data Processors, and other parties in connection with the processing of Personal Data must adjust their practice to the provisions for processing of Personal Data under this Law within 2 (two) years of its promulgation as Law.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_75,75,Article 75,ch_15,,"Upon this Law coming into effect, all the provisions of laws and regulations that stipulate Personal Data Protection are declared to remain in effect to the extent they do not contravene the provisions of this Law.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_76,76,Article 76,ch_16,,"This Law shall come into effect from the date it is promulgated. In order that everyone may be aware of it, the promulgation of this Law is ordered by placement in the State Gazette of the State of the Republic of Indonesia.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
