obligation_id,bearer,article_id,clause_id,text,source_document
obl_39_1,Personal Data Controller,art_39,art_39_1,A Personal Data Controller must protect Personal Data from unauthorized access.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_40_1,Personal Data Controller,art_40,art_40_1,A Personal Data Controller must cease the processing of Personal Data if the Personal Data Subject withdraws consent for its processing.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_41_1,Personal Data Controller,art_41,art_41_1,A Personal Data Controller must postpone and restrict all or any part of the processing of Personal Data within 3 x 24 (three periods of twenty-four) hours of receipt of a request for postponement and restriction of the processing of Personal Data by the Personal Data Controller.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_41_3,Personal Data Controller,art_41,art_41_3,A Personal Data Controller must notify the Personal Data Subject that the processing of Personal Data has been delayed and restricted.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_42_1,Personal Data Controller,art_42,art_42_1,A Personal Data Controller must cease the processing of Personal Data if:,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_43_1,Personal Data Controller,art_43,art_43_1,A Personal Data Controller must erase Personal Data when:,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_44_1,Personal Data Controller,art_44,art_44_1,A Personal Data Controller must destroy Personal Data when:,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_45,Personal Data Controller,art_45,,A Personal Data Controller must notify the Personal Data Subject of the erasure and/or destruction of the Personal Data.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_46_1,Personal Data Controller,art_46,art_46_1,"In the event of failure of Personal Data Protection, a Personal Data Controller must deliver a written notice within 3 x 24 (three periods of twenty-four) hours to:",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_46_3,Personal Data Controller,art_46,art_46_3,"A Personal Data Controller must, in certain cases, notify the public of the failure of Personal Data Protection.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_47,Personal Data Controller,art_47,,A Personal Data Controller must be responsible for the processing of Personal Data and shall bear responsibility for fulfilling the obligation to serve the principle of Personal Data Protection.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_48_1,Personal Data Controller,art_48,art_48_1,"A Personal Data Controller who is a legal entity and enters into a merger, demerger, acquisition, consolidation, or dissolution of legal entity must send a notice of transfer of Personal Data to the Personal Data Subject.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_49,Personal Data Controller and/or Personal Data Processor,art_49,,A Personal Data Controller and/or a Personal Data Processor must execute orders from the institution charged with Personal Data Protection under this Law.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_51_1,Personal Data Processor,art_51,art_51_1,"When a Personal Data Controller appoints a Personal Data Processor, the Personal Data Processor must process the Personal Data in accordance with the instructions of the Personal Data Controller.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_51_5,Personal Data Processor,art_51,art_51_5,A Personal Data Processor must obtain written approval from the Personal Data Controller before involving another Personal Data Processor under section (4).,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_52,Personal Data Processor,art_52,,"The provisions for obligations of a Personal Data Controller under Articles 29, 31, 35, 36, 37, 38, and 39 shall also apply to a Personal Data Processor.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_53_1,Personal Data Controller and Personal Data Processor,art_53,art_53_1,A Personal Data Controller and a Personal Data Processor must appoint an official or officer that protects Personal Data where:,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_55_2,Personal Data Controller,art_55,art_55_2,A Personal Data Controller who transfers and receives transferred Personal Data must protect that Personal Data under this Law.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_56_2,Personal Data Controller,art_56,art_56_2,"In transferring Personal Data under section (1), a Personal Data Controller must ensure that the country of domicile of the Personal Data Controller and/or the Personal Data Processor who receives transferred Personal Data has a Personal Data Protection level equal to or higher than the one regulated by this Law.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_56_3,Personal Data Controller,art_56,art_56_3,"If the provision of section (2) is not met, the Personal Data Controller must ensure that adequate and binding Personal Data Protection protocols apply.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_56_4,Personal Data Controller,art_56,art_56_4,"If the provisions of section (2) and section (3) are not met, the Personal Data Controller must obtain approval from the Personal Data Subject.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
obl_74,"Personal Data Controllers, Personal Data Processors, and other parties",art_74,,"Upon this Law coming into effect, Personal Data Controllers, Personal Data Processors, and other parties in connection with the processing of Personal Data must adjust their practice to the provisions for processing of Personal Data under this Law within 2 (two) years of its promulgation as Law.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
