control_id,control_name,category,category_name,legacy_mapping,is_new,full_description
A.6.2.5,AI system deployment,A.6.2,AI system life cycle,,Yes,"The organization shall document a deployment plan and ensure that appropriate requirements are met prior to deployment."
A.6.2.6,AI system operation and monitoring,A.6.2,AI system life cycle,,Yes,"The organization shall define and document the necessary elements for the ongoing operation of the AI system. At the minimum, this should include system and performance monitoring, repairs, updates and support."
A.6.2.7,AI system technical documentation,A.6.2,AI system life cycle,,Yes,"The organization shall determine what AI system technical documentation is needed for each relevant category of interested parties, such as users, partners, supervisory authorities, and provide the technical documentation to them in the appropriate form."
A.6.2.8,AI system recording of event logs,A.6.2,AI system life cycle,,Yes,"The organization shall determine at which phases of the AI system life cycle, record keeping of event logs should be enabled, but at the minimum when the AI system is in use."
A.7.2,Data for development and enhancement of AI system,A.7,Data for AI systems,,Yes,"The organization shall define, document and implement data management processes related to the development of AI systems."
A.7.3,Acquisition of data,A.7,Data for AI systems,,Yes,"The organization shall determine and document details about the acquisition and selection of the data used in AI systems."
A.7.4,Quality of data for AI systems,A.7,Data for AI systems,,Yes,"The organization shall define and document requirements for data quality and ensure that data used to develop and operate the AI system meet those requirements."
A.7.5,Data provenance,A.7,Data for AI systems,,Yes,"The organization shall define and document a process for recording the provenance of data used in its AI systems over the life cycles of the data and the AI system."
A.7.6,Data preparation,A.7,Data for AI systems,,Yes,"The organization shall define and document its criteria for selecting data preparations and the data preparation methods to be used."
A.8.2,System documentation and information for users,A.8,Information for interested parties of AI systems,,Yes,"The organization shall determine and provide the necessary information to users of the AI system."
A.8.3,External reporting,A.8,Information for interested parties of AI systems,,Yes,"The organization shall provide capabilities for interested parties to report adverse impacts of the AI system."
A.8.4,Communication of incidents,A.8,Information for interested parties of AI systems,,Yes,"The organization shall determine and document a plan for communicating incidents to users of the AI system."
A.8.5,Information for interested parties,A.8,Information for interested parties of AI systems,,Yes,"The organization shall determine and document their obligations to reporting information about the AI system to interested parties."
A.9.2,Processes for responsible use of AI systems,A.9,Use of AI systems,,Yes,"The organization shall define and document the processes for the responsible use of AI systems."
A.9.3,Objectives for responsible use of AI system,A.9,Use of AI systems,,Yes,"The organization shall identify and document objectives to guide the responsible use of AI systems."
A.9.4,Intended use of the AI system,A.9,Use of AI systems,,Yes,"The organization shall ensure that the AI system is used according to the intended uses of the AI system and its accompanying documentation."
A.10.2,Allocating responsibilities,A.10,Third-party and customer relationships,,Yes,"The organization shall ensure that responsibilities within their AI system life cycle are allocated between the organization, its partners, suppliers, customers and third parties."
A.10.3,Suppliers,A.10,Third-party and customer relationships,,Yes,"The organization shall establish a process to ensure that its usage of services, products or materials provided by suppliers aligns with the organization's approach to the responsible development and use of AI systems."
A.10.4,Customers,A.10,Third-party and customer relationships,,Yes,"The organization shall ensure that its responsible approach to the development and use of AI systems considers their customer expectations and needs."
