declarativestatement_id,component_id,component_name,assessmentfactor_id,assessment_factor_name,domain_id,domain_name,maturity_level,text,it_handbook_citation,applicability_note,source_document
C003_S003,C003,IT Asset Management,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Baseline,"Management assigns accountability for maintaining an inventory of organizational assets. (FFIEC Information Security Booklet, page 9)","FFIEC Information Security Booklet, page 9",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C003_S004,C003,IT Asset Management,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Baseline,"A change management process is in place to request and approve changes to systems configurations, hardware, software, applications, and security tools. (FFIEC Information Security Booklet, page 56)","FFIEC Information Security Booklet, page 56",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C003_S005,C003,IT Asset Management,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Evolving,"The asset inventory, including identification of critical assets, is updated at least annually to address new, relocated, re-purposed, and sunset assets.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C003_S006,C003,IT Asset Management,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Evolving,The institution has a documented asset life-cycle process that considers whether assets to be acquired have appropriate security safeguards.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C003_S007,C003,IT Asset Management,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Evolving,"The institution proactively manages system EOL (e.g., replacement) to limit security risks.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C003_S008,C003,IT Asset Management,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Evolving,Changes are formally approved by an individual or committee with appropriate authority and with separation of duties.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C003_S009,C003,IT Asset Management,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Intermediate,"Baseline configurations cannot be altered without a formal change request, documented approval, and an assessment of security implications.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C003_S010,C003,IT Asset Management,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Intermediate,"A formal IT change management process requires cybersecurity risk to be evaluated during the analysis, approval, testing, and reporting of changes.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C003_S011,C003,IT Asset Management,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Advanced,Supply chain risk is reviewed before the acquisition of mission-critical information systems including system components.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C003_S012,C003,IT Asset Management,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Advanced,"Automated tools enable tracking, updating, asset prioritizing, and custom reporting of the asset inventory.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C003_S013,C003,IT Asset Management,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Advanced,Automated processes are in place to detect and block unauthorized changes to software and hardware.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C003_S014,C003,IT Asset Management,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Advanced,The change management system uses thresholds to determine when a risk assessment of the impact of the change is required.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C003_S015,C003,IT Asset Management,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Innovative,A formal change management function governs decentralized or highly distributed change requests and identifies and measures security risks that may cause increased exposure to cyber attack.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C003_S016,C003,IT Asset Management,D1_AF1,Governance,D1,Cyber Risk Management and Oversight,Innovative,Comprehensive automated enterprise tools are implemented to detect and block unauthorized changes to software and hardware.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C004_S001,C004,Risk Management Program,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Baseline,"An information security and business continuity risk management function(s) exists within the institution. (FFIEC Information Security Booklet, page 68)","FFIEC Information Security Booklet, page 68",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C004_S002,C004,Risk Management Program,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Evolving,"The risk management program incorporates cyber risk identification, measurement, mitigation, monitoring, and reporting.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C004_S003,C004,Risk Management Program,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Evolving,"Management reviews and uses the results of audits to improve existing cybersecurity policies, procedures, and controls.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C004_S004,C004,Risk Management Program,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Evolving,Management monitors moderate and high residual risk issues from the cybersecurity risk assessment until items are addressed.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C004_S005,C004,Risk Management Program,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Intermediate,The cybersecurity function has a clear reporting line that does not present a conflict of interest.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C004_S006,C004,Risk Management Program,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Intermediate,"The risk management program specifically addresses cyber risks beyond the boundaries of the technological impacts (e.g., financial, strategic, regulatory, compliance).",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C004_S007,C004,Risk Management Program,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Intermediate,Benchmarks or target performance metrics have been established for showing improvements or regressions of the security posture over time.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C004_S008,C004,Risk Management Program,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Intermediate,Management uses the results of independent audits and reviews to improve cybersecurity.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C004_S009,C004,Risk Management Program,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Intermediate,"There is a process to analyze and assign potential losses and related expenses, by cost center, associated with cybersecurity incidents.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C004_S010,C004,Risk Management Program,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Advanced,Cybersecurity metrics are used to facilitate strategic decision-making and funding in areas of need.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C004_S011,C004,Risk Management Program,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Advanced,Independent risk management sets and monitors cyber-related risk limits for business units.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C004_S012,C004,Risk Management Program,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Advanced,Independent risk management staff escalates to management and the board or an appropriate board committee significant discrepancies from business unit’s assessments of cyber-related risk.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C004_S013,C004,Risk Management Program,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Advanced,A process is in place to analyze the financial impact cyber incidents have on the institution’s capital.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C004_S014,C004,Risk Management Program,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Advanced,"The cyber risk data aggregation and real-time reporting capabilities support the institution’s ongoing reporting needs, particularly during cyber incidents.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C004_S015,C004,Risk Management Program,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Innovative,The risk management function identifies and analyzes commonalities in cyber events that occur both at the institution and across other sectors to enable more predictive risk management.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C004_S016,C004,Risk Management Program,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Innovative,A process is in place to analyze the financial impact that a cyber incident at the institution may have across the financial sector.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C005_S001,C005,Risk Assessment,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Baseline,"A risk assessment focused on safeguarding customer information identifies reasonable and foreseeable internal and external threats, the likelihood and potential damage of threats, and the sufficiency of policies, procedures, and customer information systems. (FFIEC Information Security Booklet, page 8)","FFIEC Information Security Booklet, page 8",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C005_S002,C005,Risk Assessment,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Baseline,"The risk assessment identifies internet-based systems and high-risk transactions that warrant additional authentication controls. (FFIEC Information Security Booklet, page 12)","FFIEC Information Security Booklet, page 12",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C005_S003,C005,Risk Assessment,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Baseline,"The risk assessment is updated to address new technologies, products, services, and connections before deployment. (FFIEC Information Security Booklet, page 13)","FFIEC Information Security Booklet, page 13",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C005_S004,C005,Risk Assessment,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Evolving,"Risk assessments are used to identify the cybersecurity risks stemming from new products, services, or relationships.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C005_S005,C005,Risk Assessment,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Evolving,The focus of the risk assessment has expanded beyond customer information to address all information assets.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C005_S006,C005,Risk Assessment,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Evolving,The risk assessment considers the risk of using EOL software and hardware components.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C005_S007,C005,Risk Assessment,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Intermediate,The risk assessment is adjusted to consider widely known risks or risk management practices.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C005_S008,C005,Risk Assessment,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Advanced,An enterprise-wide risk management function incorporates cyber threat analysis and specific risk exposure as part of the enterprise risk assessment.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C005_S009,C005,Risk Assessment,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Innovative,"The risk assessment is updated in real time as changes to the risk profile occur, new applicable standards are released or updated, and new exposures are anticipated.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C005_S010,C005,Risk Assessment,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Innovative,The institution uses information from risk assessments to predict threats and drive real-time responses.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C005_S011,C005,Risk Assessment,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Innovative,Advanced or automated analytics offer predictive information and real-time risk metrics.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C006_S001,C006,Audit,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Baseline,"Independent audit or review evaluates policies, procedures, and controls across the institution for significant risks and control issues associated with the institution's operations, including risks in new products, emerging technologies, and information systems. (FFIEC Audit Booklet, page 4)","FFIEC Audit Booklet, page 4",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C006_S002,C006,Audit,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Baseline,"The independent audit function validates controls related to the storage or transmission of confidential data. (FFIEC Audit Booklet, page 1)","FFIEC Audit Booklet, page 1",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C006_S003,C006,Audit,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Baseline,"Logging practices are independently reviewed periodically to ensure appropriate log management (e.g., access controls, retention, and maintenance). (FFIEC Operations Booklet, page 29)","FFIEC Operations Booklet, page 29",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C006_S004,C006,Audit,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Baseline,"Issues and corrective actions from internal audits and independent testing/assessments are formally tracked to ensure procedures and control lapses are resolved in a timely manner. (FFIEC Information Security Booklet, page 6)","FFIEC Information Security Booklet, page 6",,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C006_S005,C006,Audit,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Evolving,The independent audit function validates that the risk management function is commensurate with the institution’s risk and complexity.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C006_S006,C006,Audit,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Evolving,The independent audit function validates that the institution’s threat information sharing is commensurate with the institution’s risk and complexity.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C006_S007,C006,Audit,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Evolving,The independent audit function validates that the institution’s cybersecurity controls function is commensurate with the institution’s risk and complexity.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C006_S008,C006,Audit,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Evolving,The independent audit function validates that the institution’s third-party relationship management is commensurate with the institution’s risk and complexity.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C006_S009,C006,Audit,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Evolving,The independent audit function validates that the institution’s incident response program and resilience are commensurate with the institution’s risk and complexity.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C006_S010,C006,Audit,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Intermediate,A formal process is in place for the independent audit function to update its procedures based on changes to the institution’s inherent risk profile.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C006_S011,C006,Audit,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Intermediate,The independent audit function validates that the institution’s threat intelligence and collaboration are commensurate with the institution’s risk and complexity.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C006_S012,C006,Audit,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Intermediate,The independent audit function regularly reviews management’s cyber risk appetite statement.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C006_S013,C006,Audit,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Intermediate,Independent audits or reviews are used to identify gaps in existing security capabilities and expertise.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C006_S014,C006,Audit,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Advanced,A formal process is in place for the independent audit function to update its procedures based on changes to the evolving threat landscape across the sector.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C006_S015,C006,Audit,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Advanced,The independent audit function regularly reviews the institution’s cyber risk appetite statement in comparison to assessment results and incorporates gaps into the audit strategy.,,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
C006_S016,C006,Audit,D1_AF2,Risk Management,D1,Cyber Risk Management and Oversight,Advanced,"Independent audits or reviews are used to identify cybersecurity weaknesses, root causes, and the potential impact to business units.",,,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
