risklevelstatement_id,riskactivity_id,activity_service_or_product,category_name,risk_level,text,source_document
CAT_Technologies_and_Connection_Types_A04_MINIMAL,CAT_Technologies_and_Connection_Types_A04,Personal devices allowed to connect to the corporate network,Technologies and Connection Types,Minimal,"Only one device type available; available to <5% of employees (staff, executives, managers); e-mail access only",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A04_MODERATE,CAT_Technologies_and_Connection_Types_A04,Personal devices allowed to connect to the corporate network,Technologies and Connection Types,Moderate,"Multiple device types used; available to <10% of employees (staff, executives, managers) and board; e-mail access only",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A04_SIGNIFICANT,CAT_Technologies_and_Connection_Types_A04,Personal devices allowed to connect to the corporate network,Technologies and Connection Types,Significant,"Multiple device types used; available to <25% of authorized employees (staff, executives, managers) and board; e-mail and some applications accessed",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A04_MOST,CAT_Technologies_and_Connection_Types_A04,Personal devices allowed to connect to the corporate network,Technologies and Connection Types,Most,"Any device type used; available to >25% of employees (staff, executives, managers) and board; all applications accessed",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A05_LEAST,CAT_Technologies_and_Connection_Types_A05,"Third parties, including number of organizations and number of individuals from vendors and subcontractors, with access to internal systems (e.g., virtual private network, modem, intranet, direct connection)",Technologies and Connection Types,Least,No third parties and no individuals from third parties with access to systems,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A05_MINIMAL,CAT_Technologies_and_Connection_Types_A05,"Third parties, including number of organizations and number of individuals from vendors and subcontractors, with access to internal systems (e.g., virtual private network, modem, intranet, direct connection)",Technologies and Connection Types,Minimal,Limited number of third parties (1–5) and limited number of individuals from third parties (<50) with access; low complexity in how they access systems,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A05_MODERATE,CAT_Technologies_and_Connection_Types_A05,"Third parties, including number of organizations and number of individuals from vendors and subcontractors, with access to internal systems (e.g., virtual private network, modem, intranet, direct connection)",Technologies and Connection Types,Moderate,Moderate number of third parties (6–10) and moderate number of individuals from third parties (50–500) with access; some complexity in how they access systems,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A05_SIGNIFICANT,CAT_Technologies_and_Connection_Types_A05,"Third parties, including number of organizations and number of individuals from vendors and subcontractors, with access to internal systems (e.g., virtual private network, modem, intranet, direct connection)",Technologies and Connection Types,Significant,"Significant number of third parties (11–25) and significant number of individuals from third parties (501–1,500) with access; high level of complexity in terms of how they access systems",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A05_MOST,CAT_Technologies_and_Connection_Types_A05,"Third parties, including number of organizations and number of individuals from vendors and subcontractors, with access to internal systems (e.g., virtual private network, modem, intranet, direct connection)",Technologies and Connection Types,Most,"Substantial number of third parties (>25) and substantial number of individuals from third parties (>1,500) with access; high complexity in how they access systems",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A06_LEAST,CAT_Technologies_and_Connection_Types_A06,Wholesale customers with dedicated connections,Technologies and Connection Types,Least,None,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A06_MINIMAL,CAT_Technologies_and_Connection_Types_A06,Wholesale customers with dedicated connections,Technologies and Connection Types,Minimal,Few dedicated connections (between 1–5),KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A06_MODERATE,CAT_Technologies_and_Connection_Types_A06,Wholesale customers with dedicated connections,Technologies and Connection Types,Moderate,Several dedicated connections (between 6–10),KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A06_SIGNIFICANT,CAT_Technologies_and_Connection_Types_A06,Wholesale customers with dedicated connections,Technologies and Connection Types,Significant,Significant number of dedicated connections (between 11–25),KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A06_MOST,CAT_Technologies_and_Connection_Types_A06,Wholesale customers with dedicated connections,Technologies and Connection Types,Most,Substantial number of dedicated connections (>25),KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A07_LEAST,CAT_Technologies_and_Connection_Types_A07,Internally hosted and developed or modified vendor applications supporting critical activities,Technologies and Connection Types,Least,No applications,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A07_MINIMAL,CAT_Technologies_and_Connection_Types_A07,Internally hosted and developed or modified vendor applications supporting critical activities,Technologies and Connection Types,Minimal,Few applications (between 1–5),KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A07_MODERATE,CAT_Technologies_and_Connection_Types_A07,Internally hosted and developed or modified vendor applications supporting critical activities,Technologies and Connection Types,Moderate,Several applications (between 6–10),KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A07_SIGNIFICANT,CAT_Technologies_and_Connection_Types_A07,Internally hosted and developed or modified vendor applications supporting critical activities,Technologies and Connection Types,Significant,Significant number of applications (between 11–25),KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A07_MOST,CAT_Technologies_and_Connection_Types_A07,Internally hosted and developed or modified vendor applications supporting critical activities,Technologies and Connection Types,Most,Substantial number of applications and complexity (>25),KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A08_LEAST,CAT_Technologies_and_Connection_Types_A08,"Internally hosted, vendor-developed applications supporting critical activities",Technologies and Connection Types,Least,Limited applications (0–5),KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A08_MINIMAL,CAT_Technologies_and_Connection_Types_A08,"Internally hosted, vendor-developed applications supporting critical activities",Technologies and Connection Types,Minimal,Few applications (6–30),KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A08_MODERATE,CAT_Technologies_and_Connection_Types_A08,"Internally hosted, vendor-developed applications supporting critical activities",Technologies and Connection Types,Moderate,Several applications (31–75),KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A08_SIGNIFICANT,CAT_Technologies_and_Connection_Types_A08,"Internally hosted, vendor-developed applications supporting critical activities",Technologies and Connection Types,Significant,Significant number of applications (76–200),KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A08_MOST,CAT_Technologies_and_Connection_Types_A08,"Internally hosted, vendor-developed applications supporting critical activities",Technologies and Connection Types,Most,Substantial number of applications and complexity (>200),KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A09_LEAST,CAT_Technologies_and_Connection_Types_A09,User-developed technologies and user computing that support critical activities (includes Microsoft Excel spreadsheets and Access databases or other user-developed tools),Technologies and Connection Types,Least,No user-developed technologies,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A09_MINIMAL,CAT_Technologies_and_Connection_Types_A09,User-developed technologies and user computing that support critical activities (includes Microsoft Excel spreadsheets and Access databases or other user-developed tools),Technologies and Connection Types,Minimal,1–100 technologies,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A09_MODERATE,CAT_Technologies_and_Connection_Types_A09,User-developed technologies and user computing that support critical activities (includes Microsoft Excel spreadsheets and Access databases or other user-developed tools),Technologies and Connection Types,Moderate,101–500 technologies,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A09_SIGNIFICANT,CAT_Technologies_and_Connection_Types_A09,User-developed technologies and user computing that support critical activities (includes Microsoft Excel spreadsheets and Access databases or other user-developed tools),Technologies and Connection Types,Significant,"501–2,500 technologies",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A09_MOST,CAT_Technologies_and_Connection_Types_A09,User-developed technologies and user computing that support critical activities (includes Microsoft Excel spreadsheets and Access databases or other user-developed tools),Technologies and Connection Types,Most,">2,500 technologies",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A10_LEAST,CAT_Technologies_and_Connection_Types_A10,End-of-life (EOL) systems,Technologies and Connection Types,Least,No systems (hardware or software) that are past EOL or at risk of nearing EOL within 2 years,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A10_MINIMAL,CAT_Technologies_and_Connection_Types_A10,End-of-life (EOL) systems,Technologies and Connection Types,Minimal,Few systems that are at risk of EOL and none that support critical operations,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A10_MODERATE,CAT_Technologies_and_Connection_Types_A10,End-of-life (EOL) systems,Technologies and Connection Types,Moderate,Several systems that will reach EOL within 2 years and some that support critical operations,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A10_SIGNIFICANT,CAT_Technologies_and_Connection_Types_A10,End-of-life (EOL) systems,Technologies and Connection Types,Significant,A large number of systems that support critical operations at EOL or are at risk of reaching EOL in 2 years,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A10_MOST,CAT_Technologies_and_Connection_Types_A10,End-of-life (EOL) systems,Technologies and Connection Types,Most,Majority of critical operations dependent on systems that have reached EOL or will reach EOL within the next 2 years or an unknown number of systems that have reached EOL,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A11_LEAST,CAT_Technologies_and_Connection_Types_A11,Open Source Software (OSS),Technologies and Connection Types,Least,No OSS,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A11_MINIMAL,CAT_Technologies_and_Connection_Types_A11,Open Source Software (OSS),Technologies and Connection Types,Minimal,Limited OSS and none that support critical operations,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A11_MODERATE,CAT_Technologies_and_Connection_Types_A11,Open Source Software (OSS),Technologies and Connection Types,Moderate,Several OSS that support critical operations,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A11_SIGNIFICANT,CAT_Technologies_and_Connection_Types_A11,Open Source Software (OSS),Technologies and Connection Types,Significant,Large number of OSS that support critical operations,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A11_MOST,CAT_Technologies_and_Connection_Types_A11,Open Source Software (OSS),Technologies and Connection Types,Most,Majority of operations dependent on OSS,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A12_LEAST,CAT_Technologies_and_Connection_Types_A12,"Network devices (e.g., servers, routers, and firewalls; include physical and virtual)",Technologies and Connection Types,Least,Limited or no network devices (<250),KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A12_MINIMAL,CAT_Technologies_and_Connection_Types_A12,"Network devices (e.g., servers, routers, and firewalls; include physical and virtual)",Technologies and Connection Types,Minimal,"Few devices (250–1,500)",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A12_MODERATE,CAT_Technologies_and_Connection_Types_A12,"Network devices (e.g., servers, routers, and firewalls; include physical and virtual)",Technologies and Connection Types,Moderate,"Several devices (1,501–25,000)",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A12_SIGNIFICANT,CAT_Technologies_and_Connection_Types_A12,"Network devices (e.g., servers, routers, and firewalls; include physical and virtual)",Technologies and Connection Types,Significant,"Significant number of devices (25,001–50,000)",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A12_MOST,CAT_Technologies_and_Connection_Types_A12,"Network devices (e.g., servers, routers, and firewalls; include physical and virtual)",Technologies and Connection Types,Most,"Substantial number of devices (>50,000)",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A13_LEAST,CAT_Technologies_and_Connection_Types_A13,"Third-party service providers storing and/or processing information that support critical activities (Do not have access to internal systems, but the institution relies on their services)",Technologies and Connection Types,Least,No third parties that support critical activities,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A13_MINIMAL,CAT_Technologies_and_Connection_Types_A13,"Third-party service providers storing and/or processing information that support critical activities (Do not have access to internal systems, but the institution relies on their services)",Technologies and Connection Types,Minimal,1–25 third parties that support critical activities,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A13_MODERATE,CAT_Technologies_and_Connection_Types_A13,"Third-party service providers storing and/or processing information that support critical activities (Do not have access to internal systems, but the institution relies on their services)",Technologies and Connection Types,Moderate,26–100 third parties that support critical activities,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A13_SIGNIFICANT,CAT_Technologies_and_Connection_Types_A13,"Third-party service providers storing and/or processing information that support critical activities (Do not have access to internal systems, but the institution relies on their services)",Technologies and Connection Types,Significant,101–200 third parties that support critical activities; 1 or more are foreign-based,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A13_MOST,CAT_Technologies_and_Connection_Types_A13,"Third-party service providers storing and/or processing information that support critical activities (Do not have access to internal systems, but the institution relies on their services)",Technologies and Connection Types,Most,>200 third parties that support critical activities; 1 or more are foreign-based,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A14_LEAST,CAT_Technologies_and_Connection_Types_A14,Cloud computing services hosted externally to support critical activities,Technologies and Connection Types,Least,No cloud providers,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A14_MINIMAL,CAT_Technologies_and_Connection_Types_A14,Cloud computing services hosted externally to support critical activities,Technologies and Connection Types,Minimal,Few cloud providers; private cloud only (1–3),KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A14_MODERATE,CAT_Technologies_and_Connection_Types_A14,Cloud computing services hosted externally to support critical activities,Technologies and Connection Types,Moderate,Several cloud providers (4–7),KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A14_SIGNIFICANT,CAT_Technologies_and_Connection_Types_A14,Cloud computing services hosted externally to support critical activities,Technologies and Connection Types,Significant,Significant number of cloud providers (8–10); cloud-provider locations used include international; use of public cloud,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Technologies_and_Connection_Types_A14_MOST,CAT_Technologies_and_Connection_Types_A14,Cloud computing services hosted externally to support critical activities,Technologies and Connection Types,Most,Substantial number of cloud providers (>10); cloud-provider locations used include international; use of public cloud,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Delivery_Channels_A01_LEAST,CAT_Delivery_Channels_A01,Online presence (customer),Delivery Channels,Least,No Web-facing applications or social media presence,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Delivery_Channels_A01_MINIMAL,CAT_Delivery_Channels_A01,Online presence (customer),Delivery Channels,Minimal,"Serves as an informational Web site or social media page (e.g., provides branch and ATM locations and marketing materials)",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Delivery_Channels_A01_MODERATE,CAT_Delivery_Channels_A01,Online presence (customer),Delivery Channels,Moderate,Serves as a delivery channel for retail online banking; may communicate to customers through social media,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Delivery_Channels_A01_SIGNIFICANT,CAT_Delivery_Channels_A01,Online presence (customer),Delivery Channels,Significant,Serves as a delivery channel for wholesale customers; may include retail account origination,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Delivery_Channels_A01_MOST,CAT_Delivery_Channels_A01,Online presence (customer),Delivery Channels,Most,Internet applications serve as a channel to wholesale customers to manage large value assets,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Delivery_Channels_A02_LEAST,CAT_Delivery_Channels_A02,Mobile presence,Delivery Channels,Least,None,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Delivery_Channels_A02_MINIMAL,CAT_Delivery_Channels_A02,Mobile presence,Delivery Channels,Minimal,SMS text alerts or notices only; browser-based access,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Delivery_Channels_A02_MODERATE,CAT_Delivery_Channels_A02,Mobile presence,Delivery Channels,Moderate,"Mobile banking application for retail customers (e.g., bill payment, mobile check capture, internal transfers only)",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Delivery_Channels_A02_SIGNIFICANT,CAT_Delivery_Channels_A02,Mobile presence,Delivery Channels,Significant,"Mobile banking application includes external transfers (e.g., for corporate clients, recurring external transactions)",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Delivery_Channels_A02_MOST,CAT_Delivery_Channels_A02,Mobile presence,Delivery Channels,Most,"Full functionality, including originating new transactions (e.g., ACH, wire)",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Delivery_Channels_A03_LEAST,CAT_Delivery_Channels_A03,Automated Teller Machines (ATM) (Operation),Delivery Channels,Least,No ATM services,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Delivery_Channels_A03_MINIMAL,CAT_Delivery_Channels_A03,Automated Teller Machines (ATM) (Operation),Delivery Channels,Minimal,ATM services offered but no owned machines,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Delivery_Channels_A03_MODERATE,CAT_Delivery_Channels_A03,Automated Teller Machines (ATM) (Operation),Delivery Channels,Moderate,ATM services managed by a third party; ATMs at local and regional branches; cash reload services outsourced,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Delivery_Channels_A03_SIGNIFICANT,CAT_Delivery_Channels_A03,Automated Teller Machines (ATM) (Operation),Delivery Channels,Significant,ATM services managed internally; ATMs at U.S. branches and retail locations; cash reload services outsourced,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Delivery_Channels_A03_MOST,CAT_Delivery_Channels_A03,Automated Teller Machines (ATM) (Operation),Delivery Channels,Most,ATM services managed internally; ATM services provided to other financial institutions; ATMs at domestic and international branches and retail locations; cash reload services managed internally,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A01_LEAST,CAT_Online_Mobile_Products_and_Technology_Se_A01,Issue debit or credit cards,Online/Mobile Products and Technology Services,Least,Do not issue debit or credit cards,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A01_MINIMAL,CAT_Online_Mobile_Products_and_Technology_Se_A01,Issue debit or credit cards,Online/Mobile Products and Technology Services,Minimal,"Issue debit and/or credit cards through a third party; <10,000 cards outstanding",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A01_MODERATE,CAT_Online_Mobile_Products_and_Technology_Se_A01,Issue debit or credit cards,Online/Mobile Products and Technology Services,Moderate,"Issue debit or credit cards through a third party; between 10,000–50,000 cards outstanding",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A01_SIGNIFICANT,CAT_Online_Mobile_Products_and_Technology_Se_A01,Issue debit or credit cards,Online/Mobile Products and Technology Services,Significant,"Issue debit or credit cards directly; between 50,000–100,000 cards outstanding",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A01_MOST,CAT_Online_Mobile_Products_and_Technology_Se_A01,Issue debit or credit cards,Online/Mobile Products and Technology Services,Most,"Issue debit or credit cards directly; >100,000 cards outstanding; issue cards on behalf of other financial institutions",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A02_LEAST,CAT_Online_Mobile_Products_and_Technology_Se_A02,Prepaid cards,Online/Mobile Products and Technology Services,Least,Do not issue prepaid cards,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A02_MINIMAL,CAT_Online_Mobile_Products_and_Technology_Se_A02,Prepaid cards,Online/Mobile Products and Technology Services,Minimal,"Issue prepaid cards through a third party; <5,000 cards outstanding",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A02_MODERATE,CAT_Online_Mobile_Products_and_Technology_Se_A02,Prepaid cards,Online/Mobile Products and Technology Services,Moderate,"Issue prepaid cards through a third party; 5,000–10,000 cards outstanding",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A02_SIGNIFICANT,CAT_Online_Mobile_Products_and_Technology_Se_A02,Prepaid cards,Online/Mobile Products and Technology Services,Significant,"Issue prepaid cards through a third party; 10,001–20,000 cards outstanding",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A02_MOST,CAT_Online_Mobile_Products_and_Technology_Se_A02,Prepaid cards,Online/Mobile Products and Technology Services,Most,"Issue prepaid cards internally, through a third party, or on behalf of other financial institutions; >20,000 cards outstanding",KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A03_LEAST,CAT_Online_Mobile_Products_and_Technology_Se_A03,"Emerging payments technologies (e.g., digital wallets, mobile wallets)",Online/Mobile Products and Technology Services,Least,Do not accept or use emerging payments technologies,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A03_MINIMAL,CAT_Online_Mobile_Products_and_Technology_Se_A03,"Emerging payments technologies (e.g., digital wallets, mobile wallets)",Online/Mobile Products and Technology Services,Minimal,Indirect acceptance or use of emerging payments technologies (customer use may affect deposit or credit account),KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
CAT_Online_Mobile_Products_and_Technology_Se_A03_MODERATE,CAT_Online_Mobile_Products_and_Technology_Se_A03,"Emerging payments technologies (e.g., digital wallets, mobile wallets)",Online/Mobile Products and Technology Services,Moderate,Direct acceptance or use of emerging payments technologies; partner or co-brand with non-bank providers; limited transaction volume,KB 2/USA/FFIEC Cybersecurity Assessment Tool.pdf
