footnote_id,scope,number,text,source_document
FN_47,order,47,"CPNI Order, 13 FCC Rcd at 8084-8113, paras. 32-67.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_48,order,48,"CPNI Reconsideration Order, 14 FCC Rcd at 14430-35, paras. 40 – 47; 47 C.F.R. § 64.2005(b)(1).",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_49,order,49,"Amendment of Section 64.702 of the Commission’s Rules and Regulations, CC Docket No. 20828, Final Decision, 77 FCC 2d 384 (1980).",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_50,order,50,"Policy and Rules Concerning the Interstate, Interexchange Marketplace, Implementation of Section 254(g) of the Communications Act of 1934, as amended, CC Docket No. 96-16; 1998 Biennial Regulatory Review – Review of Customer Premises Equipment and Enhanced Services Unbundling Rules in the Interexchange, Exchange Access and Local Exchange Market, CC Docket No. 98-183, Report and Order, FCC 01-98 (rel. March 30, 2001).",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_51,order,51,"Pub. L. No. 106-81, enacted Oct. 26, 1999, 113 Stat. 1286, amending the Communications Act of 1934, 47 U.S.C. §§ 222, 251.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_52,order,52,"H.R. Rep. No. 106-25, at 9 (1999) (House Report).",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_53,order,53,"House Report at 5, S. Rep. No. 106-138, 2 (1999) (Senate Report).",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_54,order,54,Revised 47 U.S.C. § 222(h)(1)(A); new 47 U.S.C. § 222(f).,KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_55,order,55,"New 47 U.S.C. § 222(f). Without express prior authorization, a carrier may only provide “call location information concerning the user of a commercial mobile service,” as such term is defined in Section 332(d) of the Communications Act, to “a public safety answering point, emergency medical service provider or emergency dispatch provider, public safety, fire service, or law enforcement official, or hospital emergency or trauma care facility, in order to respond to the user’s call for emergency services; to inform the user’s legal guardian or member’s of the user’s immediate family of the user’s location in an emergency situation that involves the risk of death or serious physical harm; or to providers of information or database management services solely for purposes of assisting in the delivery of emergency services in response to an emergency.” 47 U.S.C. § 222(d)(4). The carrier also may use or disclose, without express prior authorization, “automatic crash notification information” for use in “the operation of an automatic crash notification system.” 47 U.S.C. § 222(f)(2). The Commission has sought comment on a petition filed by the Cellular Telecommunications and Internet Association (CTIA) requesting that we initiate a rulemaking proceeding to implement Section 222(f) by adopting CTIA’s proposed location privacy principles. Wireless Telecommunications Bureau Seeks Comment on Request to Commence Rulemaking to Establish Fair Location Information Practices, WT Docket No. 01-72, Public Notice, DA 01-696 (rel. Mar. 16, 2001).",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_56,order,56,"AT&T v. FCC, No. 99-1413 (D.C. Cir., filed Oct. 8, 1999).",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_57,order,57,"AT&T v. FCC, No. 94-1413 (D.C. Cir., July 25, 2000).",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_58,order,58,See also AT&T v. Bell Atlantic Order at para. 17.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_59,order,59,"CPNI Order, 13 FCC Rcd at 8172, para. 154; CPNI Reconsideration Order, 14 FCC Rcd at 14481, para. 137.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_60,order,60,"CPNI Order, 13 FCC Rcd at 8174, 8179, paras. 160, 169; CPNI Reconsideration Order, 14 FCC Rcd at 14480-81, para. 136.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_61,order,61,"CPNI Order, 13 FCC Rcd at 8174, paras. 158-59.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_62,order,62,"CPNI Reconsideration Order, 14 FCC Rcd at 14485, para. 142.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_63,order,63,"CPNI Order, 13 FCC Rcd at 8175, para. 164.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_64,order,64,47 C.F.R. §§ 1.1200 et seq.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_65,order,65,"See 47 C.F.R. § 1.1206(b)(2), as revised.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_66,order,66,See 5 U.S.C. § 603(a).,KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_67,order,67,See id.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_68,order,68,"47 C.F.R. §§ 1.415, 1.419.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_69,order,69,"See Electronic Filing of Documents in Rulemaking Proceedings, 63 Fed. Reg. 24,121 (1998).",KB 2/USA/Customer Proprietary Network Information Rules.pdf
FN_70,order,70,See 47 C.F.R. § 1.49.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_01,appendix_a,1,"5 U.S.C. § 603. The RFA, see 5 U.S.C. § 601 et seq., has been amended by the Contract With America Advancement Act of 1996, Pub. L. No. 104-121, 110 Stat. 847 (1996) (CWAAA). Title II of CWAAA is the Small Business Regulatory Enforcement Fairness Act of 1996 (SBREFA).",KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_02,appendix_a,2,47 U.S.C. § 222,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_03,appendix_a,3,Id. at 1238-39.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_04,appendix_a,4,"Id. at 1240, n. 15 (“The dissent accuses us of ‘advocating’ an opt-out approach. We do not ‘advocate’ any specific approach.”).",KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_05,appendix_a,5,See infra paras. 14-23.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_06,appendix_a,6,See infra para. 9.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_07,appendix_a,7,See infra para. 21.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_08,appendix_a,8,See infra para. 21.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_09,appendix_a,9,"5 U.S.C. §§ 603(b)(3), 604(a)(3).",KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_10,appendix_a,10,5 U.S.C. § 601(6).,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_11,appendix_a,11,5 U.S.C. § 601(3) (incorporating by reference the definition of “small business concern” in 5 U.S.C. § 632).,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_12,appendix_a,12,15 U.S.C. § 632.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_13,appendix_a,13,"13 C.F.R. § 121.201. The North American Industry Classification System (NAICS) has replaced the SIC system for describing types of industries. SIC 4812 corresponds to NAICS 513321, 513322, 51333 (Radiotelephone Communications). SIC 4813 corresponds to NAICS 51331, 51333, 51334 (Telephone Communications, Except Radiotelephone).",KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_14,appendix_a,14,13 C.F.R. § 121.210 (SIC 4813).,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_15,appendix_a,15,"United States Department of Commerce, Bureau of the Census, 1992 Census of transportation Communications and Utilities: Establishment and Firm Size, at Firm Size 1-123 (1995) (1992 Census).",KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_16,appendix_a,16,15 U.S.C. § 632(a)(1).,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_17,appendix_a,17,"1992 Census, at Firm Size 1-123.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_18,appendix_a,18,13 C.F.R. § 121.201 (SIC 4813/NAICS 51331).,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_19,appendix_a,19,"47 C.F.R. § 64.601 et seq.; Carrier Locator: Interstate Service Providers, FCC Common Carrier Bureau, Industry Analysis Division (rel. Oct. 2000) (Carrier Locator).",KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_20,appendix_a,20,Carrier Locator at Figure 1. The total for competitive LECs includes competitive access providers and competitive LECs.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_21,appendix_a,21,Carrier Locator at Figure 1.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_22,appendix_a,22,Carrier Locator at Figure 1.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_23,appendix_a,23,Carrier Locator at Figure 1.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_24,appendix_a,24,Carrier Locator at Figure 1.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_25,appendix_a,25,1992 Census at Firm Size 1-123.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_26,appendix_a,26,13 C.F.R. § 121.201 (SIC 4812/NAICS 513322).,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_27,appendix_a,27,"Carrier Locator at Figure 1. The total for cellular carriers includes cellular, Personal Communications Service (PCS) and Specialized Mobile Radio (SMR) carriers.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_28,appendix_a,28,"See Amendment of Parts 20 and 24 of the Commission's Rules -- Broadband PCS Competitive Bidding and the Commercial Mobile Radio Service Spectrum Cap, Report and Order, FCC 96-278, WT Docket No. 96-59, paras. 57-60 (June 24, 1996), 61 FR 33859 (July 1, 1996); see also 47 C.F.R. § 24.720(b).",KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_29,appendix_a,29,Id. at para. 60.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_30,appendix_a,30,"Implementation of Section 309(j) of the Communications Act -- Competitive Bidding, PP Docket No. 93- 253, Fifth Report and Order, 9 FCC Rcd 5532, 5581-84 (1994).",KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_31,appendix_a,31,Carrier Locator at Figure 1.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_32,appendix_a,32,5 U.S.C. § 603(c).,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_33,appendix_a,33,"CPNI Order, 13 FCC Rcd at 8098-8100, paras. 49-50.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_34,appendix_a,34,"See CPNI Reconsideration Order, 14 FCC Rcd at 14472-75, paras. 125-27 (adjusting certain CPNI safeguards to ease the costs of compliance for small carriers).",KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_35,appendix_a,35,"See CPNI Reconsideration Order, 14 FCC Rcd at 8142-43, 8146, 8151, paras. 104, 109, 116.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_36,appendix_a,36,"CPNI Reconsideration Order, 13 FCC Rcd at 14472-75, paras. 124-27.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_FN_37,appendix_a,37,See supra para. 19.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
SS_FN_01,separate_statement,1,182 F.3d 1224 (10th Cir. 1999) (U.S. West).,KB 2/USA/Customer Proprietary Network Information Rules.pdf
SS_FN_02,separate_statement,2,47 U.S.C § 222.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
SS_FN_03,separate_statement,3,"Telecommunications carriers may also use, disclose, or permit access to CPNI “as required by law,” and for other purposes that are not at the center of this FNPRM. See 47 U.S.C. § 222.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
SS_FN_04,separate_statement,4,"Implementation of the Telecommunications Act of 1996: Telecommunications Carriers’ Use of Customer Proprietary Network Information and Other Customer Information and Implementation of the Non-Accounting Safeguards of Sections 271 and 272 of the Communications Act of 1934, as amended, CC Docket Nos. 96-115 and 96-149, Order and Further Notice of Proposed Rulemaking, 13 FCC Rcd 8061, paras. 88-107 (1998) (CPNI Order).",KB 2/USA/Customer Proprietary Network Information Rules.pdf
SS_FN_05,separate_statement,5,Id. at para. 93.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
SS_FN_06,separate_statement,6,Id. at para. 94.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
SS_FN_07,separate_statement,7,U.S. West at 1240 fn 15.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
SS_FN_08,separate_statement,8,Id. at 1235.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
SS_FN_09,separate_statement,9,Id. at 1234-37.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
SS_FN_10,separate_statement,10,Id. at 1237.,KB 2/USA/Customer Proprietary Network Information Rules.pdf
SS_FN_11,separate_statement,11,"Id. at 1238, quoting Rubin v. Coors Brewing, 514 U.S. 476, 486 (1995).",KB 2/USA/Customer Proprietary Network Information Rules.pdf
SS_FN_12,separate_statement,12,"Telecommunications carriers may also use, disclose, or permit access to CPNI “as required by law,” and for other purposes that are not at the center of this FNPRM. See 47 U.S.C. § 222.",KB 2/USA/Customer Proprietary Network Information Rules.pdf
