external_reference_id,citation,reference_type,title,quoted_text_in_document,source_document
XR_CFR_1_49,47 C.F.R. § 1.49,regulation,Section 1.49,,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_CFR_64_601,47 C.F.R. § 64.601 et seq.,regulation,Telecommunications Relay Service,,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_CFR_90_814,47 C.F.R. § 90.814(b)(1),regulation,SMR small entity definition,,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_CFR_24_720b,47 C.F.R. § 24.720(b),regulation,Broadband PCS small entity definition,,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_CFR_13_121_201,13 C.F.R. § 121.201,regulation,SBA size standards,,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_CFR_13_121_210,13 C.F.R. § 121.210,regulation,SBA size standards (SIC 4813),,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_USC_5_603,5 U.S.C. § 603,statute,Regulatory Flexibility Act,,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_USC_5_601,5 U.S.C. § 601 et seq.,statute,Regulatory Flexibility Act,,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_USC_15_632,15 U.S.C. § 632,statute,Small Business Act,,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_USWEST,"U S WEST, Inc. v. FCC, 182 F.3d 1224 (10th Cir. 1999), cert. denied, 120 S. Ct. 2215 (Jun. 5, 2000) (No. 99-1427)",court decision,Tenth Circuit decision vacating a portion of the CPNI Order,,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_CENTRAL_HUDSON,"Central Hudson Gas & Elec. Corp. v. Public Service Commission, 447 U.S. 557 (1980)",court decision,Commercial speech standard,,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_CHEVRON,"Chevron USA Inc. v. Natural Resources Defense Council, Inc., 467 U.S. 837 (1984)",court decision,Administrative law deference standard,,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_ATT_FCC,"AT&T v. FCC, No. 99-1413 (D.C. Cir. July 25, 2000)",court decision,D.C. Circuit voluntary remand of the AT&T appeal,,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_RUBIN,"Rubin v. Coors Brewing, 514 U.S. 476, 486 (1995)",court decision,,,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_CPNI_ORDER,"Order and Further Notice of Proposed Rulemaking, 13 FCC Rcd 8061 (1998) (CPNI Order)",prior Commission order,"CPNI Order, CC Docket Nos. 96-115 and 96-149",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_CPNI_RECON,"Order on Reconsideration and Petitions for Forbearance, 14 FCC Rcd 14409 (1999) (CPNI Reconsideration Order)",prior Commission order,CPNI Reconsideration Order,,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_ATT_BELL_ATLANTIC,"AT&T Corp., v. New York Telephone Company, d/b/a Bell Atlantic – New York, File No. EB-00-MD-011, Memorandum Opinion and Order, FCC 00-362 (rel. Oct. 6, 2000)",prior Commission order,AT&T v. Bell Atlantic Order,,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_NPRM,"Notice of Proposed Rulemaking, CC Docket No. 96-115, 11 FCC Rcd 12513 (1996) (NPRM)",prior Commission order,,,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_COMPUTER_II,"Amendment of Section 64.702 of the Commission’s Rules and Regulations, CC Docket No. 20828, Final Decision, 77 FCC 2d 384 (1980)",prior Commission order,Computer II,,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_911_ACT,"Pub. L. No. 106-81, enacted Oct. 26, 1999, 113 Stat. 1286",statute,Wireless Communications and Public Safety Act of 1999 (911 Act),,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_GLBA,"Gramm-Leach-Bliley Act, Title V, Pub. L. No. 106-102, 113 Stat. 1338 (1999)",statute,Financial privacy regulatory model cited as a possible analog,,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_HIPAA,"Health Insurance Portability and Accountability Act of 1996, Pub. L. No. 104-191",statute,Health privacy regulatory model cited as a possible analog,,KB 2/USA/Customer Proprietary Network Information Rules.pdf
XR_CWAAA,"Contract With America Advancement Act of 1996, Pub. L. No. 104-121, 110 Stat. 847 (1996) (CWAAA)",statute,Title II of CWAAA is the Small Business Regulatory Enforcement Fairness Act of 1996 (SBREFA),,KB 2/USA/Customer Proprietary Network Information Rules.pdf
