source_id,target_id,rel_type,mention_count,citation_text
1798.135(a),1798.121,CROSS_REFERENCES,1,subdivision (a) of Section 1798.121
1798.135(a)(2),1798.121,CROSS_REFERENCES,1,subdivision (a) of Section 1798.121
1798.135(a)(4),1798.125,CROSS_REFERENCES,1,subdivision (b) of Section 1798.125
1798.135(b)(1),1798.185,CROSS_REFERENCES,1,paragraph (19) of subdivision (a) of Section 1798.185
1798.135(b)(2)(C),1798.185,CROSS_REFERENCES,1,paragraph (19) of subdivision (a) of Section 1798.185
1798.135(c)(2),1798.120,CROSS_REFERENCES,1,Sections 1798.120
1798.135(c)(2),1798.121,CROSS_REFERENCES,1,
1798.135(c)(3),1798.120,CROSS_REFERENCES,1,Sections 1798.120
1798.135(c)(3),1798.121,CROSS_REFERENCES,1,
1798.135(e),1798.125,CROSS_REFERENCES,1,Section 1798.125
1798.140(ag)(1)(D),1798.185,CROSS_REFERENCES,1,paragraph (9) of subdivision (a) of Section 1798.185
1798.140(ak),1798.105,CROSS_REFERENCES,1,Section 1798.105
1798.140(ak),1798.106,CROSS_REFERENCES,1,Section 1798.106
1798.140(ak),1798.110,CROSS_REFERENCES,1,Sections 1798.110
1798.140(ak),1798.115,CROSS_REFERENCES,1,
1798.140(ak),1798.185,CROSS_REFERENCES,2,paragraph (6) of subdivision (a) of Section 1798.185
1798.140(d)(1)(A),1798.199.95,CROSS_REFERENCES,1,subdivision (d) of Section 1798.199.95
1798.140(e),1798.185,CROSS_REFERENCES,1,paragraph (10) of subdivision (a) of Section 1798.185
1798.140(j)(1)(A)(iv),1798.185,CROSS_REFERENCES,1,paragraph (9) of subdivision (a) of Section 1798.185
1798.140(n),1798.185,CROSS_REFERENCES,1,Section 1798.185
1798.140(z),1798.185,CROSS_REFERENCES,1,paragraph (15) of subdivision (a) of Section 1798.185
1798.145(a)(2)(B),1798.140,CROSS_REFERENCES,1,subdivision (e) of Section 1798.140
1798.145(b),1798.110,CROSS_REFERENCES,1,Sections 1798.110
1798.145(b),1798.115,CROSS_REFERENCES,1,
1798.145(b),1798.120,CROSS_REFERENCES,1,
1798.145(b),1798.121,CROSS_REFERENCES,1,
1798.145(b),1798.130,CROSS_REFERENCES,1,
1798.145(b),1798.135,CROSS_REFERENCES,1,
1798.145(d)(3),1798.150,CROSS_REFERENCES,1,Section 1798.150
1798.145(e),1798.150,CROSS_REFERENCES,1,Section 1798.150
1798.145(f),1798.150,CROSS_REFERENCES,1,Section 1798.150
1798.145(g)(1),1798.120,CROSS_REFERENCES,1,Section 1798.120
1798.145(g)(2),1798.120,CROSS_REFERENCES,1,Section 1798.120
1798.145(k),1798.105,CROSS_REFERENCES,1,Section 1798.105
1798.145(k),1798.106,CROSS_REFERENCES,1,Section 1798.106
1798.145(k),1798.110,CROSS_REFERENCES,1,Section 1798.110
1798.145(m)(3),1798.100,CROSS_REFERENCES,1,subdivision (a) of Section 1798.100
1798.145(m)(3),1798.150,CROSS_REFERENCES,1,Section 1798.150
1798.145(n)(1),1798.100,CROSS_REFERENCES,1,Sections 1798.100
1798.145(n)(1),1798.105,CROSS_REFERENCES,1,
1798.145(n)(1),1798.106,CROSS_REFERENCES,1,
1798.145(n)(1),1798.110,CROSS_REFERENCES,1,
1798.145(n)(1),1798.115,CROSS_REFERENCES,1,
1798.145(n)(1),1798.121,CROSS_REFERENCES,1,
1798.145(n)(1),1798.130,CROSS_REFERENCES,1,
1798.145(n)(1),1798.135,CROSS_REFERENCES,1,
1798.145(o)(1),1798.105,CROSS_REFERENCES,1,Sections 1798.105
1798.145(o)(1),1798.120,CROSS_REFERENCES,1,
1798.145(p),1798.105,CROSS_REFERENCES,1,Sections 1798.105
1798.145(p),1798.106,CROSS_REFERENCES,1,
1798.145(p),1798.110,CROSS_REFERENCES,1,
1798.145(p),1798.115,CROSS_REFERENCES,1,
1798.145(q)(1),1798.105,CROSS_REFERENCES,1,Section 1798.105
1798.145(q)(2),1798.110,CROSS_REFERENCES,1,Section 1798.110
1798.145(r),1798.105,CROSS_REFERENCES,1,Sections 1798.105
1798.145(r),1798.120,CROSS_REFERENCES,1,
1798.148(a),1798.146,CROSS_REFERENCES,1,paragraph (4) of subdivision (a) of Section 1798.146
1798.148(a)(4),1798.146,CROSS_REFERENCES,1,paragraph (4) of subdivision (a) of Section 1798.146
1798.148(b),1798.146,CROSS_REFERENCES,1,paragraph (4) of subdivision (a) of Section 1798.146
1798.148(c),1798.146,CROSS_REFERENCES,1,paragraph (4) of subdivision (a) of Section 1798.146
1798.150(a)(1)(A),1798.199.95,CROSS_REFERENCES,1,subdivision (d) of Section 1798.199.95
1798.155(a),1798.199.95,CROSS_REFERENCES,1,subdivision (d) of Section 1798.199.95
1798.155(b),1798.160,CROSS_REFERENCES,1,subdivision (a) of Section 1798.160
1798.185(a)(1),1798.130,CROSS_REFERENCES,1,subdivision (c) of Section 1798.130
1798.185(a)(1),1798.140,CROSS_REFERENCES,2,subdivision (v) of Section 1798.140
1798.185(a)(16),1798.145,CROSS_REFERENCES,1,subparagraph (B) of paragraph (1) of subdivision (a) of Section 1798.145
1798.185(a)(18)(C)(ii),1798.121,CROSS_REFERENCES,1,subdivision (a) of Section 1798.121
1798.185(a)(18)(C)(ii),1798.140,CROSS_REFERENCES,1,paragraph (8) of subdivision (e) of Section 1798.140
1798.185(a)(18)(C)(iv),1798.121,CROSS_REFERENCES,2,subdivision (d) of Section 1798.121
1798.185(a)(19),1798.121,CROSS_REFERENCES,1,subdivision (a) of Section 1798.121
1798.185(a)(19),1798.135,CROSS_REFERENCES,1,subdivision (b) of Section 1798.135
1798.185(a)(19)(D),1798.135,CROSS_REFERENCES,1,Section 1798.135
1798.185(a)(2),1798.130,CROSS_REFERENCES,1,Section 1798.130
1798.185(a)(4)(A),1798.120,CROSS_REFERENCES,1,Section 1798.120
1798.185(a)(4)(A),1798.121,CROSS_REFERENCES,1,Section 1798.121
1798.185(a)(6),1798.105,CROSS_REFERENCES,1,Sections 1798.105
1798.185(a)(6),1798.106,CROSS_REFERENCES,2,Section 1798.106
1798.185(a)(6),1798.110,CROSS_REFERENCES,1,
1798.185(a)(6),1798.115,CROSS_REFERENCES,1,
1798.185(a)(6),1798.130,CROSS_REFERENCES,1,Section 1798.130
1798.185(a)(7),1798.106,CROSS_REFERENCES,1,Section 1798.106
1798.185(a)(8),1798.130,CROSS_REFERENCES,1,subparagraph (B) of paragraph (2) of subdivision (a) of Section 1798.130
1798.185(a)(9),1798.140,CROSS_REFERENCES,1,paragraph (6) of subdivision (e) of Section 1798.140
1798.198(a),1798.199,CROSS_REFERENCES,1,Section 1798.199
1798.199.40(b),1798.185,CROSS_REFERENCES,1,Section 1798.185
1798.199.40(d),1798.185,CROSS_REFERENCES,1,paragraph (14) of subdivision (a) of Section 1798.185
1798.199.40(f),1798.185,CROSS_REFERENCES,1,paragraph (17) of subdivision (a) of Section 1798.185
1798.199.40(j),1798.140,CROSS_REFERENCES,2,subdivision (d) of Section 1798.140
1798.199.40(k),1798.160,CROSS_REFERENCES,1,paragraph (2) of subdivision (b) of Section 1798.160
1798.199.55(a)(2),1798.155,CROSS_REFERENCES,1,Section 1798.155
1798.199.70(a),1798.199.50,CROSS_REFERENCES,1,Section 1798.199.50
1798.199.90(a),1798.199.95,CROSS_REFERENCES,1,subdivision (d) of Section 1798.199.95
1798.199.90(d),1798.199.55,CROSS_REFERENCES,1,Section 1798.199.55
1798.199.90(d),1798.199.85,CROSS_REFERENCES,1,Section 1798.199.85
1798.199.90(e),1798.150,CROSS_REFERENCES,1,Section 1798.150
1798.199.95(d)(1),1798.140,CROSS_REFERENCES,1,subparagraph (A) of paragraph (1) of subdivision (d) of Section 1798.140
1798.199.95(d)(1),1798.150,CROSS_REFERENCES,1,subparagraph (A) of paragraph (1) of subdivision (a) of Section 1798.150
1798.199.95(d)(1),1798.155,CROSS_REFERENCES,1,subdivision (a) of Section 1798.155
1798.199.95(d)(1),1798.199.25,CROSS_REFERENCES,1,Section 1798.199.25
1798.199.95(d)(1),1798.199.90,CROSS_REFERENCES,1,subdivision (a) of Section 1798.199.90
