section_id,section_number,heading,citation,intro_text,clause_count,source_document
1798.140,1798.140,Definitions,Civil Code § 1798.140,For purposes of this title:,137,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.145,1798.145,Exemptions,Civil Code § 1798.145,,106,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.146,1798.146,,Civil Code § 1798.146,,19,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.148,1798.148,,Civil Code § 1798.148,,12,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.150,1798.150,Personal Information Security Breaches,Civil Code § 1798.150,,8,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.155,1798.155,Administrative Enforcement,Civil Code § 1798.155,,2,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.160,1798.160,Consumer Privacy Fund,Civil Code § 1798.160,,13,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.175,1798.175,Conflicting Provisions,Civil Code § 1798.175,"This title is intended to further the constitutional right of privacy and to supplement existing laws relating to consumers’ personal information, including, but not limited to, Chapter 22 (commencing with Section 22575) of Division 8 of the Business and Professions Code and Title 1.81 (commencing with Section 1798.80). The provisions of this title are not limited to information collected electronically or over the Internet, but apply to the collection and sale of all personal information collected by a business from consumers. Wherever possible, law relating to consumers’ personal information should be construed to harmonize with the provisions of this title, but in the event of a conflict between other laws and the provisions of this title, the provisions of the law that afford the greatest protection for the right of privacy for consumers shall control.",0,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.180,1798.180,Preemption,Civil Code § 1798.180,"This title is a matter of statewide concern and supersedes and preempts all rules, regulations, codes, ordinances, and other laws adopted by a city, county, city and county, municipality, or local agency regarding the collection and sale of consumers’ personal information by a business.",0,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.185,1798.185,Regulations,Civil Code § 1798.185,,63,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.190,1798.190,Anti-Avoidance,Civil Code § 1798.190,A court or the agency shall disregard the intermediate steps or transactions for purposes of effectuating the purposes of this title:,2,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.192,1798.192,Waiver,Civil Code § 1798.192,"Any provision of a contract or agreement of any kind, including a representative action waiver, that purports to waive or limit in any way rights under this title, including, but not limited to, any right to a remedy or means of enforcement, shall be deemed contrary to public policy and shall be void and unenforceable. This section shall not prevent a consumer from declining to request information from a business, declining to opt out of a business’s sale of the consumer’s personal information, or authorizing a business to sell or share the consumer’s personal information after previously opting out.",0,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.194,1798.194,,Civil Code § 1798.194,This title shall be liberally construed to effectuate its purposes.,0,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.196,1798.196,,Civil Code § 1798.196,"This title is intended to supplement federal and state law, if permissible, but shall not apply if such application is preempted by, or in conflict with, federal law or the United States or California Constitution.",0,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.198,1798.198,,Civil Code § 1798.198,,2,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.199,1798.199,,Civil Code § 1798.199,"Notwithstanding Section 1798.198, Section 1798.180 shall be operative on the effective date of the act adding this section.",0,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.199.10,1798.199.10,,Civil Code § 1798.199.10,,2,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.199.15,1798.199.15,,Civil Code § 1798.199.15,Members of the agency board shall:,7,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.199.20,1798.199.20,,Civil Code § 1798.199.20,"Members of the agency board, including the chairperson, shall serve at the pleasure of their appointing authority but shall serve for no longer than eight consecutive years.",0,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.199.25,1798.199.25,,Civil Code § 1798.199.25,"For each day on which they engage in official duties, members of the agency board shall be compensated at the rate of one hundred dollars ($100)*, adjusted pursuant to subdivision (d) of Section 1798.199.95, and shall be reimbursed for expenses incurred in performance of their official duties.",0,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.199.30,1798.199.30,,Civil Code § 1798.199.30,"The agency board shall appoint an executive director who shall act in accordance with agency policies and regulations and with applicable law. The agency shall appoint and discharge officers, counsel, and employees, consistent with applicable civil service laws, and shall fix the compensation of employees and prescribe their duties. The agency may contract for services that cannot be provided by its employees.",0,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.199.35,1798.199.35,,Civil Code § 1798.199.35,"The agency board may delegate authority to the chairperson or the executive director to act in the name of the agency between meetings of the agency, except with respect to resolution of enforcement actions and rulemaking authority.",0,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.199.40,1798.199.40,,Civil Code § 1798.199.40,The agency shall perform the following functions:,12,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.199.45,1798.199.45,,Civil Code § 1798.199.45,,6,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.199.50,1798.199.50,,Civil Code § 1798.199.50,"No finding of probable cause to believe this title has been violated shall be made by the agency unless, at least 30 days prior to the agency’s consideration of the alleged violation, the business, service provider, contractor, or person alleged to have violated this title is notified of the violation by service of process or registered mail with return receipt requested, provided with a summary of the evidence, and informed of their right to be present in person and represented by counsel at any proceeding of the agency held for the purpose of considering whether probable cause exists for believing the person violated this title. Notice to the alleged violator shall be deemed made on the date of service, the date the registered mail receipt is signed, or if the registered mail receipt is not signed, the date returned by the post office. A proceeding held for the purpose of considering probable cause shall be private unless the alleged violator files with the agency a written request that the proceeding be public.",0,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.199.55,1798.199.55,,Civil Code § 1798.199.55,,4,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.199.60,1798.199.60,,Civil Code § 1798.199.60,"Whenever the agency rejects the decision of an administrative law judge made pursuant to Section 11517 of the Government Code, the agency shall state the reasons in writing for rejecting the decision.",0,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.199.65,1798.199.65,,Civil Code § 1798.199.65,"The agency may subpoena witnesses, compel their attendance and testimony, administer oaths and affirmations, take evidence and require by subpoena the production of any books, papers, records, or other items material to the performance of the agency’s duties or exercise of its powers, including, but not limited to, its power to audit a business’ compliance with this title.",0,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.199.70,1798.199.70,,Civil Code § 1798.199.70,No administrative action brought pursuant to this title alleging a violation of any of the provisions of this title shall be commenced more than five years after the date on which the violation occurred.,3,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.199.75,1798.199.75,,Civil Code § 1798.199.75,,5,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.199.80,1798.199.80,,Civil Code § 1798.199.80,,6,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.199.85,1798.199.85,,Civil Code § 1798.199.85,Any decision of the agency with respect to a complaint or administrative fine shall be subject to judicial review in an action brought by an interested party to the complaint or administrative fine and shall be subject to an abuse of discretion standard.,0,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.199.90,1798.199.90,,Civil Code § 1798.199.90,,5,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.199.95,1798.199.95,,Civil Code § 1798.199.95,,11,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
1798.199.100,1798.199.100,,Civil Code § 1798.199.100,"The agency and any court, as applicable, shall consider the good faith cooperation of the business, service provider, contractor, or other person in determining the amount of any administrative fine or civil penalty for a violation of this title. A business shall not be required by the agency, a court, or otherwise to pay both an administrative fine and a civil penalty for the same violation.",0,"California Consumer Privacy Act of 2018, as amended effective 01/01/2025 (SB 1223, AB 1008, AB 1824), posted by the CPPA January 2025 (KB 2/USA/CCPA.pdf)"
