from_node_type,from_node_id,relationship_type,to_node_type,to_node_id
Safeguard,8.8,APPLIES_TO_ASSET,AssetClass,Data
Safeguard,8.9,APPLIES_TO_ASSET,AssetClass,Data
Safeguard,8.10,APPLIES_TO_ASSET,AssetClass,Data
Safeguard,8.11,APPLIES_TO_ASSET,AssetClass,Data
Safeguard,8.12,APPLIES_TO_ASSET,AssetClass,Data
Safeguard,9.1,APPLIES_TO_ASSET,AssetClass,Software
Safeguard,9.2,APPLIES_TO_ASSET,AssetClass,Devices
Safeguard,9.3,APPLIES_TO_ASSET,AssetClass,Network
Safeguard,9.4,APPLIES_TO_ASSET,AssetClass,Software
Safeguard,9.5,APPLIES_TO_ASSET,AssetClass,Network
Safeguard,9.6,APPLIES_TO_ASSET,AssetClass,Network
Safeguard,9.7,APPLIES_TO_ASSET,AssetClass,Network
Safeguard,10.1,APPLIES_TO_ASSET,AssetClass,Devices
Safeguard,10.2,APPLIES_TO_ASSET,AssetClass,Devices
Safeguard,10.3,APPLIES_TO_ASSET,AssetClass,Devices
Safeguard,10.4,APPLIES_TO_ASSET,AssetClass,Devices
Safeguard,10.5,APPLIES_TO_ASSET,AssetClass,Devices
Safeguard,10.6,APPLIES_TO_ASSET,AssetClass,Devices
Safeguard,10.7,APPLIES_TO_ASSET,AssetClass,Devices
Safeguard,11.1,APPLIES_TO_ASSET,AssetClass,Documentation
Safeguard,11.2,APPLIES_TO_ASSET,AssetClass,Data
Safeguard,11.3,APPLIES_TO_ASSET,AssetClass,Data
Safeguard,11.4,APPLIES_TO_ASSET,AssetClass,Data
Safeguard,11.5,APPLIES_TO_ASSET,AssetClass,Data
Safeguard,12.1,APPLIES_TO_ASSET,AssetClass,Network
Safeguard,12.2,APPLIES_TO_ASSET,AssetClass,Network
Safeguard,12.3,APPLIES_TO_ASSET,AssetClass,Network
Safeguard,12.4,APPLIES_TO_ASSET,AssetClass,Documentation
Safeguard,12.5,APPLIES_TO_ASSET,AssetClass,Network
Safeguard,12.6,APPLIES_TO_ASSET,AssetClass,Network
Safeguard,12.7,APPLIES_TO_ASSET,AssetClass,Devices
Safeguard,12.8,APPLIES_TO_ASSET,AssetClass,Devices
Safeguard,13.1,APPLIES_TO_ASSET,AssetClass,Network
Safeguard,13.2,APPLIES_TO_ASSET,AssetClass,Devices
Safeguard,13.3,APPLIES_TO_ASSET,AssetClass,Network
Safeguard,13.4,APPLIES_TO_
