from_node_type,from_node_id,relationship_type,to_node_type,to_node_id
Control,7,HAS_SAFEGUARD,Safeguard,7.2
Control,7,HAS_SAFEGUARD,Safeguard,7.3
Control,7,HAS_SAFEGUARD,Safeguard,7.4
Control,7,HAS_SAFEGUARD,Safeguard,7.5
Control,7,HAS_SAFEGUARD,Safeguard,7.6
Control,7,HAS_SAFEGUARD,Safeguard,7.7
Control,8,HAS_SAFEGUARD,Safeguard,8.1
Control,8,HAS_SAFEGUARD,Safeguard,8.2
Control,8,HAS_SAFEGUARD,Safeguard,8.3
Control,8,HAS_SAFEGUARD,Safeguard,8.4
Control,8,HAS_SAFEGUARD,Safeguard,8.5
Control,8,HAS_SAFEGUARD,Safeguard,8.6
Control,8,HAS_SAFEGUARD,Safeguard,8.7
Control,8,HAS_SAFEGUARD,Safeguard,8.8
Control,8,HAS_SAFEGUARD,Safeguard,8.9
Control,8,HAS_SAFEGUARD,Safeguard,8.10
Control,8,HAS_SAFEGUARD,Safeguard,8.11
Control,8,HAS_SAFEGUARD,Safeguard,8.12
Control,9,HAS_SAFEGUARD,Safeguard,9.1
Control,9,HAS_SAFEGUARD,Safeguard,9.2
Control,9,HAS_SAFEGUARD,Safeguard,9.3
Control,9,HAS_SAFEGUARD,Safeguard,9.4
Control,9,HAS_SAFEGUARD,Safeguard,9.5
Control,9,HAS_SAFEGUARD,Safeguard,9.6
Control,9,HAS_SAFEGUARD,Safeguard,9.7
Control,10,HAS_SAFEGUARD,Safeguard,10.1
Control,10,HAS_SAFEGUARD,Safeguard,10.2
Control,10,HAS_SAFEGUARD,Safeguard,10.3
Control,10,HAS_SAFEGUARD,Safeguard,10.4
Control,10,HAS_SAFEGUARD,Safeguard,10.5
Control,10,HAS_SAFEGUARD,Safeguard,10.6
Control,10,HAS_SAFEGUARD,Safeguard,10.7
Control,11,HAS_SAFEGUARD,Safeguard,11.1
Control,11,HAS_SAFEGUARD,Safeguard,11.2
Control,11,HAS_SAFEGUARD,Safeguard,11.3
Control,11,HAS_SAFEGUARD,Safeguard,11.4
Control,11,HAS_SAFEGUARD,Safeguard,11.5
Control,12,HAS_SAFEGUARD,Safeguard,12.1
Control,12,HAS_SAFEGUARD,Safeguard,12.2
Control,12,HAS_SAFEGUARD,Safeguard,12.3
Control,12,HAS_SAFEGUARD,Safeguard,12.4
Control,12,HAS_SAFEGUARD,Safeguard,12.5
Control,12,HAS_SAFEGUARD,Safeguard,12.6
Control,12,HAS_SAFEGUARD,Safeguard,12.7
Control,12,HAS_SAFEGUARD,Safeguard,12.8
Control,13,HAS_SAFEGUARD,Safeguard,13.1
Control,13,HAS_SAFEGUARD,Safeguard,13.2
Control,13,HAS_SAFEGUARD,Safeguard,13.3
Control,13,HAS_SAFEGUARD,Safeguard,13.4
Control,13,HAS_SAFEGUARD,Safeguard,13.5
Control,13,HAS_SAFEGUARD,Safeguard,13.6
Control,13,HAS_SAFEGUARD,Safeguard,13.7
Control,13,HAS_SAFEGUARD,Safeguard,13.8
Control,13,HAS_SAFEGUARD,Safeguard,13.9
Control,13,HAS_SAFEGUARD,Safeguard,13.10
Control,14,HAS_SAFEGUARD,Safeguard,14.1
Control,14,HAS_SAFEGUARD,Safeguard,14.2
Control,14,HAS_SAFEGUARD,Safeguard,14.3
Control,14,HAS_SAFEGUARD,Safeguard,14.4
Control,14,HAS_SAFEGUARD,Safeguard,14.5
Control,14,HAS_SAFEGUARD,Safeguard,14.6
Control,14,HAS_SAFEGUARD,Safeguard,14.7
Control,14,HAS_SAFEGUARD,Safeguard,14.8
Control,14,HAS_SAFEGUARD,Safeguard,14.9
Control,15,HAS_SAFEGUARD,Safeguard,15.1
Control,15,HAS_SAFEGUARD,Safeguard,15.2
Control,15,HAS_SAFEGUARD,Safeguard,15.3
Control,15,HAS_SAFEGUARD,Safeguard,15.4
Control,15,HAS_SAFEGUARD,Safeguard,15.5
Control,15,HAS_SAFEGUARD,Safeguard,15.6
Control,15,HAS_SAFEGUARD,Safeguard,15.7
Control,16,HAS_SAFEGUARD,Safeguard,16.1
Control,16,HAS_SAFEGUARD,Safeguard,16.2
Control,16,HAS_SAFEGUARD,Safeguard,16.3
Control,16,HAS_SAFEGUARD,Safeguard,16.4
Control,16,HAS_SAFEGUARD,Safeguard,16.5
Control,16,HAS_SAFEGUARD,Safeguard,16.6
Control,16,HAS_SAFEGUARD,Safeguard,16.7
Control,16,HAS_SAFEGUARD,Safeguard,16.8
Control,16,HAS_SAFEGUARD,Safeguard,16.9
Control,16,HAS_SAFEGUARD,Safeguard,16.10
Control,16,HAS_SAFEGUARD,Safeguard,16.11
Control,16,HAS_SAFEGUARD,Safeguard,16.12
Control,16,HAS_SAFEGUARD,Safeguard,16.13
Control,16,HAS_SAFEGUARD,Safeguard,16.14
Control,17,HAS_SAFEGUARD,Safeguard,17.1
Control,17,HAS_SAFEGUARD,Safeguard,17.2
Control,17,HAS_SAFEGUARD,Safeguard,17.3
Control,17,HAS_SAFEGUARD,Safeguard,17.4
Control,17,HAS_SAFEGUARD,Safeguard,17.5
Control,17,HAS_SAFEGUARD,Safeguard,17.6
Control,17,HAS_SAFEGUARD,Safeguard,17.7
Control,17,HAS_SAFEGUARD,Safeguard,17.8
Control,17,HAS_SAFEGUARD,Safeguard,17.9
Control,18,HAS_SAFEGUARD,Safeguard,18.1
Control,18,HAS_SAFEGUARD,Safeguard,18.2
Control,18,HAS_SAFEGUARD,Safeguard,18.3
Control,18,HAS_SAFEGUARD,Safeguard,18.4
Control,18,HAS_SAFEGUARD,Safeguard,18.5
