enterprisesource_id,source_name,url,description,reputation_score,profile_type,name_is_duplicated,source_document
es_linkedin,LinkedIn,https://www.linkedin.com/,"Company pages, headcount, employee insights, leadership profiles, and technology information",7,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_glassdoor,Glassdoor,https://www.glassdoor.com/,"Culture insights, employee reviews, organizational insights, and technology culture",5,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_crunchbase,Crunchbase,https://www.crunchbase.com/,"Funding, acquisitions, key personnel, and technology partnerships",7,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_owler,Owler,https://www.owler.com/,Competitive intelligence and market insights,6,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_builtwith,BuiltWith,https://builtwith.com/,Technology stack analysis and web technology detection,6,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_wappalyzer,Wappalyzer,https://www.wappalyzer.com/,Web technology detection and stack identification,6,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_netcraft,Netcraft,https://www.netcraft.com/,Domain and hosting intelligence,7,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_cloudflare_radar,Cloudflare Radar,https://radar.cloudflare.com/,Network and infrastructure insights,7,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_shodan_censys,Shodan/Censys,https://www.shodan.io/,Infrastructure exposure and network intelligence (where legal/ethical),6,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_industry_specific_trade_associations,Industry-Specific Trade Associations,,Industry-specific trade associations and publications,7,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_market_research_databases,Market Research Databases,,"Gartner, IDC, Forrester and other market research platforms (where accessible)",8,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_patent_databases,Patent Databases,https://www.uspto.gov/patents,"USPTO, EPO, WIPO patent registries",9,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_trademark_registries,Trademark Registries,,Official trademark registration databases,9,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_osha,OSHA,https://www.osha.gov/,Workplace locations and safety data (US),9,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_importyeti,ImportYeti,https://www.importyeti.com/,Supply chain intelligence and import/export data,6,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_government_procurement_portals,Government Procurement Portals,https://www.gsa.gov/,"GSA, EU procurement databases, and government contract information",8,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_professional_licensing_boards,Professional Licensing Boards,,Professional licensing and certification registries (where applicable),9,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_reuters,Reuters,https://www.reuters.com/,"Financial and business news, cyber risk coverage",8,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_bloomberg,Bloomberg,https://www.bloomberg.com/,"Financial news, market data, and cyber risk desks",8,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_financial_times,Financial Times,https://www.ft.com/,International business and financial news,8,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_industry_specific_trade_publications,Industry-Specific Trade Publications,,Industry-specific trade publications and journals,7,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_local_and_regional_business_journals,Local and Regional Business Journals,,Local and regional business news and analysis,6,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_press_release_aggregators,Press Release Aggregators,,Press release and announcement aggregators,5,Business,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_annual_reports_and_investor_decks,Annual Reports and Investor Decks,,Corporate annual reports and investor presentations,8,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_esg_reports,ESG Reports,,"Environmental, Social, and Governance reports",7,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_country_specific_regulatory_filings,Country-Specific Regulatory Filings,,International regulatory filings and annual reports,9,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_sec_item_1c_disclosures,SEC Item 1C Disclosures,https://www.sec.gov/edgar/searchedgar/companysearch.html,Cybersecurity risk management and strategy disclosures,10,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_reputable_breach_databases,Reputable Breach Databases,,Breach tracking and incident databases,7,Technology,true,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_national_cert_advisories,National CERT Advisories,https://www.cisa.gov/news-events/cybersecurity-advisories,"US CISA, UK NCSC, ENISA cybersecurity advisories and alerts",9,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_industry_specific_security_incident_portals,Industry-Specific Security Incident Portals,,Sector-specific security incident reporting portals,8,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_github_gitlab,GitHub/GitLab,https://github.com/,Open-source contributions and code repositories (if applicable),7,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_stack_overflow,Stack Overflow,https://stackoverflow.com/,Technology community engagement and expertise,6,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_nist_csf_800_53_resources,NIST CSF/800-53 Resources,https://www.nist.gov/cyberframework,NIST Cybersecurity Framework and control guidelines,9,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_iso_27001_27701_directories,ISO 27001/27701 Directories,https://www.iso.org/,ISO certification registries and directories,8,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_cobit_itil_resources,COBIT/ITIL Resources,https://www.isaca.org/resources/cobit,IT governance and service management frameworks,8,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_sector_specific_standards,Sector-Specific Standards,,"Financial, healthcare, energy, and other sector-specific technology standards",8,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_press_releases_and_technology_announcements,Press Releases and Technology Announcements,,Corporate technology announcements and press releases,6,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_ai_ethics_statements_and_policies,AI Ethics Statements and Policies,,Corporate AI ethics policies and responsible AI statements,7,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_partner_and_vendor_partnership_pages,Partner and Vendor Partnership Pages,,Technology partnership and vendor relationship disclosures,6,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_industry_technology_conferences_and_events,Industry Technology Conferences and Events,,Technology conference participation and industry event presence,7,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_research_collaborations_and_publications,Research Collaborations and Publications,,Research partnerships and academic publications,7,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_usaspending_gov_technology,USASpending.gov (Technology),https://www.usaspending.gov/,Federal technology contracts and procurement data,9,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_gsa_schedules_and_contracts,GSA Schedules and Contracts,https://www.gsa.gov/,General Services Administration technology contracts,8,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_eu_procurement_portals_ted,EU Procurement Portals (TED),https://ted.europa.eu/,Tenders Electronic Daily - EU procurement database,9,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_country_specific_government_procurement_databases,Country-Specific Government Procurement Databases,,National government procurement and contract databases,8,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_public_private_partnership_disclosures,Public-Private Partnership Disclosures,,Public-private technology partnership information,7,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_soc_2_attestations,SOC 2 Attestations,https://www.aicpa.org/,System and Organization Controls attestation reports,8,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_iso_certifications,ISO Certifications,https://www.iso.org/,"ISO 27001, 20000, and other technology certifications",8,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_sector_attestations,Sector Attestations,,"PCI, HITRUST, FedRAMP, and other sector-specific attestations",8,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_national_certification_body_registries,National Certification Body Registries,,Country-specific certification and compliance registries,8,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_technology_focused_news_outlets,Technology-Focused News Outlets,,"TechCrunch, The Verge, Wired and other technology publications",7,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_industry_specific_technology_publications,Industry-Specific Technology Publications,,Sector-specific technology and digital transformation publications,7,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_analyst_reports,Analyst Reports,,"Gartner, IDC, Forrester technology analyst reports (where accessible)",8,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_trade_association_technology_resources,Trade Association Technology Resources,,Industry trade association technology and digital resources,7,Technology,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_official_state_registries_security,Official State Registries (Security),,Official state and national corporate registries for security context,9,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_national_cert_cisa_advisories,National CERT/CISA Advisories,https://www.cisa.gov/news-events/cybersecurity-advisories,"US CISA, UK NCSC, ENISA cybersecurity advisories and threat intelligence",9,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_reputable_breach_databases_2,Reputable Breach Databases,https://haveibeenpwned.com/,"Have I Been Pwned, Privacy Rights Clearinghouse, Identity Theft Resource Center",7,Security,true,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_sector_breach_portals,Sector Breach Portals,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,"HHS Breach Portal for Healthcare, PCI SSC for payment card incidents",9,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_recorded_future_flashpoint,Recorded Future/Flashpoint,,Threat intelligence summaries and security research (where accessible),7,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_enisa_threat_landscape_reports,ENISA Threat Landscape Reports,https://www.enisa.europa.eu/topics/threat-risk-management/threats-and-trends,European Union Agency for Cybersecurity threat landscape analysis,9,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_country_specific_cybersecurity_incident_databases,Country-Specific Cybersecurity Incident Databases,,National cybersecurity incident reporting and tracking databases,8,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_national_cybersecurity_agency_advisories,National Cybersecurity Agency Advisories,,Country-specific cybersecurity agency alerts and advisories,9,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_industry_specific_incident_reporting_portals,Industry-Specific Incident Reporting Portals,,Sector-specific cybersecurity incident and breach reporting systems,8,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_sec_cybersecurity_disclosures,SEC Cybersecurity Disclosures,https://www.sec.gov/edgar/searchedgar/companysearch.html,SEC Item 1C cybersecurity risk management and strategy disclosures,10,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_ftc_doj_enforcement_actions,FTC/DOJ Enforcement Actions,https://www.ftc.gov/,Federal Trade Commission and Department of Justice cybersecurity enforcement actions,9,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_state_ag_filings,State AG Filings,,State Attorney General cybersecurity and data breach enforcement actions,9,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_hhs_breach_notifications,HHS Breach Notifications,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,Health and Human Services breach notification portal,9,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_cisa_advisories_and_alerts,CISA Advisories and Alerts,https://www.cisa.gov/news-events/cybersecurity-advisories,Cybersecurity and Infrastructure Security Agency security advisories,9,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_gdpr_enforcement_tracker,GDPR Enforcement Tracker,https://www.enforcementtracker.com/,EDPB and national DPA GDPR enforcement rulings and penalties,9,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_uk_ico_enforcement_actions,UK ICO Enforcement Actions,https://ico.org.uk/action-weve-taken/,UK Information Commissioner's Office data protection enforcement,9,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_eu_enisa_reports,EU ENISA Reports,https://www.enisa.europa.eu/,European Union Agency for Cybersecurity reports and analysis,9,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_country_specific_data_protection_authority_actions,Country-Specific Data Protection Authority Actions,,National data protection authority enforcement and regulatory actions,9,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_sector_regulator_portals,Sector Regulator Portals,,"Financial, healthcare, energy, and other sector-specific regulatory portals",9,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_iso_27001_certified_organization_directories,ISO 27001 Certified Organization Directories,https://www.iso.org/,ISO 27001 certification registries and verified organization listings,8,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_csa_star_registry,CSA STAR Registry,https://cloudsecurityalliance.org/star/,"Cloud Security Alliance Security, Trust & Assurance Registry",7,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_soc_2_attestations_aicpa,SOC 2 Attestations (AICPA),https://www.aicpa.org/,AICPA System and Organization Controls Type II attestations,8,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_sector_attestations_security,Sector Attestations (Security),,"HITRUST, FedRAMP, and other sector-specific security attestations",8,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_national_certification_body_registries_security,National Certification Body Registries (Security),,Country-specific security certification and compliance registries,8,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_virustotal,VirusTotal,https://www.virustotal.com/,Malware and threat intelligence analysis platform,7,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_nvd_national_vulnerability_database,NVD (National Vulnerability Database),https://nvd.nist.gov/,National Institute of Standards and Technology vulnerability database,9,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_mitre_att_ck,MITRE ATT&CK,https://attack.mitre.org/,MITRE ATT&CK framework and adversary tactics mapping,8,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_cve_databases,CVE Databases,https://cve.mitre.org/,Common Vulnerabilities and Exposures database,9,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_ics_cert_advisories,ICS-CERT Advisories,https://www.cisa.gov/uscert/ics,Industrial Control Systems Cyber Emergency Response Team advisories,9,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_sector_specific_vulnerability_databases,Sector-Specific Vulnerability Databases,,Industry-specific vulnerability and threat databases,8,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_linkedin_security_leadership,LinkedIn (Security Leadership),https://www.linkedin.com/,"Security leadership profiles, team size, and certifications",7,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_glassdoor_security_culture,Glassdoor (Security Culture),https://www.glassdoor.com/,Security culture insights and employee feedback,5,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_professional_cybersecurity_forums,Professional Cybersecurity Forums,,Cybersecurity professional forums and communities,6,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_industry_specific_security_groups,Industry-Specific Security Groups,,Industry-specific security associations and groups,7,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_darkreading,DarkReading,https://www.darkreading.com/,Cybersecurity news and threat intelligence,7,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_bleepingcomputer,BleepingComputer,https://www.bleepingcomputer.com/,Cybersecurity news and incident reporting,7,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_securityweek,SecurityWeek,https://www.securityweek.com/,Cybersecurity news and industry analysis,7,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_reputable_industry_outlets_security,Reputable Industry Outlets (Security),,Reputable cybersecurity and information security news outlets,7,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_company_press_releases_and_official_statements,Company Press Releases and Official Statements,,Official company security incident disclosures and statements,6,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
es_industry_trade_publications_security,Industry Trade Publications (Security),,Industry-specific security and compliance trade publications,7,Security,false,DTOP-OLD/client/src/assets/docs/knowledgeRepository/info/enterpriseSources.json
