control_id,mitigationstrategy_id,maturitylevel_id,sequence,text,source_document
RAP-ML1-05,STRAT-04,ML1,5,Privileged users use separate privileged and unprivileged operating environments.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML1-06,STRAT-04,ML1,6,Unprivileged user accounts cannot logon to privileged operating environments.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML1-07,STRAT-04,ML1,7,Privileged user accounts (excluding local administrator accounts) cannot logon to unprivileged operating environments.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML1-01,STRAT-05,ML1,1,Application control is implemented on workstations.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML1-02,STRAT-05,ML1,2,"Application control is applied to user profiles and temporary folders used by operating systems, web browsers and email clients.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML1-03,STRAT-05,ML1,3,"Application control restricts the execution of executables, software libraries, scripts, installers, compiled HTML, HTML applications and control panel applets to an organisation- approved set.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RMOM-ML1-01,STRAT-06,ML1,1,Microsoft Office macros are disabled for users that do not have a demonstrated business requirement.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RMOM-ML1-02,STRAT-06,ML1,2,Microsoft Office macros in files originating from the internet are blocked.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RMOM-ML1-03,STRAT-06,ML1,3,Microsoft Office macro antivirus scanning is enabled.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RMOM-ML1-04,STRAT-06,ML1,4,Microsoft Office macro security settings cannot be changed by users.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML1-01,STRAT-07,ML1,1,Internet Explorer 11 is disabled or removed.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML1-02,STRAT-07,ML1,2,Web browsers do not process Java from the internet.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML1-03,STRAT-07,ML1,3,Web browsers do not process web advertisements from the internet.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML1-04,STRAT-07,ML1,4,Web browser security settings cannot be changed by users.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RB-ML1-01,STRAT-08,ML1,1,"Backups of data, applications and settings are performed and retained in accordance with business criticality and business continuity requirements.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RB-ML1-02,STRAT-08,ML1,2,"Backups of data, applications and settings are synchronised to enable restoration to a common point in time.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RB-ML1-03,STRAT-08,ML1,3,"Backups of data, applications and settings are retained in a secure and resilient manner.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RB-ML1-04,STRAT-08,ML1,4,"Restoration of data, applications and settings from backups to a common point in time is tested as part of disaster recovery exercises.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RB-ML1-05,STRAT-08,ML1,5,Unprivileged user accounts cannot access backups belonging to other user accounts.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RB-ML1-06,STRAT-08,ML1,6,Unprivileged user accounts are prevented from modifying and deleting backups.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
PA-ML2-01,STRAT-01,ML2,1,An automated method of asset discovery is used at least fortnightly to support the detection of assets for subsequent vulnerability scanning activities.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
PA-ML2-02,STRAT-01,ML2,2,A vulnerability scanner with an up-to-date vulnerability database is used for vulnerability scanning activities.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
PA-ML2-03,STRAT-01,ML2,3,A vulnerability scanner is used at least daily to identify missing patches or updates for vulnerabilities in online services.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
PA-ML2-04,STRAT-01,ML2,4,"A vulnerability scanner is used at least weekly to identify missing patches or updates for vulnerabilities in office productivity suites, web browsers and their extensions, email clients, PDF software, and security products.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
PA-ML2-05,STRAT-01,ML2,5,"A vulnerability scanner is used at least fortnightly to identify missing patches or updates for vulnerabilities in applications other than office productivity suites, web browsers and their extensions, email clients, PDF software, and security products.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
PA-ML2-06,STRAT-01,ML2,6,"Patches, updates or other vendor mitigations for vulnerabilities in online services are applied within 48 hours of release when vulnerabilities are assessed as critical by vendors or when working exploits exist.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
PA-ML2-07,STRAT-01,ML2,7,"Patches, updates or other vendor mitigations for vulnerabilities in online services are applied within two weeks of release when vulnerabilities are assessed as non-critical by vendors and no working exploits exist.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
PA-ML2-08,STRAT-01,ML2,8,"Patches, updates or other vendor mitigations for vulnerabilities in office productivity suites, web browsers and their extensions, email clients, PDF software, and security products are applied within two weeks of release.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
PA-ML2-09,STRAT-01,ML2,9,"Patches, updates or other vendor mitigations for vulnerabilities in applications other than office productivity suites, web browsers and their extensions, email clients, PDF software, and security products are applied within one month of release.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
PA-ML2-10,STRAT-01,ML2,10,Online services that are no longer supported by vendors are removed.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
PA-ML2-11,STRAT-01,ML2,11,"Office productivity suites, web browsers and their extensions, email clients, PDF software, Adobe Flash Player, and security products that are no longer supported by vendors are removed.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML2-01,STRAT-02,ML2,1,An automated method of asset discovery is used at least fortnightly to support the detection of assets for subsequent vulnerability scanning activities.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML2-02,STRAT-02,ML2,2,A vulnerability scanner with an up-to-date vulnerability database is used for vulnerability scanning activities.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML2-03,STRAT-02,ML2,3,A vulnerability scanner is used at least daily to identify missing patches or updates for vulnerabilities in operating systems of internet-facing servers and internet-facing network devices.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML2-04,STRAT-02,ML2,4,"A vulnerability scanner is used at least fortnightly to identify missing patches or updates for vulnerabilities in operating systems of workstations, non-internet-facing servers and non- internet-facing network devices.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML2-05,STRAT-02,ML2,5,"Patches, updates or other vendor mitigations for vulnerabilities in operating systems of internet-facing servers and internet-facing network devices are applied within 48 hours of release when vulnerabilities are assessed as critical by vendors or when working exploits exist.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML2-06,STRAT-02,ML2,6,"Patches, updates or other vendor mitigations for vulnerabilities in operating systems of internet-facing servers and internet-facing network devices are applied within two weeks of release when vulnerabilities are assessed as non-critical by vendors and no working exploits exist.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML2-07,STRAT-02,ML2,7,"Patches, updates or other vendor mitigations for vulnerabilities in operating systems of workstations, non-internet-facing servers and non-internet-facing network devices are applied within one month of release.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
POS-ML2-08,STRAT-02,ML2,8,Operating systems that are no longer supported by vendors are replaced.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML2-01,STRAT-03,ML2,1,"Multi-factor authentication is used to authenticate users to their organisation's online services that process, store or communicate their organisation's sensitive data.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML2-02,STRAT-03,ML2,2,"Multi-factor authentication is used to authenticate users to third-party online services that process, store or communicate their organisation's sensitive data.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML2-03,STRAT-03,ML2,3,"Multi-factor authentication (where available) is used to authenticate users to third-party online services that process, store or communicate their organisation's non-sensitive data.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML2-04,STRAT-03,ML2,4,"Multi-factor authentication is used to authenticate users to their organisation's online customer services that process, store or communicate their organisation's sensitive customer data.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML2-05,STRAT-03,ML2,5,"Multi-factor authentication is used to authenticate users to third-party online customer services that process, store or communicate their organisation's sensitive customer data.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML2-06,STRAT-03,ML2,6,"Multi-factor authentication is used to authenticate customers to online customer services that process, store or communicate sensitive customer data.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML2-07,STRAT-03,ML2,7,Multi-factor authentication is used to authenticate privileged users of systems.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML2-08,STRAT-03,ML2,8,Multi-factor authentication is used to authenticate unprivileged users of systems.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML2-09,STRAT-03,ML2,9,"Multi-factor authentication uses either: something users have and something users know, or something users have that is unlocked by something users know or are.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML2-10,STRAT-03,ML2,10,Multi-factor authentication used for authenticating users of online services is phishing- resistant.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML2-11,STRAT-03,ML2,11,Multi-factor authentication used for authenticating customers of online customer services provides a phishing-resistant option.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML2-12,STRAT-03,ML2,12,Multi-factor authentication used for authenticating users of systems is phishing-resistant.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML2-13,STRAT-03,ML2,13,Successful and unsuccessful multi-factor authentication events are centrally logged.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML2-14,STRAT-03,ML2,14,Event logs are protected from unauthorised modification and deletion.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML2-15,STRAT-03,ML2,15,Event logs from internet-facing servers are analysed in a timely manner to detect cyber security events.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML2-16,STRAT-03,ML2,16,Cyber security events are analysed in a timely manner to identify cyber security incidents.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML2-17,STRAT-03,ML2,17,"Cyber security incidents are reported to the Chief Information Security Officer, or one of their delegates, as soon as possible after they occur or are discovered.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML2-18,STRAT-03,ML2,18,Cyber security incidents are reported to ASD as soon as possible after they occur or are discovered.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
MFA-ML2-19,STRAT-03,ML2,19,"Following the identification of a cyber security incident, the cyber security incident response plan is enacted.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML2-01,STRAT-04,ML2,1,"Requests for privileged access to systems, applications and data repositories are validated when first requested.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML2-02,STRAT-04,ML2,2,"Privileged access to systems, applications and data repositories is disabled after 12 months unless revalidated.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML2-03,STRAT-04,ML2,3,Privileged access to systems and applications is disabled after 45 days of inactivity.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML2-04,STRAT-04,ML2,4,Privileged users are assigned a dedicated privileged user account to be used solely for duties requiring privileged access.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML2-05,STRAT-04,ML2,5,"Privileged user accounts (excluding those explicitly authorised to access online services) are prevented from accessing the internet, email and web services.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML2-06,STRAT-04,ML2,6,Privileged user accounts explicitly authorised to access online services are strictly limited to only what is required for users and services to undertake their duties.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML2-07,STRAT-04,ML2,7,Privileged users use separate privileged and unprivileged operating environments.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML2-08,STRAT-04,ML2,8,Privileged operating environments are not virtualised within unprivileged operating environments.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML2-09,STRAT-04,ML2,9,Unprivileged user accounts cannot logon to privileged operating environments.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML2-10,STRAT-04,ML2,10,Privileged user accounts (excluding local administrator accounts) cannot logon to unprivileged operating environments.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML2-11,STRAT-04,ML2,11,Administrative activities are conducted through jump servers.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML2-12,STRAT-04,ML2,12,"Credentials for break glass accounts, local administrator accounts and service accounts are long, unique, unpredictable and managed.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML2-13,STRAT-04,ML2,13,Privileged access events are centrally logged.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML2-14,STRAT-04,ML2,14,Privileged user account and security group management events are centrally logged.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML2-15,STRAT-04,ML2,15,Event logs are protected from unauthorised modification and deletion.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML2-16,STRAT-04,ML2,16,Event logs from internet-facing servers are analysed in a timely manner to detect cyber security events.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML2-17,STRAT-04,ML2,17,Cyber security events are analysed in a timely manner to identify cyber security incidents.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML2-18,STRAT-04,ML2,18,"Cyber security incidents are reported to the Chief Information Security Officer, or one of their delegates, as soon as possible after they occur or are discovered.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML2-19,STRAT-04,ML2,19,Cyber security incidents are reported to ASD as soon as possible after they occur or are discovered.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RAP-ML2-20,STRAT-04,ML2,20,"Following the identification of a cyber security incident, the cyber security incident response plan is enacted.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML2-01,STRAT-05,ML2,1,Application control is implemented on workstations.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML2-02,STRAT-05,ML2,2,Application control is implemented on internet-facing servers.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML2-03,STRAT-05,ML2,3,"Application control is applied to user profiles and temporary folders used by operating systems, web browsers and email clients.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML2-04,STRAT-05,ML2,4,"Application control is applied to all locations other than user profiles and temporary folders used by operating systems, web browsers and email clients.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML2-05,STRAT-05,ML2,5,"Application control restricts the execution of executables, software libraries, scripts, installers, compiled HTML, HTML applications and control panel applets to an organisation- approved set.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML2-06,STRAT-05,ML2,6,Microsoft's recommended application blocklist is implemented.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML2-07,STRAT-05,ML2,7,Application control rulesets are validated on an annual or more frequent basis.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML2-08,STRAT-05,ML2,8,Allowed and blocked application control events are centrally logged.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML2-09,STRAT-05,ML2,9,Event logs are protected from unauthorised modification and deletion.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML2-10,STRAT-05,ML2,10,Event logs from internet-facing servers are analysed in a timely manner to detect cyber security events.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML2-11,STRAT-05,ML2,11,Cyber security events are analysed in a timely manner to identify cyber security incidents.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML2-12,STRAT-05,ML2,12,"Cyber security incidents are reported to the Chief Information Security Officer, or one of their delegates, as soon as possible after they occur or are discovered.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML2-13,STRAT-05,ML2,13,Cyber security incidents are reported to ASD as soon as possible after they occur or are discovered.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
AC-ML2-14,STRAT-05,ML2,14,"Following the identification of a cyber security incident, the cyber security incident response plan is enacted.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RMOM-ML2-01,STRAT-06,ML2,1,Microsoft Office macros are disabled for users that do not have a demonstrated business requirement.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RMOM-ML2-02,STRAT-06,ML2,2,Microsoft Office macros in files originating from the internet are blocked.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RMOM-ML2-03,STRAT-06,ML2,3,Microsoft Office macro antivirus scanning is enabled.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RMOM-ML2-04,STRAT-06,ML2,4,Microsoft Office macros are blocked from making Win32 API calls.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RMOM-ML2-05,STRAT-06,ML2,5,Microsoft Office macro security settings cannot be changed by users.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML2-01,STRAT-07,ML2,1,Internet Explorer 11 is disabled or removed.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML2-02,STRAT-07,ML2,2,Web browsers do not process Java from the internet.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML2-03,STRAT-07,ML2,3,Web browsers do not process web advertisements from the internet.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML2-04,STRAT-07,ML2,4,"Web browsers are hardened using ASD and vendor hardening guidance, with the most restrictive guidance taking precedence when conflicts occur.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML2-05,STRAT-07,ML2,5,Web browser security settings cannot be changed by users.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML2-06,STRAT-07,ML2,6,Microsoft Office is blocked from creating child processes.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML2-07,STRAT-07,ML2,7,Microsoft Office is blocked from creating executable content.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML2-08,STRAT-07,ML2,8,Microsoft Office is blocked from injecting code into other processes.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML2-09,STRAT-07,ML2,9,Microsoft Office is configured to prevent activation of Object Linking and Embedding packages.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML2-10,STRAT-07,ML2,10,"Office productivity suites are hardened using ASD and vendor hardening guidance, with the most restrictive guidance taking precedence when conflicts occur.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML2-11,STRAT-07,ML2,11,Office productivity suite security settings cannot be changed by users.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML2-12,STRAT-07,ML2,12,PDF software is blocked from creating child processes.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML2-13,STRAT-07,ML2,13,"PDF software is hardened using ASD and vendor hardening guidance, with the most restrictive guidance taking precedence when conflicts occur.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML2-14,STRAT-07,ML2,14,PDF software security settings cannot be changed by users.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML2-15,STRAT-07,ML2,15,"PowerShell module logging, script block logging and transcription events are centrally logged.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML2-16,STRAT-07,ML2,16,Command line process creation events are centrally logged.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML2-17,STRAT-07,ML2,17,Event logs are protected from unauthorised modification and deletion.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML2-18,STRAT-07,ML2,18,Event logs from internet-facing servers are analysed in a timely manner to detect cyber security events.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML2-19,STRAT-07,ML2,19,Cyber security events are analysed in a timely manner to identify cyber security incidents.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML2-20,STRAT-07,ML2,20,"Cyber security incidents are reported to the Chief Information Security Officer, or one of their delegates, as soon as possible after they occur or are discovered.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML2-21,STRAT-07,ML2,21,Cyber security incidents are reported to ASD as soon as possible after they occur or are discovered.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
UAH-ML2-22,STRAT-07,ML2,22,"Following the identification of a cyber security incident, the cyber security incident response plan is enacted.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RB-ML2-01,STRAT-08,ML2,1,"Backups of data, applications and settings are performed and retained in accordance with business criticality and business continuity requirements.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RB-ML2-02,STRAT-08,ML2,2,"Backups of data, applications and settings are synchronised to enable restoration to a common point in time.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RB-ML2-03,STRAT-08,ML2,3,"Backups of data, applications and settings are retained in a secure and resilient manner.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RB-ML2-04,STRAT-08,ML2,4,"Restoration of data, applications and settings from backups to a common point in time is tested as part of disaster recovery exercises.",KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RB-ML2-05,STRAT-08,ML2,5,Unprivileged user accounts cannot access backups belonging to other user accounts.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RB-ML2-06,STRAT-08,ML2,6,Privileged user accounts (excluding backup administrator accounts) cannot access backups belonging to other user accounts.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RB-ML2-07,STRAT-08,ML2,7,Unprivileged user accounts are prevented from modifying and deleting backups.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
RB-ML2-08,STRAT-08,ML2,8,Privileged user accounts (excluding backup administrator accounts) are prevented from modifying and deleting backups.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
PA-ML3-01,STRAT-01,ML3,1,An automated method of asset discovery is used at least fortnightly to support the detection of assets for subsequent vulnerability scanning activities.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
PA-ML3-02,STRAT-01,ML3,2,A vulnerability scanner with an up-to-date vulnerability database is used for vulnerability scanning activities.,KB 2/Australia/ASD Essential Eight Maturity Model.pdf
