source_id,target_id,rel_type,size,catalogs,source_document
AAT-03,sol_enterprise_de4c39e143,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-03,sol_large_business_880b63143d,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-03,sol_medium_business_22bcca87c3,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-03.1,sol_enterprise_de4c39e143,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-03.1,sol_large_business_880b63143d,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-03.1,sol_medium_business_22bcca87c3,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-04,sol_enterprise_de4c39e143,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-04,sol_large_business_880b63143d,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-04,sol_medium_business_22bcca87c3,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-04.1,sol_enterprise_de4c39e143,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-04.1,sol_large_business_880b63143d,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-04.1,sol_medium_business_22bcca87c3,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-04.2,sol_enterprise_de4c39e143,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-04.2,sol_large_business_880b63143d,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-04.2,sol_medium_business_22bcca87c3,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-04.3,sol_enterprise_de4c39e143,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-04.3,sol_large_business_880b63143d,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-04.3,sol_medium_business_22bcca87c3,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-04.4,sol_enterprise_de4c39e143,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-04.4,sol_large_business_880b63143d,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-04.4,sol_medium_business_22bcca87c3,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-05,sol_enterprise_de4c39e143,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-05,sol_large_business_880b63143d,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-05,sol_medium_business_22bcca87c3,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-06,sol_enterprise_de4c39e143,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-06,sol_large_business_880b63143d,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-06,sol_medium_business_22bcca87c3,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-07,sol_enterprise_de4c39e143,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-07,sol_large_business_880b63143d,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-07,sol_medium_business_22bcca87c3,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-07.1,sol_enterprise_de4c39e143,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-07.1,sol_large_business_880b63143d,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-07.1,sol_medium_business_22bcca87c3,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-07.2,sol_enterprise_de4c39e143,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-07.2,sol_large_business_880b63143d,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-07.2,sol_medium_business_22bcca87c3,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-07.3,sol_enterprise_de4c39e143,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-07.3,sol_large_business_880b63143d,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-07.3,sol_medium_business_22bcca87c3,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-08,sol_enterprise_de4c39e143,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-08,sol_large_business_880b63143d,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-08,sol_medium_business_22bcca87c3,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-09,sol_enterprise_de4c39e143,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-09,sol_large_business_880b63143d,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-09,sol_medium_business_22bcca87c3,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10,sol_enterprise_9a93c4cd8a,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10,sol_large_business_a7e6f05214,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10,sol_medium_business_ad96b9d4e2,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.1,sol_enterprise_0ff755055a,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.1,sol_large_business_6191bcc854,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.1,sol_medium_business_a837f7c619,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.10,sol_enterprise_9a93c4cd8a,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.10,sol_large_business_a7e6f05214,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.10,sol_medium_business_ad96b9d4e2,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.11,sol_enterprise_9a93c4cd8a,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.11,sol_large_business_a7e6f05214,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.11,sol_medium_business_ad96b9d4e2,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.12,sol_enterprise_9a93c4cd8a,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.12,sol_large_business_a7e6f05214,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.12,sol_medium_business_ad96b9d4e2,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.13,sol_enterprise_9cda0fa94e,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.13,sol_large_business_3633374447,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.13,sol_medium_business_041c3937ab,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.14,sol_enterprise_e936404070,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.14,sol_large_business_7f24e50fcb,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.14,sol_medium_business_d763d9c456,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.2,sol_enterprise_9a93c4cd8a,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.2,sol_large_business_a7e6f05214,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.2,sol_medium_business_ad96b9d4e2,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.3,sol_enterprise_9a93c4cd8a,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.3,sol_large_business_a7e6f05214,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.3,sol_medium_business_ad96b9d4e2,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.4,sol_enterprise_9a93c4cd8a,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.4,sol_large_business_a7e6f05214,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.4,sol_medium_business_ad96b9d4e2,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.5,sol_enterprise_9a93c4cd8a,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.5,sol_large_business_a7e6f05214,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.5,sol_medium_business_ad96b9d4e2,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.6,sol_enterprise_9a93c4cd8a,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.6,sol_large_business_a7e6f05214,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.6,sol_medium_business_ad96b9d4e2,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.7,sol_enterprise_9a93c4cd8a,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.7,sol_large_business_a7e6f05214,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.7,sol_medium_business_ad96b9d4e2,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.8,sol_enterprise_9a93c4cd8a,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.8,sol_large_business_a7e6f05214,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.8,sol_medium_business_ad96b9d4e2,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.9,sol_enterprise_9a93c4cd8a,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.9,sol_large_business_a7e6f05214,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-10.9,sol_medium_business_ad96b9d4e2,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-11,sol_enterprise_61027f6dcf,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-11,sol_large_business_fa22189bd9,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-11,sol_medium_business_f12bcf8868,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-11.1,sol_enterprise_de4c39e143,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-11.1,sol_large_business_880b63143d,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-11.1,sol_medium_business_22bcca87c3,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-11.2,sol_enterprise_9a93c4cd8a,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-11.2,sol_large_business_a7e6f05214,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-11.2,sol_medium_business_ad96b9d4e2,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-11.3,sol_enterprise_6bb06c26df,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-11.3,sol_large_business_9abdd41bef,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-11.3,sol_medium_business_aeb0d850ca,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-11.4,sol_enterprise_cc2cc9d106,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-11.4,sol_large_business_345cef825c,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-11.4,sol_medium_business_578fdadddc,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-12,sol_enterprise_54db7786d0,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-12,sol_large_business_309619aa03,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-12,sol_medium_business_adcfb8a43f,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-12.1,sol_enterprise_c76e93dc42,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-12.1,sol_large_business_060c838c28,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-12.1,sol_medium_business_22bcca87c3,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-12.2,sol_enterprise_c76e93dc42,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-12.2,sol_large_business_060c838c28,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-12.2,sol_medium_business_22bcca87c3,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-13,sol_enterprise_de4c39e143,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-13,sol_large_business_880b63143d,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-13,sol_medium_business_22bcca87c3,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-13.1,sol_enterprise_de4c39e143,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-13.1,sol_large_business_880b63143d,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-13.1,sol_medium_business_22bcca87c3,HAS_POSSIBLE_SOLUTION,Medium Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-14,sol_enterprise_de4c39e143,HAS_POSSIBLE_SOLUTION,Enterprise,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
AAT-14,sol_large_business_880b63143d,HAS_POSSIBLE_SOLUTION,Large Business,control,DTOP-OLD/client/src/assets/docs/knowledgeRepository/graph/DtopCatalogs/control-catalog.json
