section_id,section_number,title,text,rule_id,source_document
SEC-13,13,Organizational Structure,"The Commission is attached to the Department of Information and Communications Technology for policy and program coordination in accordance with Section 38(3) of Executive Order No. 292, series of 1987, also known as the Administrative Code of 1987. The Commission shall remain completely independent in the performance of its functions. The Commission shall be headed by a Privacy Commissioner, who shall act as Chairman of the Commission. The Privacy Commissioner must be at least thirty- five (35) years of age and of good moral character, unquestionable integrity and known probity, and a recognized expert in the field of information technology and data privacy. The Privacy Commissioner shall enjoy the benefits, privileges, and emoluments equivalent to the rank of Secretary. The Privacy Commissioner shall be assisted by two (2) Deputy Privacy Commissioners. One shall be responsible for Data Processing Systems, while the other shall be responsible for Policies and Planning. The Deputy Privacy Commissioners must be recognized experts in the field of information and communications technology and data privacy. They shall enjoy the benefits, privileges, and emoluments equivalent to the rank of Undersecretary.",RULE-III,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-14,14,Secretariat,"The Commission is authorized to establish a Secretariat, which shall assist in the performance of its functions. The Secretariat shall be headed by an Executive Director and shall be organized according to the following offices:",RULE-III,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-15,15,Effect of Lawful Performance of Duty,"The Privacy Commissioner, the Deputy Commissioners, or any person acting on their behalf or under their direction, shall not be civilly liable for acts done in good faith in the performance of their duties: Provided, that they shall be liable for willful or negligent acts, which are contrary to law, morals, public policy, and good customs, even if they acted under orders or instructions of superiors: Provided further, that in case a lawsuit is filed against them in relation to the performance of their duties, where such performance is lawful, he or she shall be reimbursed by the Commission for reasonable costs of litigation.",RULE-III,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-16,16,Magna Carta for Science and Technology Personnel,"Qualified employees of the Commission shall be covered by Republic Act No. 8349, which provides a magna carta for scientists, engineers, researchers, and other science and technology personnel in the government.",RULE-III,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-17,17,General Data Privacy Principles,"The processing of personal data shall be allowed, subject to compliance with the requirements of the Act and other laws allowing disclosure of information to the public, and adherence to the principles of transparency, legitimate purpose, and proportionality.",RULE-IV,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-18,18,"Principles of Transparency, Legitimate Purpose and Proportionality","The processing of personal data shall be allowed subject to adherence to the principles of transparency, legitimate purpose, and proportionality.",RULE-IV,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-19,19,"General principles in collection, processing and retention","The processing of personal data shall adhere to the following general principles in the collection, processing, and retention of personal data:",RULE-IV,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-20,20,General Principles for Data Sharing,Further Processing of Personal Data collected from a party other than the Data Subject shall be allowed under any of the following conditions:,RULE-IV,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-21,21,Criteria for Lawful Processing of Personal Information,"Processing of personal information is allowed, unless prohibited by law. For processing to be lawful, any of the following conditions must be complied with:",RULE-V,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-22,22,Sensitive Personal Information and Privileged Information,"The processing of sensitive personal and privileged information is prohibited, except in any of the following cases:",RULE-V,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-23,23,Extension of Privileged Communication,"Personal information controllers may invoke the principle of privileged communication over privileged information that they lawfully control or process. Subject to existing laws and regulations, any evidence gathered from privileged information is inadmissible. When the Commission inquires upon communication claimed to be privileged, the personal information controller concerned shall prove the nature of the communication in an executive session. Should the communication be determined as privileged, it shall be excluded from evidence, and the contents thereof shall not form part of the records of the case: Provided, that where the privileged communication itself is the subject of a breach, or a privacy concern or investigation, it may be disclosed to the Commission but only to the extent necessary for the purpose of investigation, without including the contents thereof in the records.",RULE-V,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-24,24,Surveillance of Suspects and Interception of Recording of Communications,"Section 7 of Republic Act No. 9372, otherwise known as the “Human Security Act of 2007”, is hereby amended to include the condition that the processing of personal data for the purpose of surveillance, interception, or recording of communications shall comply with the Data Privacy Act, including adherence to the principles of transparency, proportionality, and legitimate purpose.",RULE-V,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-25,25,Data Privacy and Security,"Personal information controllers and personal information processors shall implement reasonable and appropriate organizational, physical, and technical security measures for the protection of personal data. The personal information controller and personal information processor shall take steps to ensure that any natural person acting under their authority and who has access to personal data, does not process them except upon their instructions, or as required by law. The security measures shall aim to maintain the availability, integrity, and confidentiality of personal data and are intended for the protection of personal data against any accidental or unlawful destruction, alteration, and disclosure, as well as against any other unlawful processing. These measures shall be implemented to protect personal data against natural dangers such as accidental loss or destruction, and human dangers such as unlawful access, fraudulent misuse, unlawful destruction, alteration and contamination.",RULE-VI,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-26,26,Organizational Security Measures,"Where appropriate, personal information controllers and personal information processors shall comply with the following guidelines for organizational security:",RULE-VI,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-27,27,Physical Security Measures,"Where appropriate, personal information controllers and personal information processors shall comply with the following guidelines for physical security:",RULE-VI,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-28,28,Guidelines for Technical Security Measures,"Where appropriate, personal information controllers and personal information processors shall adopt and establish the following technical security measures:",RULE-VI,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-29,29,Appropriate Level of Security,"The Commission shall monitor the compliance of natural or juridical person or other body involved in the processing of personal data, specifically their security measures, with the guidelines provided in these Rules and subsequent issuances of the Commission. In determining the level of security appropriate for a particular personal information controller or personal information processor, the Commission shall take into account the nature of the personal data that requires protection, the risks posed by the processing, the size of the organization and complexity of its operations, current data privacy best practices, and the cost of security implementation. The security measures provided herein shall be subject to regular review and evaluation, and may be updated as necessary by the Commission in separate issuances, taking into account the most appropriate standard recognized by the information and communications technology industry and data privacy best practices.",RULE-VI,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-30,30,Responsibility of Heads of Agencies,"All sensitive personal information maintained by the government, its agencies, and instrumentalities shall be secured, as far as practicable, with the use of the most appropriate standard recognized by the information and communications technology industry, subject to these Rules and other issuances of the Commission. The head of each government agency or instrumentality shall be responsible for complying with the security requirements mentioned herein. The Commission shall monitor government agency compliance and may recommend the necessary action in order to satisfy the minimum standards.",RULE-VII,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-31,31,Requirements Relating to Access by Agency Personnel to Sensitive Personal Information,,RULE-VII,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-32,32,Implementation of Security Requirements,"Notwithstanding the effective date of these Rules, the requirements in the preceding sections shall be implemented before any off-site or online access request is approved. Any data sharing agreement between a source agency and another government agency shall be subject to review of the Commission on its own initiative or upon complaint of data subject.",RULE-VII,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-33,33,Applicability to Government Contractors,"In entering into any contract with a private service provider that may involve accessing or requiring sensitive personal information from one thousand (1,000) or more individuals, a government agency shall require such service provider and its employees to register their personal data processing system with the Commission in accordance with the Act and these Rules. The service provider, as personal information processor, shall comply with the other provisions of the Act and these Rules, particularly the immediately preceding sections, similar to a government agency and its employees.",RULE-VII,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-34,34,Rights of the Data Subject,The data subject is entitled to the following rights:,RULE-VIII,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-35,35,Transmissibility of Rights of the Data Subject,"The lawful heirs and assigns of the data subject may invoke the rights of the data subject to which he or she is an heir or an assignee, at any time after the death of the data subject, or when the data subject is incapacitated or incapable of exercising the rights as enumerated in the immediately preceding section.",RULE-VIII,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-36,36,Right to Data Portability,"Where his or her personal data is processed by electronic means and in a structured and commonly used format, the data subject shall have the right to obtain from the personal information controller a copy of such data in an electronic or structured format that is commonly used and allows for further use by the data subject. The exercise of this right shall primarily take into account the right of data subject to have control over his or her personal data being processed based on consent or contract, for commercial purpose, or through automated means. The Commission may specify the electronic format referred to above, as well as the technical standards, modalities, procedures and other rules for their transfer.",RULE-VIII,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-37,37,Limitation on Rights,"The immediately preceding sections shall not be applicable if the processed personal data are used only for the needs of scientific and statistical research and, on the basis of such, no activities are carried out and no decisions are taken regarding the data subject: Provided, that the personal data shall be held under strict confidentiality and shall be used only for the declared purpose. The said sections are also not applicable to the processing of personal data gathered for the purpose of investigations in relation to any criminal, administrative or tax liabilities of a data subject. Any limitations on the rights of the data subject shall only be to the minimum extent necessary to achieve the purpose of said research or investigation.",RULE-VIII,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-38,38,Data Breach Notification,,RULE-IX,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-39,39,Contents of Notification,"The notification shall at least describe the nature of the breach, the personal data possibly involved, and the measures taken by the entity to address the breach. The notification shall also include measures taken to reduce the harm or negative consequences of the breach, the representatives of the personal information controller, including their contact details, from whom the data subject can obtain additional information about the breach, and any assistance to be provided to the affected data subjects.",RULE-IX,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-40,40,Delay of Notification,"Notification may be delayed only to the extent necessary to determine the scope of the breach, to prevent further disclosures, or to restore reasonable integrity to the information and communications system.",RULE-IX,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-41,41,Breach Report,,RULE-IX,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-42,42,Procedure for Notification,"The Procedure for breach notification shall be in accordance with the Act, these Rules, and any other issuance of the Commission.",RULE-IX,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-43,43,Subcontract of Personal Data,"A personal information controller may subcontract or outsource the processing of personal data: Provided, that the personal information controller shall use contractual or other reasonable means to ensure that proper safeguards are in place, to ensure the confidentiality, integrity and availability of the personal data processed, prevent its use for unauthorized purposes, and generally, comply with the requirements of the Act, these Rules, other applicable laws for processing of personal data, and other issuances of the Commission.",RULE-X,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-44,44,Agreements for Outsourcing,Processing by a personal information processor shall be governed by a contract or other legal act that binds the personal information processor to the personal information controller.,RULE-X,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-45,45,Duty of personal information processor,"The personal information processor shall comply with the requirements of the Act, these Rules, other applicable laws, and other issuances of the Commission, in addition to obligations provided in a contract, or other legal act with a personal information controller.",RULE-X,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-46,46,Enforcement of the Data Privacy Act,"Pursuant to the mandate of the Commission to administer and implement the Act, and to ensure the compliance of personal information controllers with its obligations under the law, the Commission requires the following:",RULE-XI,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-47,47,Registration of Personal Data Processing Systems,"The personal information controller or personal information processor that employs fewer than two hundred fifty (250) persons shall not be required to register unless the processing it carries out is likely to pose a risk to the rights and freedoms of data subjects, the processing is not occasional, or the processing includes sensitive personal information of at least one thousand (1,000) individuals.",RULE-XI,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-48,48,Notification of Automated Processing Operations,"The personal information controller carrying out any wholly or partly automated processing operations or set of such operations intended to serve a single purpose or several related purposes shall notify the Commission when the automated processing becomes the sole basis for making decisions about a data subject, and when the decision would significantly affect the data subject.",RULE-XI,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-49,49,Review by the Commission,"The following are subject to the review of the Commission, upon its own initiative or upon the filing of a complaint by a data subject:",RULE-XI,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-50,50,Accountability for Transfer of Personal Data,"A personal information controller shall be responsible for any personal data under its control or custody, including information that have been outsourced or transferred to a personal information processor or a third party for processing, whether domestically or internationally, subject to cross-border arrangement and cooperation.",RULE-XII,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-51,51,"Accountability for Violation of the Act, these Rules and Other Issuances of the Commission",,RULE-XII,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-52,52,Unauthorized Processing of Personal Information and Sensitive Personal Information,,RULE-XIII,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-53,53,Accessing Personal Information and Sensitive Personal Information Due to Negligence,,RULE-XIII,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-54,54,Improper Disposal of Personal Information and Sensitive Personal Information,,RULE-XIII,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-55,55,Processing of Personal Information and Sensitive Personal Information for Unauthorized Purposes,,RULE-XIII,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-56,56,Unauthorized Access or Intentional Breach,"A penalty of imprisonment ranging from one (1) year to three (3) years and a fine of not less than Five hundred thousand pesos (Php500,000.00) but not more than Two million pesos (Php2,000,000.00) shall be imposed on persons who knowingly and unlawfully, or violating data confidentiality and security data systems, breaks in any way into any system where personal and sensitive personal information are stored.",RULE-XIII,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-57,57,Concealment of Security Breaches Involving Sensitive Personal Information,"A penalty of imprisonment ranging from one (1) year and six (6) months to five (5) years and a fine of not less than Five hundred thousand pesos (Php500,000.00) but not more than One million pesos (Php1,000,000.00) shall be imposed on persons who, after having knowledge of a security breach and of the obligation to notify the Commission pursuant to Section 20(f) of the Act, intentionally or by omission conceals the fact of such security breach.",RULE-XIII,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-58,58,Malicious Disclosure,"Any personal information controller or personal information processor, or any of its officials, employees or agents, who, with malice or in bad faith, discloses unwarranted or false information relative to any personal information or sensitive personal information obtained by him or her, shall be subject to imprisonment ranging from one (1) year and six (6) months to five (5) years and a fine of not less than Five hundred thousand pesos (Php500,000.00) but not more than One million pesos (Php1,000,000.00).",RULE-XIII,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-59,59,Unauthorized Disclosure,,RULE-XIII,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-60,60,Combination or Series of Acts,"Any combination or series of acts as defined in Sections 52 to 59 shall make the person subject to imprisonment ranging from three (3) years to six (6) years and a fine of not less than One million pesos (Php1,000,000.00) but not more than Five million pesos (Php5,000,000.00).",RULE-XIII,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-61,61,Extent of Liability,"If the offender is a corporation, partnership or any juridical person, the penalty shall be imposed upon the responsible officers, as the case may be, who participated in, or by their gross negligence, allowed the commission of the crime. Where applicable, the court may also suspend or revoke any of its rights under this Act. If the offender is an alien, he or she shall, in addition to the penalties herein prescribed, be deported without further proceedings after serving the penalties prescribed. If the offender is a public official or employee and he or she is found guilty of acts penalized under Sections 54 and 55 of these Rules, he or she shall, in addition to the penalties prescribed herein, suffer perpetual or temporary absolute disqualification from office, as the case may be.",RULE-XIII,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-62,62,Large-Scale,"The maximum penalty in the corresponding scale of penalties provided for the preceding offenses shall be imposed when the personal data of at least one hundred (100) persons are harmed, affected, or involved, as the result of any of the above-mentioned offenses.",RULE-XIII,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-63,63,Offense Committed by Public Officer,"When the offender or the person responsible for the offense is a public officer, as defined in the Administrative Code of 1987, in the exercise of his or her duties, he or she shall likewise suffer an accessory penalty consisting of disqualification to occupy public office for a term double the term of the criminal penalty imposed.",RULE-XIII,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-64,64,Restitution,"Pursuant to the exercise of its quasi-judicial functions, the Commission shall award indemnity to an aggrieved party on the basis of the provisions of the New Civil Code. Any complaint filed by a data subject shall be subject to the payment of filing fees, unless the data subject is an indigent.",RULE-XIII,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-65,65,Fines and Penalties,"Violations of the Act, these Rules, other issuances and orders of the Commission, shall, upon notice and hearing, be subject to compliance and enforcement orders, cease and desist orders, temporary or permanent ban on the processing of personal data, or payment of fines, in accordance with a schedule to be published by the Commission.",RULE-XIII,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-66,66,Appeal,"Appeal from final decisions of the Commission shall be made to the proper courts in accordance with the Rules of Court, or as may be prescribed by law.",RULE-XIV,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-67,67,Period for Compliance,"Any natural or juridical person or other body involved in the processing of personal data shall comply with the personal data processing principles and standards of personal data privacy and security already laid out in the Act. Personal information controllers and Personal Information processors shall register with the Commission their data processing systems or automated processing operations, subject to notification, within one (1) year after the effectivity of these Rules. Any subsequent issuance of the Commission, including those that implement specific standards for data portability, encryption, or other security measures shall provide the period for its compliance. For a period of one (1) year from the effectivity of these Rules, a personal information controller or personal information processor may apply for an extension of the period within which to comply with the issuances of the Commission. The Commission may grant such request for good cause shown.",RULE-XIV,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-68,68,Appropriations Clause,The Commission shall be provided with appropriations for the performance of its functions which shall be included in the General Appropriations Act.,RULE-XIV,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-69,69,Interpretation,Any doubt in the interpretation of any provision of this Act shall be liberally interpreted in a manner that would uphold the rights and interests of the individual about whom personal data is processed.,RULE-XIV,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-70,70,Separability Clause,"If any provision or part hereof is held invalid or unconstitutional, the remainder of these Rules or the provision not otherwise affected shall remain valid and subsisting.",RULE-XIV,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-71,71,Repealing Clause,"Except as otherwise expressly provided in the Act or these Rules, all other laws, decrees, executive orders, proclamations and administrative regulations or parts thereof inconsistent herewith are hereby repealed or modified accordingly.",RULE-XIV,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-72,72,Effectivity Clause,These Rules shall take effect fifteen (15) days after its publication in the Official Gazette.,RULE-XIV,KB 2/Philippines/IRR-of-the-DPA.pdf
