paragraph_id,article_id,paragraph_label,article_number,paragraph_number,text,source_document
ART14-P2,ART14,"Article 14, paragraph 2",14,2,People's governments at or above the provincial level shall include the digital economy development in the national economic and social development planning at the respective level and formulate digital economy development plans as needed.,KB 2/China/Data Security Law of China.pdf
ART15-P1,ART15,"Article 15, paragraph 1",15,1,"The State shall support the data development and use to make public services more intelligent. When providing such intelligent public services, it is required to fully consider the needs of the elderly and the handicapped and avoid causing any obstacle to their daily life.",KB 2/China/Data Security Law of China.pdf
ART16-P1,ART16,"Article 16, paragraph 1",16,1,The State shall support the research on data development and use technologies and data security technologies; support the dissemination and commercial innovation of technologies in such areas as data development and use and data security; and foster and develop products and industry systems for data development and use and for data security.,KB 2/China/Data Security Law of China.pdf
ART17-P1,ART17,"Article 17, paragraph 1",17,1,"The State shall advance the construction of the standard systems for the data development and use technology and those for data security. The administrative department of standardization under the State Council and the relevant departments of the State Council shall, according to their respective duties, organize the formulation and timely revision of standards concerning data development and use technologies and products and data security. The State shall support enterprises, social organizations, and education and research institutions to participate in the formulation of standards.",KB 2/China/Data Security Law of China.pdf
ART18-P1,ART18,"Article 18, paragraph 1",18,1,"The State shall promote the development of services such as data security monitoring and assessment, and certification, and support specialized institutions to perform data security monitoring and assessment, and certification in providing services in accordance with the law.",KB 2/China/Data Security Law of China.pdf
ART18-P2,ART18,"Article 18, paragraph 2",18,2,"The State shall support relevant departments, industrial organizations, enterprises, education and research institutions, and relevant specialized institutions to conduct coordination in such areas as data security risk assessment, prevention and disposal.",KB 2/China/Data Security Law of China.pdf
ART19-P1,ART19,"Article 19, paragraph 1",19,1,"The State shall establish and perfect the data transaction management systems, standardize data transaction activities, and cultivate a data transaction market.",KB 2/China/Data Security Law of China.pdf
ART20-P1,ART20,"Article 20, paragraph 1",20,1,"The State shall support education and research institutions, enterprises and other organizations in carrying out education and training in respect of data development and use technology and data security, and in adopting a variety of methods to cultivate talent in data development and use technology and data security, and to promote talent exchange.",KB 2/China/Data Security Law of China.pdf
ART21-P1,ART21,"Article 21, paragraph 1",21,1,"The State shall establish a classified and graded data protection system, and carry out classified and graded data protection in accordance with the degree of importance of data to economic and social development, and the damage to national security, public interests, or the legitimate rights and interests of individuals or organizations in the event that data are tampered with, destroyed, leaked, or illegally obtained or used. The national data security coordination mechanism shall make overall planning for and coordinate relevant departments in formulating the catalogues for important data and strengthening the protection of important data.",KB 2/China/Data Security Law of China.pdf
ART21-P2,ART21,"Article 21, paragraph 2",21,2,"Data that have a bearing on national security, the lifelines of national economy, umportant aspects of people's livelihood and major public interests shall constitute the core data of the State and shall be subject to stricter management system.",KB 2/China/Data Security Law of China.pdf
ART21-P3,ART21,"Article 21, paragraph 3",21,3,"Each region and department shall, in accordance with the classified and graded data protection system, determine the specific catalogue for important data for the respective region and department, and in relevant industries and areas, and undertake special protection for the data included in the catalogue.",KB 2/China/Data Security Law of China.pdf
ART22-P1,ART22,"Article 22, paragraph 1",22,1,"The State shall establish a centralized, efficient, and authoritative mechanism for data security risk assessment, reporting, information sharing, supervision, and early warning. The national data security coordination mechanism shall make overall planning for and coordinate relevant departments in strengthening their work in the collection, analysis, determination, and early warning of the data security risk information.",KB 2/China/Data Security Law of China.pdf
ART23-P1,ART23,"Article 23, paragraph 1",23,1,"The State shall establish a data security emergency response mechanism. In the event of a data security incident, the relevant competent department shall, in accordance with the law, activate a contingency plan, adopt appropriate emergency response measures, prevent expansion of harms, eliminate security hazards, and promptly publish the warning information related to the public.",KB 2/China/Data Security Law of China.pdf
ART24-P1,ART24,"Article 24, paragraph 1",24,1,"The State shall establish a data security review system, where data handling activities that affect or may affect the national security will undergo national security review.",KB 2/China/Data Security Law of China.pdf
ART24-P2,ART24,"Article 24, paragraph 2",24,2,Security review decisions issued in accordance with the law are final decisions.,KB 2/China/Data Security Law of China.pdf
ART25-P1,ART25,"Article 25, paragraph 1",25,1,The State shall implement export controls in accordance with the law on data belonging to controlled categories and those relevant to safeguarding national security and interests and fulfilling international obligations.,KB 2/China/Data Security Law of China.pdf
ART26-P1,ART26,"Article 26, paragraph 1",26,1,"For any country or region that adopts discriminatory prohibitions, limitations, or other similar measures related to data and data development and use technology, against the People's Republic of China, in investment, trade and other areas, the People's Republic of China may, depending on the actual circumstances, adopt the equivalent measures against such country or region.",KB 2/China/Data Security Law of China.pdf
ART27-P1,ART27,"Article 27, paragraph 1",27,1,"Those conducting data handling activities shall, in accordance with laws and regulations, establish and perfect a data security management system across the entire workflow, organize and conduct data security education and training, and adopt the corresponding technical measures and other necessary measures to ensure data security. Those conducting data handling activities by using the internet or other information networks shall, based on the graded cybersecurity protection system, perform the aforesaid data security protection obligations.",KB 2/China/Data Security Law of China.pdf
ART27-P2,ART27,"Article 27, paragraph 2",27,2,Those handling important data shall clearly specify responsible personnel and management bodies for data security and fully implement data security protection responsibilities.,KB 2/China/Data Security Law of China.pdf
ART28-P1,ART28,"Article 28, paragraph 1",28,1,"Any data handling activity as well as the research and development of new data technologies shall benefit the advancement of economic and social development, enhance the people's welfare, and conform to social morals and ethics.",KB 2/China/Data Security Law of China.pdf
ART29-P1,ART29,"Article 29, paragraph 1",29,1,"Those conducting data handling activities shall strengthen risk monitoring, and where they discover risks such as data security flaws and vulnerabilities, immediately adopt remedial measures; when data security incidents occur, they shall immediately take disposal measures, notify the users as required and report the matter to the relevant competent department.",KB 2/China/Data Security Law of China.pdf
ART30-P1,ART30,"Article 30, paragraph 1",30,1,"Those handling important data shall, in accordance with relevant provisions, periodically conduct risk assessments for their data handling activities, and submit a risk assessment report to the relevant competent department.",KB 2/China/Data Security Law of China.pdf
ART30-P2,ART30,"Article 30, paragraph 2",30,2,"The risk assessment report shall include the categories and quantities of important data handled by the said organization, how data are handled, the data security risks faced and their countermeasures.",KB 2/China/Data Security Law of China.pdf
ART31-P1,ART31,"Article 31, paragraph 1",31,1,The security administration of the cross-border transfer of important data collected and generated by operators of critical information infrastructure during their operation in China shall be subject to the provisions of the Cybersecurity Law of the People's Republic of China; the administrative measures for the cross-border transfer of important data collected and generated by other data handlers during their operation in the People's Republic of China shall be formulated by the national cyberspace administration authority in collaboration with relevant departments of the State Council.,KB 2/China/Data Security Law of China.pdf
ART32-P1,ART32,"Article 32, paragraph 1",32,1,Any organization or individual collecting data shall adopt lawful and proper methods and shall not steal data or obtain them by other illegal means.,KB 2/China/Data Security Law of China.pdf
ART32-P2,ART32,"Article 32, paragraph 2",32,2,"Where any law and administrative regulation contains provisions on the purpose or scope of data collection or use, data shall be collected and used for the purpose and within the scope prescribed by such law and administrative regulation.",KB 2/China/Data Security Law of China.pdf
ART33-P1,ART33,"Article 33, paragraph 1",33,1,"Institutions engaging in data transaction intermediary services shall, when providing their services, require the data providers to explain the source of data, examine and verify the identity of both parties to the transaction, and retain examination, verification, and transaction records.",KB 2/China/Data Security Law of China.pdf
ART34-P1,ART34,"Article 34, paragraph 1",34,1,"Where any law and administrative regulation stipulates that administrative license shall be obtained before providing any service related to data handling, the service providers shall obtain such license in accordance with the law.",KB 2/China/Data Security Law of China.pdf
ART35-P1,ART35,"Article 35, paragraph 1",35,1,"Where public security organs and national security organs need to consult any data in order to safeguard national security or investigate a crime in accordance with the law, they shall, in accordance with the relevant provisions of the State, undergo strict approval procedures and proceed with the matter in accordance with the law; and the relevant organizations and individuals shall render cooperation.",KB 2/China/Data Security Law of China.pdf
ART36-P1,ART36,"Article 36, paragraph 1",36,1,"The competent authority of the People's Republic of China shall handle the request for providing any data from a foreign judicial body and law enforcement body in accordance with relevant laws and the international treaty or agreement which the People's Republic of China has concluded or acceded to, or under the principle of equality and mutual benefit. Any organization or individual within the territory of the People's Republic of China shall not provide any foreign judicial body and law enforcement body with any data stored within the territory of the People's Republic of China without the approval of the competent authority of the People's Republic of China.",KB 2/China/Data Security Law of China.pdf
ART37-P1,ART37,"Article 37, paragraph 1",37,1,"The State shall vigorously advance the construction of e-government, increases the rationality, accuracy, and timeliness of government data, and enhance the capabilities to use data to serve economic and social development.",KB 2/China/Data Security Law of China.pdf
ART38-P1,ART38,"Article 38, paragraph 1",38,1,"Where any state organ needs to collect or use data to perform its statutory duties, it shall do so within the scope of its statutory duties and according to the conditions and procedures prescribed in laws and administrative regulations; any data it comes to know in the course of performing its duties, including personal privacy, personal information, trade secret and confidential business information, shall be kept confidential and shall not be leaked or illegally provided to others.",KB 2/China/Data Security Law of China.pdf
ART39-P1,ART39,"Article 39, paragraph 1",39,1,"State organs shall, in accordance with laws and administrative regulations, establish and perfect data security management systems, implement data security protection responsibilities, and ensure the security of government data.",KB 2/China/Data Security Law of China.pdf
ART40-P1,ART40,"Article 40, paragraph 1",40,1,"Where state organs entrust others maintain and construct any government system, or to store or process government data, they shall undergo strict approval procedures, and shall supervise the entrusted parties in terms of their fulfillment of the corresponding data security protection obligations. The entrusted parties shall perform their data security protection obligations in accordance with laws, regulations and any contractual agreement, and shall not retain, use, leak or provide to others any government data without permission.",KB 2/China/Data Security Law of China.pdf
ART41-P1,ART41,"Article 41, paragraph 1",41,1,"State organs shall promptly and accurately publish government data as required under the principles of fairness, impartiality, and convenience for the people, except where the data shall not be disclosed in accordance with the law.",KB 2/China/Data Security Law of China.pdf
ART42-P1,ART42,"Article 42, paragraph 1",42,1,"The State shall formulate open catalogues for government data, and build a uniform and standard, interconnected and interactive, secure and controllable government data open platform, to promote the open use of government data.",KB 2/China/Data Security Law of China.pdf
ART43-P1,ART43,"Article 43, paragraph 1",43,1,"Where organizations with public affairs management functions, as authorized by laws and regulations, conduct data handling activities in order to perform their statutory duties, this chapter shall apply.",KB 2/China/Data Security Law of China.pdf
ART44-P1,ART44,"Article 44, paragraph 1",44,1,"When the relevant competent departments discover any major security risk in data handling activities in the course of performing their data security supervision duties, they may, according to the prescribed authority and procedures, conduct interviews with the relevant organizations and individuals, and require them to take measures for rectification to eliminate hazards.",KB 2/China/Data Security Law of China.pdf
ART45-P1,ART45,"Article 45, paragraph 1",45,1,"Where any organization and individual fails to fulfill the data security obligations stipulated in Articles 27, 29, and 30 hereof in conducting data handling activities, relevant competent departments shall order such organization and individual to make correction, give warnings, and may impose a fine of no less than CNY50,000 but no more than CNY500,000 concurrently; the directly responsible officers and other persons directly liable may be imposed a fine of no less than CNY10,000 but no more than CNY100,000; those who refuse to make correction or cause major data leakages or other serious consequences shall be imposed a fine of no less than CNY500,000 but no more than CNY2 million, and may concurrently be ordered to suspend relevant business or stop operation for rectification, or be subject to revocation of relevant business permits or business license; and the directly responsible officers and other persons directly liable shall be imposed a fine of no less than CNY50,000 but no more than CNY200,000.",KB 2/China/Data Security Law of China.pdf
ART45-P2,ART45,"Article 45, paragraph 2",45,2,"Those who violate the management system for core data of the State and cause harm to the national sovereignty, security and development interests shall be imposed a fine of no less than CNY2 million but no more than CNY10 million by relevant competent departments, and shall be ordered to suspend relevant business or stop operation for rectification, or be subject to revocation of relevant business permits or business license, as appropriate; if a crime is constituted, they shall be held criminally liable in accordance with the law.",KB 2/China/Data Security Law of China.pdf
ART46-P1,ART46,"Article 46, paragraph 1",46,1,"Those who provide any important data to a party outside the territory of the People's Republic of China in violation of Article 31 hereof shall be ordered to make correction and given warnings by relevant competent departments, and may be imposed a fine of no less than CNY100,000 but no more than CNY1 million concurrently; the directly responsible officers and other persons directly liable may be imposed a fine of no less than CNY10,000 but no more than CNY100,000. In case of serious circumstances, they shall be imposed a fine of no less than CNY1 million but no more than CNY 10 million, and may be ordered to suspend relevant business or stop operation for rectification, or be subject to revocation of relevant business permits or business license; the directly responsible officers and other persons directly liable shall be imposed a fine of no less than CNY100,000 but no more than CNY1 million.",KB 2/China/Data Security Law of China.pdf
ART47-P1,ART47,"Article 47, paragraph 1",47,1,"Where any data transaction intermediary organization fails to perform the obligations stipulated in Article 33 hereof, relevant competent departments shall order it to make correction, confiscate any illegal income, and impose a fine of no less than one but no more than ten times the illegal income; where there is no illegal income or the illegal income is less than CNY100,000, a fine of no less than CNY100,000 but no more than CNY1 million shall be imposed, and the relevant competent departments may order such organization to suspend relevant businesses, stop its operation for rectification, or revoke the relevant business permits or business licenses; the directly responsible officers and other persons directly liable shall be imposed a fine of no less than CNY10,000 but no more than CNY100,000.",KB 2/China/Data Security Law of China.pdf
ART48-P1,ART48,"Article 48, paragraph 1",48,1,"Those who refuse to cooperate in data access in violation of Article 35 hereof shall be ordered to make correction and given warnings and may be imposed a fine of no less than CNY50,000 but no more than CNY500,000 concurrently by relevant competent departments; their directly responsible officers and other persons directly liable shall be imposed a fine of no less than CNY10,000 but no more than CNY100,000.",KB 2/China/Data Security Law of China.pdf
ART48-P2,ART48,"Article 48, paragraph 2",48,2,"Those who provide any data to any foreign judicial or law enforcement body without approval of competent departments in violation of Article 36 hereof shall be given warnings, and may be imposed a fine of no less than CNY100,000 but no more than CNY1 million concurrently by relevant competent departments; their directly responsible officers and other persons directly liable may be imposed a fine of no less than CNY10,000 but no more than CNY100,000. In case of serious consequences, they shall be imposed a fine of no less than CNY1 million but no more than CNY5 million, and may be ordered to suspend relevant business or stop operation for rectification, or be subject to revocation of relevant business permits or business license; their directly responsible officers and other persons directly liable shall be imposed a fine of no less than CNY50,000 but no more than CNY500,000.",KB 2/China/Data Security Law of China.pdf
ART49-P1,ART49,"Article 49, paragraph 1",49,1,"Where any state organ fails to perform its data security protection obligations provided for herein, the directly responsible officers and other persons directly liable shall be sanctioned in accordance with the law.",KB 2/China/Data Security Law of China.pdf
ART50-P1,ART50,"Article 50, paragraph 1",50,1,"Where any government functionary with the duties of overseeing data security neglects his or her duties, abuses his or her powers, or engages in malpractice for selfish ends, he or she shall be sanctioned in accordance with the law.",KB 2/China/Data Security Law of China.pdf
ART51-P1,ART51,"Article 51, paragraph 1",51,1,"Any act of stealing or illegally obtaining data, and any data handling activity that excludes or restricts competition, harms national security or public interests, or damages the legitimate rights and interests of individuals or organizations, shall be subject to punishment in accordance with the relevant laws and administrative regulations.",KB 2/China/Data Security Law of China.pdf
ART52-P1,ART52,"Article 52, paragraph 1",52,1,"Anyone who violates this Law, causing harm to others, shall bear civil liability in accordance with the law.",KB 2/China/Data Security Law of China.pdf
ART52-P2,ART52,"Article 52, paragraph 2",52,2,"If anyone violates this Law, constituting a violation of public security administration, he or she shall be given a public security administration penalty in accordance with the law. If a crime is constituted, he or she shall be held criminally liable in accordance with the law.",KB 2/China/Data Security Law of China.pdf
ART53-P1,ART53,"Article 53, paragraph 1",53,1,"For data handling activities involving state secrets, such laws and administrative regulations as the Law of the People's Republic of China on Protecting State Secrets shall apply.",KB 2/China/Data Security Law of China.pdf
ART53-P2,ART53,"Article 53, paragraph 2",53,2,"The data handling activities in the work of statistics and archiving, and those involving personal information shall abide by the relevant laws and administrative regulations.",KB 2/China/Data Security Law of China.pdf
ART54-P1,ART54,"Article 54, paragraph 1",54,1,Measures for protecting military data will be separately formulated by the Central Military Commission.,KB 2/China/Data Security Law of China.pdf
ART55-P1,ART55,"Article 55, paragraph 1",55,1,"This Law shall come into force as of September 1, 2021.",KB 2/China/Data Security Law of China.pdf
