supersededinstrument_id,table,regulated_entity_or_addressee,subject,circular_or_letter_number,date_of_issuance,source_document
SUP-17,Table 1,Qualified Registrars to an Issue / Share Transfer Agents (QRTAs),Modification in Cyber Security and Cyber resilience framework of Qualified Registrars to an Issue and Share Transfer Agents(“QRTAs”),SEBI/HO/MIRSD/MIRSD_RTAMB/P/CIR/2022/73,"May 27, 2022","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-18,Table 1,Qualified Registrars to an Issue / Share Transfer Agents (QRTAs),Modification in Cyber Security and Cyber resilience framework of Qualified Registrars to an Issue and Share Transfer Agents (“QRTAs”),SEBI/HO/MIRSD/TPD/P/CIR/2022/96,"July 06, 2022","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-19,Table 1,Portfolio Managers,Cyber Security and Cyber Resilience framework for Portfolio Managers,SEBI/HO/IMD/IMD-PoD-1/P/CIR/2023/046,"March 29, 2023","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-20,Table 1,All Regulated Entities,Advisory for SEBI Regulated Entities (REs) regarding Cybersecurity best practices,SEBI/HO/ITD/ITD_VAPT/P/CIR/2023/032,"February 22, 2023","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-21,Table 1,"Stock Exchanges, Clearing Corporations and Depositories (except Commodities Derivatives Exchanges and their Clearing Corporations)",Cyber Security Operations Center for SEBI registered intermediaries,CIR/MRD/CSC/151/2018,"December 14, 2018","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-22,Table 2,National Stock Exchange of India Ltd.,Submission of Cyber Audit Report,SEBI/HO/ITD/ITD_INSADT_D/P/OW/2022/0000063905/1,"December 26, 2022","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-23,Table 2,Bombay Stock Exchange of India,Submission of Cyber Audit Report,SEBI/HO/ITD/ITD_INSADT_D/P/OW/2022/0000063956/1,"December 26, 2022","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-24,Table 2,Central Depository Services Ltd.,Submission of Cyber Audit Report,SEBI/HO/ITD/ITD_INSADT_D/P/OW/2022/0000063931/1,"December 26, 2022","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-25,Table 2,Indian Clearing Corporation Ltd.,Submission of Cyber Audit Report,SEBI/HO/ITD/ITD_INSADT_D/P/OW/2022/0000063935/1,"December 26, 2022","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-26,Table 2,Multi-Commodity Exchange of India Ltd.,Submission of Cyber Audit Report,SEBI/HO/ITD/ITD_INSADT_D/P/OW/2022/0000063943/1,"December 26, 2022","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-27,Table 2,Multi-Commodity Exchange Clearing Corporation of India Ltd.,Submission of Cyber Audit Report,SEBI/HO/ITD/ITD_INSADT_D/P/OW/2022/0000063947/1,"December 26, 2022","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-28,Table 2,Metropolitan Stock Exchange of India Ltd.,Submission of Cyber Audit Report,SEBI/HO/ITD/ITD_INSADT_D/P/OW/2022/0000063939/1,"December 26, 2022","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-29,Table 2,National Commodity Clearing Ltd.,Submission of Cyber Audit Report,SEBI/HO/ITD/ITD_INSADT_D/P/OW/2022/0000063950/1,"December 26, 2022","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-30,Table 2,National Commodities Derivatives Exchange Ltd.,Submission of Cyber Audit Report,SEBI/HO/ITD/ITD_INSADT_D/P/OW/2022/0000063944/1,"December 26, 2022","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-31,Table 2,NSE Clearing Limited (Formerly known as National Securities Clearing Corporation Ltd.),Submission of Cyber Audit Report,SEBI/HO/ITD/ITD_INSADT_D/P/OW/2022/0000063951/1,"December 26, 2022","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-32,Table 2,National Securities Depositories Ltd.,Submission of Cyber Audit Report,SEBI/HO/ITD/ITD_INSADT_D/P/OW/2022/0000063954/1,"December 26, 2022","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-33,Table 2,MIIs,"Recommendations of High Powered Steering Committee – Cyber Security in meeting dated February 21, 2019",SEBI/HO/MRD/CSC/OW/P/2019/10055/5,"April 22, 2019","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-34,Table 2,Association of Mutual Funds in India (AMFI),Review of Cyber Security and Cyber Resilience framework for Mutual Funds/Asset Management Companies (AMCs),SEBI/HO/IMD/IMD-TPD-1/P/OW/2023/16538,"April 19, 2023","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-35,Table 2,Association of Mutual Funds in India (AMFI),Review of Cyber Security and Cyber Resilience framework for Mutual Funds/Asset Management Companies (AMCs),SEBI/HO/IMD/IMD-SEC-3/P/OW/2023/22970/1,"June 06, 2023","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-36,Table 2,National Stock Exchange of India Ltd.,Implementation of Cyber Capability Index,SEBI/HO/MRD/CSC/OW/P/2019/28528/1,"October 30, 2019","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-37,Table 2,Bombay Stock Exchange of India,Implementation of Cyber Capability Index,SEBI/HO/MRD/CSC/OW/P/2019/28516/1,"October 30, 2019","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-38,Table 2,Central Depository Services Ltd.,Implementation of Cyber Capability Index,SEBI/HO/MRD/CSC/OW/P/2019/28517/1,"October 30, 2019","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-39,Table 2,Indian Clearing Corporation Ltd.,Implementation of Cyber Capability Index,SEBI/HO/MRD/CSC/OW/P/2019/28523/1,"October 30, 2019","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-40,Table 2,Metropolitan Stock Exchange of India Ltd.,Implementation of Cyber Capability Index,SEBI/HO/MRD/CSC/OW/P/2019/28525/1,"October 30, 2019","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-41,Table 2,Metropolitan Clearing Corporation of India Ltd.,Implementation of Cyber Capability Index,SEBI/HO/MRD/CSC/OW/P/2019/28524/1,"October 30, 2019","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-42,Table 2,NSE Clearing Limited,Implementation of Cyber Capability Index,SEBI/HO/MRD/CSC/OW/P/2019/28526/1,"October 30, 2019","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
SUP-43,Table 2,National Securities Depositories Ltd.,Implementation of Cyber Capability Index,SEBI/HO/MRD/CSC/OW/P/2019/28527/1,"October 30, 2019","SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
