threat_id,threatcategory_id,annex_id,part,number,description,source_document
T-11,TC-4.3.2,Annex5,Part A,11,"Messages received by the vehicle (for example X2V or diagnostic messages), or transmitted within it, contain malicious content",E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
T-12,TC-4.3.3,Annex5,Part A,12,Misuse or compromise of update procedures,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
T-13,TC-4.3.3,Annex5,Part A,13,It is possible to deny legitimate updates,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
T-15,TC-4.3.4,Annex5,Part A,15,Legitimate actors are able to take actions that would unwittingly facilitate a cyber-attack,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
T-16,TC-4.3.5,Annex5,Part A,16,"Manipulation of the connectivity of vehicle functions enables a cyber-attack, this can include telematics; systems that permit remote operations; and systems using short range wireless communications",E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
T-17,TC-4.3.5,Annex5,Part A,17,"Hosted 3rd party software, e.g. entertainment applications, used as a means to attack vehicle systems",E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
T-18,TC-4.3.5,Annex5,Part A,18,"Devices connected to external interfaces e.g. USB ports, OBD port, used as a means to attack vehicle systems",E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
T-19,TC-4.3.6,Annex5,Part A,19,Extraction of vehicle data/code,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
T-20,TC-4.3.6,Annex5,Part A,20,Manipulation of vehicle data/code,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
T-21,TC-4.3.6,Annex5,Part A,21,Erasure of data/code,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
T-22,TC-4.3.6,Annex5,Part A,22,Introduction of malware,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
T-23,TC-4.3.6,Annex5,Part A,23,Introduction of new software or overwrite existing software,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
T-24,TC-4.3.6,Annex5,Part A,24,Disruption of systems or operations,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
T-25,TC-4.3.6,Annex5,Part A,25,Manipulation of vehicle parameters,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
T-26,TC-4.3.7,Annex5,Part A,26,Cryptographic technologies can be compromised or are insufficiently applied,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
T-27,TC-4.3.7,Annex5,Part A,27,Parts or supplies could be compromised to permit vehicles to be attacked,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
T-28,TC-4.3.7,Annex5,Part A,28,Software or hardware development permits vulnerabilities,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
T-29,TC-4.3.7,Annex5,Part A,29,Network design introduces vulnerabilities,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
T-31,TC-4.3.7,Annex5,Part A,31,Unintended transfer of data can occur,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
T-32,TC-4.3.7,Annex5,Part A,32,Physical manipulation of systems can enable an attack,E/ECE/TRANS/505/Rev.3/Add.154 (4 March 2021) - UN Regulation No. 155; PDF: KB 2/UNECE WP.29 & UN Regulation No. 155 & 156.pdf
